Time (s),Volume (m^3),N2,Ne,X(1),CH4(2),O2(3),CO2(4),H2O(5),H2(6),CO(7),C2H6(8),CH2O(9),CH3(10),C3H8(11),H(12),C2H5(13),CH3OH(14),HCO(15),CH3CHO(16),OH(17),C2H4(18),CH4X(56),OX(20),CH3X(21),HOX(22),HX(19),CH2X(27),CHX(28),CX(26),OCX(25),H2X(57),CHOX(61),CO2X(24),COX(58)
8.070097528811325e-21,0.09977366400000001,0.80000000000000004,0.0,0.28934362559999677,0.099999999999997466,0.099999999999999645,4.9066818783712958e-101,2.2671970074980496e-57,1.1255548582186409e-40,5.6140444261323369e-66,7.1388409738039272e-50,2.6989091614247405e-43,4.1764461380656186e-26,5.972463228105636e-103,4.1764461214528781e-26,1.5091012943406051e-65,1.172920691139937e-64,1.3257613339702593e-66,2.0323907815946145e-92,2.6989092549279359e-43,1.5626901083429142e-80,2.5389920241016368e-15,7.4058678100064872e-16,1.6783795333411533e-20,1.2305452686506214e-31,1.6783795347982409e-20,7.3467112472204457e-30,1.1333158772621749e-34,5.6023074408607941e-41,6.3744665434918155e-65,4.5762598297388576e-54,8.6457205785465346e-60,5.4030460036149113e-92,4.0659866623983558e-81
1.614720643688313e-20,0.09977366400000001,0.80000000000000004,0.0,0.28934362559999349,0.099999999999994926,0.09999999999999927,2.2256696641706426e-98,1.8151880747417765e-56,4.9967413688539412e-40,4.4946491462367226e-65,5.7168626292394456e-49,1.080267024282484e-42,8.3565208464428533e-26,1.9140491640252659e-101,8.3565207799486001e-26,1.2085050119233145e-64,1.8786106284082085e-63,1.0614151902709349e-65,6.5018780459244841e-91,1.0802670991324235e-42,2.503020058548033e-79,5.0801899491778794e-15,1.4818169910030095e-15,3.3582172577064831e-20,4.9247203285136159e-31,3.3582172635386816e-20,2.9405537352833419e-29,9.0732838966625881e-34,7.9876712078813926e-40,3.6150884312144527e-63,4.0396500731682848e-53,6.921833132313794e-59,1.2256686717788913e-89,6.5108762771840077e-80
3.230142425302674e-20,0.09977366400000001,0.80000000000000004,0.0,0.28934362559998694,0.099999999999989847,0.099999999999998535,1.0675024756211582e-95,1.452785196816546e-55,2.3927294100509547e-39,3.5970854959325396e-64,4.5758071697903533e-48,4.3224752395897343e-42,1.6716670363042419e-25,6.1295390671276596e-100,1.6716670096978794e-25,9.6729388916879633e-64,3.006736257275965e-62,8.4945474347845626e-65,2.0803162786946278e-89,4.3224758384652011e-42,4.0070062403557613e-78,1.0162585799324291e-14,2.9642774110076517e-15,6.7178927020968199e-20,1.9699955230363464e-30,6.717892725433626e-20,1.1765682112728624e-28,7.2611699335220421e-33,1.1998323048008924e-38,2.1677588629370965e-61,3.8345265494825791e-52,5.5395697140407971e-58,2.939702296564855e-87,1.0421642644538471e-78
6.460985988531395e-20,0.09977366400000001,0.80000000000000004,0.0,0.28934362559997379,0.099999999999979688,0.09999999999999705,5.2825070853808783e-93,1.1625817099269791e-54,1.2719772139251119e-38,2.8782166970277925e-63,3.6615727799372704e-47,1.7292715821233142e-41,3.3436969795621924e-25,1.9621861097048391e-98,3.343696873119417e-25,7.7403119070037786e-63,4.8096534036211976e-61,6.7969286548697856e-64,6.6565549484957119e-88,1.7292720610723541e-41,6.4129504362175388e-77,2.0327377499592799e-14,5.9291982510166205e-15,1.3437243573516194e-19,7.8769947589594587e-30,1.3437243666881954e-19,4.7067484964972214e-28,5.8096955518841346e-32,1.857062823912373e-37,1.3410731529902485e-59,4.0308321657470346e-51,4.4324966602799743e-57,7.2739858453035423e-85,1.667803081691611e-77
1.292267311498884e-19,0.09977366400000001,0.80000000000000004,0.0,0.28934362559994753,0.099999999999959358,0.09999999999999408,2.6575569406574647e-90,9.303658830178413e-54,7.6059299727550766e-38,2.3028139659217147e-62,2.9296290727367723e-46,6.9176494827995389e-41,6.6877570258302432e-25,6.2801709582666394e-97,6.6877566000244905e-25,6.1930352133136509e-62,7.6885005841739389e-60,5.4380593678312056e-63,2.1300238346551554e-86,6.9176533108838198e-41,1.0262115301366207e-75,4.0656960900032591e-14,1.1859039931033293e-14,2.6875945246909754e-19,3.1476431458275018e-29,2.6875945620429846e-19,1.8826202612933777e-27,4.6476479997444748e-31,2.9209046642831733e-36,8.4347466014377676e-58,4.7650659374701584e-50,3.5463328013063947e-56,1.8297819871539935e-82,2.6687803424564454e-76
2.5846047367903723e-19,0.09977366400000001,0.80000000000000004,0.0,0.28934362559989502,0.099999999999918696,0.099999999999988154,1.3481983915842938e-87,7.4466651836155739e-53,5.0559675141008395e-37,1.8426168996052368e-61,2.3438515841491483e-45,2.7671725413030019e-40,1.3375877757374934e-24,2.0098436772010897e-95,1.3375876054082624e-24,4.9547445041382805e-61,1.2276767172516813e-58,4.3506542524142861e-62,6.8159548023939384e-85,2.7671755977386888e-40,1.6420506784549001e-74,8.1316127700523287e-14,2.371872329106158e-14,5.3753348315916161e-19,1.2563876825733495e-28,5.3753349810270377e-19,7.5289291154204272e-27,3.7174155605269613e-30,4.6323367027821661e-35,5.3500510036694722e-56,6.2756772439965413e-49,2.8371989678674299e-55,4.6413869376541218e-80,4.2708727016035295e-75
5.169279587373349e-19,0.09977366400000001,0.80000000000000004,0.0,0.28934362559978999,0.099999999999837372,0.099999999999976288,6.8663339013858917e-85,5.9628554785942336e-52,3.632125785902177e-36,1.4776729525462773e-60,1.8751405633375819e-44,1.1068916572090573e-39,2.6752121776498612e-24,6.4318078021805241e-94,2.6752114963190851e-24,3.9639254033510354e-60,1.9561698043837761e-57,3.4806063786685487e-61,2.1810840609862394e-83,1.1068940925896699e-39,2.6273729657940176e-73,1.6263446129994903e-13,4.7438090011097942e-14,1.0750815334280613e-18,5.0040172735153365e-28,1.0750815932204664e-18,3.0101472268230305e-26,2.9725969827551341e-29,7.376327034407206e-34,3.4074760715271823e-54,8.9596296670407075e-48,2.2698099151009365e-54,1.1819313303801671e-77,6.8490345554414242e-74
1.0338629288539302e-18,0.09977366400000001,0.80000000000000004,0.0,0.28934362559957993,0.099999999999674738,0.099999999999952571,3.5015866294786048e-82,4.7788453681898348e-51,2.7388590265837862e-35,1.227383438866251e-59,1.5001361115568471e-43,4.4276126358153477e-39,5.3504620038882767e-24,2.0582314099726603e-92,5.3504592785375124e-24,3.1711974639696339e-59,3.1040466892111864e-56,2.7845187281048875e-60,6.9794254857005659e-82,4.4276319636945715e-39,4.2038769480482898e-72,3.2527112849257816e-13,9.4876823451089806e-14,2.1501775895209483e-18,1.9845256378680343e-27,2.1501778288287957e-18,1.2028842143543385e-25,2.3758590997347987e-28,1.176573883003562e-32,2.1740130882614823e-52,1.346179598171455e-46,1.8158644665331849e-53,3.0137229419245724e-75,1.1353286970363513e-72
2.067732869087121e-18,0.09977366400000001,0.80000000000000004,0.0,0.28934362559915977,0.099999999999349456,0.099999999999905137,1.7844933222829497e-79,3.8363735055510835e-50,2.1215147555386386e-34,1.5591891186650142e-58,1.2001182610602562e-42,1.7710548359240104e-38,1.070096574601949e-23,6.5864483829533194e-91,1.0700954844561497e-23,2.536989180654855e-58,4.8856188374945527e-55,2.2276291270943628e-59,2.2334132720212583e-80,1.7710700553558386e-38,6.7262887109530662e-71,6.5054446285294684e-13,1.8975429033075009e-13,4.3003695239270866e-18,7.8045546656831364e-27,4.3003704822439286e-18,4.8020920469073478e-25,1.8971133939265218e-27,1.8770379881894593e-31,1.3873178522478485e-50,2.081311812162433e-45,1.4526921676725564e-52,7.6793208027406119e-73,2.8240181964249554e-71
4.135472749553503e-18,0.09977366400000001,0.80000000000000004,0.0,0.28934362559831944,0.099999999998698907,0.099999999999810255,9.0671985979164498e-77,3.0893390148485468e-49,1.6648750278135433e-33,8.6052185908710935e-57,9.6009820940884064e-42,7.0842435482268178e-38,2.140198958889673e-23,2.1076955956236474e-89,2.1401945982957985e-23,2.0296171928409803e-57,7.5698092718328815e-54,1.7821100706634588e-58,7.1471969418843081e-79,7.0843615889216089e-38,1.0762198993285789e-69,1.3010911314741251e-12,3.7950922408877773e-13,8.6007526816209505e-18,3.0198528367300275e-26,8.6007565234533834e-18,1.9133078600197088e-24,1.5119894457776744e-26,2.9907046064316778e-30,8.8419037263278935e-49,3.263497136876546e-44,1.1621443410933516e-51,1.9509604805422535e-70,3.0200914055753216e-69
8.270952510486267e-18,0.09977366400000001,0.80000000000000004,0.0,0.28934362559663884,0.099999999997397809,0.099999999999620504,4.5762646247931201e-74,2.5009393778095518e-48,1.3118419559216012e-32,1.0034551427141098e-54,7.680797706667085e-41,2.8337059732356956e-37,4.2804102709088767e-23,6.7447723504052113e-88,4.2803928285145038e-23,1.6237254767911532e-56,1.1388055378696655e-52,1.4256925419295019e-57,2.2879671316456108e-77,2.8337949600158883e-37,1.7219847490834797e-68,2.6021844683182469e-12,7.5901909159966576e-13,1.7201516152535935e-17,1.1334252848545114e-25,1.720153158698158e-17,7.5936277845398301e-24,1.2005605440012826e-25,4.7492492810953818e-29,5.6166903321018633e-47,5.1413144151084135e-43,9.2969630694263552e-51,4.9232365180439476e-68,7.0077948012866649e-67
1.6541912032351793e-17,0.09977366400000001,0.80000000000000004,0.0,0.28934362559327759,0.099999999994795599,0.099999999999240988,2.2783485622504885e-71,2.0402676895406547e-47,1.0303299903973248e-31,1.2590081584837246e-52,6.1446391845015552e-40,1.1334870705096842e-36,8.5608590687050166e-23,2.1584114240671269e-86,8.5607892991095503e-23,1.2990272835180355e-55,1.6261138325749025e-51,1.1405586721780632e-56,7.3442517480085941e-76,1.1335508640387156e-36,2.7552721528264359e-67,5.2043711404135497e-12,1.5180388266008043e-12,3.4403031716482806e-17,4.0306447721695822e-25,3.4403093971778284e-17,2.9907886459209782e-23,9.46297880168922e-25,7.4894087447323744e-28,3.543328428651995e-45,8.0775463757414829e-42,7.4372472721571055e-50,1.2255129092062891e-65,1.7579247552795897e-64
3.3083831076082844e-17,0.09977366400000001,0.80000000000000004,0.0,0.28934362558655513,0.099999999989591193,0.09999999999848197,1.1044198435980727e-68,1.6783532483777115e-46,7.9965607511277579e-31,1.5666112303154473e-50,4.9157056858469169e-39,4.5339814078487018e-36,1.7121861359189729e-22,6.9074407764701654e-85,1.7121582280930301e-22,1.0392953285068199e-54,2.1357504043966373e-50,9.1245334433674215e-56,2.4073017780550298e-74,4.5344033313672172e-36,4.4087374114208003e-66,1.0408744478232397e-11,3.0360782965206913e-12,6.8806017332904782e-17,1.3147818191228044e-24,6.8806270236728464e-17,1.1605487367095016e-22,7.3531560075519129e-24,1.1649376487518212e-26,2.20507112594319e-43,1.2547936370549077e-40,5.9492741762756394e-49,2.9701492786894063e-63,4.3749729688166068e-62
6.616766916354495e-17,0.09977366400000001,0.80000000000000004,0.0,0.28934362557311016,0.09999999997918238,0.099999999996963934,5.090118418381772e-66,1.38654149172001e-45,6.0519994949261611e-30,1.900472858439775e-48,3.9325525729375934e-38,1.8136181989575742e-35,3.4244284718620976e-22,2.2107141334858357e-83,3.4243168407094939e-22,8.3155324864946663e-54,2.5020394402640804e-49,7.2997251987268791e-55,9.088248835356691e-73,1.8138680727524011e-35,7.0549405452097547e-65,2.081749112838304e-11,6.0721572360315346e-12,1.3761180652035269e-16,3.8122455411010203e-24,1.3761284604611161e-16,4.3788386101620306e-22,5.5617646197959663e-23,1.7654107427888713e-25,1.3372460844115925e-41,1.9025326573203855e-39,4.7585790981658343e-48,6.8437712847003314e-61,1.0615681910628355e-59
1.3233534533846915e-16,0.09977366400000001,0.80000000000000004,0.0,0.28934362554622023,0.099999999958364755,0.099999999993927849,2.1431239831761755e-63,1.1414905105830698e-44,4.3731783029030308e-29,2.2013831858902458e-46,3.1460217305327238e-37,7.254676151963765e-35,6.8490806542465278e-22,7.0765232035674931e-82,6.8486341309521497e-22,6.6542952890374295e-53,2.5848687976929811e-48,5.8399360429551559e-54,6.0963484047706025e-71,7.2559853998440004e-35,1.1290974574780288e-63,4.1634984326736146e-11,1.2144315113739329e-11,2.7522265671757682e-16,9.723057836231001e-24,2.7522700237474366e-16,1.5713366402548503e-21,4.0081660386723517e-22,2.5531347956565088e-24,7.7418572308977598e-40,2.7584526629116789e-38,3.8055185714912198e-47,1.4404411252675617e-58,2.4597499936644135e-57
2.6467069768831756e-16,0.09977366400000001,0.80000000000000004,0.0,0.28934362549244036,0.09999999991672949,0.099999999987855692,7.7822511799894917e-61,9.3157780316728936e-44,2.928974644928503e-28,2.3634832911071058e-44,2.5167843936611362e-36,2.9020327984081674e-34,1.369905505391683e-21,2.265885121388646e-80,1.3697268971481045e-21,5.3264261080457978e-52,2.3997583537518845e-47,4.672197592093513e-53,8.7137626249168366e-69,2.902649535907814e-34,1.8075378727023373e-62,8.3269970315649649e-11,2.4288630863902254e-11,5.5044144443269705e-16,2.2294262805772574e-23,5.5045995634097004e-16,5.1965027239850937e-21,2.6680823094256425e-21,3.4193027166283374e-23,4.1531119158269275e-38,3.7159933902726165e-37,3.0422652697894511e-46,2.6143187888505719e-56,5.2834139731052149e-55
5.293414023880145e-16,0.09977366400000001,0.80000000000000004,0.0,0.28934362538488068,0.099999999833458961,0.099999999975711379,2.2898117377940034e-58,7.5394030223517061e-43,1.7627821844453061e-27,2.2759323053543902e-42,2.0133745445077051e-35,1.1609429180816644e-33,2.7401683936133077e-21,7.2597746765058491e-79,2.7394539692755742e-21,4.2659242317155947e-51,2.0755155754087226e-46,3.7381558041100655e-52,1.5559185490113407e-66,1.1612128181460227e-33,2.8952024790871384e-61,1.6653994066230583e-10,4.8577262343220124e-11,1.1008673693964113e-15,4.7778367607331241e-23,1.1009471874820339e-15,1.5329274146501049e-20,1.5855221543569724e-20,4.1023503483038496e-22,1.9974728951743748e-36,4.5124554327905254e-36,2.430380263841623e-45,3.8436354725684294e-54,1.0180324732258436e-52
7.940121070877114e-16,0.09977366400000001,0.80000000000000004,0.0,0.28934362527732099,0.099999999750188459,0.099999999963567066,1.7377367071181581e-57,2.1760249391335024e-42,4.3508174911919323e-27,1.3796551473869599e-41,5.9771162403065584e-35,2.4671943206461583e-33,4.1106992844496394e-21,3.474693936625185e-78,4.1091811454291169e-21,1.2672314656394852e-50,6.2988470281075347e-46,1.0689442449269419e-51,1.088118407300042e-65,2.4677836799583408e-33,1.0958718395662491e-60,2.4980990937779123e-10,7.2865893801530314e-11,1.6512816441443182e-15,7.3301415683555294e-23,1.6514573267116516e-15,2.6991228770178582e-20,3.8816166982831648e-20,1.3308461597596225e-21,1.0217178164757256e-35,1.4732724387848875e-35,6.9437408041951981e-45,2.5412056774081662e-53,7.1571467689911632e-52
1.0586828117874083e-15,0.09977366400000001,0.80000000000000004,0.0,0.28934362516976131,0.099999999666917944,0.099999999951422752,8.6687784491997722e-57,4.6235546934532238e-42,8.1347697546334688e-27,5.375969535967424e-41,1.302361488539898e-34,4.2090426484567738e-33,5.4814981722278751e-21,1.15060314860532e-77,5.478908425613678e-21,2.7628371602532558e-50,1.3892101329532375e-45,2.2548379649350713e-51,4.7121986281938754e-65,4.2100627187450204e-33,2.8538917452166904e-60,3.330798764621059e-10,9.7154525238832844e-11,2.201684268927258e-15,9.8828905093799683e-23,2.2019913345990562e-15,3.9464378710176123e-20,7.2025591041955882e-20,3.0390911001287722e-21,3.5441720232872973e-35,3.384166891188571e-35,1.4635607073532515e-44,1.1673993722759021e-52,3.107850759344064e-51
1.588024221186802e-15,0.09977366400000001,0.80000000000000004,0.0,0.28934362495464189,0.099999999500376913,0.099999999927134126,1.1747288036463961e-55,1.2788708798334703e-41,1.8621551953855224e-26,3.8830981606542978e-40,3.7802294192151616e-34,8.7153227839388703e-33,8.2237249026022837e-21,6.7217975155839533e-77,8.2183632301527777e-21,8.0277536095560834e-50,4.0828816628635331e-45,6.1592302345631859e-51,3.9558276707701358e-64,8.7174653807375074e-33,1.0482080514792549e-59,4.9961980680247726e-10,1.4573178806413426e-10,3.3024621775166245e-15,1.4988495674781491e-22,3.3031171658339976e-15,6.5278799877364546e-20,1.6276887013812449e-19,9.0671567724148834e-21,2.1747502875454721e-34,1.0197768367180339e-34,3.9925551617218182e-44,1.44989565584943e-51,2.6160549169119565e-50
2.1173656305861958e-15,0.09977366400000001,0.80000000000000004,0.0,0.28934362473952246,0.099999999333835882,0.099999999902845499,5.8900145882144453e-55,2.700711477593366e-41,3.3744442254873674e-26,1.4986085911403426e-39,8.2667057874807946e-34,1.4824155585729621e-32,1.0966937106192584e-20,2.2380507807569221e-76,1.0957818417292182e-20,1.7571280001715804e-49,8.9899420063363553e-45,1.2888224816365465e-50,1.7057802586242086e-63,1.4827829826001047e-32,2.7199244741280422e-59,6.6615973114445219e-10,1.9430905081218303e-10,4.4031972471129323e-15,2.0094095969090081e-22,4.4043350034475409e-15,9.1874876415805852e-20,2.9136321265532314e-19,2.0027196556951441e-20,7.3237416187203457e-34,2.2721886712540614e-34,8.3447128718800923e-44,6.2352710590787722e-51,1.1295344314055019e-49
3.176048449384983e-15,0.09977366400000001,0.80000000000000004,0.0,0.28934362430928373,0.099999999000753848,0.099999999854268232,1.7859950365649974e-53,8.6271096223012636e-41,7.9455157455344512e-26,2.0427284271138383e-38,2.7496967328772638e-33,3.2307568806737113e-32,1.6456597228153775e-20,1.8419329663596172e-75,1.6436730048110013e-20,5.8603196188947966e-49,3.0149842443526185e-44,4.0706593912154319e-50,3.8763130868346285e-62,3.2315649708116339e-32,1.3475377144799378e-58,9.9923956013176621e-10,2.9146357605461004e-10,6.6045267284060819e-15,3.0305343709359214e-22,6.6070846484973289e-15,1.4539375021798694e-19,6.6543730613070818e-19,6.7775991305194005e-20,6.1349858253689758e-33,7.8939447582004868e-34,2.6268494940229705e-43,1.0786402491585383e-49,2.5730433356586751e-48
4.234731268183771e-15,0.09977366400000001,0.80000000000000004,0.0,0.28934362387904505,0.099999998667671841,0.099999999805690964,1.108934739601706e-52,1.9727157664427745e-40,1.4558314956722585e-25,9.8450632376012176e-38,6.3964672920241842e-33,5.6735874780426558e-32,2.1950522441180994e-20,7.125343078942481e-75,2.1915643335523718e-20,1.366399027690378e-48,7.0404944364488335e-44,9.26074185033408e-50,2.2697598811813883e-61,5.6750133160208279e-32,4.0245937818840205e-58,1.332319363154918e-09,3.8861810096264768e-10,8.8056708045493616e-15,4.0516584679811491e-22,8.8102575034046023e-15,1.9904343897999966e-19,1.1848243592964176e-18,1.5862736637816529e-19,2.3850038909116496e-32,1.8887362813906767e-33,5.958911920523147e-43,5.5125143451155964e-49,1.5072418881730803e-47
6.352096905781346e-15,0.09977366400000001,0.80000000000000004,0.0,0.28934362301856764,0.099999998001507912,0.099999999708536444,2.6705485261928579e-51,6.6203258654872104e-40,3.3942544656910614e-25,1.2995942752965294e-36,2.1776731171646331e-32,1.2655106999500979e-31,3.2951225226936046e-20,5.8886417430097135e-74,3.2873474904839602e-20,4.6776424872038261e-48,2.4067580046270913e-43,3.0934873875514817e-49,4.9429467571203898e-60,1.2658302007791312e-31,2.1149748812231032e-57,1.9984788909499029e-09,5.8292714977093393e-10,1.3207400261184434e-14,6.093908213455244e-22,1.3217942401986479e-14,3.0617230967662261e-19,2.5987185825999287e-18,5.3354318857635679e-19,1.9435978273628832e-31,6.6949749917831623e-33,1.9767944883137201e-42,7.9674618743017186e-48,3.2833196659849477e-46
1.0586828180976495e-14,0.09977366400000001,0.80000000000000004,0.0,0.28934362129761321,0.099999996669180372,0.099999999514227389,1.2790983115467106e-49,3.1251129054854643e-39,9.734003940552574e-25,3.3616320715205296e-35,1.0354229403361606e-31,3.5021758533165327e-31,5.5004041315552755e-20,8.6963087583412553e-73,5.4789158038986261e-20,2.2507838943916134e-47,1.1481678214254319e-42,1.456214493790882e-48,2.4620273692136525e-58,3.5030627008292161e-31,1.8010246195407592e-56,3.3307976334549234e-09,9.7154524335532303e-10,2.2008624353831048e-14,1.0178414889759776e-21,2.2038982688473568e-14,5.2030356431250897e-19,6.6122945548148199e-18,2.3704121983054729e-18,2.6589553042147002e-30,3.313016046631381e-32,9.1653010813755464e-42,1.9672866448953795e-46,1.6348307345218584e-44
