Time (s),Volume (m^3),Ar,Ne,N2,X(1),CH4(2),O2(3),CO2(4),H2O(5),H2(6),CO(7),C2H6(8),CH2O(9),CH3(10),C3H8(11),H(12),C2H5(13),CH3OH(14),HCO(15),CH3CHO(16),OH(17),C2H4(18),CH4X(48),OX(20),HX(19),HOX(22),CH3OO(77),CH3X(21),CH2X(27),CHX(28),CX(26),OCX(25),H2X(49),C2H4(47),COX(50),H2OX(23),C2H4X(210),acetyl(43),C2H4X(65)
0.0,0.16628943999999996,0.8585084662769803,0.0,0.0,0.45230727679999988,0.11866996602996532,0.022821567693054285,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
6.38966863991083e-24,0.16628943999999996,0.8585084662769803,0.0,0.0,0.45230727679999988,0.11866996602996532,0.022821567693054285,0.0,1.3829417640520379e-65,3.0502785885762968e-36,3.9097089811897556e-90,1.9175333106119579e-54,1.3655668900103631e-133,5.6393909054314979e-20,-7.2674992190183916e-106,5.6393909054314931e-20,2.8051404298511601e-72,1.201091957014189e-71,8.8895242579542262e-114,1.0307380014191941e-114,5.5523672221811432e-54,1.3344975164885275e-85,3.0798253046946019e-18,9.1188153404472534e-20,3.6505675569457826e-22,9.2522641987110563e-38,3.4259564523756857e-37,3.6505675569442423e-22,4.9646310649507878e-35,1.4731695954610545e-44,2.1727951737121213e-50,2.8169075837732875e-81,2.2332014974336326e-52,2.2451300211869403e-98,1.5655284176048418e-107,3.4528103735781195e-54,4.4062724899151932e-115,-1.4448689767327297e-125,2.6190731222125292e-102
1.7891072191750326e-23,0.16628943999999996,0.8585084662769803,0.0,0.0,0.45230727679999988,0.11866996602996532,0.022821567693054285,0.0,3.093591964863017e-64,1.8423682675000961e-35,4.3216930025510753e-88,2.897776328346147e-53,4.928895848063669e-131,1.5790294535208213e-19,1.4030006947410622e-104,1.5790294535208177e-19,7.9109448066034326e-71,3.7764252671105267e-70,1.7776153025606252e-111,2.0611402714981683e-112,6.5917703638221506e-53,6.9077434566124238e-84,8.6235108531448816e-18,2.5532682953252307e-19,1.0221589159449988e-21,5.588367573844715e-37,2.069277697232778e-36,1.022158915944068e-21,2.9986371623703395e-34,1.7489469424415388e-43,2.5803729464781223e-49,1.7142050104370905e-79,2.6512568177532183e-51,2.114310418618427e-96,3.1305469122648074e-105,4.0991764740352004e-53,7.5132114782500137e-113,2.6687154860174317e-123,2.4664645418552284e-100
4.089387929542932e-23,0.16628943999999996,0.8585084662769803,0.0,0.0,0.45230727679999988,0.11866996602996531,0.022821567693054285,0.0,6.1124222009922357e-63,8.8702101355800558e-35,3.9125995150160575e-86,3.1172955402016705e-52,1.785842499006876e-128,3.6092101794761712e-19,1.4814206107612948e-102,3.6092101794761534e-19,1.7208032914841325e-69,8.4249970219920087e-69,3.2203708853676098e-109,3.7340115779993459e-110,6.471839226885286e-52,3.0161911333615938e-82,1.9710881950045431e-17,5.8360418178862422e-19,2.3363632364465585e-21,2.6905584257200262e-36,9.9626813634764542e-36,2.336363236442077e-21,1.4437147123977847e-33,1.7171264764709467e-42,2.5351846548408425e-48,7.7440355681915854e-78,2.6030196654086672e-50,1.8479182196223356e-94,5.6713745189906562e-103,4.0245957668647437e-52,1.313128124486673e-110,1.113148527006252e-120,2.1557027408322089e-98
8.68994935027873e-23,0.16628943999999996,0.8585084662769803,0.0,0.0,0.45230727679999988,0.11866996602996528,0.022821567693054285,0.0,1.0876733442453919e-61,3.8738538074920853e-34,2.9651505906430825e-84,2.8653316641108941e-51,5.4223146243668531e-126,7.6695716313868954e-19,1.1709395286188513e-100,7.6695716313868193e-19,3.1900792911695822e-68,1.5779086984256134e-67,4.8863553416761259e-107,5.6657161766472234e-108,5.7242684960728495e-51,1.1228523339716687e-80,4.1885624143846462e-17,1.2401588863008265e-18,4.964771877452553e-21,1.1750375498623164e-35,4.3509646944840124e-35,4.9647718774329807e-21,6.3050814391584867e-33,1.5187789177397648e-41,2.2454715730336784e-47,2.9280173313433095e-76,2.302341415794228e-49,1.378604327662025e-92,8.6053290635857063e-101,3.5597093731304814e-51,1.9611897507385491e-108,3.5878186392229725e-118,1.6082211297957527e-96
1.7891072191750326e-22,0.16628943999999996,0.8585084662769803,0.0,0.0,0.45230727679999982,0.11866996602996524,0.022821567693054285,0.0,1.8345204527750475e-60,1.6172577076633218e-33,2.0655729434093586e-82,2.4513515642386238e-50,1.5122397461468485e-123,1.5790294535208448e-18,8.2992046979434775e-99,1.5790294535208128e-18,5.4829312327140502e-67,2.7254448695890585e-66,6.8118281782907416e-105,7.8982968702838526e-106,4.8115925690953054e-50,3.8683965391858462e-79,8.6235108531448258e-17,2.5532682953252307e-18,1.0221589159476037e-20,4.9055504477907061e-35,1.8164421110197901e-34,1.0221589159394325e-20,2.6322473786407951e-32,1.276625185478893e-40,1.8927187601041329e-46,1.0186539893485977e-74,1.9352566864521171e-48,9.5095351336858983e-91,1.1996266930949743e-98,2.9921502073349679e-50,2.7071314542668344e-106,1.0295322882468106e-115,1.109341891804441e-94
3.6293317874693516e-22,0.16628943999999996,0.8585084662769803,0.0,0.0,0.45230727679999971,0.11866996602996514,0.022821567693054285,0.0,3.0132056459846863e-59,6.6070254340012306e-33,1.3841751511203123e-80,2.0268248778028234e-49,4.0552605708069233e-121,3.2031740342851976e-18,5.5849843005590606e-97,3.2031740342850663e-18,9.0875564190602269e-66,4.5283673841855333e-65,9.1320708393902065e-103,1.0588612137888726e-103,3.9448342678801917e-49,1.2837797712220907e-77,1.7493407730665088e-16,5.1794871133740372e-18,2.0735223723568995e-20,2.0040774087878159e-34,7.420758713851535e-34,2.0735223723235177e-20,1.0753589370358919e-31,1.0466544440923915e-39,1.560398681787867e-45,3.4111200777927019e-73,1.5866403548376839e-47,6.3153296430508814e-89,1.6082431404926305e-96,2.4531455027230524e-49,3.5966615593821691e-104,2.7995917263269155e-113,7.3671947452625272e-93
7.30978092405799e-22,0.16628943999999996,0.8585084662769803,0.0,0.0,0.45230727679999955,0.11866996602996496,0.022821567693054282,0.0,4.8845363917943726e-58,2.6706653176719737e-32,9.1368833966374163e-79,1.6481803299727805e-48,1.070929839449982e-118,6.4514631958140686e-18,3.6645124806789997e-95,6.4514631958135386e-18,1.4796729833158603e-64,7.3823816422135054e-64,1.2057476518187548e-100,1.3980612334030569e-101,3.1946290272749751e-48,4.1830094766385334e-76,3.5233201485705217e-16,1.0431924749471644e-17,4.1762492851938849e-20,8.1008012031692724e-34,2.9995893197570932e-33,4.1762492850589525e-20,4.346772716108415e-31,8.4760788345791974e-39,1.2776348908144808e-44,1.1255742730765325e-71,1.284902495776815e-46,4.1166988612280906e-87,2.123434458876308e-94,1.9866208053330121e-48,4.6896993347247148e-102,7.4446732500459921e-111,4.802365651932234e-91
1.4670679197235267e-21,0.16628943999999996,0.8585084662769803,0.0,0.0,0.45230727679999916,0.1186699660299646,0.022821567693054275,0.0,7.8663952879694013e-57,1.0738627782235917e-31,6.0330057779446473e-77,1.3293171455548246e-47,2.8284979944260099e-116,1.2948041518872482e-17,2.3745495517496172e-93,1.2948041518870346e-17,2.3881981606554903e-63,1.1922565764910345e-62,1.592287496029175e-98,1.8462531668712369e-99,2.5713153038644642e-47,1.3506684122011207e-74,7.0712788995783893e-16,2.0936800021666833e-17,8.3817031109414377e-20,3.257296448676166e-33,1.206121672716337e-32,8.3817031103988755e-20,1.7478181571741901e-30,6.8222852986645873e-38,1.050862239948537e-43,3.7160521427511367e-70,1.0342013125921406e-45,2.6588975877577011e-85,2.804167299964646e-92,1.5990052162098443e-47,6.0584121019722547e-100,1.9731612431716203e-108,3.1017567297226817e-89
2.939247574358982e-21,0.16628943999999996,0.8585084662769803,0.0,0.0,0.45230727679999844,0.11866996602996388,0.022821567693054264,0.0,1.2627306130563078e-55,4.306670037547012e-31,4.0430422403515011e-75,1.0677798226753899e-46,7.58085127244472e-114,2.5941198164991978e-17,1.5291434394314447e-91,2.5941198164983414e-17,3.8377703312367108e-62,1.9165175269456782e-61,2.1339174380635112e-96,2.4742716611452496e-97,2.0633184932901367e-46,4.3416029199160506e-73,1.4167196401593487e-15,4.1946550566057134e-17,1.6792610762730861e-19,1.3063214926825369e-32,4.8370873580145778e-32,1.6792610760554948e-19,7.0095322669545599e-30,5.4744537385968587e-37,8.793773703516425e-43,1.2454451760981204e-68,8.2988142163186995e-45,1.709481195758648e-83,3.758028317511649e-90,1.283100919940368e-46,7.7905336185327557e-98,5.2982419834917482e-106,1.9942079701892612e-87
5.883606883629893e-21,0.16628943999999996,0.8585084662769803,0.0,0.0,0.45230727679999699,0.11866996602996244,0.022821567693054243,0.0,2.0236613056530581e-54,1.7249143621856648e-30,2.8025498660732651e-73,8.5595769250172304e-46,2.1011707026878401e-111,5.1927511457241653e-17,9.816808737623778e-90,5.192751145720735e-17,6.1537856302880875e-61,3.073572127811676e-60,2.9576356691659746e-94,3.4293707851608565e-95,1.6531654702006783e-45,1.3924348103720217e-71,2.8359031405621155e-15,8.3966051654837409e-17,3.3614426067486987e-19,5.2320991516838825e-32,1.9373579540295211e-31,3.361442605877199e-19,2.807468839839655e-29,4.3862239205821324e-36,7.6246249678724546e-42,4.3187508652757287e-67,6.6491501485588578e-44,1.096566035942134e-81,5.2086732109869949e-88,1.028042030560426e-45,9.9948322957222856e-96,1.4701508309217457e-103,1.2792072235814939e-85
