Time (s),Volume (m^3),Ar,Ne,N2,X(1),CH4(2),O2(3),CO2(4),H2O(5),H2(6),CO(7),C2H6(8),CH2O(9),CH3(10),C3H8(11),H(12),C2H5(13),CH3OH(14),HCO(15),CH3CHO(16),OH(17),C2H4(18),CH4X(48),OX(20),CH3X(21),HOX(22),HX(19),H2X(49),CH2X(27),CHX(28),CX(26),OCX(25),COX(50),H2OX(23),C2H6X(52),CH3OO(77)
6.746385521509144e-21,0.11640260799999998,0.8585084662769803,0.0,0.0,0.33756756319999714,0.1186699660299626,0.022821567693054223,0.0,1.3773479996036129e-54,4.7114360926233426e-36,1.1115890348971374e-75,1.8467050340601373e-48,1.181403689602257e-119,6.8601061780191009e-22,1.2596445487328955e-101,6.8601061749604429e-22,2.9926945068884339e-68,3.2901763057702669e-61,1.1289690476137158e-100,6.8217532591515513e-102,1.9524632943489946e-48,9.3439954683249416e-81,2.7206202198434821e-15,1.3080983786952289e-16,5.0421179244668587e-20,3.75696440309805e-32,5.0421179245868598e-20,1.7423220557714012e-49,4.6586412454867294e-31,5.3295860868578128e-38,1.779679556372751e-44,2.5391992675355142e-69,9.9933820319040206e-91,7.3331803552808304e-46,1.650491913426773e-62,2.3073532808421573e-36
1.349863236840622e-20,0.11640260799999998,0.8585084662769803,0.0,0.0,0.33756756319999431,0.11866996602995988,0.022821567693054157,0.0,2.205547713898193e-53,1.8858022729726779e-35,1.4000812963043691e-73,1.4788617708933282e-47,5.9515118574137057e-117,1.3726172489160681e-21,8.0741851920248833e-100,1.3726172476918081e-21,4.793512220397843e-67,5.2703991189900565e-60,2.8437692588125539e-98,1.7183369420476257e-99,1.5631551545203931e-47,2.9934345683077863e-79,5.4436041410057081e-15,2.6173332459905056e-16,1.0088616489902456e-19,1.5037621104100815e-31,1.0088616490382776e-19,1.3949170511812762e-48,1.8646703617497176e-30,4.2669076532962744e-37,2.8017707189684164e-43,1.5992971362606664e-67,2.5172410743320556e-88,5.8709931618305415e-45,2.6436554544560127e-61,9.2354262629383101e-36
2.700312606220037e-20,0.11640260799999998,0.8585084662769803,0.0,0.0,0.3375675631999886,0.11866996602995444,0.022821567693054025,0.0,3.530301049219939e-52,7.5456654650402654e-35,1.7775114526144474e-71,1.1836888069135208e-46,3.0222182711725947e-114,2.7458305129816605e-21,5.1714693467020902e-98,2.7458305080830242e-21,7.6737827324841142e-66,8.437513064140485e-59,7.2205413016882052e-96,4.3629850845425789e-97,1.2509949372166169e-46,9.5843635285984979e-78,1.0889571983325026e-14,5.2358029805809519e-16,2.0181613620331803e-19,6.0169852233842655e-31,2.0181613622253708e-19,1.1163575849762392e-47,7.4611085849307512e-30,3.4148199895579563e-36,4.4462142724375052e-42,1.0152799715771659e-65,6.3914619822645093e-86,4.6985628221520941e-44,4.2321447498554291e-60,3.6953734778589456e-35
5.401211344978867e-20,0.11640260799999998,0.8585084662769803,0.0,0.0,0.33756756319997716,0.11866996602994355,0.022821567693053765,0.0,5.6495937600584127e-51,3.0187575317937768e-34,2.2658604797958436e-69,9.4719086009323038e-46,1.540976829376169e-111,5.492257048461949e-21,3.3110180238839623e-96,5.4922570288642147e-21,1.2281383863991369e-64,1.3503850207108746e-57,1.8408293555785714e-93,1.1123142553663583e-94,1.0009792005560279e-45,3.0678562570019497e-76,2.1781507667943119e-14,1.0472742449761421e-15,4.0367607879423106e-19,2.40716832193199e-30,4.0367607887111972e-19,8.9325568215012096e-47,2.9849279058119136e-29,2.7323701278390202e-35,7.0846217784108498e-41,6.4712851582395776e-64,1.629461047213144e-83,3.7595384938955165e-43,6.7732689407956351e-59,1.4783900215777441e-34
1.0803008822496528e-19,0.11640260799999998,0.8585084662769803,0.0,0.0,0.33756756319995435,0.11866996602992176,0.022821567693053241,0.0,9.0401502911904799e-50,1.2076012898017955e-33,2.8942971270890099e-67,7.5784862548794543e-45,7.8733721819750063e-109,1.0985110148818944e-20,2.1194604763982787e-94,1.0985110070421625e-20,1.965287975251482e-63,2.160899530244987e-56,4.7027291253241641e-91,2.8416064906013069e-92,8.0084848463731177e-45,9.8185161154200641e-75,4.3565379037097146e-14,2.0946621388120666e-15,8.0739596390536129e-19,9.6293163745850086e-30,8.0739596421294135e-19,7.1467239914034673e-46,1.1940672436560041e-28,2.1860961446512517e-34,1.1311902982022145e-39,4.1331152357981694e-62,4.1627507924602112e-81,3.007875347304702e-42,1.0838700385557095e-57,5.914041394440532e-34
2.1606603777531847e-19,0.11640260799999998,0.8585084662769803,0.0,0.0,0.33756756319990866,0.1186699660298782,0.022821567693052193,0.0,1.4464594330243328e-48,4.8306017278162869e-33,3.7008190751070702e-65,6.0631727749992171e-44,4.0269188915069468e-106,2.1970816467118601e-20,1.3565855853475613e-92,2.197081615351656e-20,3.1446740201927562e-62,3.457592794309703e-55,1.202632528938611e-88,7.2668620891117699e-90,6.4069174482667955e-44,3.1421453476271162e-73,8.713312177507653e-14,4.1894379264832384e-15,1.6148357338448385e-18,3.8517708295229481e-29,1.6148357350752115e-18,5.7176506293696897e-45,4.7764545845721394e-28,1.7489479223627069e-33,1.808015844632358e-38,2.6424438436350714e-60,1.064543436896849e-78,2.4063488706314878e-41,1.7343096758720431e-56,2.3657128332192725e-33
4.3213793687602486e-19,0.11640260799999998,0.8585084662769803,0.0,0.0,0.33756756319981734,0.11866996602979106,0.022821567693050097,0.0,2.3142717636369331e-47,1.9322800115017829e-32,4.7344679579702689e-63,4.850691729950383e-43,2.0606532073371947e-103,4.3942229574060578e-20,8.6825666455855842e-91,4.3942228319626891e-20,5.0316490429943928e-61,5.5320368663696717e-54,3.07705606028107e-86,1.8592996187070664e-87,5.1253763027102819e-43,1.0055217424620695e-71,1.742686072497207e-13,8.3789895018228716e-15,3.2297152725926606e-18,1.5406497201292042e-28,3.2297152775142694e-18,4.5742290938048212e-44,1.910613708834332e-27,1.3991723181152916e-32,2.8912855079610103e-37,1.6902495198126589e-58,2.7237411605381593e-76,1.9250197674082276e-40,2.7749895741226562e-55,9.4630439703085623e-33
8.642817350774377e-19,0.11640260799999998,0.8585084662769803,0.0,0.0,0.33756756319963471,0.11866996602961678,0.022821567693045906,0.0,3.7024909638682807e-46,7.7291987350857351e-32,6.0582212468012849e-61,3.8806147838021072e-42,1.0547226052167581e-100,8.7885057669315205e-20,5.5569767794036182e-89,8.7885052651529395e-20,8.0507749494623886e-60,8.850419608301834e-53,7.874789545043233e-84,4.7583121348539378e-85,4.0999028621258665e-42,3.2177259428538508e-70,3.4853957819375061e-13,1.6758092652491302e-14,6.4594743455637772e-18,6.1619420152431478e-28,6.4594743652505383e-18,3.659426732404717e-43,7.6424766051331966e-27,1.1193203703237533e-31,4.6247326491445489e-36,1.0814229109898554e-56,6.9705869841386077e-74,1.5398660778996317e-39,4.4400585878168578e-54,3.7852561824468189e-32
1.7285693314802633e-18,0.11640260799999998,0.8585084662769803,0.0,0.0,0.33756756319926939,0.11866996602926823,0.022821567693037528,0.0,5.9227725718371974e-45,3.0916952700216709e-31,7.752678552322068e-59,3.1045163790448364e-41,5.3988927378536413e-98,1.757707213853071e-19,3.5565081553795986e-87,1.7577070131406181e-19,1.2881349071665405e-58,1.4157600460903405e-51,2.0154659727437082e-81,1.2178377760011358e-82,3.2792270263600128e-41,1.0296813179205768e-68,6.9708152006077669e-13,3.351629895378482e-14,1.291899247340789e-17,2.4642138837515989e-27,1.2918992552156369e-17,2.9275588020351143e-42,3.0569614121594019e-26,8.9541238312484973e-31,7.3982177285277919e-35,6.9194643431046592e-55,1.7840450011802718e-71,1.2316314349476366e-38,7.1041539362550014e-53,1.5141102450731684e-31
3.4571445242859147e-18,0.11640260799999998,0.8585084662769803,0.0,0.0,0.33756756319853876,0.11866996602857113,0.02282156769302077,0.0,9.4724666881672867e-44,1.2366812936930306e-30,9.9206354430146756e-57,2.4836229110810584e-40,2.7634557502049577e-95,3.5154207891922126e-19,2.2761791071614135e-85,3.5154199863403623e-19,2.061024573152685e-57,2.2642031652303923e-50,5.1581415250518219e-79,3.1167877184245518e-80,2.6222465621615836e-40,3.2949946267402654e-67,1.3941654037106937e-12,6.7032711556198476e-14,2.5838028656703644e-17,9.8522799276059496e-27,2.583802897170654e-17,2.3420540609749824e-41,1.2227518530395167e-25,7.16253278993058e-30,1.1835120373975788e-33,4.4272092010359933e-53,4.5658692176234948e-69,9.8487836210230766e-38,1.1366694390294441e-51,6.0564569500797286e-31
