Time (s),Volume (m^3),Ar,Ne,N2,X(1),CH4(2),O2(3),CO2(4),H2O(5),H2(6),CO(7),C2H6(8),CH2O(9),CH3(10),C3H8(11),H(12),C2H5(13),CH3OH(14),HCO(15),CH3CHO(16),OH(17),C2H4(18),CH4X(55),OX(20),CH3X(21),HOX(22),HX(19),CH3OO(84),CH2X(27),CHX(28),CX(26),OCX(25),H2X(56)
1.032965216923242e-19,0.11640260799999998,0.8585084662769803,0.0,0.0,0.33756756319995634,0.11866996602992368,0.022821567693053286,1.949647837925184e-109,1.7465032088010976e-51,1.7824984030711064e-35,2.30315244801036e-58,6.6252962304493519e-45,9.8584523931056243e-39,2.1847109308637719e-22,1.808306380084803e-89,2.1847102141758641e-22,8.6775040412153153e-57,1.8063378435592991e-56,6.4827327015161283e-59,3.7345290909909376e-84,9.8584593943228114e-39,5.9657144889282475e-70,4.1656469921320106e-14,2.0028800921583478e-15,7.720182041045899e-19,8.8039576620481956e-30,7.7201820438579907e-19,1.1246434874048914e-35,1.0917187103592124e-28,1.9111390658770701e-34,9.456772824248011e-40,3.1591304908161323e-62,1.00868033637486e-47
2.0659864788368223e-19,0.11640260799999998,0.8585084662769803,0.0,0.0,0.33756756319991266,0.11866996602988202,0.022821567693052283,1.2479129102473945e-107,1.3973342937245287e-50,7.1302846141364266e-35,1.8426099387951898e-57,5.3005724864479527e-44,3.9435425300721118e-38,4.3695418297853831e-22,5.7871260950515102e-88,4.3695389629170997e-22,6.9424469868788956e-56,2.8902724797010821e-55,5.1864337301423072e-58,5.9755520856953781e-83,3.9435481311658202e-38,9.5457963018033051e-69,8.3315199972993276e-14,4.0058688534109903e-15,1.5440782948051616e-18,3.5216280540243768e-29,1.5440782959300457e-18,4.4987582693462308e-35,4.3670448923432511e-28,1.5289737888561666e-33,1.5114299446297174e-38,2.0196406590101791e-60,8.0698266948046436e-47
4.132029002663983e-19,0.11640260799999998,0.8585084662769803,0.0,0.0,0.33756756319982534,0.11866996602979869,0.022821567693050281,7.9870983673871995e-106,1.1179985971317859e-49,2.8521725681086435e-34,1.4741240386744473e-56,4.2405921914385628e-43,1.5774499925347441e-37,8.7392079281646427e-22,1.8519700434491837e-86,8.7391964604581989e-22,5.554140287989925e-55,4.6243541235376443e-54,4.1492476477992131e-57,9.5611333766608903e-82,1.5774544732825836e-37,1.5273810413151483e-67,1.6663266007513767e-13,8.0118463759137992e-15,3.088198475172112e-18,1.4086012371462473e-28,3.0881984796717534e-18,1.7995409307091413e-34,1.7468473801025634e-27,1.223191989585268e-32,2.4169418078054281e-37,1.291839839944825e-58,6.456016061926624e-46
8.264114050318304e-19,0.11640260799999998,0.8585084662769803,0.0,0.0,0.3375675631996507,0.11866996602963205,0.022821567693046274,5.1119182891690326e-104,8.945768723566297e-49,1.1408811886733703e-33,1.1793186154801955e-55,3.3925274306405994e-42,6.3098712546708544e-37,1.7478557327067282e-21,5.9264628823797563e-85,1.7478511455774913e-21,4.4433936173629268e-54,7.3983015692613794e-53,3.3194409978133917e-56,1.5298074308217284e-80,6.3099070973437007e-37,2.4438569944549485e-66,3.3326758027461872e-13,1.6023801420909504e-14,6.1764388317692382e-18,5.633833203696795e-28,6.1764388497681004e-18,7.1982450364179696e-34,6.9874116666035474e-27,9.7853948514278742e-32,3.8659562404200524e-36,8.265115898689299e-57,5.1648764935232669e-45
1.6528284145626946e-18,0.11640260799999998,0.8585084662769803,0.0,0.0,0.33756756319930137,0.11866996602929877,0.022821567693038263,3.2718508730941981e-102,7.1593346777310216e-48,4.5635524122673776e-33,9.4351558578056481e-55,2.7140434088858396e-41,2.523967017190837e-36,3.4957324933448841e-21,1.8965032693347999e-83,3.4957141447346409e-21,3.5547607393236261e-53,1.1834832598601358e-51,2.6555741319037298e-55,2.4478421713791057e-79,2.5239956855245708e-36,3.9102232019434148e-65,6.6653742065434994e-13,3.2047711510861288e-14,1.2352919528416405e-17,2.2530416489975544e-27,1.2352919600413113e-17,2.8793191309392843e-33,2.7949397359990071e-26,7.8279508364027491e-31,6.1843735260921247e-35,5.2884106762351831e-55,4.1319294696818945e-44
3.305662433624423e-18,0.11640260799999998,0.8585084662769803,0.0,0.0,0.33756756319860276,0.11866996602863222,0.022821567693022238,2.0955936109331503e-100,5.7317655615882349e-47,1.8254291639997282e-32,7.5549754912028032e-54,2.1712433020325916e-40,1.009593916633719e-35,6.9915135380515636e-21,6.0689290832667107e-82,6.9914401434241653e-21,2.8438481944433423e-52,1.8927639381510461e-50,2.124474529754337e-54,3.9198952357148427e-78,1.0096168418149935e-35,6.2564440051345267e-64,1.333077101336889e-12,6.4095531690606338e-14,2.4705880855522383e-17,9.0081672629395595e-27,2.4705881143517091e-17,1.1517357585291168e-32,1.1179474213964797e-25,6.2617209324557452e-30,9.8933176273462343e-34,3.3836505508606966e-53,3.3055593928966389e-43
6.61133047174788e-18,0.11640260799999998,0.8585084662769803,0.0,0.0,0.33756756319720554,0.11866996602729912,0.02282156769299019,1.357212426413813e-98,4.5922597735665435e-46,7.3017543928011577e-32,6.1309980355505511e-53,1.7369980542290869e-39,4.0384171395524593e-35,1.3983185721185223e-20,1.9421162137017039e-80,1.3982892142304115e-20,2.2751284206412423e-51,3.0258151816400135e-49,1.6995964186986859e-53,6.3568269835473902e-77,4.0386003885990706e-35,1.0010524789366237e-62,2.6661564623942736e-12,1.2819117204946231e-13,4.9411803244980918e-17,3.6000576992166736e-26,4.9411804397018384e-17,4.6069903094088059e-32,4.4715448617286953e-25,5.0083311298611263e-29,1.5825549385503266e-32,2.1645625796907989e-51,2.6444610520282405e-42
1.3222666547994794e-17,0.11640260799999998,0.8585084662769803,0.0,0.0,0.33756756319441111,0.11866996602463291,0.022821567692926096,1.0322308606371543e-96,3.6847272757528214e-45,2.9207263722716555e-31,6.0169749265370112e-52,1.3895997806288158e-38,1.6153969532223158e-34,2.7966970462324276e-20,6.2151216792186076e-79,2.796579614606763e-20,1.8201771215803121e-50,4.8329655174445745e-48,1.3597009812350915e-52,1.2343493156496156e-75,1.6155433088765838e-34,1.6017474776314456e-61,5.3323151832782673e-12,2.5638245276463806e-13,9.8823646964884308e-17,1.4374593742988069e-25,9.8823651573494507e-17,1.8428304292047e-31,1.788418705134312e-24,4.0049838344935778e-28,2.5310148989273523e-31,1.384144760859884e-49,2.1155857920333959e-41
2.6445338700488623e-17,0.11640260799999998,0.8585084662769803,0.0,0.0,0.3375675631888222,0.11866996601930049,0.022821567692797903,2.3328155243536417e-94,2.9651602486102377e-44,1.1683091212200756e-30,1.9024028838442709e-50,1.1116803149263862e-37,6.4618224300634826e-34,5.5936301444013716e-20,1.989058462205892e-77,5.5931604177609079e-20,1.4562585563529651e-49,7.7061781792825483e-47,1.0877977288051853e-51,7.5268126955553049e-74,6.462989395421165e-34,2.5629951323397712e-60,1.0664632620123156e-11,5.1276501418484644e-13,1.976473301686366e-16,5.7294243498751019e-25,1.9764734860672735e-16,7.3715891307400456e-31,7.1520745829577485e-24,3.2012964607625094e-27,4.0462968988859656e-30,8.8437329675559358e-48,1.6924938638334e-40
5.289068300547628e-17,0.11640260799999998,0.8585084662769803,0.0,0.0,0.33756756317764441,0.11866996600863566,0.022821567692541522,1.8560005862804965e-91,2.399649408729716e-43,4.6733827446000832e-30,1.9648977368362481e-48,8.8934437695026682e-37,2.5849154333461126e-33,1.1188200940443374e-19,6.3663852076567622e-76,1.1186322033674978e-19,1.1651929651746596e-48,1.2245688080288748e-45,8.7029680905807366e-51,1.5368430823468213e-71,2.5858428566771065e-33,4.1014263232677827e-59,2.1329267474120533e-11,1.0255301369847003e-12,3.9529467963192485e-16,2.2755994988887094e-24,3.952947534133183e-16,2.9488481774816858e-30,2.8595490820808912e-23,2.556739302588379e-26,6.4635321352916836e-29,5.6411910335185098e-46,1.3540346825022122e-39
