Time (s),Volume (m^3),Ar,Ne,N2,X(1),CH4(2),O2(3),CO2(4),H2O(5),H2(6),CO(7),C2H6(8),CH2O(9),CH3(10),C3H8(11),H(12),C2H5(13),CH3OH(14),HCO(15),CH3CHO(16),OH(17),C2H4(18),CH4X(48),OX(20),HX(19),CH3X(21),CH2X(27),CHX(28),CX(26),CH3OO(77),H2X(49),HOX(22),C2H4(47),H2OX(23),OCX(25),COX(50),CHOX(53),HOCOX(217),C2H4X(209)
0.0,0.16628943999999996,0.8585084662769803,0.0,0.0,0.45230727679999988,0.11866996602996532,0.022821567693054285,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
6.38966863991083e-24,0.16628943999999996,0.8585084662769803,0.0,0.0,0.45230727679999988,0.11866996602996532,0.022821567693054285,0.0,1.5692823152821936e-65,3.0502785887479905e-36,7.7859335647148533e-89,1.8860366984959316e-54,2.7194384888863459e-132,5.6393909054314943e-20,-7.1481235733238271e-106,5.6393909054314931e-20,2.7590643488980692e-72,3.6417895053993244e-70,1.770291487865635e-112,2.0526483276089414e-113,4.8061363791844751e-50,1.3125776101098337e-85,3.0798253046946019e-18,9.1188153404472534e-20,3.6505675569551762e-22,3.6505675569353282e-22,9.8901633166978253e-34,5.8463621612589697e-42,1.7171886901474401e-46,3.4259564523756828e-37,2.2332014975593346e-52,9.2522642024385023e-38,2.2082524404763313e-98,3.4528103749691692e-54,2.2262392282430814e-77,3.1176489891672771e-106,-5.8484258417608612e-109,-3.0671153950733318e-122,4.3338968734269023e-115
1.7891072191750326e-23,0.16628943999999996,0.8585084662769803,0.0,0.0,0.45230727679999988,0.11866996602996532,0.022821567693054285,0.0,3.510660424551029e-64,1.8423682677039316e-35,8.6038088711835746e-87,2.850178648118317e-53,9.8126766170445312e-130,1.5790294535208184e-19,1.379955610273535e-104,1.5790294535208177e-19,7.7810028861477949e-71,1.1450368833653987e-68,3.5389568616710591e-110,4.1034111802337768e-111,5.7058451093651122e-49,6.7942797082675959e-84,8.6235108531448816e-18,2.5532682953252307e-19,1.0221589159506727e-21,1.0221589159386844e-21,5.9736586091728592e-33,6.9408011182537602e-41,2.0386793618455528e-45,2.069277697232775e-36,2.6512568180344096e-51,5.5883675782699707e-37,2.0795816266823905e-96,4.099176477146942e-53,1.3543514907199198e-75,6.2324342392749902e-104,5.9188539321440988e-107,9.8743408746843128e-120,7.389802561613789e-113
4.089387929542932e-23,0.16628943999999996,0.8585084662769803,0.0,0.0,0.45230727679999988,0.11866996602996531,0.022821567693054285,0.0,6.9366844146088572e-63,8.8702101375813226e-35,7.7843448996648201e-85,3.0660921278188419e-52,3.5530567951985272e-127,3.6092101794761567e-19,1.4570874063459225e-102,3.6092101794761534e-19,1.6925380854984327e-69,2.5545142979772236e-67,6.4071385489930404e-108,7.4290603086952879e-109,5.6020325635690532e-48,2.9666484203171748e-82,1.9710881950045431e-17,5.8360418178862422e-19,2.3363632364738751e-21,2.3363632364161578e-21,2.876059441326789e-32,6.8145196124255048e-40,2.0016572788324201e-44,9.9626813634764195e-36,2.6030196659642538e-50,2.690558430064784e-36,1.8175650761921304e-94,4.0245957730130444e-52,6.1144000805873299e-74,1.1283570619605264e-101,1.2395412033289451e-104,5.1567250753985028e-117,1.2915592228537744e-110
8.68994935027873e-23,0.16628943999999996,0.8585084662769803,0.0,0.0,0.45230727679999988,0.11866996602996528,0.022821567693054285,0.0,1.2343631718664095e-61,3.8738538092621825e-34,5.8917130801149573e-83,2.8182669065595276e-51,1.0774201915629519e-124,7.6695716313868347e-19,1.1517061582889389e-100,7.6695716313868193e-19,3.1376803628749297e-68,4.7843225664413382e-66,9.7092033252538068e-106,1.1257795738462029e-106,4.9549343614664381e-47,1.1044088240890011e-80,4.1885624143846462e-17,1.2401588863008265e-18,4.9647718775718523e-21,4.9647718773197857e-21,1.2560506883460543e-31,6.0273652760218536e-39,1.7705673493420452e-43,4.3509646944839814e-35,2.3023414167828648e-49,1.1750375537052113e-35,1.35595994088717e-92,3.5597093840710722e-51,2.3088404901228836e-72,1.7098815725963017e-99,1.992149445880016e-102,1.8194488237147409e-114,1.928976055798318e-108
1.7891072191750326e-22,0.16628943999999996,0.8585084662769803,0.0,0.0,0.45230727679999982,0.11866996602996524,0.022821567693054285,0.0,2.0819479408176169e-60,1.6172577091511942e-33,4.0936772376320427e-81,2.4110866732692638e-50,2.9971315996194044e-122,1.5790294535208196e-18,8.1628853804008377e-99,1.5790294535208128e-18,5.3928708629579896e-67,8.263727456315763e-65,1.3500343868155161e-103,1.5653613234252744e-104,4.1649208879872781e-46,3.8048558512043471e-79,8.6235108531448258e-17,2.5532682953252307e-18,1.0221589159974092e-20,1.0221589158921761e-20,5.2437641146420823e-31,5.0663634395208753e-38,1.4884774033176454e-42,1.8164421110197649e-34,1.9352566881195965e-48,4.905550480092575e-35,9.3533354269966789e-91,2.992150225787887e-50,8.0115466063450693e-71,2.3775369029044202e-97,2.8485947768556746e-100,5.4293741028927674e-112,2.6626652281915256e-106
3.6293317874693516e-22,0.16628943999999996,0.8585084662769803,0.0,0.0,0.45230727679999971,0.11866996602996514,0.022821567693054285,0.0,3.4196170933016143e-59,6.6070254461997103e-33,2.7291662562623788e-79,1.9935330873014703e-49,7.9961846184279495e-120,3.2031740342850933e-18,5.4932476491475089e-97,3.2031740342850663e-18,8.9382879608992832e-66,1.3730306762458305e-63,1.800632084297085e-101,2.0878281694064335e-102,3.4146537778650437e-45,1.2626929335474004e-77,1.7493407730665088e-16,5.1794871133740372e-18,2.0735223725603704e-20,2.0735223721304589e-20,2.1422485321458484e-30,4.1537104329243786e-37,1.2206862198333917e-41,7.4207587138513289e-34,1.5866403575765244e-47,2.0040774352708486e-34,6.2115966399063268e-89,2.4531455330320382e-49,2.6689165190071639e-69,3.1710816188651912e-95,3.851639262764746e-98,1.4984352529729774e-109,3.5375842782366443e-104
7.30978092405799e-22,0.16628943999999996,0.8585084662769803,0.0,0.0,0.45230727679999955,0.11866996602996496,0.022821567693054282,0.0,5.5433558028992068e-58,2.6706653275506156e-32,1.7832266755280159e-77,1.6211079988311271e-48,2.0903555997928525e-117,6.4514631958136488e-18,3.6043207082465585e-95,6.4514631958135386e-18,1.4553684844348692e-64,2.2383865370994514e-62,2.3534162541444407e-99,2.7287799615112571e-100,2.765275160147254e-44,4.114301086142633e-76,3.5233201485705217e-16,1.0431924749471644e-17,4.1762492860163497e-20,4.1762492842785771e-20,8.6593093973970504e-30,3.3637817341638013e-36,9.8909811679951143e-41,2.9995893197569256e-33,1.2849025002165922e-46,8.1008014176357718e-34,4.0490796615847104e-87,1.9866208544651927e-48,8.7165995137285913e-68,4.144586275995859e-93,5.068209663058965e-96,3.9829294561232473e-107,4.6126682653480712e-102
1.4670679197235267e-21,0.16628943999999996,0.8585084662769803,0.0,0.0,0.45230727679999916,0.1186699660299646,0.022821567693054275,0.0,8.9274109566144607e-57,1.0738627861747794e-31,1.1540609697637692e-75,1.3074823297232784e-47,5.4119160654440516e-115,1.294804151887079e-17,2.3355461789891186e-93,1.2948041518870346e-17,2.3489706014676598e-63,3.6150002357037968e-61,3.0463752735148439e-97,3.5322641231769027e-98,2.2257340223150822e-43,1.3284828892594391e-74,7.0712788995783893e-16,2.0936800021666833e-17,8.381703114248529e-20,8.3817031072610241e-20,3.4818688681042659e-29,2.7074631089170542e-35,7.9700526872379936e-40,1.2061216727162017e-32,1.0342013197422619e-45,3.2572966212974738e-33,2.6152236312930522e-85,1.5990052953357116e-47,2.8201643247042998e-66,5.3649519615105191e-91,6.5826595372918064e-94,1.0397082356219813e-104,5.9588991205003783e-100
2.939247574358982e-21,0.16628943999999996,0.8585084662769803,0.0,0.0,0.45230727679999844,0.11866996602996388,0.022821567693054264,0.0,1.4330477575491601e-55,4.3066701013502392e-31,7.4394063242768891e-74,1.0502409111660404e-46,1.3955353535814083e-112,2.5941198164985189e-17,1.5040263592062887e-91,2.5941198164983414e-17,3.7747326966962665e-62,5.811007296357785e-60,3.9276830277135313e-95,4.5541381477094608e-96,1.7860113809576635e-42,4.2702895388220293e-73,1.4167196401593487e-15,4.1946550566057134e-17,1.679261077599379e-19,1.6792610747970761e-19,1.3963840592173635e-28,2.1725669125882935e-34,6.4097977508307473e-39,4.8370873580134929e-32,8.2988143310939123e-45,1.3063216312002636e-32,1.6814019618364424e-83,1.2831010469549075e-46,9.0892282955314412e-65,6.9170173953452447e-89,8.5013729090417141e-92,2.6919853063046546e-102,7.6625695225275787e-98
