Time (s),Volume (m^3),Ar,Ne,N2,X(1),CH4(2),O2(3),CO2(4),H2O(5),H2(6),CO(7),C2H6(8),CH2O(9),CH3(10),C3H8(11),H(12),C2H5(13),CH3OH(14),HCO(15),CH3CHO(16),OH(17),C2H4(18),CH4X(48),OX(20),HX(19),HOX(22),CH3OO(77),CH3X(21),H2X(49),C2H4(47),C2H6X(52),CH2X(27),CHX(28),CX(26),OCX(25),COX(50),H2OX(23),C2H4X(205),C2H4X(65),acetyl(43)
0.0,0.16628943999999996,0.8585084662769803,0.0,0.0,0.45230727679999988,0.11866996602996532,0.022821567693054285,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
6.473197266622491e-24,0.16628943999999996,0.8585084662769803,0.0,0.0,0.45230727679999988,0.11866996602996532,0.022821567693054285,0.0,1.4566857473716777e-65,3.130548179505717e-36,1.5601185470701455e-90,1.9937200706350753e-54,5.5925133151238572e-134,5.7131099221802735e-20,-7.8564753352582683e-106,5.713109922180259e-20,2.9547210003192145e-72,3.4295966022289876e-71,3.5936192641291399e-114,4.1667933389064651e-115,5.7729656371933374e-54,1.4240337195397356e-85,3.1200861683966903e-18,9.2380206021829239e-20,3.6982894204620213e-22,9.49574483912247e-38,3.5161117575542613e-37,3.6982894204601951e-22,2.3219309553803653e-52,2.4270810809298757e-98,3.828826195587563e-71,1.8795869318551436e-35,2.0843139056880036e-45,1.1347489724858439e-51,1.509852822590931e-82,6.3287017393002249e-108,3.5899983060571965e-54,4.8256369368153707e-115,2.8313309224818763e-102,-5.9172854454536326e-126
1.8124952346542977e-23,0.16628943999999996,0.8585084662769803,0.0,0.0,0.45230727679999988,0.11866996602996532,0.022821567693054285,0.0,3.2585546553761296e-64,1.8908511004214534e-35,1.7254591882535977e-88,3.0129098124591177e-53,2.0196655501310252e-131,1.5996707782104811e-19,1.5167033668243444e-104,1.5996707782104721e-19,8.3327860875409384e-71,1.078320048467413e-69,7.18998105804083e-112,8.3367666348367906e-113,6.8536648019992489e-53,7.3712087505853982e-84,8.7362412715107316e-18,2.5866457686112186e-19,1.035521037729446e-21,5.7354298805667241e-37,2.1237315015605561e-36,1.0355210377283425e-21,2.7565964302275608e-51,2.2856595617891932e-96,1.0797902627949838e-69,1.1352705067184807e-34,2.4744974673988093e-44,1.3483643976910596e-50,9.1931544296912455e-81,1.266223333164487e-105,4.2620459873956171e-53,8.2282771883812942e-113,2.6663545136775705e-100,1.0935413918142245e-123
4.1428462506383946e-23,0.16628943999999996,0.8585084662769803,0.0,0.0,0.45230727679999988,0.11866996602996531,0.022821567693054285,0.0,6.4383609877027537e-63,9.1036341060026253e-35,1.5639752055264093e-86,3.2411508921897814e-52,7.3262923856127492e-129,3.656390350195407e-19,1.6014786296002167e-102,3.6563903501953632e-19,1.8125629872438215e-69,2.4056727081301322e-68,1.3040909874544898e-109,1.5120905250287807e-110,6.7289687390348379e-52,3.2185582250739761e-82,1.9968551477738794e-17,5.9123331853970705e-19,2.3669052290962552e-21,2.761362595821939e-36,1.0224852990934525e-35,2.3669052290909409e-21,2.7064427215913256e-50,1.9976782594261922e-94,2.3487796803700213e-68,5.4658387960043715e-34,2.4294762840245735e-43,1.3263536967481902e-49,4.1580182207154837e-79,2.2966269640357217e-103,4.1845020207182514e-52,1.4381043641594918e-110,2.3304076128743213e-98,4.5666448847957847e-121
8.803548282606588e-23,0.16628943999999996,0.8585084662769803,0.0,0.0,0.45230727679999988,0.11866996602996528,0.022821567693054285,0.0,1.1456724350085135e-61,3.9757961879722615e-34,1.1880604282607898e-84,2.9791760712899491e-51,2.2297040243832554e-126,7.7698294941653306e-19,1.2658353868922663e-100,7.76982949416514e-19,3.3601863032014608e-68,4.5055587340592399e-67,1.9834004905472738e-107,2.2997483442063371e-108,5.9516966371976391e-51,1.1981885285201316e-80,4.2433171890194856e-17,1.2563708018968776e-18,5.0296736118311557e-21,1.2059595910605153e-35,4.4654619320595354e-35,5.0296736118079497e-21,2.3938179377588841e-49,1.4903299643471432e-92,4.3542416825025913e-67,2.3870754015646359e-33,2.148844254872843e-42,1.1776304189343828e-48,1.5758975767838916e-77,3.4929549324937285e-101,3.7011446434864891e-51,2.147844896152644e-108,1.7385563853205739e-96,1.4753666296292442e-118
1.8124952346542976e-22,0.16628943999999996,0.8585084662769803,0.0,0.0,0.45230727679999982,0.11866996602996524,0.022821567693054285,0.0,1.9323444168598845e-60,1.6598166447739321e-33,8.3151915294200934e-83,2.5487478514448594e-50,6.2475727362638404e-124,1.5996707782105472e-18,8.9717929348057308e-99,1.5996707782104672e-18,5.7753017239799035e-67,7.782232234414362e-66,2.7779289477895098e-105,3.2210022778779916e-106,5.0027596244894463e-50,4.1279411521012024e-79,8.7362412715106715e-17,2.5866457686112184e-18,1.0355210377306088e-20,5.0346438821303823e-35,1.864242453824331e-34,1.0355210377209206e-20,2.0121482150372348e-48,1.0280212293522926e-90,7.4838289387796443e-66,9.9655698956734072e-33,1.8062330647099024e-41,9.9741532520515759e-48,5.5085449654957663e-76,4.892194323055809e-99,3.1110350736843745e-50,2.9647811871546229e-106,1.1992464181750541e-94,4.2534905742131613e-116
3.6767760474415754e-22,0.16628943999999996,0.8585084662769803,0.0,0.0,0.45230727679999971,0.11866996602996514,0.022821567693054285,0.0,3.1738818161442481e-59,6.7808925787365689e-33,5.6239533257120592e-81,2.1073540115269627e-49,1.6908515006768968e-121,3.2450464357986913e-18,6.0376053504622473e-97,3.2450464357983643e-18,9.5721390669171076e-66,1.2930295166361776e-64,3.7586367620457825e-103,4.3581307512855207e-104,4.1015645684160138e-49,1.3699131653636908e-77,1.7722089436492946e-16,5.2471957020398973e-18,2.1006283908276478e-20,2.0568162884020236e-34,7.6160387110708899e-34,2.1006283907880693e-20,1.6496806755620777e-47,6.8271401831591436e-89,1.2403897628000471e-64,4.0712604634630802e-32,1.4808589795476789e-40,8.3011612623625414e-47,1.8619032599241761e-74,6.6193130835738346e-97,2.5506144980588154e-49,3.9389718260810243e-104,7.9642551817795819e-93,1.1673780123287391e-113
7.40533767301613e-22,0.16628943999999996,0.8585084662769803,0.0,0.0,0.45230727679999955,0.11866996602996496,0.022821567693054282,0.0,5.144999397042242e-58,2.7409451974698757e-32,3.7796432419136694e-79,1.7136652841231866e-48,4.5457610923120058e-119,6.5357977509754468e-18,3.9614937069693302e-95,6.5357977509741233e-18,1.5585747055340669e-64,2.107964428447306e-63,5.0523186799624638e-101,5.8581519839096226e-102,3.3215532860453938e-48,4.4636626011281738e-76,3.5693785766457076e-16,1.0568295568897251e-17,4.2308430970299359e-20,8.3139801825178265e-34,3.0785246168876492e-33,4.2308430968699531e-20,1.3359541819298419e-46,4.4503267138850536e-87,2.0196531786583875e-63,1.6456685671565181e-31,1.1992379713551202e-39,6.922928802013393e-46,6.2559700209852945e-73,8.8976086960635705e-95,2.0655537234844435e-48,5.1360388647320126e-102,5.1915643402551401e-91,3.160458704099161e-111
1.486246092416524e-21,0.16628943999999996,0.8585084662769803,0.0,0.0,0.45230727679999916,0.1186699660299646,0.022821567693054275,0.0,8.2858629262487894e-57,1.1021220087877097e-31,2.5817435570443123e-77,1.3821331334320174e-47,1.2417989241559145e-116,1.3117300381330821e-17,2.5669889666735941e-93,1.3117300381325501e-17,2.5155458584221725e-63,3.4043680938750515e-62,6.9013035431022131e-99,8.0020457147113423e-100,2.673474986085698e-47,1.4412896054229056e-74,7.1637178426383719e-16,2.1210495302611934e-17,8.491272509467351e-20,3.3430147752403049e-33,1.2378612085192382e-32,8.4912725088240663e-20,1.0752921510039721e-45,2.8743814797146725e-85,3.259728372978335e-62,6.6171608809129308e-31,9.6525101182498756e-39,5.8948292577640925e-45,2.1371382466030364e-71,1.2153845056904985e-92,1.6625372936125068e-47,6.635018109557094e-100,3.3531327675676959e-89,8.6649903135945817e-109
2.977670742646346e-21,0.16628943999999996,0.8585084662769803,0.0,0.0,0.45230727679999844,0.11866996602996387,0.022821567693054264,0.0,1.330064455563042e-55,4.4200021913550768e-31,1.8385806499462012e-75,1.1102044963941585e-46,3.5357853647437409e-114,2.6280305642049031e-17,1.653069035593464e-91,2.6280305642027694e-17,4.0424146628021741e-62,5.4724219972638969e-61,9.8265369118129621e-97,1.1393847132444384e-97,2.1452951990270043e-46,4.6328966479234309e-73,1.4352396374623052e-15,4.2494894770041211e-17,1.7012131334473546e-19,1.3406983727240671e-32,4.9643770924125274e-32,1.7012131331893684e-19,8.6285423164604381e-45,1.8480219439919927e-83,5.2382959855916499e-61,2.65377743410637e-30,7.7455308522717005e-38,5.248048679596726e-44,7.614398821375625e-70,1.7305456325335211e-90,1.3340814075202543e-46,8.5319933296041101e-98,2.1558248025745723e-87,2.4722449995160608e-106
