Time (s),Volume (m^3),Ar,Ne,N2,X(1),CH4(2),O2(3),CO2(4),H2O(5),H2(6),CO(7),C2H6(8),CH2O(9),CH3(10),C3H8(11),H(12),C2H5(13),CH3OH(14),HCO(15),CH3CHO(16),OH(17),C2H4(18),CH4X(48),OX(20),CH3X(21),HOX(22),HX(19),H2X(49),C2H6X(52),CH3OO(77),CH2X(27),CHX(28),CX(26),OCX(25),COX(50),H2OX(23)
1.349863236840622e-20,0.11640260799999998,0.8585084662769803,0.0,0.0,0.33756756319999431,0.11866996602995988,0.022821567693054157,0.0,2.205547713898193e-53,1.8858022724990773e-35,1.381402860738775e-73,1.478861770826344e-47,5.87165363579354e-117,1.3726172527799657e-21,8.0741852072808902e-100,1.3726172476918081e-21,4.7935122201877198e-67,2.1906128994136026e-59,2.8056843146711302e-98,1.695324256946248e-99,1.5631551545203931e-47,2.99343456817865e-79,5.4436041410057081e-15,2.6173332459905056e-16,1.008861648965767e-19,1.5037621104100815e-31,1.008861649024117e-19,1.3949170508542935e-48,2.6436554543401284e-61,9.2354262852243768e-36,4.4862142196760303e-31,2.4698412662218916e-38,1.6006544543286308e-44,9.1347630754399821e-69,2.4835291318427161e-88,5.8709931618305415e-45
2.700312606220037e-20,0.11640260799999998,0.8585084662769803,0.0,0.0,0.3375675631999886,0.11866996602995444,0.022821567693054025,0.0,3.530301049219939e-52,7.5456654612500178e-35,1.7655126282046971e-71,1.1836888068062846e-46,3.0016986529301468e-114,2.7458305284422832e-21,5.1714693662507901e-98,2.7458305080830242e-21,7.6737827318113237e-66,3.5070066876540027e-58,7.1716112357478526e-96,4.3334192751435588e-97,1.2509949372166169e-46,9.5843635277715304e-78,1.0889571983325026e-14,5.2358029805809519e-16,2.0181613619352348e-19,6.0169852233842655e-31,2.0181613621687104e-19,1.1163575844528538e-47,4.2321447494843795e-60,3.6953734956945724e-35,1.7950699454145014e-30,1.9766222707727058e-37,2.556734604284192e-43,5.8374455942581399e-67,6.3481501801186279e-86,4.6985628221520941e-44
5.401211344978867e-20,0.11640260799999998,0.8585084662769803,0.0,0.0,0.33756756319997716,0.11866996602994355,0.022821567693053765,0.0,5.6495937600584116e-51,3.0187575287610044e-34,2.2580837950562269e-69,9.4719085992160257e-46,1.5356577035820401e-111,5.4922571103145087e-21,3.3110180489197537e-96,5.4922570288642147e-21,1.2281383861837791e-64,5.6128023297254428e-57,1.8344872764809226e-93,1.1084820777842275e-94,1.0009792005560279e-45,3.0678562564725286e-76,2.1781507667943119e-14,1.0472742449761421e-15,4.0367607875504629e-19,2.40716832193199e-30,4.0367607884845191e-19,8.9325568131253402e-47,6.7732689396079226e-59,1.4783900358489554e-34,7.181447869529947e-30,1.5815959304177083e-36,4.0873189856309882e-42,3.7330567212863829e-65,1.6238471803892165e-83,3.7595384938955165e-43
1.0803008822496528e-19,0.11640260799999998,0.8585084662769803,0.0,0.0,0.33756756319995435,0.11866996602992176,0.022821567693053241,0.0,9.0401502911904799e-50,1.2076012873753497e-33,2.8890760374247289e-67,7.5784862521330087e-45,7.8590933451227735e-109,1.0985110396249316e-20,2.119460508452705e-94,1.0985110070421625e-20,1.9652879745622331e-63,8.9816620672359462e-56,4.6942155496233784e-91,2.8364621943161324e-92,8.0084848463731177e-45,9.8185161120312521e-75,4.3565379037097146e-14,2.0946621388120666e-15,8.0739596374860956e-19,9.6293163745850086e-30,8.0739596412226241e-19,7.1467239780007212e-46,1.0838700381755839e-57,5.9140415086210618e-34,2.8728123070704749e-29,1.2653933571191112e-35,6.5369311598298826e-41,2.3881119984046063e-63,4.1552147653896321e-81,3.007875347304702e-42
2.1606603777531847e-19,0.11640260799999998,0.8585084662769803,0.0,0.0,0.33756756319990866,0.1186699660298782,0.022821567693052193,0.0,1.4464594330243322e-48,4.8306017084038338e-33,3.6968547753602699e-65,6.0631727706045874e-44,4.0225878138061834e-106,2.1970817456880358e-20,1.3565856263827408e-92,2.197081615351656e-20,3.1446740179869954e-62,1.4371297510562497e-54,1.2013407986733868e-88,7.2590568572825559e-90,6.4069174482667955e-44,3.14214534545811e-73,8.713312177507653e-14,4.1894379264832384e-15,1.6148357332178064e-18,3.8517708295229481e-29,1.6148357347124802e-18,5.7176506079242443e-45,1.7343096746555505e-56,2.3657129245680316e-33,1.1491711763731411e-28,1.0123571005034018e-34,1.0456823823917391e-39,1.5279127059975086e-61,1.0634000261350965e-78,2.4063488706314878e-41
4.3213793687602486e-19,0.11640260799999998,0.8585084662769803,0.0,0.0,0.33756756319981734,0.11866996602979106,0.022821567693050097,0.0,2.3142717636369321e-47,1.9322799959715059e-32,4.7303375453598014e-63,4.850691722918727e-43,2.0588530271606071e-103,4.3942233533188169e-20,8.68256717087119e-91,4.3942228319626891e-20,5.0316490359357005e-61,2.2993612131296858e-53,3.0743691704050994e-86,1.8576760755463206e-87,5.1253763027102819e-43,1.0055217410738543e-71,1.742686072497207e-13,8.3789895018228716e-15,3.2297152700844827e-18,1.5406497201292042e-28,3.2297152760633073e-18,4.574229059491349e-44,2.7749895702297371e-55,9.4630447011159899e-33,4.5967741744785494e-28,8.0989587436226788e-34,1.672896978973959e-38,9.7752569219544283e-60,2.7213627857521898e-76,1.9250197674082276e-40
8.642817350774377e-19,0.11640260799999998,0.8585084662769803,0.0,0.0,0.33756756319963471,0.11866996602961678,0.022821567693045906,0.0,3.7024909638682775e-46,7.7291986108428987e-32,6.0515018407530632e-61,3.8806147725512486e-42,1.0535542276721632e-100,8.7885073505986647e-20,5.5569774517917702e-89,8.7885052651529395e-20,8.0507749268741369e-60,3.6786290557500068e-52,7.8660625731836837e-84,4.7530388947422781e-85,4.0999028621258665e-42,3.2177259339691002e-70,3.4853957819375061e-13,1.6758092652491302e-14,6.4594743355309602e-18,6.1619420152431478e-28,6.4594743594465767e-18,3.6594266775028293e-43,4.4400585753592803e-54,3.7852567670996985e-32,1.8387251319470496e-27,6.4790994159424599e-33,2.6764359806087267e-37,6.2527134174749283e-58,6.9628620644933774e-74,1.5398660778996317e-39
1.7285693314802633e-18,0.11640260799999998,0.8585084662769803,0.0,0.0,0.33756756319926939,0.11866996602926823,0.022821567693037528,0.0,5.9227725718371875e-45,3.0916951706281869e-31,7.7379568970125647e-59,3.1045163610433046e-41,5.3886657061520889e-98,1.7577078473231491e-19,3.5565090160508879e-87,1.7577070131406181e-19,1.2881348999382345e-58,5.8845300734722206e-51,2.0116450065306632e-81,1.2155289714576752e-82,3.2792270263600128e-41,1.0296813122342838e-68,6.9708152006077669e-13,3.351629895378482e-14,1.2918992433276427e-17,2.4642138837515989e-27,1.291899252893998e-17,2.9275587141927107e-42,7.104153896390389e-53,1.5141107127982449e-31,7.3549119979134675e-27,5.1830791442622944e-32,4.2819996236840604e-36,3.9976063519662962e-56,1.7806627681057552e-71,1.2316314349476366e-38
3.4571445242859147e-18,0.11640260799999998,0.8585084662769803,0.0,0.0,0.33756756319853876,0.11866996602857113,0.02282156769302077,0.0,9.4724666881672529e-44,1.2366812141802055e-30,9.8846017907795492e-57,2.4836228822784775e-40,2.753446443561332e-95,3.5154233230789516e-19,2.2761802088298969e-85,3.5154199863403623e-19,2.0610245500219977e-57,9.4110379937736718e-50,5.1394411608374556e-79,3.1054880933115042e-80,2.6222465621615828e-40,3.2949945903478193e-67,1.3941654037106937e-12,6.7032711556198476e-14,2.5838028496177386e-17,9.8522799276059482e-27,2.5838028878837375e-17,2.3420539204304502e-41,1.1366694262727087e-51,6.0564606918914056e-31,2.9419515299042542e-26,4.1461058276990268e-31,6.8505176000709489e-35,2.5532862683761992e-54,4.5493160817791955e-69,9.8487836210230746e-38
6.9142949098972176e-18,0.11640260799999998,0.8585084662769803,0.0,0.0,0.33756756319707748,0.11866996602717694,0.022821567692987255,0.0,1.5143188122503237e-42,4.9467311538954237e-30,1.2601650314079087e-54,1.9869021851365052e-39,1.4041385373585901e-92,7.0308592795074049e-19,1.4567606393826769e-83,7.0308459325362343e-19,3.2976461866153975e-56,1.5044103218720973e-48,1.3104411916947307e-76,7.918291842143275e-78,2.0959741219017651e-39,1.054400552146344e-65,2.7883331706739879e-12,1.3406553676033224e-13,5.1676100091619448e-17,3.9372412439179225e-26,5.1676101622299738e-17,1.8736459162625419e-40,1.8186748883685061e-50,2.422589307897556e-30,1.1767655077555089e-25,3.3162980601687227e-30,1.0958864104255803e-33,1.6275372274033975e-52,1.1599720057765624e-66,7.872171915693816e-37
