Time (s),Volume (m^3),Ar,Ne,N2,X(1),CH4(2),O2(3),CO2(4),H2O(5),H2(6),CO(7),C2H6(8),CH2O(9),CH3(10),C3H8(11),H(12),C2H5(13),CH3OH(14),HCO(15),CH3CHO(16),OH(17),C2H4(18),CH4X(48),OX(20),HX(19),CH3X(21),CH2X(27),CHX(28),CX(26),H2X(49),CH3OO(77),C2H4(47),HOX(22),H2OX(23),OCX(25),COX(50),CH4OX(60),C2H6X(52),C2H4X(206),C2H4X(65),CH2OH(40),CH2OX(54),acetyl(43)
6.185523972455958e-21,0.16628943999999996,0.8585084662769803,0.0,0.0,0.45230727679999683,0.1186699660299623,0.022821567693054243,0.0,2.8055575011655932e-54,1.9064837481652466e-30,9.3234844285088097e-73,9.9460490420514526e-46,1.1841253876533915e-84,5.4592154271498008e-17,1.3254615837553732e-89,5.4592154271480049e-17,7.5175029896675314e-61,1.1384467885949336e-58,1.0347782077308847e-93,1.1998229671801445e-94,1.6627698287859202e-41,1.7882947092159879e-71,2.9814274145875e-15,8.8274766763996271e-17,3.5339349213069948e-19,3.5339349194816514e-19,8.4117417130034064e-29,3.7454159894563558e-35,1.6008998461494772e-40,7.7261752756988063e-44,2.1412894910569186e-31,1.4805791743217398e-81,5.782847659557538e-32,1.1945642066568282e-45,1.0036181281753335e-65,1.8223418050715948e-87,1.0453809663074861e-72,9.741431549619206e-60,1.4187478109979666e-95,1.7271814664599524e-85,9.4323231077807981e-74,1.0967635484148105e-98,5.4066049119534087e-103
1.237642198832847e-20,0.16628943999999996,0.8585084662769803,0.0,0.0,0.45230727679999377,0.11866996602995926,0.022821567693054198,0.0,4.4925478258733973e-53,7.6309034332964781e-30,6.3538283131343182e-71,7.9649058342598035e-45,7.5876626309126705e-83,1.0923173873786825e-16,8.4960652586873955e-88,1.0923173873779639e-16,1.2041069465856656e-59,1.8236346586191239e-57,1.410079318681137e-91,1.6349837479357874e-92,1.3312268978912192e-40,5.7289659638063039e-70,5.9654451223225824e-15,1.7662622750432773e-16,7.0709401614175198e-19,7.070940154111389e-19,3.3668873481105935e-28,2.998608085615101e-34,1.3649073281774538e-39,6.1856380663312792e-43,8.5707383206155117e-31,9.4865135917904713e-80,2.3146461167129112e-31,9.5637770925250225e-45,3.4212096757626647e-64,2.4832823792710828e-85,3.349241807178461e-71,1.5603220131666337e-58,1.8180847434405278e-93,1.106656786569392e-83,3.0219730351328297e-72,1.4055863410370032e-96,1.4742998273807411e-100
2.4758218020073495e-20,0.16628943999999996,0.8585084662769803,0.0,0.0,0.45230727679998761,0.11866996602995318,0.022821567693054112,0.0,7.1910026180878375e-52,3.0533553449988755e-29,4.5548230532342637e-69,6.3751528844535528e-44,4.8590694785570306e-81,2.1851090767067773e-16,5.4416811084047769e-86,2.1851090767039019e-16,1.9276168850245724e-58,2.9195124007049238e-56,2.0209316848996409e-89,2.3432656713152004e-90,1.065386104738913e-39,1.8342973990937217e-68,1.1933480537788265e-14,3.5332914898498477e-16,1.4144950646909907e-18,1.4144950617675859e-18,1.3471922960431743e-27,2.3997944787008076e-33,1.2255334580767202e-38,4.9503903954568835e-42,3.4294117145491568e-30,6.0748290810532795e-78,9.2615994274046266e-31,7.6539282650925371e-44,1.2271701547575914e-62,3.5590508784673229e-83,1.0724014626453193e-69,2.4978703655075269e-57,2.3284853572266564e-91,7.0866397000603983e-82,9.6761252086941306e-71,1.8002578905529607e-94,4.2276369565151532e-98
4.952181008356355e-20,0.16628943999999996,0.8585084662769803,0.0,0.0,0.45230727679997534,0.11866996602994102,0.022821567693053935,0.0,1.1507945579655256e-50,1.2215409609422126e-28,3.5380464950961486e-67,5.1014139095917363e-43,3.1107537320847749e-79,4.3706924553657284e-16,3.4840203043930187e-84,4.3706924553542224e-16,3.0850238705156315e-57,4.6725778363456056e-55,3.1378983763476296e-87,3.6383859991658353e-88,8.524707522220364e-39,5.8713974424715584e-67,2.386955136870169e-14,7.0673499194627559e-16,2.829297163898011e-18,2.8292971522024771e-18,5.38963681687601e-27,1.9201948698455669e-32,1.1937610197162199e-37,3.9610644548788427e-41,1.3719879924495457e-29,3.8889982816286165e-76,3.7052428455912215e-30,6.1243054537308991e-43,4.7713403348932957e-61,5.5261343232256834e-81,3.4327155638219981e-68,3.9976770091293717e-56,2.9813171368634994e-89,4.5367409665261647e-80,3.0972902278463012e-69,2.3050390769817433e-92,1.3133482739528256e-95
9.904899421054365e-20,0.16628943999999996,0.8585084662769803,0.0,0.0,0.45230727679995075,0.11866996602991671,0.022821567693053581,0.0,1.841458604816641e-49,4.8865615202710634e-28,3.0610411696027906e-65,4.081647831268546e-42,1.9911862026030895e-77,8.7418592126946687e-16,2.2302032976736032e-82,8.7418592126486436e-16,4.9367077707239667e-56,7.4772110894770927e-54,5.426093030782877e-85,6.2915424752180541e-86,6.8204135490544704e-38,1.8791105429135742e-65,4.7741693030456801e-14,1.4135466778687639e-15,5.6589013707462701e-18,5.6589013239602502e-18,2.1560225011437422e-26,1.5362932340882859e-31,1.2961660142325585e-36,3.1691524528055828e-40,5.488398595361273e-29,2.4893134079473951e-74,1.4822177590474025e-29,4.899909480143909e-42,2.0667808351251296e-59,9.5558603884742724e-79,1.0986339421464143e-66,6.3971508770632382e-55,3.8166337820717288e-87,2.9039270011120506e-78,9.9128172175046955e-68,2.9509038384132232e-90,4.5438703935408041e-93
1.9810336246450387e-19,0.16628943999999996,0.8585084662769803,0.0,0.0,0.45230727679990157,0.11866996602986808,0.022821567693052873,0.0,2.9464835545867301e-48,1.9547041480787613e-27,2.9785920868088281e-63,3.2655249585939759e-41,1.2744563912026633e-75,1.748419272739671e-15,1.4274678223358018e-80,1.7484192727212605e-15,7.8992681302623889e-55,1.1964406982431513e-52,1.0553075995996832e-82,1.2236267510342766e-83,5.4565898469997548e-37,6.0135751390971575e-64,9.5485976353680067e-14,2.8271700497133667e-15,1.1318109818180067e-17,1.131810963102776e-17,8.6243794492545601e-26,1.2290792984200188e-30,1.5827055870125685e-35,2.5354423264024382e-39,2.1954487508346861e-28,1.5932740292709013e-72,5.929112264761787e-29,3.9201135301997795e-41,1.0068597610868568e-57,1.8584959620967926e-76,3.515892521991165e-65,1.0236135580844271e-53,4.8856418812902136e-85,1.858644637371748e-76,3.1723396691223472e-66,3.777447361441074e-88,1.7680722318749035e-90
3.962120989724243e-19,0.16628943999999996,0.8585084662769803,0.0,0.0,0.4523072767998032,0.11866996602977084,0.022821567693051461,0.0,4.7144932898018505e-47,7.8189756897909294e-27,3.2111739296317628e-61,2.6125026460698256e-40,8.1568319271292244e-74,3.4968859756977438e-15,9.1362347579110342e-79,3.4968859756241012e-15,1.2639257570599895e-53,1.9143746358246466e-51,2.2742750147808988e-80,2.6370166814870895e-81,4.3653754537257002e-36,1.9244114659299215e-62,1.9097454299897864e-13,5.6544167934010798e-15,2.2636526848000002e-17,2.2636526099370627e-17,3.4497727774643155e-25,9.8326496068362182e-30,2.139344803275111e-34,2.028402011540529e-38,8.7819735070744716e-28,1.019731679454536e-70,2.3716931351664361e-28,3.1361650274326363e-40,5.4328892161690269e-56,4.0052121727933839e-74,1.125127798960601e-63,1.6378372285221063e-52,6.2538460015495211e-83,1.1895736511625278e-74,1.0151867888214222e-64,4.8353184586880688e-86,7.6227131362049279e-88
7.924295719882651e-19,0.16628943999999996,0.8585084662769803,0.0,0.0,0.45230727679960653,0.11866996602957634,0.022821567693048633,0.0,7.5432842086610374e-46,3.12762210745681e-26,3.7252476443248874e-59,2.0900351878219328e-39,5.22047183564245e-72,6.9938193816845452e-15,5.8473312615729949e-77,6.993819381389972e-15,2.0223154934367508e-52,3.063054958635793e-50,5.2749807344156568e-78,6.1163280876706965e-79,3.4923417463947496e-35,6.1582245325053872e-61,3.819516762849842e-13,1.1308910280770528e-14,4.527336144747513e-17,4.5273358452887792e-17,1.3798837980987775e-24,7.8658639792882221e-29,3.1084631896851009e-33,1.6227408752082871e-37,3.5128250040347258e-27,6.5263988602543732e-69,9.4868688615545863e-28,2.5089614202147194e-39,3.1534031965154081e-54,9.2897367387173661e-72,3.6004762407913081e-62,2.6205839929958186e-51,8.0050664320739754e-81,7.613390643820639e-73,3.2486585971348263e-63,6.1893264128284296e-84,3.5366515549081581e-85
1.5848645180199469e-18,0.16628943999999996,0.8585084662769803,0.0,0.0,0.45230727679921318,0.11866996602918735,0.022821567693042978,0.0,1.2069328327281388e-44,1.251055218727906e-25,4.5215647072112716e-57,1.6720413767986018e-38,3.3411336207333989e-70,1.3987686193940771e-14,3.7423371207188661e-75,1.3987686192762478e-14,3.2357322044347135e-51,4.9009321281863038e-49,1.2802685551303609e-75,1.4844684502668807e-76,2.7938898744489774e-34,1.9706490829401676e-59,7.6390594283862872e-13,2.2617897255485528e-14,9.0547032805971465e-17,9.0547020827247968e-17,5.5192484882121831e-24,6.2921700766900215e-28,4.7216578833527944e-32,1.2982004154896572e-36,1.4051370419984717e-26,4.176932359036797e-67,3.7947666980907844e-27,2.0071804420580925e-38,1.9144765974591159e-52,2.2546730355458802e-69,1.1521630189874647e-60,4.1929699249176644e-50,1.0246576740593654e-78,4.8725925744079455e-71,1.0395804396840545e-61,7.9224134427731356e-82,1.7169022302604162e-82
3.16973441008331e-18,0.16628943999999996,0.8585084662769803,0.0,0.0,0.45230727679842647,0.11866996602840936,0.022821567693031668,0.0,1.9310976636535387e-43,5.0042337016866934e-25,5.6288860235213991e-55,1.3376383889614059e-37,2.1383354351668972e-68,2.797541981958373e-14,2.3951101774854591e-73,2.7975419814870541e-14,5.1771934238752087e-50,7.8415259955292087e-48,3.1872761542397032e-73,3.6956393372880877e-74,2.2351183686856663e-33,6.3061044950678479e-58,1.5278144758724519e-12,4.5235871204819962e-14,1.8109438416281103e-16,1.8109433624527256e-16,2.2074532267963066e-23,5.0328576525025754e-27,7.3522230253723519e-31,1.03856343273864e-35,5.6205616096893053e-26,2.6732484915607101e-65,1.5179104213030331e-26,1.6057481504166467e-37,1.1919114586310667e-50,5.6130913737722484e-67,3.6869377366341514e-59,6.7087802894370846e-49,1.3115676497554165e-76,3.1184464916137006e-69,3.3266725813412705e-60,1.0140736616211339e-79,8.5490344928628146e-80
