Time (s),Volume (m^3),N2,Ne,X(1),CH4(2),O2(3),CO2(4),H2O(5),H2(6),CO(7),C2H6(8),CH2O(9),CH3(10),C3H8(11),H(12),C2H5(13),CH3OH(14),HCO(15),CH3CHO(16),OH(17),C2H4(18),CH4X(56),OX(20),CH3X(21),HOX(22),HX(19),H2OX(23),CH2X(27),CHX(28),CX(26),OCX(25),COX(58)
7.821727116607723e-21,0.09977366400000001,0.80000000000000004,0.0,0.28934362559999688,0.099999999999997549,0.099999999999999659,7.8689227086831499e-123,3.9498364607439727e-54,9.4198708336082364e-41,5.1114897301095599e-66,3.9189272426590251e-49,2.5353390872141796e-43,4.0479098051691224e-26,5.1082606818635117e-103,4.0479075196367922e-26,1.37401100369274e-65,9.1738787678417149e-59,1.2070825972289607e-66,5.396983765069021e-95,2.5504717756694586e-43,1.3790140463774499e-80,2.4608504039593553e-15,7.1779401506281763e-16,1.6267246667977675e-20,1.1561234643920268e-31,1.6267246667979207e-20,2.0636722289966992e-45,4.7143282169388649e-32,4.8147495564305538e-39,1.8047621678704357e-45,1.9102536102965931e-69,3.5880746330403292e-81
1.5650249825844992e-20,0.09977366400000001,0.80000000000000004,0.0,0.28934362559999371,0.099999999999995093,0.099999999999999298,5.0674431494069956e-121,6.3232320618468305e-53,3.7704033831352584e-40,4.0923016462131725e-65,3.1383201839910277e-48,1.0147968546561937e-42,8.0993410488132103e-26,1.637092956264627e-101,8.0993319007276219e-26,1.1003245077670214e-64,1.4695287859922498e-57,9.66400472388456e-66,8.6422095750979941e-94,1.0269122067345e-42,2.2088216546327249e-79,4.9238388186934903e-15,1.436211656550513e-15,3.2548626478241992e-20,4.627506798857208e-31,3.2548626478248107e-20,1.6521925799620495e-44,1.8869596834133081e-31,3.8547254092791439e-38,2.8871163417035512e-44,1.2228850637816607e-67,5.7455968456365936e-80
3.1307295244319526e-20,0.09977366400000001,0.80000000000000004,0.0,0.28934362559998733,0.099999999999990166,0.099999999999998576,3.2748014501341634e-119,1.0119966787911845e-51,1.5086525994830448e-39,3.2750881166913631e-64,2.5119281244912441e-47,4.060513184706085e-42,1.6202217267203975e-25,5.2426327497897389e-100,1.6202180662945677e-25,8.8070770713613219e-64,2.3526134973780129e-56,7.734147857445503e-65,1.383317605525009e-92,4.1574728222273137e-42,3.5360413065355792e-78,9.8498156481560506e-15,2.8730469395258297e-15,6.5111386099041587e-20,1.8516054774851854e-30,6.5111386099066094e-20,1.3222561921442676e-43,7.5502950699378953e-31,3.084948960521208e-37,4.6189788346905237e-43,7.8274842722755755e-66,9.196705049133902e-79
6.262138608126859e-20,0.09977366400000001,0.80000000000000004,0.0,0.28934362559997462,0.099999999999980313,0.099999999999997133,2.1336573241254719e-117,1.6194183348180497e-50,6.0355938012370428e-39,2.6205741840429346e-63,2.010051414815543e-46,1.6244728247067912e-41,3.2408024628395825e-25,1.6782805097823395e-98,3.2407878187527394e-25,7.0474801149656116e-63,3.7652758980393937e-55,6.1885045595764385e-64,2.2137634880743468e-91,1.7020552660691254e-41,5.6592277638624892e-77,1.9701769307058337e-14,5.7467175054761668e-15,1.3023690534172482e-19,7.4076275811654689e-30,1.3023690534182285e-19,1.0580058396525647e-42,3.0206084394447107e-30,2.468423244519887e-36,7.3900295479576849e-42,5.0099035529319818e-64,1.4717755074525085e-77
1.2524956775516673e-19,0.09977366400000001,0.80000000000000004,0.0,0.28934362559994919,0.099999999999960607,0.09999999999999426,1.4130446578812987e-115,2.5912482243102049e-49,2.4144348318849449e-38,2.0966833132789879e-62,1.6082447228463444e-45,6.4984453177165332e-41,6.4819859048420876e-25,5.371570633079331e-97,6.4819273237273227e-25,5.6387525519494687e-62,6.025316996327347e-54,4.9512916332515541e-63,3.5424218673924353e-90,7.1191637777278571e-41,9.0560776440559256e-76,3.9405676624771572e-14,1.1494058637375651e-14,2.6048794383142733e-19,2.9632921707696557e-29,2.604879438318194e-19,8.4648502146854813e-42,1.2083407244233472e-29,1.9749186824587356e-35,1.182374550938519e-40,3.2064229418075639e-62,2.3551069018407714e-76
2.5050593110296305e-19,0.09977366400000001,0.80000000000000004,0.0,0.28934362559989829,0.099999999999921194,0.099999999999988515,9.6496670526849365e-114,4.1461401480210126e-48,9.6581388981938802e-38,1.6776601628988453e-61,1.2866772197256354e-44,2.599504038294599e-40,1.2964440667903637e-24,1.7191075417697e-95,1.2964206333909448e-24,4.5113750268473305e-61,9.6412076167417553e-53,3.9612499923628265e-62,5.6689082031510108e-89,3.0961023751051941e-40,1.4490978745378734e-74,7.8813491259832724e-14,2.2988740901169876e-14,5.2099002082817655e-19,1.1853650871940171e-28,5.2099002082974502e-19,6.7722013764889793e-41,4.8335516767930208e-29,1.5799980829998003e-34,1.891764815668979e-39,2.0521177919091484e-60,3.7688578514339555e-75
5.010186577985556e-19,0.09977366400000001,0.80000000000000004,0.0,0.28934362559979648,0.099999999999842382,0.099999999999977024,6.9610875390753134e-112,6.6339382287266763e-47,3.8633394218939452e-37,1.3450177976835655e-60,1.0293743534820817e-43,1.0398388808672857e-39,2.5929701710252947e-24,5.5016848024554089e-94,2.5928764355205538e-24,3.6093541544691011e-60,1.5426492284407761e-51,3.1691210405751219e-61,9.0886648548284424e-88,1.4371269715240356e-39,2.3187222015569854e-73,1.5762912052849368e-13,4.5978105428739323e-14,1.0419941748910514e-18,4.7415567043307097e-28,1.0419941748973259e-18,5.417889248256561e-40,1.9334536871074551e-28,1.2640094795814133e-33,3.0267631247138922e-38,1.3133320980344718e-58,6.0424128926528411e-74
1.0020441111897407e-18,0.09977366400000001,0.80000000000000004,0.0,0.28934362559959287,0.099999999999684744,0.099999999999954028,5.5854539533013745e-110,1.0614391077462225e-45,1.5453556990598693e-36,1.1123878655681842e-59,8.2351251426983723e-43,4.1595267183946155e-39,5.18616298598568e-24,1.7607618130756151e-92,5.1857880401525048e-24,2.8877528779379528e-59,2.4682834899382261e-50,2.535400244130337e-60,1.5004617651945088e-86,7.3378690239588723e-39,3.7102967727317007e-72,3.1526037905997034e-13,9.1956834483802217e-14,2.0840024832943082e-18,1.8966418858669488e-27,2.0840024833194115e-18,4.3343621168945028e-39,7.7338428612758523e-28,1.0111892021774793e-32,4.8426669270181097e-37,8.4049237336782971e-57,9.9755119903746684e-73
2.0040950179721112e-18,0.09977366400000001,0.80000000000000004,0.0,0.28934362559918564,0.099999999999369482,0.099999999999908051,6.7217407672508794e-108,1.6983093549127974e-44,6.1814879176171927e-36,1.3549382003688714e-58,6.5881522437682563e-42,1.6639222571406178e-38,1.0373111041868836e-23,5.6356656465075762e-91,1.0371611250907353e-23,2.3105787772875849e-58,3.9492890940720368e-49,2.0284495482040589e-59,3.5838973351076277e-85,4.2066109657745312e-38,5.9374159224267033e-71,6.3052289609954259e-13,1.8391429259362405e-13,4.1680191012108484e-18,7.5866054147249629e-27,4.1680191013113026e-18,3.4675091150111313e-38,3.0935124312896546e-27,8.0890755321586791e-32,7.7478059119870206e-36,5.3786039275851417e-55,2.3826800719337536e-71
4.008196831536852e-18,0.09977366400000001,0.80000000000000004,0.0,0.28934362559837118,0.099999999998738959,0.099999999999816097,3.4254322858073135e-105,2.7172990805305201e-43,2.4726283990758177e-35,7.0344224345803638e-57,5.2705426521782644e-41,6.6565308142464186e-38,2.074925685748708e-23,1.8041673708427864e-89,2.0743257678380801e-23,1.849043496084557e-57,6.3188900956225163e-48,1.6229521607815249e-58,3.6013387581960639e-83,2.699809725157287e-37,9.5027564109264543e-70,1.2610479300851619e-12,3.678292088120518e-13,8.3360523414840332e-18,3.0346493104116074e-26,8.3360523418861751e-18,2.7740136751037915e-37,1.237375762227338e-26,6.470501995771002e-31,1.2395039383298961e-34,3.4415955648467208e-53,2.3942747298524887e-69
