Time (s),Volume (m^3),Ar,Ne,N2,X(1),CH4(2),O2(3),CO2(4),H2O(5),H2(6),CO(7),C2H6(8),CH2O(9),CH3(10),C3H8(11),H(12),C2H5(13),CH3OH(14),HCO(15),CH3CHO(16),OH(17),C2H4(18),CH4X(48),OX(20),HX(19),HOX(22),CH3OO(77),CH3X(21),H2OX(23),CH2X(27),CHX(28),CX(26),OCX(25),H2X(49),C2H4(47),COX(50),C2H6X(52),CH4OX(60),C2H4X(210),C2H4X(65),acetyl(43)
6.03645329594467e-21,0.16628943999999996,0.8585084662769803,0.0,0.0,0.45230727679999688,0.11866996602996237,0.022821567693054243,0.0,2.2510047786690312e-54,1.8156988076408488e-30,3.2813876275306846e-73,9.2441428435601042e-46,2.5896045297601238e-111,5.3276487335991218e-17,1.144983551463606e-89,5.3276487335955115e-17,6.818596816063147e-61,1.032604796344507e-58,3.5528867052571556e-94,4.1195640296182434e-95,4.1126252153128934e-43,1.582945067746446e-71,2.9095752313867156e-15,8.614735132449873e-17,3.4487673469726332e-19,5.5074739579465823e-32,2.0393233248458374e-31,3.4487673460552655e-19,1.1102621864546938e-45,2.9552298080268657e-29,4.7370202353607568e-36,8.2668995354439137e-42,4.9287380892516368e-67,7.1809285853737418e-44,1.2789799583929317e-81,6.2569678655163273e-88,8.8357655779310329e-60,9.2534000974766897e-73,1.1960316097704243e-95,1.49200429142139e-85,1.8119223175118635e-103
1.2078151121251586e-20,0.16628943999999996,0.8585084662769803,0.0,0.0,0.45230727679999388,0.1186699660299594,0.022821567693054202,0.0,3.604540896979673e-53,7.2675270782445402e-30,2.4224911077580894e-71,7.4028116045362766e-45,7.642205530682665e-109,1.0659926180265575e-16,7.3392206101163282e-88,1.0659926180251121e-16,1.0921604957815419e-59,1.6540903914887893e-57,5.243598864957147e-92,6.0799409215145138e-93,3.2926008215373477e-42,5.0711095710495853e-70,5.8216783300451495e-15,1.723695483060977e-16,6.9005310172357686e-19,2.2044248702283316e-31,8.1626079246336986e-31,6.9005310135639081e-19,8.8888483352376022e-45,1.1828618885070867e-28,3.7924949042703651e-35,7.6456388265775424e-41,1.8209041801979872e-65,5.7491091803094554e-43,8.1948071197110476e-80,9.2344710930129484e-86,1.4152580618436047e-58,2.9646488168171473e-71,1.532680301290126e-93,9.5597174245482555e-84,5.3518076705257683e-101
2.4161546771865417e-20,0.16628943999999996,0.8585084662769803,0.0,0.0,0.45230727679998789,0.11866996602995347,0.022821567693054115,0.0,5.7696131828406924e-52,2.9079574705588229e-29,1.9609252699126726e-69,5.9252496810719557e-44,2.4722244289411222e-106,2.1324481073616481e-16,4.7007287407675046e-86,2.1324481073558645e-16,1.7484053379299298e-58,2.6480838043468357e-56,8.4839518234295376e-90,9.8371227835985613e-91,2.635081341181343e-41,1.6236652749556607e-68,1.1645884527357749e-14,3.4481394226929004e-16,1.3804058359744825e-18,8.8205708605812206e-31,3.2661063949991736e-30,1.3804058345052593e-18,7.1137801293573776e-44,4.7329867839471858e-28,3.0351459868859234e-34,7.7628051713198647e-40,7.3787073265248606e-64,4.6010346159085389e-42,5.2476657650488269e-78,1.4941037593495085e-83,2.2656420549284076e-57,9.4925774462040721e-70,1.9629578059007625e-91,6.1217058399602373e-82,1.7327034687933539e-98
4.832833807309308e-20,0.16628943999999996,0.8585084662769803,0.0,0.0,0.4523072767999759,0.11866996602994161,0.022821567693053942,0.0,9.2332596814665834e-51,1.1633723430594148e-28,1.7797819001894759e-67,4.7414001968744166e-43,8.9663631504785451e-104,4.2653590860390264e-16,3.0096277331213688e-84,4.2653590860158871e-16,2.7982075924297787e-57,4.2381658193373432e-55,1.5390123719533749e-87,1.7844813337685616e-88,2.1084654264820957e-40,5.1971856623690814e-67,2.3294296921965867e-14,6.8970273019565264e-16,2.7611113052694079e-18,3.5288026919544039e-30,1.3066552310567199e-29,2.7611112993915564e-18,5.6921048693099886e-43,1.8935016917400473e-27,2.428573848488353e-33,8.8422694304178121e-39,3.3530738894998549e-62,3.6815267507770176e-41,3.3594629365288791e-76,2.710345617849792e-81,3.6260108927825429e-56,3.0385372836086179e-68,2.5133075145660703e-89,3.9190074470374733e-80,6.2891475355271226e-96
9.66619206755484e-20,0.16628943999999996,0.8585084662769803,0.0,0.0,0.45230727679995192,0.11866996602991788,0.022821567693053598,0.0,1.4774718300432859e-49,4.6538681089827709e-28,1.8105629209639449e-65,3.7936003967774162e-42,3.6453060092985665e-101,8.5311810434225753e-16,1.9265334610780706e-82,8.5311810433300084e-16,4.4777394749807444e-56,6.7820508152232189e-54,3.1293874148818792e-85,3.6285175659589748e-86,1.6869324907673362e-39,1.6633325316353401e-65,4.6591121711113766e-14,1.3794803060482889e-15,5.5225222470317213e-18,1.4116359464901688e-29,5.2270462825156948e-29,5.5225222235183932e-18,4.554116168630489e-42,7.5746134734325765e-27,1.9430370182044175e-32,1.1284219703860741e-37,1.7075807483914243e-60,2.9455010537436888e-40,2.1503625166127615e-74,5.5111457043118985e-79,5.8024044241144094e-55,9.7247794589045716e-67,3.2174954642981811e-87,2.5085213594092922e-78,2.5585437608104513e-93
1.9332908588045906e-19,0.16628943999999996,0.8585084662769803,0.0,0.0,0.45230727679990396,0.11866996602987043,0.022821567693052908,0.0,2.3640750808779749e-48,1.86162299372119e-27,2.0181912407427849e-63,3.0350724246065734e-41,1.6242807379634132e-98,1.7062824958304837e-15,1.2331003758563088e-80,1.7062824957934556e-15,7.1648690536760743e-55,1.0852069634645631e-52,6.9734906779639151e-83,8.0857465206905489e-84,1.3496100415609051e-38,5.3230371141370452e-64,9.3184771289136271e-14,2.7590354577532062e-15,1.1045344143246253e-17,5.6467734694230414e-29,2.0909035731989519e-28,1.1045344049189036e-17,3.6434657264785296e-41,3.029960900083542e-26,1.5544929481237804e-31,1.5763630275446571e-36,9.525251472307456e-59,2.3565127102641016e-39,1.3763300116310503e-72,1.2280973142958952e-76,9.2844767188368943e-54,3.1121630035998781e-65,4.1186897913175565e-85,1.6055671616197297e-76,1.1405642413018888e-90
3.8666341629028036e-19,0.16628943999999996,0.8585084662769803,0.0,0.0,0.45230727679980798,0.11866996602977552,0.022821567693051527,0.0,3.7826160002728574e-47,7.4466434784937726e-27,2.3916355019102008e-61,2.4281347845004419e-40,7.6962472104390025e-96,3.412611278853002e-15,7.892223095822385e-79,3.4126112787048866e-15,1.146417920646676e-53,1.7363941664825884e-51,1.6523284032731229e-80,1.9158710084280002e-81,1.0797136306200274e-37,1.7034315563594004e-62,1.8637207044408803e-13,5.5181457611616181e-15,2.2090987986435334e-17,2.2587552739714672e-28,8.3637843002555893e-28,2.2090987610198186e-17,2.9148414965616596e-40,1.2120027946746172e-25,1.2436071390974008e-30,2.3388570327800523e-35,5.6469312275245987e-57,1.8852549163868922e-38,8.8088256561686897e-71,2.909905707332874e-74,1.485566647671306e-52,9.9592949157272595e-64,5.2721121023705263e-83,1.0275984992812197e-74,5.4058030194122632e-88
7.733320771099229e-19,0.16628943999999996,0.8585084662769803,0.0,0.0,0.45230727679961602,0.11866996602958571,0.022821567693048769,0.0,6.0522614843249726e-46,2.978687692913622e-26,2.9384872935659885e-59,1.9425385653492835e-39,3.7815472252425441e-93,6.8252688450823042e-15,5.0511445985640994e-77,6.825268844489835e-15,1.8342997686043405e-52,2.7782809463433015e-50,4.0596598865352329e-78,4.7071663487656385e-79,8.6378110695442679e-37,5.4510764410701708e-61,3.7274666874961852e-13,1.1036366367972751e-14,4.4182275875856813e-17,9.0351124586419644e-28,3.3455476291332606e-27,4.4182274370887965e-17,2.3319004388131018e-39,4.8480107055266746e-25,9.9487073859813295e-30,3.5954396018900151e-34,3.4701041000030206e-55,1.5082218327355645e-37,5.6377487247778538e-69,7.1494425449147613e-72,2.3769469339768504e-51,3.1870338246214662e-62,6.7484245102569229e-81,6.576733771213072e-73,2.6565575260841113e-85
1.5466693987492081e-18,0.16628943999999996,0.8585084662769803,0.0,0.0,0.45230727679923216,0.1186699660292061,0.022821567693043249,0.0,9.6836764776949683e-45,1.191481137915306e-25,3.6822984529610394e-57,1.5540431464389119e-38,1.8952762168930111e-90,1.3650583978277967e-14,3.2327715160555794e-75,1.365058397590808e-14,2.9349044980256401e-51,4.4452892872965141e-49,1.0173725831645234e-75,1.1796411749502459e-76,6.9102890797111039e-36,1.7443597165468714e-59,7.4549586534318772e-13,2.2072807581572263e-14,8.8364852466899418e-17,3.6140629277166837e-27,1.3382257592787244e-26,8.836484644695347e-17,1.8655307278185285e-38,1.939174314306977e-24,7.9585846797293397e-29,5.6351003539295474e-33,2.1745894435929021e-53,1.2065846262735663e-36,3.6081912262935904e-67,1.7916885727057866e-69,3.8031473291622905e-50,1.0198601580642344e-60,8.6380606939264796e-79,4.2091295394889004e-71,1.3315525300878122e-82
3.0933440420277785e-18,0.16628943999999996,0.8585084662769803,0.0,0.0,0.45230727679846439,0.11866996602844686,0.022821567693032212,0.0,1.5493920511322812e-43,4.7659366765451158e-25,4.6618641995360994e-55,1.2432394331794534e-37,9.5972423896318817e-88,2.7301214247617519e-14,2.0689862300795774e-73,2.7301214238137954e-14,4.6958670645974127e-50,7.1124932343805817e-48,2.5759230033089411e-73,2.9867767732889728e-74,5.5282464158035953e-35,5.5819753835919152e-58,1.4909942584603586e-12,4.4145690008680259e-14,1.7673000889798995e-16,1.4456284972484353e-26,5.3529158587075508e-26,1.7672998481782874e-16,1.4924279010874671e-37,7.7563983509787484e-24,6.3662011826177032e-28,8.9213874993598073e-32,1.3766498415865409e-51,9.652705653614714e-36,2.3092525675123224e-65,4.5364413403668984e-67,6.0850615029344197e-49,3.263566300274389e-59,1.1056766835145593e-76,2.6938324438301088e-69,6.742956356570103e-80
