Time (s),Volume (m^3),Ar,Ne,N2,X(1),CH4(2),O2(3),CO2(4),H2O(5),H2(6),CO(7),C2H6(8),CH2O(9),CH3(10),C3H8(11),H(12),C2H5(13),CH3OH(14),HCO(15),CH3CHO(16),OH(17),C2H4(18),CH4X(48),OX(20),CH3X(21),HOX(22),H2OX(23),HX(19),CH2X(27),CHX(28),CX(26),OCX(25),CH3OO(77),COX(50),C2H6X(52)
8.518453782902795e-19,0.11640260799999998,0.8585084662769803,0.0,0.0,0.33756756319963993,0.11866996602962179,0.022821567693046028,0.0,3.4954332309074259e-46,7.5083644837715741e-32,5.4737584739843295e-61,3.7154963834895489e-42,9.257412929629597e-101,8.6620458464482668e-20,5.0941437953372726e-89,8.6620453590062168e-20,7.5973027281924074e-60,1.0930829590403772e-50,7.0126941611252615e-84,4.2373942229834015e-85,9.3074886728014734e-39,2.9927899290810311e-70,3.4352435876613784e-13,1.651695644558117e-14,6.3665274230375919e-18,5.9872840926174223e-28,1.4746667534168801e-39,6.3665274421617365e-18,7.4241216955147978e-27,1.0716946435783602e-31,4.3642582030132831e-36,9.9135823710793821e-57,3.6771060033269322e-32,6.2074795093227057e-74,4.1899654920781925e-54
1.7036965335659327e-18,0.11640260799999998,0.8585084662769803,0.0,0.0,0.33756756319927989,0.11866996602927826,0.02282156769303777,0.0,5.5927269584709061e-45,3.003361118057429e-31,7.004740821349557e-59,2.9724206142673597e-41,4.7386634656941742e-98,1.7324151411278752e-19,3.2602914611059368e-87,1.7324149461500638e-19,1.2155787370047534e-58,1.7489484529946578e-49,1.7948212428048794e-81,1.084514023198156e-82,7.4460344502038656e-38,9.5770116327913064e-69,6.870510471944883e-13,3.3034024904645548e-14,1.2733097998704037e-17,2.3949255865057489e-27,1.1797400171372363e-38,1.2733098075201432e-17,2.9696209093509117e-26,8.5731434832628264e-31,6.9815263658787892e-35,6.343184319462241e-55,1.470849950373942e-31,1.5887352713238334e-71,6.7040015928205725e-53
3.4073988441172392e-18,0.11640260799999998,0.8585084662769803,0.0,0.0,0.33756756319855979,0.1186699660285912,0.022821567693021252,0.0,8.9483859137710461e-44,1.2013475413309625e-30,8.9635634323815831e-57,2.3779458821783916e-40,2.4255184786284208e-95,3.4648365465127263e-19,2.0865992639858599e-85,3.4648357665994995e-19,1.944934209822592e-57,2.7983297001387797e-48,4.5934595041724674e-79,2.7755807201036292e-80,5.956844157906871e-37,3.0646571248912996e-67,1.3741044239694581e-12,6.6068161822605875e-14,2.5466239079712816e-17,9.5797248543586528e-27,9.4379419611107645e-38,2.5466239385706593e-17,1.1878170872181344e-25,6.8577919632238887e-30,1.1168534408099246e-33,4.0585025265374787e-53,5.8834153070717454e-31,4.0660256060219679e-69,1.0726447933095962e-51
6.814803465219852e-18,0.11640260799999998,0.8585084662769803,0.0,0.0,0.33756756319711956,0.11866996602721706,0.02282156769298822,0.0,1.4317422082728893e-42,4.8053965870562478e-30,1.1468083895037999e-54,1.9023604424370196e-39,1.2412955703203092e-92,6.9296805269574227e-19,1.3354277436725553e-83,6.9296774073005693e-19,3.1119012888088089e-56,4.4773359819930984e-47,1.1753855882489656e-76,7.1022234151740288e-78,4.7654806740751378e-36,9.806924146112814e-66,2.7482111771924732e-12,1.3213643565785279e-13,5.0932520960433911e-17,3.8318933309078269e-26,7.550354884612779e-37,5.0932522184438059e-17,4.7510000331774716e-25,5.4850529356464301e-29,1.786531889089018e-32,2.5962432006883485e-51,2.353369549912292e-30,1.0404239494574465e-66,1.7162352808650765e-50
1.3629612707425078e-17,0.11640260799999998,0.8585084662769803,0.0,0.0,0.33756756319423908,0.1186699660244688,0.022821567692922151,0.0,2.2907835497818057e-41,1.9221601059424111e-29,1.4666373816849235e-52,1.5218898172389034e-38,6.3499182626589896e-90,1.3859373166546703e-18,8.5467528574066949e-82,1.3859360687911518e-18,4.9790472040492932e-55,7.1637402493162664e-46,3.0063735871028812e-74,1.8165899711672321e-75,3.8123846121893975e-35,3.1382190798403222e-64,5.4964246823308054e-12,2.6427298332565152e-13,1.0186508359669031e-16,1.5327571201911277e-25,6.0402725717862651e-36,1.0186508849292978e-16,1.9001817710507618e-24,4.3861445366195942e-28,2.8572054774102807e-31,1.6601443839074195e-49,9.4134876615401129e-30,2.6611689670947218e-64,2.7459792771871019e-49
2.725923119183553e-17,0.11640260799999998,0.8585084662769803,0.0,0.0,0.33756756318847819,0.11866996601897227,0.022821567692790014,0.0,3.6652365630260129e-40,7.6886448596332766e-29,1.8740779901496146e-50,1.217512388883324e-37,3.2456015203894661e-87,2.7718777160523982e-18,5.4699290418586044e-80,2.7718727245968624e-18,7.9664793183659685e-54,1.1461973449284944e-44,7.6831497469328416e-72,4.6425143633443039e-73,3.0499044130551444e-34,1.0042306021364099e-62,1.0992851687376673e-11,5.2854607865046877e-13,2.0373020436846022e-16,6.1310209363957704e-25,4.8321945436871414e-35,2.0373022395518116e-16,7.5989744636176831e-24,3.5058783318729263e-27,4.5676600160099585e-30,1.0606641293831236e-47,3.7653990431707228e-29,6.8009228567695196e-62,4.3935689090837013e-48
5.451846816065644e-17,0.11640260799999998,0.8585084662769803,0.0,0.0,0.33756756317695641,0.11866996600797922,0.022821567692525739,0.0,5.8643202326074035e-39,3.0754600250311075e-28,2.3906412611630127e-48,9.7401004478555033e-37,1.6560989967034059e-84,5.5437660007666682e-18,3.5007598617533167e-78,5.5437460349423711e-18,1.2746368913522485e-52,1.833910686456357e-43,1.9601935425072902e-69,1.184439545248817e-70,2.4399169304019893e-33,3.2135384659765894e-61,2.1985705676545238e-11,1.0570922692569823e-12,4.0746042790902984e-16,2.4524011696933465e-24,3.8657158628746824e-34,4.0746050627000855e-16,3.0381871462078778e-23,2.7998513536193347e-26,7.2959911782066395e-29,6.7650157114168657e-46,1.5061620819198266e-28,1.7351043575396902e-59,7.0297112776922663e-47
1.0903694209829825e-16,0.11640260799999998,0.8585084662769803,0.0,0.0,0.33756756315391279,0.11866996598599309,0.022821567691997193,0.0,9.3827231218133997e-38,1.2301853800246332e-27,3.0392523999542745e-46,7.79207960727155e-36,8.4218472730062151e-82,1.1087572513865233e-17,2.2404966829607812e-76,1.1087492650569733e-17,2.0394188570950718e-51,2.9342395486940729e-42,4.984104442050662e-67,3.0116260985163356e-68,1.9519224414059994e-32,1.0283322319188476e-59,4.3971413571189661e-11,2.1141846502975274e-12,8.1492080297830243e-16,9.8095447015760787e-24,3.0925081963240039e-33,8.1492111653526515e-16,1.2141539066242315e-22,2.2321499843184178e-25,1.1634567749784432e-27,4.3001093749806413e-44,6.02466660850197e-28,4.4117406266494451e-57,1.1247536849044052e-45
2.180738899735819e-16,0.11640260799999998,0.8585084662769803,0.0,0.0,0.33756756310782554,0.11866996594202085,0.022821567690940101,0.0,1.5011749185583351e-36,4.9207518675691669e-27,3.8378435354889462e-44,6.2336613282476256e-35,4.2540762976444334e-79,2.2175305314699962e-17,1.4339276690690519e-74,2.2174985861569846e-17,3.2630689820194281e-50,4.6947262573861184e-41,1.2587783747488175e-64,7.606119368122988e-66,1.5615199715868573e-31,3.2906619725120336e-58,8.7942829025707707e-11,4.228369411688685e-12,1.6298412650694867e-15,3.9237694319577636e-23,2.4739030276508916e-32,1.6298425202059087e-15,4.8476705567901842e-22,1.7734502892450296e-24,1.8491504095627176e-26,2.7148552566914893e-42,2.4098809807726561e-27,1.1142034333352768e-54,1.7996051558133965e-44
4.3614778572414917e-16,0.11640260799999998,0.8585084662769803,0.0,0.0,0.33756756301565111,0.11866996585407637,0.022821567688825917,0.0,2.4016852103875035e-35,1.9683088662784964e-26,4.7820624039055586e-42,4.986924828110749e-34,2.1204498975115933e-76,4.4351250014580712e-17,9.1772608143505419e-73,4.4349972202551615e-17,5.220906046719456e-49,7.511378766587008e-40,3.1371153370865122e-62,1.895589267646518e-63,1.2491871209115029e-30,1.0530109745482632e-56,1.7588565859566058e-10,8.456738931711281e-12,3.2596810370632676e-15,1.5694689216470104e-22,1.9789566535754059e-31,3.2596860649475213e-15,1.9319488365039774e-21,1.3994439977867157e-23,2.9196541802147895e-25,1.6912122244252668e-40,9.6396380473605959e-27,2.7767096425679879e-52,2.8793655951566754e-43
