Time (s),Volume (m^3),Ar,Ne,N2,X(1),CH4(2),O2(3),CO2(4),H2O(5),H2(6),CO(7),C2H6(8),CH2O(9),CH3(10),C3H8(11),H(12),C2H5(13),CH3OH(14),HCO(15),CH3CHO(16),OH(17),C2H4(18),CH4X(48),OX(20),CH3X(21),HOX(22),H2OX(23),HX(19),CH2X(27),CHX(28),CX(26),OCX(25),COX(50),CH3OO(77),C2H6X(52),CH4OX(60),H2X(49),CO2X(24),C2H4X(65),C2H4(47)
1.1403627223874957e-19,0.11640260799999998,0.8585084662769803,0.0,0.0,0.33756756319995179,0.11866996602991935,0.022821567693053182,6.6365652451000683e-95,1.1227263153397342e-49,1.34561286593281e-33,4.2264894943152141e-67,8.9140960898751836e-45,1.281131545752289e-108,1.1595852901570048e-20,2.932344630455279e-94,1.1595852814213033e-20,2.4401657226829236e-63,3.5108264941956561e-54,7.2491106094902698e-91,4.3802479815277355e-92,2.2330839213433773e-41,1.2868776668221061e-74,4.5987497610033829e-14,2.2111197522337137e-15,8.5228502036811932e-19,1.0730122802094269e-29,3.5380706956276024e-42,8.5228502071085116e-19,1.3305319360556253e-28,2.5713662326132917e-34,1.4043613726496552e-39,5.7176334788526181e-62,6.4167508059584648e-81,6.5899318416647717e-34,1.3457684315101018e-57,4.9689508662179526e-67,8.4062413327434329e-46,9.4229755141094249e-87,1.9156343409990214e-87,1.6895873109318612e-87
2.2807873167690443e-19,0.11640260799999998,0.8585084662769803,0.0,0.0,0.33756756319990361,0.11866996602987336,0.022821567693052075,3.3946573490269818e-92,1.796453406727834e-48,5.3826704979389651e-33,5.4045515106150015e-65,7.1317282774972677e-44,6.5528632215654421e-106,2.3192335127250888e-20,1.876881641453114e-92,2.3192334777808612e-20,3.9045299465193577e-62,5.6177305047197387e-53,1.8539283060060341e-88,1.1202292469630238e-89,1.7865519257828272e-40,4.1182971297712983e-73,9.1977490336372285e-14,4.4223594718991294e-15,1.7046162822465786e-18,4.2922237171483358e-29,2.8305908048844481e-41,1.7046162836175632e-18,5.3223340249013739e-28,2.0571757207093929e-33,2.2447611093685461e-38,3.6556910865645182e-60,1.6410558997299663e-78,2.6360800158749569e-33,2.1533755239694864e-56,1.5901836387436154e-65,6.7253123402605978e-45,2.409968906715638e-84,1.226092694292614e-85,1.0814128824868368e-85
4.561636505532142e-19,0.11640260799999998,0.8585084662769803,0.0,0.0,0.33756756319980719,0.11866996602978137,0.022821567693049865,1.7371916621884502e-89,2.8743983119724348e-47,2.1531120137998013e-32,6.9142500482088244e-63,5.7055631858085551e-43,3.3533223251845908e-103,4.6385300102708687e-20,1.2012622072593035e-90,4.6385298704911146e-20,6.2474597499331809e-61,8.9886951403046967e-52,4.7435943386167448e-86,2.8662991417982634e-87,1.429275431089215e-39,1.3179012577618973e-71,1.8395747578758438e-13,8.844838911226942e-15,3.4092788047430919e-18,1.7169243733759139e-28,2.264526195849004e-40,3.4092788102271516e-18,2.1289686943605598e-27,1.6457557630327648e-32,3.5898061932012655e-37,2.3384416351823278e-58,4.1989235314310723e-76,1.0544534723503445e-32,3.4455176667726668e-55,5.0887784744270753e-64,5.3803776012757959e-44,6.1664274496504445e-82,7.8472650762646577e-84,6.9212888608600494e-84
9.123334883058337e-19,0.11640260799999998,0.8585084662769803,0.0,0.0,0.3375675631996144,0.11866996602959741,0.022821567693045441,8.8918059814402044e-87,4.5990950040183e-46,8.612535741249467e-32,8.8475718875215199e-61,4.5645227689712413e-42,1.7163812319519189e-100,9.277123215000876e-20,7.6882637022512516e-89,9.2771226558761709e-20,9.9961050578024503e-60,1.438217274620462e-50,1.2139930142132072e-83,7.3355073907685801e-85,1.1434338597557916e-38,4.2173579026107571e-70,3.6791744668414918e-13,1.768979778987049e-14,6.8186038446945011e-18,6.8677670002195163e-28,1.8116421395879744e-39,6.8186038666310266e-18,8.5158955675819854e-27,1.3165820328852292e-31,5.7421196904990325e-36,1.4961539901041502e-56,1.0745993641976164e-73,4.2178568999971393e-32,5.5129217229783512e-54,1.6284395452503782e-62,4.3043531989784517e-43,1.5781418950622252e-79,5.0223293800115663e-82,4.4297037144848236e-82
1.8246731638110724e-18,0.11640260799999998,0.8585084662769803,0.0,0.0,0.33756756319922876,0.11866996602922948,0.022821567693036598,4.5515455116353243e-84,7.3585962986364962e-45,3.4450318786043004e-31,1.1322213024052022e-58,3.6516470934439166e-41,8.7857896861232201e-98,1.8554310463014667e-19,4.9205482940967493e-87,1.8554308226504478e-19,1.5993903616787986e-58,2.3011683053972474e-49,3.1070861412291077e-81,1.8774451798416469e-82,9.147524274235369e-38,1.3495663457996765e-68,7.3583738845384116e-13,3.5379715547109278e-14,1.3637253904430845e-17,2.7471204879418826e-27,1.4493218038436852e-38,1.3637253992177923e-17,3.4063228825903115e-26,1.0532107552599242e-30,9.1857484546711114e-35,9.5731253006977176e-55,2.7503224999866879e-71,1.6871514247267014e-31,8.8207494959157088e-53,5.2110545981381981e-61,3.4435030475394217e-42,4.0391038320251247e-77,3.2143070285080203e-80,2.8350355944425859e-80
3.64935251482155e-18,0.11640260799999998,0.8585084662769803,0.0,0.0,0.33756756319845749,0.11866996602849363,0.022821567693018907,2.3297213142484641e-81,1.17737835211847e-43,1.3780163037218065e-30,1.4488232228532988e-56,2.9213292099727712e-40,4.4970219429863393e-95,3.7108688313257353e-19,3.1491701348915383e-85,3.7108679367193874e-19,2.5590354068450012e-57,3.6818852584952077e-48,7.951836782220649e-79,4.8048676244967969e-80,7.3180397159991089e-37,4.318631190802252e-67,1.4716772718994745e-12,7.0759551061393666e-14,2.727455394323763e-17,1.0988507619128201e-26,1.1594600702801472e-37,2.7274554294231056e-17,1.3624904837133055e-25,8.4247332340072436e-30,1.4694645339164301e-33,6.1250218486549381e-53,7.0387843157278712e-69,6.748623528964696e-31,1.4113258900479191e-51,1.6675447499374902e-59,2.7548106990576377e-41,1.0337131918426655e-74,2.0571498006694921e-78,1.8144308333287271e-78
7.298711216842507e-18,0.11640260799999998,0.8585084662769803,0.0,0.0,0.337567563196915,0.11866996602702191,0.022821567692983526,1.1922376110170226e-78,1.8838058018937984e-42,5.5120726062375422e-30,1.8535888710946926e-54,2.3370679562609428e-39,2.301354481706558e-92,7.4217457430602941e-19,2.0154752675531929e-83,7.4217421646303784e-19,4.0944652692306981e-56,5.8910273878208292e-47,2.0346785472575901e-76,1.2294468944626111e-77,5.8544381923595933e-36,1.3819649878294692e-65,2.943357038415739e-12,1.4151922208918954e-13,5.4549153698187633e-17,4.3954068144028309e-26,9.2756813162937988e-37,5.4549155102196811e-17,5.4496318182123749e-25,6.7382325206215801e-29,2.3505431266568072e-32,3.9180951937980064e-51,1.8010499247040025e-66,2.6994533780524707e-30,2.2581261735852662e-50,5.3361522212109583e-58,2.203851968701476e-40,2.6450186545558736e-72,1.3165585107822826e-76,1.1612382889488051e-76
1.4597428620884418e-17,0.11640260799999998,0.8585084662769803,0.0,0.0,0.33756756319383002,0.1186699660240785,0.022821567692912766,6.0985974203996994e-76,3.0140834995519085e-41,2.204830750145752e-29,2.3703882555297885e-52,1.869656159022571e-38,1.1772012472974935e-89,1.4843504933273381e-18,1.2899065059223658e-81,1.4843490619544814e-18,6.5511511837429742e-55,9.4256468344985624e-46,5.203944191192277e-74,3.1444637680177975e-75,4.6835504031606433e-35,4.4222926777307472e-64,5.8867165699482624e-12,2.8303856414168998e-13,1.0909835191743333e-16,1.7581623857321077e-25,7.420529747054187e-36,1.0909835753374344e-16,2.1795845224000155e-24,5.3880888796036947e-28,3.7591226500803077e-31,2.5052412198001411e-49,4.6064044373310238e-64,1.0797824648756276e-29,3.6130055907453821e-49,1.7075684746818546e-56,1.7630831067743545e-39,6.764964404258629e-70,8.4257241263132117e-75,7.4319329544768726e-75
2.919486342896824e-17,0.11640260799999998,0.8585084662769803,0.0,0.0,0.33756756318766007,0.11866996601819167,0.022821567692771248,3.1167674295663126e-73,4.8225093429398849e-40,8.819328250189389e-29,3.0285312443228499e-50,1.4957255787422951e-37,6.0162461240057882e-87,2.9687044780674481e-18,8.2554128553897436e-80,2.9686987525743494e-18,1.048184684306923e-53,1.5081018897124752e-44,1.3297706624406308e-71,8.0350892407548127e-73,3.746835912563252e-34,1.4151343512764877e-62,1.1773435627013279e-11,5.660772482343251e-13,2.1819674319330783e-16,7.0326401158551567e-25,5.9363927032714421e-35,2.1819676566072062e-16,8.7161848806140783e-24,4.3064752648335879e-27,6.0091522495475099e-30,1.6004017668159681e-47,1.1770777837447031e-61,4.3191346496994307e-29,5.7808116384745803e-48,5.4642079922329494e-55,1.4104673668866915e-38,1.7286584029701537e-67,5.39213403258706e-73,4.7564392713680667e-73
5.838973304513589e-17,0.11640260799999998,0.8585084662769803,0.0,0.0,0.33756756317532011,0.11866996600641801,0.02282156769248821,1.5899735301171719e-70,7.7159327299727214e-39,3.5277338162645843e-28,3.8623709040002963e-48,1.1965806178729658e-36,3.0691079831412875e-84,5.9374210343367797e-18,5.283472612537145e-78,5.9373981323620082e-18,1.6770957457610791e-52,2.412955836760604e-43,3.3918120496427002e-69,2.0494896125021604e-70,2.9974600066211871e-33,4.5284306494266757e-61,2.3546873717143199e-11,1.1321546163701339e-12,4.3639350509459176e-16,2.8130471633528419e-24,4.749061770307399e-34,4.3639359498154304e-16,3.4847509153883456e-23,3.4387989339856302e-26,9.5973708102618138e-29,1.0205039782524463e-45,3.002328124466837e-59,1.7276568682285922e-28,9.2492998893794506e-47,1.748537897932965e-53,1.1283746757433214e-37,4.4092338740567463e-65,3.4505413365209227e-71,3.044121384506614e-71
