Time (s),Volume (m^3),Ar,Ne,N2,X(1),CH4(2),O2(3),CO2(4),H2O(5),H2(6),CO(7),C2H6(8),CH2O(9),CH3(10),C3H8(11),H(12),C2H5(13),CH3OH(14),HCO(15),CH3CHO(16),OH(17),C2H4(18),CH4X(48),OX(20),CH3X(21),HOX(22),HX(19),CH2X(27),CHX(28),CX(26),OCX(25),H2X(49),COX(50),CHOX(53)
0.0,0.11640260799999998,0.8585084662769803,0.0,0.0,0.33756756319999998,0.11866996602996532,0.022821567693054285,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
7.114244592107898e-24,0.11640260799999998,0.8585084662769803,0.0,0.0,0.33756756319999998,0.11866996602996532,0.022821567693054285,0.0,3.8996856050084767e-73,7.8554517967149819e-42,2.2183113025188619e-93,3.7875379447731192e-57,1.0405596556582924e-142,7.2341660732120292e-25,-7.8175306066038922e-118,7.2341660732107995e-25,1.2127364198099348e-79,2.0624004337108665e-74,4.7284250079161182e-121,2.8571331319771855e-122,4.5026156237840145e-58,7.7301915237593517e-95,2.8689670379046558e-18,1.3794248471136902e-19,5.3170486719243188e-23,6.2640572240848478e-38,5.3170486719249688e-23,3.2284890368628919e-36,2.8311869812480749e-45,1.3426356109119142e-52,4.1881672100425655e-83,5.3574613648160551e-58,4.1854962866455083e-111,-9.2829081920260195e-115
1.9919884857902116e-23,0.11640260799999998,0.8585084662769803,0.0,0.0,0.33756756319999998,0.11866996602996532,0.022821567693054285,0.0,1.2173063127426064e-71,4.7446928852931074e-41,2.4796952777219725e-91,5.7237273421372549e-56,3.7978031202046644e-140,2.0255665004997652e-24,1.5089319972536028e-116,2.0255665004990235e-24,3.4201107416889449e-78,6.4845167052827888e-73,9.5613211980893186e-119,5.7773925850616538e-120,5.3455050565102055e-57,4.001369762211158e-93,8.0331077061330364e-18,3.8623895719183324e-19,1.4887736281387026e-22,3.7834903994586343e-37,1.4887736281390962e-22,1.9500073766139211e-35,3.3611851796364944e-44,1.6129241437968893e-51,2.5776544163663892e-81,6.3603781324044384e-57,8.4634681319490437e-109,9.5054642089713549e-113
4.5531165389490546e-23,0.11640260799999998,0.8585084662769803,0.0,0.0,0.33756756319999998,0.11866996602996531,0.022821567693054285,0.0,2.7101966817271732e-70,2.2843653826006043e-40,2.2990924438284526e-89,6.1573246860526707e-55,1.4090467312940711e-137,4.6298662868584793e-24,1.5932859153188686e-114,4.629866286854911e-24,7.4394879088056686e-77,1.4466598773477502e-71,1.7737821635239295e-116,1.071801240284649e-117,5.2482481137395572e-56,1.7471546357822943e-91,1.8361389042589777e-17,8.8283190215276172e-19,3.4029111500308176e-22,1.8215875949309755e-36,3.402911150032713e-22,9.388446094428315e-35,3.3000315313889753e-43,1.623712222132663e-50,1.192740345469194e-79,6.2446569671235305e-56,1.5701123832834793e-106,2.0398379944610897e-110
9.67537264526674e-23,0.11640260799999998,0.8585084662769803,0.0,0.0,0.33756756319999998,0.1186699660299653,0.022821567693054285,0.0,5.0718835045752246e-69,9.9764237830255355e-40,1.8245387375887988e-87,5.6596422001068209e-54,4.4789210980078655e-135,9.8384658595822664e-24,1.2593598261144155e-112,9.8384658595666793e-24,1.3791556788094167e-75,2.7094333618020216e-70,2.8178768741042151e-114,1.7026915653083911e-115,4.6420152230761105e-55,6.5042186451208075e-90,3.9017951715503187e-17,1.8760177920746187e-18,7.2311861938133427e-22,7.95535013431491e-36,7.2311861938216201e-22,4.1001810512212665e-34,2.9188405008845772e-42,1.5075495322443887e-49,4.7240536014148283e-78,5.523328369288031e-55,2.4943217185222883e-104,3.4380281159865878e-108
1.9919884857902113e-22,0.11640260799999998,0.8585084662769803,0.0,0.0,0.33756756319999992,0.11866996602996525,0.022821567693054285,0.0,8.7573104867063139e-68,4.1649605436960417e-39,1.3850831151453414e-85,4.8419430581297582e-53,1.36064965654326e-132,2.0255665005055275e-23,8.9258964618491921e-111,2.0255665004990203e-23,2.3704162360720871e-74,4.6798706724693778e-69,4.2795824161494076e-112,2.5859216736772454e-113,3.9018921532453319e-54,2.2408019412528669e-88,8.0331077061329717e-17,3.8623895719183326e-18,1.4887736281371571e-21,3.3212008539650108e-35,1.4887736281406123e-21,1.7117448643095606e-33,2.4534612857939807e-41,1.3872912814127717e-48,1.7920741940029465e-76,4.6426903004876629e-54,3.7881908411149656e-102,5.3728317313287331e-106
4.0408909283172856e-22,0.11640260799999998,0.8585084662769803,0.0,0.0,0.33756756319999981,0.11866996602996517,0.022821567693054282,0.0,1.4547940811841575e-66,1.7015222818881532e-38,1.0798308943980414e-83,4.0034121544508598e-52,4.242044719217563e-130,4.1090063296103026e-23,6.0067191282748797e-109,4.1090063295837164e-23,3.9287910731797299e-73,7.7756695603361607e-68,6.6717077695704822e-110,4.0313544737930019e-111,3.1990047253393535e-53,7.4364046559364058e-87,1.6295732775298158e-16,7.8351331316057558e-18,3.0200836456460725e-21,1.3568179152797643e-34,3.0200836456601886e-21,6.9930361983756081e-33,2.0114957471895804e-40,1.3343470109768092e-47,6.9880839687652316e-75,3.80635800885871e-53,5.9056468143884677e-100,8.4994686705450674e-104
8.138695813371434e-22,0.11640260799999998,0.8585084662769803,0.0,0.0,0.33756756319999964,0.118669966029965,0.022821567693054278,0.0,2.3714831192738021e-65,6.8778251172162622e-38,9.0980784159232211e-82,3.2555082769985098e-51,1.428620344872371e-127,8.275885987860546e-23,3.9412281268799152e-107,8.2758859877530811e-23,6.3970177900294268e-72,1.2676285747274816e-66,1.1237051436853337e-107,6.7899463126762978e-109,2.5906333961243265e-52,2.4230441891422221e-85,3.2820982913628068e-16,1.5780620250980593e-17,6.0827036806529871e-21,5.4844668518773357e-34,6.0827036807100458e-21,2.8266969588186002e-32,1.6289613318351449e-39,1.3996060026613538e-46,2.9467502814889713e-73,3.0824874036659204e-52,9.9467871330527236e-98,1.4430988133901085e-101
1.6334305583479732e-21,0.11640260799999998,0.8585084662769803,0.0,0.0,0.33756756319999931,0.11866996602996467,0.022821567693054271,0.0,3.8297850132663504e-64,2.765543232928938e-37,8.5274416495374704e-80,2.6256853642625995e-50,5.3512300450841102e-125,1.6609645304523809e-22,2.553857172381293e-105,1.6609645304091695e-22,1.032481250385275e-70,2.0472176834323487e-65,2.1051819517464923e-105,1.2720483218321796e-106,2.0851613899024061e-51,7.8238628574373708e-84,6.5871483190285973e-16,3.167159448973023e-17,1.2207943750623142e-20,2.2052734870417132e-33,1.2207943750852576e-20,1.1366023492582905e-31,1.3111296742917173e-38,1.6400729936702765e-45,1.3826407021842211e-71,2.481054035383653e-51,1.8634600769880601e-95,2.716350981353457e-99
3.2725525123696327e-21,0.11640260799999998,0.8585084662769803,0.0,0.0,0.33756756319999864,0.11866996602996401,0.022821567693054254,0.0,6.1561080518521778e-63,1.1091065308112601e-36,8.8887358396457245e-78,2.1090932754338953e-49,2.2293721801153697e-122,3.3277163938501428e-22,1.6446125276877289e-103,3.3277163936768468e-22,1.6591696516338182e-69,3.2908238251002797e-64,4.3863758798716373e-103,2.6504512191424041e-104,1.6732014728721055e-50,2.514910804188593e-82,1.3197248374359421e-15,6.3453542967229351e-17,2.4458423890388766e-20,8.8440807796591718e-33,2.4458423891308903e-20,4.5582832520368361e-31,1.0520987957580188e-37,2.1402365052416375e-44,7.2139397538773538e-70,1.9908896161945294e-50,3.8827220214944396e-93,5.6759036759355343e-97
