Time (s),Volume (m^3),Ar,Ne,N2,X(1),CH4(2),O2(3),CO2(4),H2O(5),H2(6),CO(7),C2H6(8),CH2O(9),CH3(10),C3H8(11),H(12),C2H5(13),CH3OH(14),HCO(15),CH3CHO(16),OH(17),C2H4(18),CH4X(55),OX(20),CH3X(21),HX(19),CH2X(27),CHX(28),CX(26),HOX(22),OCX(25),H2X(56),CO2X(24),CHOX(60),COX(57),H2OX(23)
6.746385521509571e-21,0.11640260799999998,0.8585084662769803,0.0,0.0,0.33756756319999714,0.1186699660299626,0.022821567693054223,4.1104991977410823e-98,1.8643688842034386e-54,1.2212016248602429e-36,6.4227511450039643e-62,1.3265018998450884e-51,4.2068441653256978e-41,1.4268532101883646e-23,2.1515382187904586e-95,1.4268532101641652e-23,2.4187262539365091e-60,2.6522135367349456e-64,1.8078255721025079e-62,6.8194497206262548e-89,4.2068443605719251e-41,1.0867622002229637e-74,2.7206202198436548e-15,1.308098378695312e-16,5.0421178667520219e-20,5.042117982341092e-20,5.778410080468094e-28,8.2008213706778995e-32,1.1715995915579116e-36,3.7569644030985289e-32,1.6978363199730143e-61,4.234214760650911e-50,9.8385689019517932e-89,2.2151748078087729e-57,6.1336177337890768e-77,7.3331803552822321e-46
1.3498632368407075e-20,0.11640260799999998,0.8585084662769803,0.0,0.0,0.33756756319999431,0.11866996602995988,0.022821567693054157,1.0769461857983907e-95,2.5954605509451737e-53,9.4713052869966848e-36,5.1421062237609842e-61,1.0622773375189068e-50,1.6838340013850542e-40,2.8549460843792533e-23,6.89522835179289e-94,2.8549460842823925e-23,1.9369426765209912e-59,4.248472560495138e-63,1.4473596930465908e-61,1.094062531318643e-87,1.6838341577004878e-40,1.7407082065170239e-73,5.4436041410060544e-15,2.6173332459906712e-16,1.0088616258892058e-19,1.0088616721582397e-19,2.3125416710827078e-27,6.5647717075173799e-31,9.5905280939472716e-36,1.5037621104102731e-31,5.5585916789472401e-60,6.5542226727921204e-49,1.28889295209031e-86,1.7734866986737653e-56,9.8217798812277316e-76,5.8709931618316642e-45
2.700312606220208e-20,0.11640260799999998,0.8585084662769803,0.0,0.0,0.3375675631999886,0.11866996602995444,0.022821567693054025,2.8775477593321329e-93,3.8423498210398448e-52,7.4561457079631736e-35,4.1152477703648693e-60,8.5025238007348013e-50,6.7375293010952072e-40,5.711131832908922e-23,2.2081234512985006e-92,5.7111318325213509e-23,1.550339194122942e-58,6.8014852840788164e-62,1.158327636631055e-60,1.7578138538915973e-86,6.73753055208949e-40,2.7866449410894681e-72,1.0889571983325719e-14,5.2358029805812833e-16,2.0181612695988046e-19,2.0181614547614614e-19,9.2505530318531356e-27,5.2524175974845653e-30,8.0123073831638497e-35,6.0169852233850344e-31,1.8565620169462669e-58,1.0308188310394322e-47,1.722057901768559e-84,1.4193282478064799e-55,1.5721244180408428e-74,4.6985628221529942e-44
5.401211344979209e-20,0.11640260799999998,0.8585084662769803,0.0,0.0,0.33756756319997716,0.11866996602994355,0.022821567693053765,7.976116789460848e-91,5.8992801881711006e-51,5.9142033696557572e-34,3.2928234677960727e-59,6.8037410644817177e-49,2.6954504421583012e-39,1.1423503330559825e-22,7.0686367797698666e-91,1.1423503329009289e-22,1.2405854532821273e-57,1.088546284491277e-60,9.2683809982913362e-60,2.8342029111390171e-85,2.6954514431369785e-39,4.4598416993591927e-71,2.1781507667944504e-14,1.0472742449762087e-15,4.0367604181443744e-19,4.0367611591254638e-19,3.6987241971228023e-26,4.2005014969172827e-29,6.9499024175265494e-34,2.4071683219323011e-30,6.4346397520556829e-57,1.6343937349421782e-46,2.3869620326433018e-82,1.1356780678846571e-54,2.5159108986966107e-73,3.7595384938962414e-43
1.0803008822497212e-19,0.11640260799999998,0.8585084662769803,0.0,0.0,0.33756756319995435,0.11866996602992176,0.022821567693053241,2.3525868264777637e-88,9.2399183994154847e-50,4.7073510111721618e-33,2.6345089109392939e-58,5.4436810461012383e-48,1.0782679275520268e-38,2.2848246328227893e-22,2.2623865381498595e-89,2.2848246322025242e-22,9.9259401735431945e-57,1.7419024496814206e-59,7.4154088366231394e-59,4.6028038817331312e-84,1.0782687284000929e-38,7.1367146930929229e-70,4.356537903709991e-14,2.0946621388122003e-15,8.0739581597410853e-19,8.0739611255832808e-19,1.4779331190759452e-25,3.3571564433567035e-28,6.4213470676296283e-33,9.6293163745862782e-30,2.3738963901723191e-55,2.6011040743827136e-45,3.5209867839687354e-80,9.0862844020366507e-54,4.0258669395134214e-72,3.0078753473052895e-42
2.1606603777533217e-19,0.11640260799999998,0.8585084662769803,0.0,0.0,0.33756756319990866,0.1186699660298782,0.022821567693052193,7.6072656723146824e-86,1.4624416402637838e-48,3.7503417749855092e-32,2.1077072643634813e-57,4.3552190128386965e-47,4.3132472186001064e-38,4.5697732333029067e-22,7.2403134280462313e-88,4.5697732308217457e-22,7.9412547915478867e-56,2.7871672682375971e-58,5.9326087006325341e-58,7.581249022739715e-83,4.3132536255142058e-38,1.1419517947731055e-68,8.7133121775082083e-14,4.1894379264835051e-15,1.6148351420957398e-18,1.6148363298179988e-18,5.8985992052054416e-25,2.6801677364406151e-27,6.5105898141716255e-32,3.8517708295234727e-29,9.6041048946717832e-54,4.1442803956665449e-44,5.6943883077859351e-78,7.2693681048436806e-53,6.4417148569472014e-71,2.406348870631967e-41
4.321379368760523e-19,0.11640260799999998,0.8585084662769803,0.0,0.0,0.33756756319981734,0.11866996602979106,0.022821567693050097,2.7536015393527399e-83,2.327057832728159e-47,2.9846317750975016e-31,1.6862065598539071e-56,3.4842830941409238e-46,1.7253339903558399e-37,9.1396704380491551e-22,2.3170085462131772e-86,9.1396704281243152e-22,6.3532049054487617e-55,4.4593763056534447e-57,4.7461996178023361e-57,1.2822769109167412e-81,1.7253391157294652e-37,1.8271848303340594e-67,1.7426860724973181e-13,8.3789895018234048e-15,3.2297129055486493e-18,3.2297176671640764e-18,2.3488559055856023e-24,2.1351445335551576e-26,7.3924270548168221e-31,1.5406497201294285e-28,4.3502358747860004e-52,6.5967004091127843e-43,1.0309397532957751e-75,5.815625314777981e-52,1.0307009700709894e-69,1.9250197674086277e-40
8.642817350774925e-19,0.11640260799999998,0.8585084662769803,0.0,0.0,0.33756756319963471,0.11866996602961678,0.022821567693045906,1.1125532959958664e-80,3.7127199402388264e-46,2.3665805521667013e-30,1.3489886464621611e-55,2.7874667657328755e-45,6.9014061727798423e-37,1.8279464862685639e-21,7.4146005673059509e-85,1.8279464822985957e-21,5.0826443624526826e-54,7.1343211176529245e-56,3.7970047605690878e-56,2.2732668314836254e-80,6.9014471717870594e-37,2.9235453008178557e-66,3.4853957819377277e-13,1.6758092652492369e-14,6.4594648772969444e-18,6.4594840079290693e-18,9.3115288666342011e-24,1.6938460988116643e-25,9.3657425607748424e-30,6.1619420152441675e-28,2.1994317536284098e-50,1.0463791057086334e-41,2.0832829736335841e-73,4.652543935246989e-51,1.6491509149926541e-68,1.5398660778999808e-39
1.728569331480373e-18,0.11640260799999998,0.8585084662769803,0.0,0.0,0.33756756319926939,0.11866996602926823,0.022821567693037528,4.8844465311905683e-78,5.930955801020305e-45,1.8616875540833001e-29,1.0792789859972929e-54,2.2299849468222447e-44,2.760576515365734e-36,3.6559053772534853e-21,2.3726999072669186e-83,3.6559053613735248e-21,4.0661476782167238e-53,1.1412424413317352e-54,3.037621839597759e-55,4.346539265315958e-79,2.7606093076188977e-36,4.6777121537068343e-65,6.9708152006082092e-13,3.3516298953786953e-14,1.2918954600194892e-17,1.2919031778407619e-17,3.6590941169537363e-23,1.3327665487035768e-24,1.2883347923347494e-28,2.4642138837521101e-27,1.2082606508006835e-48,1.6471343240264041e-40,4.5740266065026927e-71,3.7220387823529874e-50,2.6388459086894029e-67,1.2316314349479639e-38
3.457144524286134e-18,0.11640260799999998,0.8585084662769803,0.0,0.0,0.33756756319853876,0.11866996602857113,0.02282156769302077,2.2438002470201381e-75,9.479013290203247e-44,1.4417143945064397e-28,8.6436762439532481e-54,1.7839852399192391e-43,1.1042334185392854e-35,7.311823183453597e-21,7.5926841303239128e-82,7.3118231199337898e-21,3.2529310383587766e-52,1.8251669512738071e-53,2.4301046913452416e-54,9.2283217934415212e-78,1.1042596409912617e-35,7.4843712294899322e-64,1.3941654037107824e-12,6.7032711556202743e-14,2.5837877163846491e-17,2.5838190869781099e-17,1.4137190148867645e-22,1.0321595670903362e-23,1.8531637042332166e-27,9.8522799276091854e-27,6.9462225645730916e-47,2.5537709051350193e-39,1.0507065351199777e-68,2.977610336966907e-49,4.2265024174572615e-66,9.8487836210267851e-38
