Time (s),Volume (m^3),N2,Ar,He,Ne,X(1),CH4(2),O2(3),CO2(4),H2O(5),H2(6),CO(7),C2H6(8),CH2O(9),CH3(10),C3H8(11),H(12),C2H5(13),CH3OH(14),HCO(15),CH3CHO(16),OH(17),C2H4(18),CH4X(33),OX(20),CH3X(22),HX(19),CH2X(134),CHX(26),HOX(23),H2X(36),CXHO(27),H2OX(35),CX(24),OCX(21),COX(37),CO2X(34)
1.0671295957388727e-20,0.066515776,0.80000000000000004,0.0,0.0,0.0,0.1928957503999969,0.099999999999997258,0.099999999999999839,6.330620020724991e-100,1.4256281857232952e-61,2.542214054981754e-47,1.0539708816192437e-85,4.3332745578873515e-47,2.6173168330652289e-94,8.0334077706611162e-37,0.0,8.9770799832561082e-42,1.0651042549700018e-99,1.7400930952519888e-67,8.3876338058183211e-81,7.0350676851016005e-92,7.1341704871693986e-59,8.1445922315331571e-138,2.7412843616004101e-15,3.408511474778192e-16,4.1413961869595621e-18,4.1413963489437627e-18,8.0988078948540698e-26,2.6808008110248877e-30,6.2666711609759629e-34,1.0492582813885625e-60,2.319767386688239e-60,1.9049217815809264e-75,1.4567256293017659e-47,1.3539510844371177e-67,1.0985087670617986e-99,5.2535874814699037e-114
2.135186324054408e-20,0.066515776,0.80000000000000004,0.0,0.0,0.0,0.19289575039999382,0.09999999999999451,0.099999999999999672,1.6233174468560237e-97,2.283659666132267e-60,2.0358331446650528e-46,1.3507304154571668e-83,3.470133959883402e-46,3.3556575394190053e-92,3.2154566208270612e-36,0.0,3.5931715481265571e-41,6.8306702729077516e-98,2.7873889752049674e-66,5.3745875630861026e-79,9.0196482961520738e-90,5.7116742702593951e-58,1.0445636133704878e-135,5.4849503774480539e-15,6.8199842974926157e-16,8.2863902971023668e-18,8.2863909454720305e-18,3.2415263952899641e-25,2.1462043387334993e-29,2.5083016057680178e-33,1.6806368174110248e-59,7.432096551228782e-59,6.1030801071447483e-74,2.3325891935040766e-46,8.6757825006556494e-66,2.8156312986820389e-97,2.6942918192971064e-111
4.2712997806854793e-20,0.066515776,0.80000000000000004,0.0,0.0,0.0,0.19289575039998763,0.099999999999989014,0.099999999999999326,4.1588558296122629e-95,3.6559806018111168e-59,1.6294917683949758e-45,1.7298785168180564e-81,2.7775134281287988e-45,4.298480357535899e-90,1.2866014377988485e-35,0.0,1.4377366997488241e-40,4.3761147329835735e-96,4.4624159680530528e-65,3.441595038493534e-77,1.155385452377999e-87,4.5710753097370088e-57,1.3383584194045449e-133,1.097228240830101e-14,1.3642929942921001e-15,1.6576378030809159e-17,1.6576380625218177e-17,1.2969468681505373e-24,1.7175095526979533e-28,1.0036473635136923e-32,2.6904787357687236e-58,2.3795309371910241e-57,1.9541593695566498e-72,3.7334384094180353e-45,5.5555016378150373e-64,7.2119691181183392e-95,1.3805298282483322e-108
8.543526693947621e-20,0.066515776,0.80000000000000004,0.0,0.0,0.0,0.19289575039997525,0.099999999999978023,0.099999999999998646,1.0649343577087166e-92,5.8512699127774002e-58,1.3039237393584479e-44,2.2145625812298233e-79,2.2225731404284164e-44,5.5034123799045881e-88,5.1472431904627235e-35,0.0,5.7518833828855977e-40,2.8021493018845932e-94,7.1419407640810978e-64,2.2029302644427206e-75,1.4792581144218078e-85,3.6575547525366498e-56,1.7139418550511154e-131,2.19469464666376e-14,2.7288821233775927e-15,3.3156351551907715e-17,3.3156361931919292e-17,5.1879446625650643e-24,1.3740986803622371e-27,4.0152429883078999e-32,4.3059346277613533e-57,7.6155204231143183e-56,6.2551889164146932e-71,5.9740020856396913e-44,3.5560205530342101e-62,1.8465322303132904e-92,7.0700941526899544e-106
1.7087980520471905e-19,0.066515776,0.80000000000000004,0.0,0.0,0.0,0.19289575039995049,0.099999999999956041,0.099999999999997286,2.7258687063249424e-90,9.3633937525522136e-57,1.0432713663086499e-43,2.8341117284217081e-77,1.7782831092763971e-43,7.0434037859367138e-86,2.0590645687723468e-34,0.0,2.3009409150038831e-39,1.7938346712802137e-92,1.1428764543901625e-62,1.4096089056607113e-73,1.8931908680523147e-83,2.9263216319115093e-55,2.1943846855472118e-129,4.3896274569833488e-14,5.4580603815478399e-15,6.6316290808846401e-17,6.6316332337760567e-17,2.0747970530644994e-23,1.0991115356661368e-26,1.6062279104855233e-31,6.8904319159888409e-56,2.4364932103433325e-54,2.0019613263149473e-69,9.5570887259090931e-43,2.2754230223158568e-60,4.7262474979291169e-90,3.6194086065151879e-103
3.417688817352047e-19,0.066515776,0.80000000000000004,0.0,0.0,0.0,0.19289575039990101,0.099999999999912076,0.099999999999994552,6.9741502531342751e-88,1.4982522519212152e-55,8.3467041267426901e-43,3.6254526345229033e-75,1.4227157081407482e-42,9.0102512482003475e-84,8.2365912146037271e-34,0.0,9.2041406525428878e-39,1.1482004991235211e-90,1.8287347243249303e-61,9.0159700443306241e-72,2.4218572272596061e-81,2.3411684407069997e-54,2.8091559748526718e-127,8.7794930722316051e-14,1.0916416897885383e-14,1.3263613818170525e-16,1.3263630434799891e-16,8.295131355451864e-23,8.7889640404794042e-26,6.4251730736062617e-31,1.1025444997913156e-54,7.7919491962408413e-53,6.4067589060462119e-68,1.528480608201955e-41,1.4553785610316018e-58,1.2091841460526853e-87,1.8520570448422106e-100
6.835470347961761e-19,0.066515776,0.80000000000000004,0.0,0.0,0.0,0.19289575039980203,0.099999999999824146,0.099999999999989098,1.7830168231569541e-85,2.3972919412811634e-54,6.6775824603958443e-42,4.6343807824309199e-73,1.1382072582203948e-41,1.1517745531683963e-81,3.2947017488642276e-33,0.0,3.6817331478044604e-38,7.3489433653417309e-89,2.9260803313899624e-60,5.7624803104288387e-70,3.095841783182034e-79,1.8729792034892353e-53,3.5959358983437641e-125,1.7559224281164439e-13,2.1833129930548672e-14,2.6527570836346499e-16,2.6527637339267377e-16,3.3146095294613861e-22,7.0243948417224456e-25,2.5701215103347964e-30,1.7641330133597966e-53,2.4900500524590411e-51,2.05024086300512e-66,2.4432940351311325e-40,9.301927869022773e-57,3.0913854336306409e-85,9.4699814076588812e-98
1.3671033409181189e-18,0.066515776,0.80000000000000004,0.0,0.0,0.0,0.19289575039960408,0.099999999999648287,0.099999999999978176,4.5520880254771502e-83,3.8357407745878502e-53,5.3421630650291052e-41,5.9158392405752232e-71,9.1057808719664434e-41,1.4702318791511522e-79,1.3178926914126654e-32,0.0,1.4727098302426447e-37,4.703460706336445e-87,4.6818086708889843e-59,3.6778950794100252e-68,3.9518131103732039e-77,1.4984011364796251e-52,4.6029279405892616e-123,3.51186866127754e-13,4.3666555995828049e-14,5.3055435047208722e-16,5.3055701341180244e-16,1.3230571546601168e-21,5.6085049526077765e-24,1.0280590553212704e-29,2.8226670802949758e-52,7.9461783027281838e-50,6.5609006175254836e-65,3.9018622956819671e-39,5.9369425829669419e-55,7.8924197111181848e-83,4.8354347258370482e-95
2.7342159531620042e-18,0.066515776,0.80000000000000004,0.0,0.0,0.0,0.19289575039920817,0.099999999999296568,0.099999999999956346,1.1589624307891902e-80,6.1372538245949552e-52,4.2737844879101174e-40,7.5309249669682605e-69,7.2846482801111312e-40,1.8715480687362568e-77,5.2715862626787256e-32,0.0,5.8908820771060215e-37,3.0102454843157709e-85,7.4909462141437301e-58,2.3409485392890805e-66,5.0304879551055802e-75,1.1987280077004458e-51,5.891814223364739e-121,7.0237610930978507e-13,8.7333408126197989e-14,1.0611096416772365e-15,1.0611203157352453e-15,5.2699861890262447e-21,4.469207314219959e-23,4.1122570833228907e-29,4.5163262254293686e-51,2.5287258951026141e-48,2.0995122157831814e-63,6.2192878856331418e-38,3.7788128174822786e-53,2.0094481789609543e-80,2.4622184129023268e-92
5.468441177649775e-18,0.066515776,0.80000000000000004,0.0,0.0,0.0,0.19289575039841633,0.099999999998593131,0.099999999999912673,2.934674815007654e-78,9.8196922516879848e-51,3.4190738538618644e-39,9.5349322238441462e-67,5.8276871930252793e-39,2.3693796468443891e-75,2.1086308150764104e-31,0.0,2.3563691750625677e-36,1.926550025461033e-83,1.198551814648958e-56,1.4818778372572203e-64,6.3685549326748228e-73,9.5898522817788817e-51,7.5415464934098658e-119,1.4047545818730943e-12,1.7466711238618267e-13,2.1222122520990593e-15,2.1222551242043214e-15,2.0903926028199757e-20,3.5474981866718578e-22,1.6449069738031413e-28,7.2262193172238209e-50,8.0030278738417208e-47,6.7184985190442094e-62,9.8757969136527098e-37,2.3920811890478475e-51,5.0884488865786213e-78,1.2469581058432257e-89
1.0936891626625317e-17,0.066515776,0.80000000000000004,0.0,0.0,0.0,0.19289575039683265,0.099999999997186256,0.09999999999982534,7.3516163864964266e-76,1.5711722808066329e-49,2.7353180664505932e-38,1.1943421975044252e-64,4.6620718010034811e-38,2.9674066703231922e-73,8.4344615657874828e-31,0.0,9.4255733194427393e-36,1.6291403964125691e-81,1.9176661217713694e-55,9.2801776175194376e-63,7.9757488449354091e-71,7.6718928388060194e-50,3.3032237732323846e-117,2.8095114717967029e-12,3.4933452090313121e-13,4.244385585467828e-15,4.2445584480261493e-15,8.2239689136065524e-20,2.7943922639092909e-21,6.5796359240194684e-28,1.1562193743037281e-48,2.5054904033555847e-45,2.1499486083871323e-60,1.5566269313772319e-35,1.4980275533990625e-49,1.2748089471682846e-75,6.2476110034775929e-87
2.18737925245764e-17,0.066515776,0.80000000000000004,0.0,0.0,0.0,0.19289575039366533,0.099999999994372493,0.099999999999650674,1.8035147083612601e-73,2.5139317472081671e-48,2.1883459530482451e-37,1.4651172920483785e-62,3.7295216545071761e-37,3.6389967249913804e-71,3.3737288369995968e-30,0.0,3.770302197283765e-35,1.046557063791288e-79,3.0682092516861333e-54,5.6910993119078838e-61,9.7804287879207781e-69,6.1375182533110699e-49,4.1670783812205075e-115,5.6190250308319013e-12,6.9866933792494517e-13,8.4886047061389778e-15,8.4893066551777537e-15,3.1844306570608407e-19,2.1687635359501804e-20,2.6318557815262469e-27,1.8500257417479406e-47,7.679860033981997e-44,6.8799869280310774e-59,2.4186041464808747e-34,9.1867030241154996e-48,3.1279179401776033e-73,3.0654847652459448e-84
4.3747594320478566e-17,0.066515776,0.80000000000000004,0.0,0.0,0.0,0.19289575038733064,0.099999999988744981,0.099999999999301342,4.2521588179908459e-71,4.0224754965458749e-47,1.7508310175024524e-36,1.7274456902776441e-60,2.9833956566322269e-36,4.2878842854296598e-69,1.3494456185563143e-29,0.0,1.5081817362894533e-34,6.6976453578485369e-78,4.9089463278578652e-53,3.3539289073665164e-59,1.1523425085213e-66,4.9100155629053851e-48,5.3465779277847137e-113,1.1238051265654362e-11,1.3973389719202398e-12,1.6976532793877657e-14,1.6979417444444093e-14,1.1967789650266898e-18,1.6369754766242863e-19,1.0527424503701382e-26,2.9602925189872352e-46,2.2614585907478142e-42,2.201695104204094e-57,3.6579817230706743e-33,5.4139889583634669e-46,7.3771571385278904e-71,1.4456222393864588e-81
