Time (s),Volume (m^3),Ar,Ne,N2,X(1),CH4(2),O2(3),CO2(4),H2O(5),H2(6),CO(7),C2H6(8),CH2O(9),CH3(10),C3H8(11),H(12),C2H5(13),CH3OH(14),HCO(15),CH3CHO(16),OH(17),C2H4(18),CH4X(48),OX(20),HX(19),HOX(22),CH3OO(77),CH3X(21),H2X(49),C2H4(47),C2H6X(52),C2H4X(205),H2OX(23),C2H4X(65)
5.482880987687955e-21,0.16628943999999996,0.8585084662769803,0.0,0.0,0.45230727679999716,0.11866996602996263,0.022821567693054247,0.0,1.5261544164124512e-54,1.4979515162979628e-30,0.0,6.9270380071926669e-46,0.0,4.8390772724833103e-17,6.4292615449089649e-90,4.8390772724333015e-17,4.6409074577279681e-61,4.617637707041986e-59,0.0,0.0,1.337861393043694e-45,9.785898690066461e-72,2.6427529438744431e-15,7.8247217622653989e-17,3.1324985035071714e-19,4.543665120258082e-32,1.6824417431009396e-31,3.1324984985350674e-19,5.3809818911099189e-44,7.1816723067712069e-82,6.0138429462026835e-60,6.1000230718955183e-96,8.3196755840866351e-46,8.3778372466289916e-86
1.0970525555730114e-20,0.16628943999999996,0.8585084662769803,0.0,0.0,0.45230727679999444,0.11866996602995994,0.022821567693054209,0.0,2.4438350661065576e-53,5.9957098395058112e-30,0.0,5.5472484804775016e-45,0.0,9.682358782487498e-17,4.1210870475958197e-88,9.6823587822873332e-17,7.4335173737562882e-60,7.396816985851454e-58,0.0,0.0,1.0711023935220254e-44,3.135002314222843e-70,5.2878019372211042e-15,1.5656241718937476e-16,6.2677185522524868e-19,1.818649801355999e-31,6.7341515386484186e-31,6.2677185323511141e-19,4.3080573802341172e-43,4.601512241292422e-80,9.6326001825367686e-59,7.8170051050859919e-94,6.660797943184865e-45,5.3679307360278072e-84
2.194581469181443e-20,0.16628943999999996,0.8585084662769803,0.0,0.0,0.452307276799989,0.11866996602995455,0.022821567693054129,0.0,3.9117262392823137e-52,2.3990649131742666e-29,0.0,4.4400471121660199e-44,0.0,1.9368921802793265e-16,2.639532636434866e-86,1.9368921801992347e-16,1.1900083829182471e-58,1.184178558148696e-56,0.0,0.0,8.5720712791738662e-44,1.0037634412794776e-68,1.0577899923910904e-14,3.1319281632281172e-16,1.2538158649914168e-18,7.2769652251447953e-31,2.6945377765350623e-30,1.2538158570282752e-18,3.4477552107603793e-42,2.9466463214854469e-78,1.542052623351872e-57,1.0011514583913504e-91,5.3306607174479463e-44,3.4374335212103852e-82
4.389639296398306e-20,0.16628943999999996,0.8585084662769803,0.0,0.0,0.45230727679997812,0.11866996602994379,0.022821567693053973,0.0,6.2600310148470671e-51,9.5978218299460243e-29,0.0,3.5529372399235923e-43,0.0,3.8742047844594333e-16,1.6899529970781723e-84,3.8742047841390153e-16,1.9045300419243177e-57,1.8952350486751221e-55,0.0,0.0,6.8589543511773948e-43,3.2129436067527301e-67,2.1158095897276414e-14,6.2645361458966739e-16,2.5079038845921729e-18,2.9112576321267002e-30,1.0779905661504893e-29,2.5079038527344219e-18,2.7587280031505858e-41,1.8863909299993772e-76,2.4679536629917653e-56,1.2818418591157777e-89,4.2653353037820076e-43,2.2005839677539987e-80
8.779754950832033e-20,0.16628943999999996,0.8585084662769803,0.0,0.0,0.4523072767999563,0.11866996602992223,0.022821567693053661,0.0,1.0017054121005189e-49,3.8394411896754457e-28,0.0,2.8427096550138337e-42,0.0,7.7488299932954656e-16,1.0817786398369475e-82,7.7488299920136889e-16,3.0476614280042018e-56,3.0328121238183488e-54,0.0,0.0,5.4876763831975747e-42,1.028286070396653e-65,4.2318487843951055e-14,1.2529752111233054e-15,5.0160799240673627e-18,1.1645959845227299e-29,4.312313187305409e-29,5.0160797966259906e-18,2.2071919586990924e-40,1.2074621518907283e-74,3.9492615082556986e-55,1.6409931306561625e-87,3.4125871481497552e-42,1.408574005205429e-78
1.7559986259699485e-19,0.16628943999999996,0.8585084662769803,0.0,0.0,0.45230727679991273,0.11866996602987913,0.022821567693053033,0.0,1.6028055505285903e-48,1.5358389696317007e-27,0.0,2.2743116765325288e-41,0.0,1.5498080412870806e-15,6.9240512741265021e-81,1.5498080407743486e-15,4.8765889927631463e-55,4.8528370293848853e-53,0.0,0.0,4.3903365433823981e-41,3.2907460230641931e-64,8.4639271737074855e-14,2.5060184041902875e-15,1.0032432004112456e-17,4.658558740313649e-29,1.7249954512732655e-28,1.0032431494326235e-17,1.7658373938697581e-39,7.7283080591708243e-73,6.3192469574547196e-54,2.1006219671475829e-85,2.7301911732564457e-41,9.0155113304348923e-77
3.512044887743439e-19,0.16628943999999996,0.8585084662769803,0.0,0.0,0.45230727679982557,0.11866996602979293,0.02282156769305178,0.0,2.5645392801070224e-47,6.1434808682510854e-27,0.0,1.8195069215995603e-40,0.0,3.0996581259634582e-15,4.4316065737419231e-79,3.0996581239124885e-15,7.8028069503362046e-54,7.7647734140335151e-52,0.0,0.0,3.512331835483145e-40,1.053075620737942e-62,1.6928083952242052e-13,5.012104790323079e-15,2.0065136168581505e-17,1.8634496030400343e-28,6.9001220747845466e-28,2.0065134129395213e-17,1.4127034466945298e-38,4.9462932339808629e-71,1.0111137965940076e-52,2.6888925958592611e-83,2.184191739205954e-40,5.7701272212973526e-75
7.024137411290421e-19,0.16628943999999996,0.8585084662769803,0.0,0.0,0.45230727679965121,0.11866996602962053,0.022821567693049275,0.0,4.1032675988387039e-46,2.4574173454487144e-26,0.0,1.4556285659526913e-39,0.0,6.1993582983614524e-15,2.8362966027260473e-77,6.1993582901574899e-15,1.2484702729453219e-52,1.2423709764460198e-50,0.0,0.0,2.8098655877557691e-39,3.3699009931960813e-61,3.3856397508950423e-13,1.0024277562583967e-14,4.0130544515035043e-17,7.4537797944909568e-28,2.7600768156941443e-27,4.0130536358207601e-17,1.1301761700767751e-37,3.1656839861671626e-69,1.6178094974105366e-51,3.4418442383223304e-81,1.7473532599102209e-39,3.6929401635474677e-73
1.4048322458384383e-18,0.16628943999999996,0.8585084662769803,0.0,0.0,0.45230727679930255,0.11866996602927572,0.022821567693044262,0.0,6.5651181409144074e-45,9.8297193781612323e-26,0.0,1.1645120581771178e-38,0.0,1.2398758655338386e-14,1.8152517010373233e-75,1.2398758622522377e-14,1.9975693513732742e-51,1.9877625365649671e-49,0.0,0.0,2.2478526454194976e-38,1.0783777438619013e-59,6.7713024620924078e-13,2.0048623107086971e-14,8.0261361278003956e-17,2.9814515309368247e-27,1.1040362687324109e-26,8.0261328650533666e-17,9.0414630102982325e-37,2.0260557353987447e-67,2.5885171204229483e-50,4.4056000428656772e-79,1.3978575132501373e-38,2.3634937826929426e-71
2.8096692552572308e-18,0.16628943999999996,0.8585084662769803,0.0,0.0,0.45230727679860522,0.11866996602858611,0.022821567693034239,0.0,1.050373682264975e-43,3.9318977504378702e-25,0.0,9.3161331892247199e-38,0.0,2.479755941801604e-14,1.1617680739773948e-73,2.4797559286751696e-14,3.1961244485359518e-50,3.1802774552702637e-48,0.0,0.0,1.7982023953548344e-37,3.4508237651681657e-58,1.3542627883909906e-12,4.0097314196017885e-14,1.6052299508418948e-16,1.1925232080473056e-26,4.4161557220538103e-26,1.6052286457402083e-16,7.2331918656898613e-36,1.2966813780535903e-65,4.1416448878723007e-49,5.6391930761075685e-77,1.1182359085073714e-37,1.51263128495124e-69
