Time (s),Volume (m^3),N2,Ar,He,Ne,X(1),CH4(2),O2(3),CO2(4),H2O(5),H2(6),CO(7),C2H6(8),CH2O(9),CH3(10),C3H8(11),H(12),C2H5(13),CH3OH(14),HCO(15),CH3CHO(16),OH(17),C2H4(18),CH4X(28),CO2X(29),HX(19),CH3X(22),OX(20),OCX(21),COX(32),H2X(31),CH2X(58),CHX(26),C2H6X(34),HOX(23),C2H5X(33),CH2(48),C3H8X(38),HOCXO(25),H2OX(30),CH4OX(41)
3.814581389908403e-21,0.08314471999999999,0.80000000000000004,0.0,0.0,0.0,0.24111968799999256,0.099999999999994538,1.5156379227978477e-92,0.099999999999998021,2.6496458697750214e-87,3.2050338095445053e-60,1.1878863615420531e-30,2.9005210599142284e-55,0.0,1.7923529021891891e-34,3.5902537412835462e-107,1.4352095206926626e-45,6.4638351910514197e-84,2.0514851370249338e-84,0.0,0.0,2.8748346097851589e-74,0.0,5.4778334066527925e-15,1.9843686043850855e-15,6.5156003630039584e-25,6.5156003612115866e-25,1.3670276157229748e-28,1.3551487521075542e-28,1.1265273372377244e-44,1.056967864919554e-73,9.5701658197575978e-40,1.579655670932504e-51,9.9068680606503663e-69,7.1335791133069566e-53,1.8451289408996863e-76,1.0902482232402134e-77,1.1960825983295035e-120,1.3874550890032595e-48,4.2432043050298416e-101,4.9267970270666921e-98
7.630819133003912e-21,0.08314471999999999,0.80000000000000004,0.0,0.0,0.0,0.24111968799998509,0.099999999999989056,1.2131246340645986e-91,0.099999999999996037,4.2419326718973943e-86,2.5652695658132251e-59,4.717892926758848e-30,2.3215924428059166e-54,0.0,7.1717462548346726e-34,2.2995417816152698e-105,5.7427075297426704e-45,2.0695918814390741e-82,3.2844762538632354e-83,0.0,0.0,2.300870495769235e-73,0.0,1.0958045376389404e-14,3.9695988536938876e-15,1.303402990549585e-24,1.3034029898324027e-24,2.7346488170366491e-28,2.6874698877690597e-28,8.9533157034177354e-44,1.6920266361098986e-72,3.829312898818517e-39,1.2642046260721967e-50,1.5859593033356796e-67,2.8545324243174399e-52,2.95381491662782e-75,8.7219864412127094e-77,1.5321807284110257e-118,5.5516275766737945e-48,1.358648648112615e-99,1.5776128281612151e-96
1.5263294619194933e-20,0.08314471999999999,0.80000000000000004,0.0,0.0,0.0,0.24111968799997016,0.099999999999978093,9.7074548559863597e-91,0.099999999999992067,6.7896840110651594e-85,2.0527127792463461e-58,1.8598766040204397e-29,1.8577443056179732e-53,0.0,2.869165496650862e-33,1.4722763238214532e-103,2.2974569545539254e-44,6.6245576394968615e-81,5.2573013512307886e-82,0.0,0.0,1.8412525577373923e-72,0.0,2.1918469312442931e-14,7.9400593518619003e-15,2.6070888990476653e-24,2.6070888961784691e-24,5.4698912196635506e-28,5.2839035592614997e-28,7.0662476093742852e-43,2.707945255964405e-71,1.5319745086807657e-38,1.0115557772927993e-49,2.53822341014839e-66,1.1421361378896712e-51,4.7273908734910849e-74,6.9775912337894286e-76,1.9619563818927846e-116,2.2210125123172703e-47,4.3493663646722736e-98,5.050455803585276e-95
3.052824559157697e-20,0.08314471999999999,0.80000000000000004,0.0,0.0,0.0,0.2411196879999403,0.099999999999956166,7.7669471182102253e-90,0.099999999999984129,1.0867461413581906e-83,1.6423690978999853e-57,7.2282029925243374e-29,1.4863836057239153e-52,0.0,1.1477596034430488e-32,9.4243905506589049e-102,9.1905757567896769e-44,2.1201564471578728e-79,8.4148620525144417e-81,0.0,0.0,1.4734724667828488e-71,0.0,4.38393171708712e-14,1.5880980346399537e-14,5.2144607160426323e-24,5.2144607045649122e-24,1.0940376024915563e-27,1.0217555725663074e-27,5.5031401511168175e-42,4.33327459761908e-70,6.1283967641776956e-38,8.0932146007793922e-49,4.0617083473477679e-65,4.5700148014655206e-51,7.5648543446667853e-73,5.5820796529243939e-75,2.5117936464660392e-114,8.8847729522557002e-47,1.3923065062717305e-96,1.6167586757106533e-93
6.105814753634106e-20,0.08314471999999999,0.80000000000000004,0.0,0.0,0.0,0.24111968799988057,0.099999999999912326,6.2139510119402421e-89,0.099999999999968253,1.739717068424563e-82,1.3139748328928753e-56,2.7347527531484617e-28,1.1891821499991553e-51,0.0,4.5912252234902236e-32,6.0321918007840665e-100,3.6763798957549379e-43,6.7849760481746613e-78,1.347102156210717e-79,0.0,0.0,1.1793628505599784e-70,0.0,8.768101283301256e-14,3.1762822328281302e-14,1.0429204350027784e-23,1.0429204304115042e-23,2.1881345635412432e-27,1.9146592882263552e-27,4.1797869780335102e-41,6.9336891343465404e-69,2.4514584516189182e-37,6.4748790413984759e-48,6.4991740769782204e-64,1.8289590828648041e-50,1.2104587587815092e-71,4.4656850681355928e-74,3.2154084863587927e-112,3.554053677209131e-46,4.4577235060713608e-95,5.1763850446747283e-92
1.2211795142586923e-19,0.08314471999999999,0.80000000000000004,0.0,0.0,0.0,0.24111968799976111,0.099999999999824646,4.9713181412964329e-88,0.099999999999936487,2.7862246986645303e-81,1.051211689095822e-55,9.8599149767087232e-28,9.5137582122035827e-51,0.0,1.8365274468056096e-31,3.8607873126617131e-98,1.4705818774408139e-42,2.1712674940815196e-76,2.1574462865928691e-78,0.0,0.0,9.4435896128374419e-70,0.0,1.7536440393843458e-13,6.3526506263270734e-14,2.0858691617978983e-23,2.0858691434324275e-23,4.3763284856377537e-27,3.3903369879665777e-27,3.0351289880907969e-40,1.1094262437948463e-67,9.8060332739652456e-37,5.1800261669261229e-47,1.0399031038927301e-62,7.3230155352653351e-50,1.9367988415634904e-70,3.5726163852883641e-73,4.1159212020057405e-110,1.4216502991083161e-45,1.4278241623277032e-93,1.6580214947950229e-90
2.4423755920492557e-19,0.08314471999999999,0.80000000000000004,0.0,0.0,0.0,0.24111968799952221,0.099999999999649272,3.9771174466853941e-87,0.099999999999872954,4.4663055615912222e-80,8.4098208057656746e-55,3.2844309070833397e-27,7.6111268826311064e-50,0.0,7.346184461112608e-31,2.4709608394350835e-96,5.882387348560738e-42,6.9481704066557191e-75,3.4583913718831858e-77,0.0,0.0,7.5685020827340067e-69,0.0,3.5073118527383603e-13,1.2705387401815326e-13,4.1717666153804928e-23,4.1717665419178628e-23,8.7527163298193217e-27,5.4682854227339343e-27,2.0471079124506033e-39,1.7751107725351687e-66,3.9224531810729832e-36,4.144070085663028e-46,1.6638731443851153e-61,2.9348603554560508e-49,3.0989273670240595e-69,2.858311805528793e-72,5.2685016042384152e-108,5.6866582809847278e-45,4.5774595176510046e-92,5.3154715531730394e-89
4.884767747630382e-19,0.08314471999999999,0.80000000000000004,0.0,0.0,0.0,0.24111968799904443,0.099999999999298539,3.1817191309840782e-86,0.099999999999745903,7.1726189436947104e-79,6.7279075621360275e-54,9.7793566761564955e-27,6.0889494814539019e-49,0.0,2.9384886860143669e-30,1.581430474443539e-94,2.3529669072267975e-41,2.2234291068298141e-73,5.5540033756955273e-76,0.0,0.0,6.0765028849555251e-68,0.0,7.0146474444286841e-13,2.5410860906753294e-13,8.3435615225151058e-23,8.343561228663099e-23,1.7505492018136649e-26,7.7261353419677199e-27,1.2430177605806247e-38,2.8402002498129674e-65,1.5689892288691343e-35,3.3152756942186738e-45,2.6622194982019344e-60,1.1784496092062201e-48,4.9583147082756652e-68,2.2873493378482356e-71,6.7437489759613149e-106,2.2746742714256599e-44,1.4701396976214213e-90,1.7071769502215968e-87
9.769552058792636e-19,0.08314471999999999,0.80000000000000004,0.0,0.0,0.0,0.24111968799808886,0.099999999998597072,2.5453853742550255e-85,0.099999999999491787,1.1560944560004713e-77,5.3823464167017719e-53,2.5600754248213004e-26,4.8711785351109143e-48,0.0,1.1753984281060821e-29,1.0121170323531756e-92,9.4118915644834017e-41,7.1149725827758534e-72,8.9521321540017084e-75,0.0,0.0,4.8958812711480908e-67,0.0,1.4029318487738512e-12,5.0821807732475065e-13,1.6687151336662025e-22,1.6687150161251048e-22,3.5011043394588078e-26,9.410289146308278e-27,6.6792529516803415e-38,4.5443387710569853e-64,6.2759726852483215e-35,2.6522283492094172e-44,4.2595689292223762e-59,4.7498064562084087e-48,7.9333012120004066e-67,1.8321192284514007e-70,8.6320121911683142e-104,9.0987153403807608e-44,4.7386438934194498e-89,5.5027366008560852e-86
1.9539120681117142e-18,0.08314471999999999,0.80000000000000004,0.0,0.0,0.0,0.2411196879961777,0.099999999997194139,2.0363123271628462e-84,0.099999999998983569,1.8768607981372496e-76,4.3058852800253732e-52,5.9839765229790696e-26,3.8969500236661464e-47,0.0,4.7015994068702229e-29,6.4775095433886025e-91,3.7647614128482839e-40,2.2767758506122942e-70,1.4533640302399522e-73,0.0,0.0,3.9721740901148972e-66,0.0,2.805866001407492e-12,1.0164370064730206e-12,3.337433096446664e-22,3.3374326262817021e-22,7.0022146146757967e-26,1.0182380916646345e-26,3.2092803807040521e-37,7.2709566036733228e-63,2.5103921135423561e-34,2.1217857065592432e-43,6.8153236989457616e-58,1.9287218153954731e-47,1.2693193484511334e-65,1.939849300885889e-70,1.1048908686669207e-101,3.639486856348692e-43,1.5382421485073921e-87,1.7863164527918096e-84
