Time (s),Volume (m^3),N2,Ar,He,Ne,X(1),CH4(2),O2(3),CO2(4),H2O(5),H2(6),CO(7),C2H6(8),CH2O(9),CH3(10),C3H8(11),H(12),C2H5(13),CH3OH(14),HCO(15),CH3CHO(16),OH(17),C2H4(18),CH4X(33),CO2X(34),CH3X(22),HX(19),OCX(21),OX(20),COX(37),H2X(36),CH2X(134),CHX(26),C2H6X(39),C2H5X(38),HOX(23),C2H4X(51),CH2(T)(29),C2H3X(50),C3H6(146),C3H6X(159),C3H5X(157),C4H8(204),C4H8X(216),C4H7X(215),C3H5X(158),C5H10(244),SX(271),C4H8(254),C4H8X(332),C3H8X(43),C4H7X(268),C5H9X(269),C6H12(397),SX(411),HOCXO(25),C4H7X(207),C4H7(219),C4H7X(463)
1.0451220301402983e-20,0.08314471999999999,0.80000000000000004,0.0,0.0,0.0,0.2411196879999952,0.099999999999997008,3.1180898931736816e-91,0.099999999999998201,1.5007508681684341e-85,6.5860093040972326e-59,8.8045619582684044e-30,2.9835905204604842e-54,1.3452887820615499e-78,1.3457416427525231e-33,3.6926946081030835e-105,1.0775903527207946e-44,4.2943321939386853e-82,5.7839295533421035e-83,4.2431299851841223e-60,1.6113841799592177e-61,5.9164176545454367e-73,2.284270495757989e-120,3.00164226991847e-15,1.8122629391299222e-15,1.7851789084740493e-24,1.7851789098198052e-24,3.6574078484521845e-28,3.7454534680348696e-28,1.1451955195802305e-43,2.9764609712895092e-72,7.1855951230267197e-39,3.2506692671584421e-50,3.4912979679089856e-68,4.4036425750997492e-75,5.3567131809837325e-52,2.6151542047065313e-134,8.503248372368301e-63,6.8250383181246451e-137,5.0566293861585025e-169,4.6944988670004137e-183,6.1258595370421445e-186,4.0452552676370529e-218,3.2496338496226225e-232,4.2404527242444387e-235,3.0629297685210723e-186,1.6688959716837131e-267,1.1989927004410169e-281,4.4457573846846308e-219,3.5713651497003954e-233,3.3719628925773208e-119,4.660280443619018e-236,7.8228380460652976e-285,1.3222693701618656e-317,0.0,1.0417435106415906e-47,2.8590274224159284e-236,1.9615177133939065e-243,1.5899284051613701e-257
2.091152072470119e-20,0.08314471999999999,0.80000000000000004,0.0,0.0,0.0,0.24111968799999037,0.09999999999999401,2.4970007967166113e-90,0.099999999999996383,2.4043157953543656e-84,5.273917761489497e-58,3.4542082698024065e-29,2.3892922113912644e-53,2.1155866175524784e-77,5.3864736714642928e-33,2.3670005744846858e-103,4.3131696923892972e-44,1.3757424470363024e-80,9.2665342288771782e-82,3.3341553852635148e-59,1.2661891716961681e-60,4.7374599358564059e-72,1.4634528401983722e-118,6.0058923955028079e-15,3.6261003898096646e-15,3.571908795060763e-24,3.571908800447294e-24,7.1487401955079938e-28,7.4941610224882452e-28,8.9986868702750635e-43,4.7672864636474152e-71,2.8761106674714273e-38,2.6025119582235559e-49,5.5921442742651613e-67,7.0535495649013568e-74,2.1444345180510315e-51,3.3509047125642333e-132,6.8077690328281283e-62,8.7452024906315453e-135,2.5928403096459933e-166,4.8143150798833021e-180,6.2822079167013649e-183,1.6601220445252288e-214,2.6672186036243956e-228,3.4804580815986645e-231,3.1411039583506824e-183,5.4815337080755206e-263,7.8762478311619671e-277,1.8244830920736777e-215,2.9312876491371248e-229,4.322879239593735e-117,3.8250422271598538e-232,5.1388645796143704e-280,3.4759330516780802e-312,0.0,4.169688856572752e-47,2.3466184185582211e-232,3.2199300344211511e-239,5.2198949189079688e-253
4.183212157129761e-20,0.08314471999999999,0.80000000000000004,0.0,0.0,0.0,0.24111968799998074,0.099999999999988001,1.9986126846073144e-89,0.099999999999992761,3.8503175551214879e-83,4.2211793185522124e-57,1.3291911349862897e-28,1.9124021561201817e-52,3.2689834242800361e-76,2.1552910864858814e-32,1.516057544982681e-101,1.7258296933248267e-43,4.4048665711299901e-79,1.4839807412223511e-80,2.5728501079363504e-58,9.7707352256735067e-60,3.7925736053949564e-71,9.3709685901419684e-117,1.2014392645632365e-14,7.2537752907903102e-15,7.1453685601486759e-24,7.1453685817018145e-24,1.3662384996407763e-27,1.4991576131394126e-27,6.9439692541570784e-42,7.6316196874712253e-70,1.1508188962533069e-37,2.0828005205612408e-48,8.9522876085231803e-66,1.1291858377451864e-72,8.5833582150748784e-51,4.2914060798191759e-130,5.4482842396751045e-61,1.1199726151355731e-132,1.3285203252572701e-163,4.9335240968147213e-177,6.4377639655132488e-180,6.8063947251075093e-211,2.1870855601946225e-224,2.853931658670504e-227,3.2188819827566244e-180,1.798305762041509e-258,5.1678609913990435e-272,7.4802645593984239e-212,2.4036188415501383e-225,5.5376193380863809e-115,3.1364863049374397e-228,3.3717752883672382e-275,9.1246691237442103e-307,2.3937480541008395e-320,1.6684186313948444e-46,1.9241971995068956e-228,5.2806035003467027e-235,1.7120988412931258e-248
8.367332326449044e-20,0.08314471999999999,0.80000000000000004,0.0,0.0,0.0,0.24111968799996147,0.099999999999975983,1.5992950654559372e-88,0.099999999999985503,6.1661802864235924e-82,3.3777616950070323e-56,4.9366449561961809e-28,1.5303091678456227e-51,4.8919049360847566e-75,8.6225677649179533e-32,9.7065341011727588e-100,6.9044425661034829e-43,1.4099555337282952e-77,2.3765734456820984e-79,1.9207468080951857e-57,7.2942875449936086e-59,3.0365008164770268e-70,5.9989929341862971e-115,2.4031393141734993e-14,1.4509125091236237e-14,1.4292288057982432e-23,1.4292288144209028e-23,2.5049761393005695e-27,2.9986406349202399e-27,5.1839812733039289e-41,1.2213761459657259e-68,4.6040249412861143e-37,1.6665568626194376e-47,1.4327546636668011e-64,1.8071912738345211e-71,3.4361640788180808e-50,5.4944517464809898e-128,4.3594551660853233e-60,1.4339438817006097e-130,6.8045653646728588e-161,5.0538179456787317e-174,6.5947356137232817e-177,2.7892448761641042e-207,1.7925253512661468e-220,2.339069372743295e-223,3.2973678068616409e-177,5.896172746684953e-254,3.3888120751570542e-267,3.0653951816355217e-208,1.9699950411981982e-221,7.0909256509585807e-113,2.5706498722977892e-224,2.2110333137628327e-270,2.3936514502320197e-301,1.2558615956417264e-314,6.6747606276229897e-46,1.5770628190620387e-224,8.6559149838372684e-231,5.6129107828340411e-244
1.673557266508761e-19,0.08314471999999999,0.80000000000000004,0.0,0.0,0.0,0.24111968799992292,0.099999999999951947,1.2795980392480051e-87,0.099999999999970987,9.8798401851522004e-81,2.7025366913545547e-55,1.7244359774201034e-27,1.2244023200348063e-50,6.926263335409895e-74,3.4493077963712978e-31,6.2133834829798003e-98,2.7620018010072856e-42,4.5124923419313792e-76,3.8079156413772871e-78,1.3542135001020017e-56,5.1428031146136937e-58,2.4324167246073681e-69,3.8398973607268329e-113,4.8065394117314307e-14,2.9019824686066642e-14,2.8586126924281678e-23,2.8586127269216136e-23,4.2731707010600318e-27,5.9976066784805003e-27,3.6549416055323046e-40,1.9544554643572452e-67,1.8417598512480262e-36,1.3333720772252123e-46,2.2927184040071987e-63,2.8918995265572795e-70,1.376387145555081e-49,7.0338976168576509e-126,3.4878952653522235e-59,1.8357089879453003e-128,3.4846227937490141e-158,5.1761284690987553e-171,6.7543388247381932e-174,1.142761698101151e-203,1.4688056895076863e-216,1.9166470371235305e-219,3.3771694123690966e-174,1.9326481534025788e-249,2.2215704010422927e-262,1.2559012774577185e-204,1.6142253847456019e-217,9.07815454686008e-111,2.1064054442485591e-220,1.4494654933492119e-265,6.2770712746901286e-296,6.5867006247884007e-309,2.6701213027472826e-45,1.2922537303183227e-220,1.4185406503921439e-226,1.839698706306294e-239
3.347205334236474e-19,0.08314471999999999,0.80000000000000004,0.0,0.0,0.0,0.24111968799984584,0.099999999999903874,1.0237432301060042e-86,0.099999999999941969,1.5849029718436733e-79,2.1621602950765044e-54,5.4785318537286883e-27,9.7958383756498342e-50,9.0000293961477225e-73,1.3797792479237225e-30,3.9769452971320731e-96,1.1048456769153674e-41,1.4440974124817948e-74,6.1086143775970386e-77,8.7384418777431739e-56,3.3185377418216081e-57,1.9508026504229687e-68,2.457809145636643e-111,9.6133396001969183e-14,5.8041223851481642e-14,5.717380413940712e-23,5.717380551920112e-23,6.5170069118644004e-27,1.1995538765595448e-26,2.3584534318894941e-39,3.1273316570983537e-66,7.3673391075755652e-36,1.0667482915579904e-45,3.668598156421006e-62,4.6273485655713047e-69,5.5202503949703843e-49,9.004397954435707e-124,2.79044865214447e-58,2.3499708362330289e-126,1.7843754097821744e-155,5.301094218812846e-168,6.917406846595866e-171,4.6815312943979134e-200,1.2034459819209248e-212,1.5703787049001118e-215,3.458703423297933e-171,6.3341278110533232e-245,1.456210314953769e-257,5.1450281741698734e-201,1.3225936330883805e-213,1.1621156865334863e-108,1.7258546771856167e-216,9.5010565602226897e-261,1.6458598555901776e-290,3.4540905031422212e-303,1.06809178563803e-44,1.0587893718123552e-216,2.3245214723630099e-222,6.0293153549280234e-235
6.6945014696919e-19,0.08314471999999999,0.80000000000000004,0.0,0.0,0.0,0.24111968799969166,0.099999999999807743,8.1902050435744635e-86,0.099999999999883932,2.5487872499031062e-78,1.7297806144236563e-53,1.5389135569981455e-26,7.8369183694252507e-49,1.0449111662862331e-71,5.5192291668073404e-30,2.545360530534964e-94,4.4194726222758064e-41,4.6212607147857795e-73,9.8237610761119106e-76,5.0222874063995297e-55,1.9072794145215045e-56,1.5683223657583725e-67,1.5733492784538422e-109,1.9226939950526381e-13,1.1608402208532844e-13,1.1434915649976591e-22,1.1434916201905405e-22,8.6022673698080212e-27,2.3991402939803034e-26,1.355485465438932e-38,5.003892973209873e-65,2.9469955385683862e-35,8.5341887325257377e-45,5.8699558288251642e-61,7.4039876025604013e-68,2.2197275373205795e-48,1.1528194299110361e-121,2.2324118667463873e-57,3.0086320665573233e-124,9.1381573159676393e-153,5.4296005253075508e-165,7.0850949501727624e-168,1.9180333436228027e-196,9.8610875390267953e-209,1.2867749880361168e-211,3.5425474750863812e-168,2.0761126281736102e-240,9.545928687080898e-253,2.1079290025777167e-197,1.0837388458122727e-209,1.4875761939093482e-106,1.4141726608097735e-212,6.2282492785809816e-256,4.3157155316055193e-285,1.81143880151887e-297,4.2724524943950212e-44,8.6757460865101328e-213,3.8094371747983365e-218,1.9761699639423955e-230
1.3389093740602753e-18,0.08314471999999999,0.80000000000000004,0.0,0.0,0.0,0.2411196879993833,0.099999999999615466,6.5522677175091799e-85,0.099999999999767844,4.1192604634571314e-77,1.3838454431883959e-52,3.8118670036615623e-26,6.2696333409164165e-48,1.0769749991155856e-70,2.2077140334357633e-29,1.6290600023875638e-92,1.7678070319842542e-40,1.478820361342473e-71,1.5877099476242155e-74,2.5573557163820568e-54,9.7118932445985395e-56,1.2669020377533036e-66,1.0077354007219905e-107,3.8454140544779288e-13,2.3216961816508899e-13,2.2869985294091561e-22,2.286998750182917e-22,9.8644612514443402e-27,4.7983131288128985e-26,6.9021507828639129e-38,8.0063585684709634e-64,1.178810157805006e-34,6.8274317479932362e-44,9.392087722859211e-60,1.1846507862439528e-66,8.9716609501721363e-48,1.4767627902464084e-119,1.7859506199656479e-56,3.8540605575144323e-122,4.68242186886863e-150,5.5642873346981639e-162,7.2608480089695617e-165,7.8625005640056459e-193,8.0846145175715415e-205,1.0549627232619375e-207,3.6304240044847809e-165,6.8084512179238153e-236,6.2610272964203217e-248,8.6409305796252641e-194,8.8850350140739428e-206,1.9041321429360841e-104,1.1594097299694991e-208,4.0850125820034468e-251,1.1322521274841791e-279,9.5048221656586819e-292,1.7089971252562529e-43,7.1127808791161277e-209,6.2463079788601634e-214,6.480596080518118e-226
2.677827828242446e-18,0.08314471999999999,0.80000000000000004,0.0,0.0,0.0,0.24111968799876657,0.099999999999230926,5.241855647346723e-84,0.099999999999535669,6.7224871632133347e-76,1.1070847352576902e-51,8.5652015808895607e-26,5.0157454532668695e-47,1.0046027978534584e-69,8.8309003192921742e-29,1.0425978956940183e-90,7.0712640941729274e-40,4.7322080445582762e-70,2.5911741318353692e-73,1.179302779233794e-53,4.4785567457858897e-55,1.0330945278121627e-65,6.4694959250798308e-106,7.690854130766097e-13,4.6434080877287843e-13,4.5740121270494826e-22,4.5740130101489452e-22,1.0314572175210135e-26,9.5966587984424049e-26,3.1828679562239601e-37,1.2810277404587635e-62,4.7152642213883621e-34,5.4619773847857714e-43,1.5027465062501701e-58,1.8954334828863345e-65,3.66281123512569e-47,1.89608075851053e-117,1.4287688638936917e-55,4.9483980393922042e-120,2.404784299933558e-147,5.7153675187989838e-159,7.4579928236819139e-162,3.2304014836690904e-189,6.6433173974799249e-201,8.6688761951695815e-204,3.7289964118409569e-162,2.2378729357205627e-231,4.1158796808944218e-243,3.5502286756571105e-190,7.3010416956708464e-202,2.4372883077148546e-102,9.5271417529366693e-205,2.6854092037759793e-246,2.9772935318311828e-274,4.9986473290038102e-286,6.8360132119937411e-43,5.8446875904206251e-205,1.0265384041587367e-209,2.1300652806283466e-221
5.355664736606787e-18,0.08314471999999999,0.80000000000000004,0.0,0.0,0.0,0.24111968799753314,0.099999999998461833,4.1935011072173947e-83,0.099999999999071332,1.1177185389547311e-74,8.8567114047643517e-51,1.8153081673093952e-25,4.0126107902167721e-46,8.7531497240048932e-69,3.5323685263856573e-28,6.672498581875256e-89,2.8285128308747409e-39,1.5142755468539296e-68,4.3085059158072208e-72,5.0941180446099201e-53,1.9345580400768734e-54,8.5778505143470145e-65,4.1916389196346323e-104,1.5381734113092796e-12,9.2868318378153099e-13,9.1480379975998491e-22,9.1480415300060991e-22,1.0402684643272306e-26,1.9193350137558673e-25,1.3748721041213761e-36,2.0496526307912918e-61,1.8861101708447899e-33,4.3695941926457042e-42,2.4044037424886684e-57,3.0326297834898349e-64,1.5244309995594207e-46,2.4567968810856054e-115,1.1430183058742335e-54,6.4117569449542957e-118,1.2463543591687702e-144,5.9242820340086683e-156,7.7306057837001297e-159,1.3393922565313914e-185,5.5089115419744414e-197,7.1885881032697805e-200,3.8653028918500649e-159,7.4229541623519025e-227,2.7304483062622579e-238,1.4719993230345892e-186,6.0543235343497445e-198,3.1196696498680464e-100,7.9002971459538333e-201,1.7814833326792225e-241,7.9004823036439538e-269,2.6528606246796822e-280,2.7344041916897252e-42,4.8465698229541769e-201,1.7024647537941785e-205,7.065096372053931e-217
