Time (s),Volume (m^3),Ar,Ne,N2,X(1),CH4(2),O2(3),CO2(4),H2O(5),H2(6),CO(7),C2H6(8),CH2O(9),CH3(10),C3H8(11),H(12),C2H5(13),CH3OH(14),HCO(15),CH3CHO(16),OH(17),C2H4(18),CH4X(48),OX(20),CH3X(21),HOX(22),HX(19),H2X(49),C2H6X(52),CH3OO(77),H2OX(23)
0.0,0.11640260799999998,0.8585084662769803,0.0,0.0,0.33756756319999998,0.11866996602996532,0.022821567693054285,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
6.783166069317649e-24,0.11640260799999998,0.8585084662769803,0.0,0.0,0.33756756319999998,0.11866996602996532,0.022821567693054285,0.0,6.9154158622959411e-66,7.1413198150750171e-42,0.0,3.2829779415504869e-57,0.0,6.8975067155290596e-25,-5.8734723539209037e-118,6.897506715196188e-25,1.0022615039796553e-79,6.7830578695805436e-71,0.0,0.0,5.2038551812819022e-57,6.0912796906124302e-95,2.7354527404208306e-18,1.315229986398724e-19,5.0696069938747879e-23,5.6945977136419511e-38,5.0696069938781116e-23,4.6437627132678228e-58,5.5275421652779641e-74,3.4973514185061048e-42,1.9544955733153246e-54
1.8992864994089415e-23,0.11640260799999998,0.8585084662769803,0.0,0.0,0.33756756319999998,0.11866996602996532,0.022821567693054285,0.0,1.5469512426686646e-64,4.3133571683053191e-41,0.0,4.961236265235034e-56,0.0,1.9313018804559871e-24,1.1336824841255372e-116,1.9313018802549327e-24,2.8265378030434494e-78,2.1327019162906005e-69,0.0,0.0,6.1780168536934226e-56,3.1530217966944067e-93,7.6592676731783251e-18,3.6826439619164279e-19,1.4194899582838642e-22,3.4395370083858095e-37,1.4194899582858713e-22,5.513075093191549e-57,1.5588553312720932e-72,2.1124002568760619e-41,2.3203771380507525e-53
4.3412262843632953e-23,0.11640260799999998,0.8585084662769803,0.0,0.0,0.33756756319999998,0.11866996602996531,0.022821567693054285,0.0,3.0565152898887876e-63,2.0766958022238272e-40,0.0,5.3370715799633626e-55,0.0,4.4144042986935497e-24,1.197059285810745e-114,4.4144042977255587e-24,6.148337114685045e-77,4.7579406252106657e-68,0.0,0.0,6.0656135449763797e-55,1.3767327130886912e-91,1.7506897538693299e-17,8.4174719129518352e-19,3.2445484760723281e-22,1.6559889991461852e-36,3.2445484760819916e-22,5.4127698185849426e-56,3.3908508421026172e-71,1.0170297926491371e-40,2.2781600198298174e-52
9.225105854272003e-23,0.11640260799999998,0.8585084662769803,0.0,0.0,0.33756756319999998,0.1186699660299653,0.022821567693054285,0.0,5.4389058591407307e-62,9.0694761651453936e-40,0.0,4.9056882784192279e-54,0.0,9.3806091368942763e-24,9.4617567724190625e-113,9.3806091326668092e-24,1.1397980816491171e-75,8.9110961057833434e-67,0.0,0.0,5.3649664236101945e-54,5.1252307027556505e-90,3.7202157269723175e-17,1.788712781502265e-18,6.8946655116320292e-22,7.232138931189367e-36,6.8946655116742313e-22,4.7875336068705225e-55,6.2860659929587461e-70,4.4416363030275575e-40,2.0150067133694626e-51
1.8992864994089416e-22,0.11640260799999998,0.8585084662769803,0.0,0.0,0.33756756319999992,0.11866996602996525,0.022821567693054285,0.0,9.1735097032136817e-61,3.7863277659528816e-39,0.0,4.1969196046243824e-53,0.0,1.9313018820198135e-23,6.706158127051486e-111,1.931301880254929e-23,1.9590216826641637e-74,1.5391702096442549e-65,0.0,0.0,4.5095774314346728e-53,1.765719686653295e-88,7.6592676731782674e-17,3.6826439619164279e-18,1.419489958268252e-21,3.0192755591506446e-35,1.4194899582858707e-21,4.0242104671143498e-54,1.0804141344970687e-68,1.8542957234642605e-39,1.6937345140808241e-50
3.852838327372424e-22,0.11640260799999998,0.8585084662769803,0.0,0.0,0.33756756319999986,0.11866996602996517,0.022821567693054282,0.0,1.5067516695348924e-59,1.5468384372245989e-38,0.0,3.4700942894893934e-52,0.0,3.9177838214415495e-23,4.5129369913629476e-109,3.9177838142314192e-23,3.2469347710897007e-73,2.5573541928820181e-64,0.0,0.0,3.6972238533101535e-52,5.8597798658187266e-87,1.5537371565590059e-16,7.4705063227447507e-18,2.8795367724507859e-21,1.2334725173321434e-34,2.8795367725227638e-21,3.2992908734958495e-53,1.7907071940644812e-67,7.5754030781599709e-39,1.3886258172756767e-49
7.759941983299389e-22,0.11640260799999998,0.8585084662769803,0.0,0.0,0.3375675631999997,0.11866996602996502,0.022821567693054278,0.0,2.4425091680047066e-58,6.2525682814500336e-38,0.0,2.8218230462126554e-51,0.0,7.8907477113288713e-23,2.9611030326537043e-107,7.890747682184372e-23,5.2867915615731877e-72,4.1691323511760354e-63,0.0,0.0,2.9941074383491722e-51,1.909323955577749e-85,3.129357935041321e-16,1.5046231044401385e-17,5.7996304007055983e-21,4.9858926039013854e-34,5.7996304009965454e-21,2.6718512892491269e-52,2.9157024548570393e-66,3.0620990493277537e-38,1.1245450784415927e-48
1.5574149295153322e-21,0.11640260799999998,0.8585084662769803,0.0,0.0,0.33756756319999937,0.1186699660299647,0.022821567693054271,0.0,3.9335849772689314e-57,2.5141302061770112e-37,0.0,2.2759025141167921e-50,0.0,1.5836675535278923e-22,1.9187507023749609e-105,1.5836675418090177e-22,8.5329028943418955e-71,6.7331585071760726e-62,0.0,0.0,2.4099176728563565e-50,6.1650913526829702e-84,6.2805994920057802e-16,3.0197680487714624e-17,1.1639817656774196e-20,2.0048050639118327e-33,1.1639817657944079e-20,2.1505383633961523e-51,4.7059555169369511e-65,1.2312565640429994e-37,9.0513153374516014e-48
3.1202563918861183e-21,0.11640260799999998,0.8585084662769803,0.0,0.0,0.3375675631999987,0.11866996602996407,0.022821567693054257,0.0,6.314272644119477e-56,1.0082786598990282e-36,0.0,1.82812866788321e-49,0.0,3.1728531359880654e-22,1.2356217459057589e-103,3.1728530889901372e-22,1.371214587675621e-69,1.0823351226136408e-60,0.0,0.0,1.9338063988583395e-49,1.9817135258729754e-82,1.2583082605934009e-15,6.050057937434096e-17,2.3320192167147288e-20,8.0401615814987575e-33,2.3320192171839043e-20,1.7256716004494986e-50,7.5623441795535342e-64,4.9378895461255568e-37,7.2631076601429588e-47
6.2459393166276904e-21,0.11640260799999998,0.8585084662769803,0.0,0.0,0.33756756319999737,0.11866996602996281,0.022821567693054226,0.0,1.0119292664154872e-54,4.0383737931626392e-36,0.0,1.465471403696245e-48,0.0,6.3512243715890634e-22,7.932455620670687e-102,6.3512241833522084e-22,2.1987143300502133e-68,1.7357695097067019e-59,0.0,0.0,1.5493971345613899e-48,6.3557330038462323e-81,2.5188048833787719e-15,1.2110637714759305e-16,4.668094118083708e-20,3.2202556384570366e-32,4.6680941199628553e-20,1.3826372394159654e-49,1.2126063028923477e-62,1.9777314330784042e-36,5.819319965790072e-46
1.2497305166110835e-20,0.11640260799999998,0.8585084662769803,0.0,0.0,0.3375675631999947,0.11866996602996029,0.022821567693054167,0.0,1.6204027986985086e-53,1.616401947850373e-35,0.0,1.1735656716810113e-47,0.0,1.2707967125513663e-21,5.0846182769254936e-100,1.2707966372075688e-21,3.5217640753542429e-67,2.7804586866936635e-58,0.0,0.0,1.2404578515143184e-47,2.036117304638475e-79,5.0397981289484128e-15,2.4231797269409497e-16,9.3402439179990998e-20,1.2889393006851631e-31,9.3402439255205881e-20,1.1069504941648465e-48,1.942277474020658e-61,7.9160800502433982e-36,4.658987014020335e-45
