Time (s),Volume (m^3),N2,Ne,X(1),CH4(2),O2(3),CO2(4),H2O(5),H2(6),CO(7),C2H6(8),CH2O(9),CH3(10),C3H8(11),H(12),C2H5(13),CH3OH(14),HCO(15),CH3CHO(16),OH(17),C2H4(18),CH4X(56),OX(20),CH3X(21),HOX(22),HX(19)
0.0,0.09977366400000001,0.80000000000000004,0.0,0.28934362560000004,0.10000000000000001,0.10000000000000001,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
7.62827791675361e-24,0.09977366400000001,0.80000000000000004,0.0,0.28934362560000004,0.10000000000000001,0.10000000000000001,6.9195707204602165e-140,5.0208590427052707e-66,1.3433692107331765e-46,1.2433023929460866e-74,6.3580700878199229e-58,3.61564976484899e-49,3.9477956066513312e-29,-2.3148320113458534e-114,3.9477951294888225e-29,2.2291957214303684e-74,1.1577275352489095e-70,2.936069104743661e-75,2.3986989945254525e-106,3.6156497691012853e-49,4.088248948507144e-92,2.3999879455147755e-18,7.0004132747812154e-19,1.586492045469823e-23,1.6487488057101269e-37,1.5864920454702841e-23
2.1359178166910107e-23,0.09977366400000001,0.80000000000000004,0.0,0.28934362560000004,0.10000000000000001,0.10000000000000001,5.3394514553984035e-138,5.9607703327940007e-65,8.1139500328939476e-46,1.4760487586588943e-73,9.6083155167169499e-57,2.1838527128369206e-48,1.1053829244630289e-28,-2.1985947232572749e-114,1.1053826362568731e-28,3.3688207671421012e-73,3.6400805152193331e-69,3.4857016136874259e-74,5.3657942506299192e-105,2.1838527178852458e-48,1.1529714858813208e-90,6.7199662474413693e-18,1.9601157169387409e-18,4.4421777273140121e-23,9.958442681547676e-37,4.4421777273167951e-23
4.88209786672231e-23,0.09977366400000001,0.80000000000000004,0.0,0.28934362560000004,0.099999999999999992,0.10000000000000001,5.8191976778157767e-136,5.8523327307044268e-64,3.9065176649085457e-45,1.4491937582531889e-72,1.0336187380358086e-55,1.0514313339202825e-47,2.5265902704614451e-28,3.5176341274067987e-114,2.5265888828728657e-28,3.6240151881051461e-72,8.1208192095331757e-68,3.42228330335004e-73,1.0601907594515419e-103,1.0514313388767578e-47,2.5079607493196207e-89,1.535992285129454e-17,4.4802644958599782e-18,1.0153549090996421e-22,4.7945613695928137e-36,1.0153549091009818e-22
1.0374457966784909e-22,0.09977366400000001,0.80000000000000004,0.0,0.28934362560000004,0.099999999999999978,0.10000000000000001,4.7604688131026545e-134,5.1763451173232868e-63,1.7060788977299437e-44,1.2817960620056809e-71,9.5007369707946322e-55,4.5918791518142441e-47,5.3690074360687747e-28,2.2682105061717468e-112,5.3690013761048965e-28,3.3310921609573097e-71,1.520939497031237e-66,3.0269722294342637e-72,1.886553657595692e-102,4.5918791956537055e-47,4.6493333605175912e-88,3.263983605900081e-17,9.5205620537024535e-18,2.1576291818337357e-22,2.0939108205925553e-35,2.1576291818395864e-22
2.135917816691011e-22,0.09977366400000001,0.80000000000000004,0.0,0.28934362559999999,0.09999999999999995,0.10000000000000001,3.4261494530180882e-132,4.3510687737038349e-62,7.1225435561928406e-44,1.0774278241130188e-70,8.1280805033574825e-54,1.9170210607333585e-46,1.1053851661725428e-27,8.0932233374295509e-111,1.1053826362569136e-27,2.8498233082117189e-70,2.6270445218994965e-65,2.5443549090849347e-71,3.181951346193577e-101,1.9170210975830648e-46,7.991025964421326e-87,6.7199662474413074e-17,1.9601157169387401e-17,4.4421777272923684e-22,8.741664703941462e-35,4.4421777273167933e-22
4.33286185671605e-22,0.09977366400000001,0.80000000000000004,0.0,0.28934362559999988,0.099999999999999881,0.099999999999999992,2.3223630834680751e-130,3.5673326834120554e-61,2.909791445964698e-43,8.8334206555254438e-70,6.720454141771505e-53,7.8316721191284261e-46,2.2423579690806697e-27,2.7197509193462284e-109,2.2423476335498334e-27,2.3562983137375775e-69,4.3648730052332238e-64,2.0860197505481194e-70,5.2263740306899449e-100,7.8316724212445324e-46,1.3244589527621762e-85,1.3631931530523648e-16,3.9762347400757293e-17,9.011274818171419e-22,3.571254623656761e-34,9.0112748182712025e-22
8.72674993676613e-22,0.09977366400000001,0.80000000000000004,0.0,0.28934362559999971,0.099999999999999742,0.099999999999999978,1.5291579127238287e-128,2.8890215399736884e-60,1.1761842263338433e-42,7.1535596300080753e-69,5.4649616974969381e-52,3.1656996820272404e-45,4.5163194060041064e-27,8.9158990747196571e-108,4.5162776281359596e-27,1.916118908091533e-68,7.115842161857868e-63,1.6893191501738694e-69,8.4722079663266747e-99,3.1656999266886132e-45,2.1565557195889991e-84,2.7455862096687883e-16,8.0084727863497009e-17,1.8149468999776648e-21,1.4435576997834608e-33,1.8149469000179994e-21
1.7514526096866287e-21,0.09977366400000001,0.80000000000000004,0.0,0.28934362559999938,0.099999999999999464,0.099999999999999936,9.9260216046743196e-127,2.3255017504953947e-59,4.7293850461390086e-42,5.7578498937234574e-68,4.4076895906813486e-51,1.2729240468148821e-44,9.0643056042797193e-27,2.8876325288169522e-106,9.0641376173093571e-27,1.5454459755962719e-67,1.1492096108554828e-61,1.3597211168116924e-68,1.3644327800925531e-97,1.2729242437395087e-44,3.4807477005729076e-83,5.5103723229014533e-16,1.6072948878897618e-16,3.6425857362375652e-21,5.8044778507085636e-33,3.6425857363997481e-21
3.509007841706661e-21,0.09977366400000001,0.80000000000000004,0.0,0.28934362559999866,0.099999999999998909,0.099999999999999853,6.3977452875488912e-125,1.8663349089502897e-58,1.8966949324329072e-41,4.6203805440783763e-67,3.5404959793831412e-50,5.1050759921173034e-44,1.8160531298545875e-26,9.2964106074937176e-105,1.815985759566074e-26,1.241429258075759e-66,1.8473183166845624e-60,1.0911067689238731e-67,2.1902482682758808e-96,5.1050775723112925e-44,5.5936556092197751e-82,1.1039944549366067e-15,3.2201901063993357e-16,7.2978634085127835e-21,2.327851884920013e-32,7.2978634091632062e-21
