Time (s),Volume (m^3),N2,Ar,He,Ne,X(1),CH4(2),O2(3),CO2(4),H2O(5),H2(6),CO(7),C2H6(8),CH2O(9),CH3(10),C3H8(11),H(12),C2H5(13),CH3OH(14),HCO(15),CH3CHO(16),OH(17),C2H4(18),CH4X(33),OX(20),CH3X(22),HX(19),CH2X(134),CHX(26),HOX(23),H2X(36),CXHO(27),OCX(21),H2OX(35),COX(37),CX(24),CO2X(34),HO2X(136),HOCXO(25)
1.0963738845475847e-20,0.066515776,0.80000000000000004,0.0,0.0,0.0,0.19289575039999682,0.099999999999997188,0.099999999999999839,4.437156333862836e-103,1.0850377817472605e-63,1.8832552125716433e-49,1.0526233984980552e-86,4.6993822656195549e-47,1.785561143598144e-97,8.4797461903696852e-37,0.0,7.8316701012076497e-43,1.24415397367182e-99,1.602414337211232e-68,6.7387397176237374e-83,5.8069634614038249e-94,6.3944662286795704e-60,9.7744622759666596e-138,2.8164082377381799e-15,3.5019204612539178e-16,3.5166129155300091e-19,3.5166129272094396e-19,5.8396903390919576e-28,1.6413839057510366e-33,5.4670897449022146e-35,7.9858470156009615e-63,1.4992654861495915e-63,8.9903884648789257e-71,1.4895574328940765e-77,1.1271699898502583e-100,7.5735721964374403e-52,3.7831708285988337e-117,8.0231955059956403e-68,5.4179127127036607e-106
2.1937003093945157e-20,0.066515776,0.80000000000000004,0.0,0.0,0.0,0.19289575039999365,0.099999999999994371,0.099999999999999659,1.1378355471375605e-100,1.7380808026515989e-62,1.508131561918367e-48,1.3490579615046233e-84,3.7633171675478516e-46,2.2893580322193508e-95,3.3941083569493219e-36,0.0,3.1347090370782758e-42,7.9789427918890804e-98,2.5668466449808091e-67,4.3181920704046565e-81,7.4454008370481709e-92,5.1194610913851857e-59,1.2535984342202843e-135,5.6352633980625941e-15,7.0068834250804397e-16,7.036281086890184e-19,7.0362811336384058e-19,2.3373914283280104e-27,1.3141017064430052e-32,2.1882606623111873e-34,1.279123388067053e-61,4.8035595560165973e-62,5.7610511469030602e-69,4.7723157408061042e-76,2.8892103571918384e-98,1.2127552344496586e-50,1.940269946036537e-114,1.2852052067185077e-66,1.3901656744973026e-103
4.3883531590883774e-20,0.066515776,0.80000000000000004,0.0,0.0,0.0,0.19289575039998733,0.099999999999988737,0.099999999999999312,2.9153118662284467e-98,2.78254663033556e-61,1.2071165104810758e-47,1.7278760298879466e-82,3.0121790071119587e-45,2.9328263084474397e-93,1.3580854419985326e-35,0.0,1.2542919331639705e-41,5.1117636522729429e-96,4.1093431515240006e-66,2.7653605457319869e-79,9.5380744579015044e-90,4.0971247806011847e-58,1.6061866798001636e-133,1.1272973717822294e-14,1.4016809352733e-15,1.407561739452577e-18,1.4075617581580073e-18,9.3525576936643627e-27,1.0516752256886018e-31,8.7558929879033892e-34,2.0477083553642543e-60,1.5380790406332924e-60,3.6893642718621881e-67,1.5280587967297752e-74,7.4010308300370036e-96,1.9411883148863166e-49,9.9425640710505696e-112,2.0575242543032195e-65,3.5628859743522117e-101
8.777658858476101e-20,0.066515776,0.80000000000000004,0.0,0.0,0.0,0.19289575039997464,0.099999999999977454,0.099999999999998604,7.466279022673796e-96,4.4533689257161364e-60,9.6593778147153044e-47,2.2123560184089761e-80,2.4103534415089857e-44,3.7555545364933973e-91,5.4332260691769007e-35,0.0,5.0179845070944476e-41,3.273206535130634e-94,6.5768604537988552e-65,1.7703661809095051e-77,1.221373335225104e-87,3.2783223189928822e-57,2.0569310933925506e-131,2.2548394353785172e-14,2.8036661208036177e-15,2.8154289869457908e-18,2.8154290617801111e-18,3.7415899828801172e-26,8.4149113036241401e-31,3.5029273423922009e-33,3.2772223978015838e-59,4.9233170474323185e-59,2.361907472080319e-65,4.8912570976335513e-73,1.8952442783741732e-93,3.1065017318810269e-48,5.0926983706455913e-109,3.2929958576524588e-64,9.1261179632669914e-99
1.755627025725155e-19,0.066515776,0.80000000000000004,0.0,0.0,0.0,0.19289575039994927,0.099999999999954903,0.099999999999997202,1.9117307859435317e-93,7.1264259568493603e-59,7.7284808073859061e-46,2.8322016563735734e-78,1.9285268414504936e-43,4.8080150781027919e-89,2.1734672819311484e-34,0.0,2.0073571865111108e-40,2.0953891810021113e-92,1.0524506008439292e-63,1.1331872736667274e-75,1.5636522524715769e-85,2.6229068772098663e-56,2.6335196947191295e-129,4.5099235611484846e-14,5.6076364918634776e-15,5.6311634257966e-18,5.6311637251616083e-18,1.4967241219168075e-25,6.7324268574938433e-30,1.4012849731556122e-32,5.2442672520038495e-58,1.5756698952394757e-57,1.5118247952322669e-63,1.5654373551490079e-71,4.8524898363104829e-91,4.9708073989595649e-47,2.6079583886292224e-106,5.2695591332886861e-63,2.3369057179050658e-96
3.5113493054802445e-19,0.066515776,0.80000000000000004,0.0,0.0,0.0,0.19289575039989856,0.0999999999999098,0.099999999999994399,4.894336892133937e-91,1.1403110306912107e-57,6.1831763221814353e-45,3.6253475553791866e-76,1.5429190569959572e-42,6.1546375991636111e-87,8.6942227002637537e-34,0.0,8.029755662252527e-40,1.3412208770847343e-90,1.684043282852628e-62,7.2526517486679979e-74,2.001597843086852e-83,2.0984251120689935e-55,3.3713198461391892e-127,9.0200918069979847e-14,1.121557723398009e-14,1.1262632078955765e-17,1.1262633276491436e-17,5.9868706807768468e-25,5.3859709528568476e-29,5.6053679621937279e-32,8.3913970668453758e-57,5.0423116907212933e-56,9.6760164887314675e-62,5.009775773894828e-70,1.242282241748445e-88,7.9533730948010253e-46,1.335358538324763e-103,8.4319072563205648e-62,5.9830806229864064e-94
7.022793864990424e-19,0.066515776,0.80000000000000004,0.0,0.0,0.0,0.19289575039979712,0.09999999999981958,0.099999999999988792,1.2529079874170023e-88,1.8245640075177664e-56,4.9466981013099632e-44,4.6402266990373051e-74,1.2343741884467651e-41,7.8776633719141053e-85,3.4777596770108203e-33,0.0,3.211967759104508e-39,8.5843626145288568e-89,2.6945670142330439e-61,4.641475865249157e-72,2.5619563555290108e-81,1.6787799287190076e-54,4.315554841003621e-125,1.8040428275935245e-13,2.2431458718200894e-14,2.2525568487104325e-17,2.2525573277559599e-17,2.3945814770749458e-24,4.3085171141469728e-28,2.2421927908461775e-31,1.3426691824450305e-55,1.6134607141736009e-54,6.192355370218875e-60,1.6031884931869949e-68,3.1800940483014636e-86,1.2724686167975027e-44,6.8368064140827821e-101,1.3491541693597806e-60,1.5316478488401533e-91
1.4045682984010783e-18,0.066515776,0.80000000000000004,0.0,0.0,0.0,0.19289575039959422,0.099999999999639155,0.099999999999977579,3.2069735084425103e-86,2.9193556714852294e-55,3.9574218888537834e-43,5.9385801554048898e-72,9.875147811335927e-41,1.0081916807006564e-82,1.3911178952216724e-32,0.0,1.2848002904634733e-38,5.4941667336568178e-87,4.3113851151796759e-60,2.9700869374584666e-70,3.2788183516158828e-79,1.3430398690205506e-53,5.5240814067365554e-123,3.6081101122762813e-13,4.4863221686592787e-14,4.5051437710723002e-17,4.5051456874461026e-17,9.5766996207836449e-24,3.446275655900911e-27,8.968862306073705e-31,2.1483075117734873e-54,5.1622701879362376e-53,3.9624969150181485e-58,5.130299860712812e-67,8.1397968057368598e-84,2.0356447383759749e-43,3.4999316935257912e-98,2.1586858621275063e-59,3.9204910131585822e-89
2.8091461222051497e-18,0.066515776,0.80000000000000004,0.0,0.0,0.0,0.19289575039918846,0.099999999999278291,0.099999999999955153,8.2071162954290795e-84,4.6710122319666245e-54,3.1659638180484775e-42,7.5988290938403212e-70,7.9001776190152757e-40,1.2900526893933155e-80,5.5644988691301282e-32,0.0,5.1392282389425757e-38,3.5163212882446466e-85,6.89827747955503e-59,1.9002143572718491e-68,4.1954792243128811e-77,1.0744382500085808e-52,7.0709432530784855e-121,7.2162446452230156e-13,8.9726747623177761e-14,9.0103161787251042e-17,9.010323845635e-17,3.8293210400197969e-23,2.7561110228172721e-26,3.5875630950009407e-30,3.4373224285809518e-53,1.6513643500656383e-51,2.5351424679172526e-56,1.6417116089388505e-65,2.0830894657537464e-81,3.2559937911885887e-42,1.7913685128645012e-95,3.4539286803923058e-58,1.0033218780376781e-86
5.618301769813293e-18,0.066515776,0.80000000000000004,0.0,0.0,0.0,0.19289575039837692,0.099999999998556577,0.099999999999910286,2.0995806687861834e-81,7.4736558582458043e-53,2.532783088939558e-41,9.7198266763680252e-68,6.3201620800335002e-39,1.6501283990527091e-78,2.2258043967399175e-31,0.0,2.055697274328343e-37,2.250461408405258e-83,1.103728974202379e-57,1.2152992899543239e-66,5.3665060363864847e-75,8.5955311686407755e-52,9.0509389749209577e-119,1.4432513565441367e-12,1.7945379949555251e-13,1.8020655245750693e-16,1.8020685924465281e-16,1.5306307843977717e-22,2.2034154190826149e-25,1.4350288276876451e-29,5.4997432689223747e-52,5.2806955747910785e-50,1.621373309488949e-54,5.2535033743340919e-64,5.3290568701698189e-79,5.2062226688205071e-41,9.165522061347576e-93,5.5263107623435405e-57,2.5667787029446084e-84
