Time (s),Volume (m^3),N2,Ne,X(1),CH4(2),O2(3),CO2(4),H2O(5),H2(6),CO(7),C2H6(8),CH2O(9),CH3(10),C3H8(11),H(12),C2H5(13),CH3OH(14),HCO(15),CH3CHO(16),OH(17),C2H4(18),CH4X(56),OX(20),CH3X(21),HOX(22),HX(19),CH2X(27),CHX(28),CX(26),OCX(25),H2X(57),CO2X(24),CHOX(61),COX(58),H2OX(23)
8.191459188902287e-21,0.09977366400000001,0.80000000000000004,0.0,0.28934362559999671,0.099999999999997438,0.099999999999999631,2.9968390744292117e-99,4.7505948990277626e-54,1.9831722363224018e-39,5.8711493964861428e-66,2.6877580186791664e-51,2.7806931385364012e-43,4.2392516101095394e-26,6.4352493264792822e-103,4.2392516068674266e-26,1.5782125289766164e-65,4.8512131516660687e-64,1.3864768657692704e-66,8.5092640515555995e-94,2.7806951465493706e-43,1.6588327248305047e-80,2.5771744978452899e-15,7.5172404927563269e-16,1.7036197363903364e-20,1.2679978840944287e-31,1.7036197443567789e-20,3.9890658948517039e-29,3.2919713783800442e-33,3.1696019610252269e-39,3.7149588879790373e-63,7.7240955533273234e-53,3.2488369029932098e-90,9.041666445464947e-60,4.3161420033129018e-81,2.370357427071796e-45
1.639003519725627e-20,0.09977366400000001,0.80000000000000004,0.0,0.28934362559999338,0.099999999999994857,0.099999999999999256,1.0770053837702226e-96,7.6051969503490452e-53,1.5462659317072972e-38,4.7004894495929367e-65,2.152386273230992e-50,1.1130019256919397e-42,8.4821863297718568e-26,2.0623623298046113e-101,8.4821863167949559e-26,1.2638500129129115e-64,7.7709236230101088e-63,1.1100245306001762e-65,2.6222805903603579e-92,1.1130035333132161e-42,2.6570152544961092e-79,5.1565880699698553e-15,1.5041012037200269e-15,3.4087195862245525e-20,5.0752620165692628e-31,3.4087196181124021e-20,1.5965341622641736e-28,2.635374710601646e-32,3.5700298908688132e-38,1.6697884401951266e-61,1.2023854702353227e-51,5.8397708041873993e-88,7.238830540544194e-59,6.9114507452538567e-80,1.8977153449254292e-44
3.278718721396423e-20,0.09977366400000001,0.80000000000000004,0.0,0.28934362559998672,0.099999999999989694,0.099999999999998507,4.3402251239631418e-94,1.2171601354274965e-51,1.2207488613752418e-37,3.761820335805345e-64,1.7227813767644923e-49,4.4534574607654718e-42,1.6968055788614446e-25,6.6044957753007238e-100,1.6968055736689938e-25,1.0115922601066082e-63,1.2440547450846379e-61,8.8835698470691559e-65,8.2300037554682839e-91,4.4534703264606051e-42,4.2535320530615788e-78,1.0315415214212722e-14,3.008855512608734e-15,6.8189192620012446e-20,2.0307386676371938e-30,6.8189193896047261e-20,6.3871619214248943e-28,2.1087741790377888e-31,4.5092388212462856e-37,8.4171731372182364e-60,1.8968008537165159e-50,1.1770402312637533e-85,5.7932639228387047e-58,1.1062822774937249e-78,1.5187300226620453e-43
6.558149124738016e-20,0.09977366400000001,0.80000000000000004,0.0,0.2893436255999734,0.099999999999979383,0.099999999999997008,1.9209166669485582e-91,1.9476837558334656e-50,9.6986776566908037e-37,3.0100300218886467e-63,1.3785741118808905e-48,1.7816729807239692e-41,3.3939794784371422e-25,2.1142288155543072e-98,3.3939794576639585e-25,8.0947876390296311e-63,1.9910145885426786e-60,7.1082056202972138e-64,2.607777833958755e-89,1.7816832749772341e-41,6.8074979753850496e-77,2.0633069502673414e-14,6.0183641303858235e-15,1.3639318517987671e-19,8.1240592010202488e-30,1.3639319028569021e-19,2.5544374802301042e-27,1.6868174203648273e-30,6.2507980097212696e-36,4.6592623415749975e-58,3.0125875145108778e-49,2.6052788881979617e-83,4.6354904766882409e-57,1.7704130261612214e-77,1.2151843493084373e-42
1.3117009931421204e-19,0.09977366400000001,0.80000000000000004,0.0,0.28934362559994675,0.099999999999958747,0.099999999999993996,9.0596312984156651e-89,3.1163628167859773e-49,7.7284529225607807e-36,2.4082786613206846e-62,1.1029988818856808e-47,7.1272719851412124e-41,6.7883273088172635e-25,6.766796867362193e-97,6.7883272257177659e-25,6.476650128363944e-62,3.1859209758364913e-59,5.6871044723153194e-63,8.3035569360131632e-88,7.1273543428654235e-41,1.0893474476088263e-75,4.1268378079494623e-14,1.2037381365938701e-14,2.7280116647692722e-19,3.2497139128634378e-29,2.7280118690858452e-19,1.021184163724247e-26,1.3487470254321341e-29,9.2260714478927287e-35,2.7478344852969689e-56,4.8001621984183408e-48,6.1445033984174257e-81,3.7087431210259681e-56,2.8329777735308813e-76,9.7219111796893896e-42
2.6234731544787576e-19,0.09977366400000001,0.80000000000000004,0.0,0.28934362559989346,0.099999999999917474,0.099999999999987974,4.4361435778079092e-86,4.9858732637998233e-48,6.1648851979582979e-35,1.9270333534163037e-61,8.8245489970506854e-47,2.8510248331197586e-40,1.3577023094492389e-24,2.1655774408792103e-95,1.3577022762080882e-24,5.1816482796062849e-61,5.0973148432901264e-58,4.5498996139659008e-62,2.6505234759841847e-86,2.851090715833168e-40,1.7430741906743432e-74,8.2538995232736376e-14,2.4075415837039243e-14,5.4561711378031679e-19,1.2997990778511457e-28,5.4561719556410393e-19,4.079520692143918e-26,1.0777150966929206e-28,1.4129331671142821e-33,1.6822563499386436e-54,7.6574483770671853e-47,1.5044779966017363e-78,2.9671331469264503e-55,4.5337012742045455e-75,7.777119555583964e-41
5.247017477152032e-19,0.09977366400000001,0.80000000000000004,0.0,0.28934362559978682,0.099999999999834929,0.099999999999975941,2.2156007011008352e-83,7.9759924762041389e-47,4.915706525471814e-34,1.5456510080376005e-60,7.0598616426022844e-46,1.1404331594605602e-39,2.7154415165502129e-24,6.9301722270000585e-94,2.715441383582913e-24,4.1454501385187355e-60,8.1543072863208397e-57,3.6400061625602791e-61,8.4711042520882516e-85,1.1404858563350382e-39,2.7890134843488897e-73,1.6508022953761711e-13,4.8151484779219491e-14,1.0912489472242563e-18,5.1981873462119829e-28,1.0912492747951548e-18,1.6275514950564901e-25,8.600660970481204e-28,2.2062330470232169e-32,1.0503816408964922e-52,1.2211910972281414e-45,3.7571553463334765e-76,2.3737593338350134e-54,7.2717680266465242e-74,6.2205978706254113e-40
1.049410612249858e-18,0.09977366400000001,0.80000000000000004,0.0,0.28934362559957361,0.099999999999669839,0.099999999999951864,1.1161791031044352e-80,1.2756757988245615e-45,3.9117234889713348e-33,1.286790357325993e-59,5.6479771116016996e-45,4.5617792345761758e-39,5.4309201306159089e-24,2.2177073339432847e-92,5.4309195987413685e-24,3.3164131016512206e-59,1.3041714889567533e-55,2.9120396064805618e-60,2.7091142484869257e-83,4.5622006459144242e-39,4.4624978998891718e-72,3.3016269814096764e-13,9.630362266349664e-14,2.1825123694608314e-18,2.0784048198850539e-27,2.1825136831655243e-18,6.4762034880998785e-25,6.8468281904139804e-27,3.4741333155550669e-31,6.6152229450501904e-51,1.9437997445270663e-44,9.464094190627807e-74,1.8990243615032536e-53,1.2080124722385707e-72,4.9745457642656606e-39
2.098828341319168e-18,0.09977366400000001,0.80000000000000004,0.0,0.28934362559914711,0.099999999999339673,0.099999999999903708,5.6284531754126071e-78,2.0395104837834055e-44,3.0984411991124736e-32,1.6630916141177832e-58,4.5184149176376446e-44,1.8247211283349687e-38,1.0861878158201917e-23,7.0967490291221501e-91,1.0861876030693505e-23,2.6531522923784133e-58,2.0849629568492455e-54,2.3296456957150029e-59,8.6679777450100754e-82,1.8250579898603253e-38,7.1400593008432059e-71,6.6032763532202489e-13,1.9260789843171761e-13,4.3650382353292099e-18,8.3065399175124188e-27,4.3650435170431825e-18,2.5636352389388066e-24,5.424202790569882e-26,5.4753102595116094e-30,4.1702436618900366e-49,3.0802538581095747e-43,2.3861901509024118e-71,1.5192194752927645e-52,3.0553878121410818e-71,3.9764773566114145e-38
4.197663799457788e-18,0.09977366400000001,0.80000000000000004,0.0,0.28934362559829419,0.09999999999867934,0.09999999999980741,2.8202145556414554e-75,3.2581801558608731e-43,2.4313811661580256e-31,9.2665734876892981e-57,3.6147422000320644e-43,7.2989043033206724e-38,2.1723797411189619e-23,2.2709746624865892e-89,2.1723788901138686e-23,2.1225315416570337e-57,3.3304316965373823e-53,1.8637223845869521e-58,2.7772268145297801e-80,7.3015949007700984e-38,1.1424150132093541e-69,1.3206575095815633e-12,3.8521644996682601e-13,8.7300860526504444e-18,3.3169407294941625e-26,8.7301073884110702e-18,1.0045820385985484e-23,4.2564610562722619e-25,8.5741535300232989e-29,2.6124549893315751e-47,4.8371798558352274e-42,5.9780926224030681e-69,1.2153647401125918e-51,3.3007947649977815e-69,3.1761105202199991e-37
