Time (s),Volume (m^3),Ar,Ne,N2,X(1),CH4(2),O2(3),CO2(4),H2O(5),H2(6),CO(7),C2H6(8),CH2O(9),CH3(10),C3H8(11),H(12),C2H5(13),CH3OH(14),HCO(15),CH3CHO(16),OH(17),C2H4(18),CH4X(48),OX(20),HX(19),HOX(22),CH3OO(77),CH3X(21),CH2X(27),CHX(28),CX(26),OCX(25),H2X(49),C2H4(47),COX(50),CHOX(53),CO2X(24),H2OX(23)
0.0,0.16628943999999996,0.8585084662769803,0.0,0.0,0.45230727679999988,0.11866996602996532,0.022821567693054285,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
6.305033531594134e-24,0.16628943999999996,0.8585084662769803,0.0,0.0,0.45230727679999988,0.11866996602996532,0.022821567693054285,-3.2549366122042678e-120,1.311112944229571e-65,2.9700072505100237e-36,1.9483415512936509e-88,1.7985939299040546e-54,6.626003127540178e-132,5.5646920903778486e-20,-6.5494093392713291e-106,5.5646920903778486e-20,2.5962946586401065e-72,2.1085786149433489e-73,4.3712748470903381e-112,5.0684832133455374e-113,5.3346342383173905e-54,1.2187828446504407e-85,3.0390311159895404e-18,8.9980309981672622e-20,3.6022135345625228e-22,9.0087835654169666e-38,3.3357983340900261e-37,3.6022135345102627e-22,2.6105198650229318e-33,4.1278484604499005e-41,3.2866734920503653e-45,4.148857323651103e-76,2.1456307148882919e-52,2.0232935776207614e-98,7.6982264103199458e-106,-3.9188919137590906e-108,-1.333178485219525e-107,3.3174158799093106e-54
1.7654093888463576e-23,0.16628943999999996,0.8585084662769803,0.0,0.0,0.45230727679999988,0.11866996602996532,0.022821567693054285,5.8968299900257085e-118,2.9329134275464561e-64,1.7938843812248289e-35,2.1529839806016134e-86,2.7180351697892699e-53,2.3908677962272264e-129,1.5581137853057977e-19,1.2643731906646193e-104,1.558113785305797e-19,7.3219664040592818e-71,6.6297085783454415e-72,8.7384472450166366e-110,1.0132209646231917e-110,6.3332777655012991e-53,6.308771063686446e-84,8.5092871247707105e-18,2.5194486794868334e-19,1.008619789685983e-21,5.4413052714204448e-37,2.0148221937883227e-36,1.0086197896544175e-21,1.5767539743872918e-32,4.9005816213940546e-40,3.9019616781724189e-44,2.5239669544150068e-74,2.547292787207906e-51,1.9053999987482421e-96,1.5389228021524295e-103,3.966043576150204e-106,1.3492191383461054e-105,3.938436131228292e-53
4.035221460220246e-23,0.16628943999999996,0.8585084662769803,0.0,0.0,0.45230727679999988,0.11866996602996531,0.022821567693054285,2.4893339385902471e-115,5.7949481870572863e-63,8.6367811132347686e-35,1.9478821578435566e-84,2.9239382062053861e-52,8.6568687941192013e-127,3.5614029378418233e-19,1.3350445659621074e-102,3.5614029378418209e-19,1.5926876259127614e-69,1.479051512965341e-70,1.5820263440075511e-107,1.8343559369172616e-108,6.2180496612725126e-52,2.7546563490422522e-82,1.9449799142333041e-17,5.7587398388270478e-19,2.3054166621793497e-21,2.6197542576861458e-36,9.7005015555029895e-36,2.3054166620273762e-21,7.5913914061883151e-32,4.8114199458589981e-39,3.8310176384034485e-43,1.1394535517935086e-72,2.5009471690006231e-50,1.6653294367080546e-94,2.786097284938356e-101,8.3056077202688754e-104,2.8255072534094407e-103,3.8667799452821592e-52
8.574845602968022e-23,0.16628943999999996,0.8585084662769803,0.0,0.0,0.45230727679999988,0.11866996602996528,0.022821567693054285,8.007139125482675e-113,1.0311805152210603e-61,3.7719092378577348e-34,1.4742232627800465e-82,2.6876029618279863e-51,2.6249737602860499e-124,7.5679812429138743e-19,1.0552414642956331e-100,7.5679812429138618e-19,2.9525744392043247e-68,2.7700997895398296e-69,2.3972555131255136e-105,2.7796122987836091e-106,5.4997944998241954e-51,1.0254894913838212e-80,4.1330823177457633e-17,1.2237322157507477e-18,4.899010407301706e-21,1.1441155095662757e-35,4.2364638842624962e-35,4.8990104066379974e-21,3.3153598552374955e-31,4.2556461875385045e-38,3.3885780371012212e-42,4.3024676871355575e-71,2.2120594580475743e-49,1.2423874305809006e-92,4.2217925774002239e-99,1.334791245486657e-101,4.540862599058484e-101,3.4201230664370211e-51
1.7654093888463574e-22,0.16628943999999996,0.8585084662769803,0.0,0.0,0.45230727679999982,0.11866996602996524,0.022821567693054285,2.290586104124946e-110,1.7392370197909943e-60,1.5746978709594151e-33,1.0242297349187898e-80,2.2993009176213059e-50,7.3014312685444559e-122,1.558113785305798e-18,7.4791777918532791e-99,1.5581137853057924e-18,5.0747210750086172e-67,4.7846584958248584e-68,3.3330192322526186e-103,3.8646281964102838e-104,4.6229086504500249e-50,3.5329667842226247e-79,8.5092871247706566e-17,2.5194486794868328e-18,1.0086197898088905e-20,4.7764570172089595e-35,1.7686402767058784e-34,1.0086197895318053e-20,1.3840972964277337e-30,3.5771265934169072e-37,2.8484492326106033e-41,1.4928008096001516e-69,1.8593692768699703e-48,8.569918637221137e-91,5.8697605565384981e-97,1.9084644229239138e-99,6.492456965943662e-99,2.8748195063394168e-50
3.581259045945468e-22,0.16628943999999996,0.8585084662769803,0.0,0.0,0.45230727679999971,0.11866996602996516,0.022821567693054285,6.1944618670138853e-108,2.8567023061705264e-59,6.433154731284878e-33,6.8271274879365454e-79,1.9011064628099918e-49,1.9476444773394158e-119,3.16074510733462e-18,5.033143785332991e-97,3.1607451073345965e-18,8.4109780193938836e-66,7.9497816001168556e-67,4.4447005632799406e-101,5.1536201637047794e-102,3.7901397928429e-49,1.1724628651819489e-77,1.7261696738820348e-16,5.1108816069590024e-18,2.0460572881833257e-20,1.9513385307019768e-34,7.225472623329761e-34,2.0460572870513426e-20,5.6544876035720999e-30,2.9327437656388458e-36,2.3355689172378464e-40,4.9721488976844871e-68,1.5244232974485985e-47,5.6913256481469587e-89,7.8275360066586535e-95,2.5800191913775916e-97,8.7770373766013184e-97,2.3569507060218829e-49
7.21295836014369e-22,0.16628943999999996,0.8585084662769803,0.0,0.0,0.45230727679999955,0.11866996602996498,0.022821567693054282,1.6298040022556069e-105,4.630837724549275e-58,2.6003840943936118e-32,4.459263454297014e-77,1.5459482027791237e-48,5.0897504620972848e-117,6.3660077513922666e-18,3.3024297340565574e-95,6.3660077513921703e-18,1.3695097300807846e-64,1.2960150262142987e-65,5.8071818347587744e-99,6.7334140897629468e-100,3.0693534327221806e-48,3.8202995451430741e-76,3.4766515966919347e-16,1.0293747461903335e-17,4.1209322858001783e-20,7.8876222299431046e-34,2.9206515596162961e-33,4.1209322812245197e-20,2.2856331066536742e-29,2.3750107449810816e-35,1.8917899762489594e-39,1.6233179374451471e-66,1.2345175515840034e-46,3.7099367948894007e-87,1.0226993755700236e-92,3.3937501086899538e-95,1.154529069103967e-94,1.9087197662373458e-48
1.4476356988540132e-21,0.16628943999999996,0.8585084662769803,0.0,0.0,0.45230727679999921,0.11866996602996462,0.022821567693054278,4.2308815740319288e-103,7.4578214072947157e-57,1.0456030836193145e-31,2.8839172149981915e-75,1.2468632313595991e-47,1.3168205631873663e-114,1.2776533039507563e-17,2.1399253204979788e-93,1.2776533039507187e-17,2.2103942257892365e-63,2.0930676751220792e-64,7.5118813319154303e-97,8.7100092676668605e-98,2.4704826099501154e-47,1.2335515732363915e-74,6.9776154423115806e-16,2.0659479171791989e-17,8.270682284505822e-20,3.171578124529163e-33,1.1743811465478657e-32,8.2706822661072857e-20,9.1904206245927262e-29,1.9116133484380221e-34,1.5232980687039668e-38,5.2483884431481759e-65,9.9364719367236867e-46,2.3961776965443305e-85,1.3229130007244982e-90,4.404766961761972e-93,1.4984696391400113e-92,1.5363036847874008e-47
2.9003154245333017e-21,0.16628943999999996,0.8585084662769803,0.0,0.0,0.45230727679999849,0.11866996602996391,0.022821567693054268,1.0913226509943797e-100,1.1971454597691131e-55,4.1933366336607983e-31,1.8564727602364583e-73,1.0015483547569153e-46,3.3909093893764085e-112,2.5597583615738197e-17,1.3780520024520788e-91,2.5597583615736684e-17,3.5520441811817152e-62,3.3645449836139819e-63,9.6716455448133216e-95,1.1214250944980255e-95,1.9824066119607119e-46,3.9651413062220788e-73,1.3979543133550254e-15,4.1390942591569213e-17,1.6570182295804895e-19,1.2719446135745717e-32,4.7097936518078645e-32,1.6570182222018465e-19,3.6857620449045417e-28,1.5339462409420987e-33,1.2233472530186335e-37,1.6891571798538096e-63,7.9733940362935564e-45,1.5405710745679035e-83,1.7032678049415234e-88,5.6807343719202363e-91,1.9325444593640866e-90,1.232786893114882e-46
5.8056748758918786e-21,0.16628943999999996,0.8585084662769803,0.0,0.0,0.45230727679999705,0.11866996602996248,0.022821567693054247,2.8077056680109331e-98,1.9185540623102906e-54,1.679522375623752e-30,1.1930212524843732e-71,8.02864973152733e-46,8.7165508695724125e-110,5.1239684768199586e-17,8.8468305782882791e-90,5.123968476819354e-17,5.6956296374388088e-61,5.3958137792498536e-62,1.243070873046851e-92,1.4413378413074502e-93,1.5883375124889485e-45,1.2716963952405841e-71,2.7983398516025134e-15,8.2853869431123323e-17,3.3169182373954615e-19,5.094412348196958e-32,1.8863740755231866e-31,3.3169182078423405e-19,1.4762211515271456e-27,1.2290187037752211e-32,9.8176328147244109e-37,5.427350658147373e-62,6.3884197401138937e-44,9.8821672944788567e-82,2.1891647979688266e-86,7.3074948185204735e-89,2.4859565166683552e-88,9.8772958761968495e-46
