Time (s),Volume (m^3),Ar,Ne,N2,X(1),CH4(2),O2(3),CO2(4),H2O(5),H2(6),CO(7),C2H6(8),CH2O(9),CH3(10),C3H8(11),H(12),C2H5(13),CH3OH(14),HCO(15),CH3CHO(16),OH(17),C2H4(18),CH4X(48),OX(20),CH3X(21),HX(19),CH2X(27),CHX(28),CX(26),HOX(22),OCX(25),H2X(49),CHOX(53),CO2X(24),COX(50)
6.649310165217266e-21,0.11640260799999998,0.8585084662769803,0.0,0.0,0.3375675631999972,0.11866996602996265,0.022821567693054223,5.4112799048878969e-100,7.8575019320331118e-63,4.5920955817567091e-36,1.1460202014777474e-74,2.1941882072883592e-50,1.1893369255216569e-118,6.7613966868298504e-22,1.4329818895808761e-103,6.7613966868195559e-22,3.5046452284432645e-70,5.8495276851768233e-66,1.1511589599887466e-99,6.9558324694037977e-101,1.0511685547118566e-50,1.0784986536092024e-82,2.6814725642086121e-15,1.2892758379774161e-16,4.9695656691837817e-20,4.9695656961946831e-20,1.3506542616270236e-28,4.5454137817456905e-33,1.6716004167611405e-38,3.6484628482155813e-32,2.349632249517674e-63,1.6733829613136979e-49,1.0651049532481561e-91,1.3142602458234316e-90,1.0189798513215654e-89
1.3304397315808308e-20,0.11640260799999998,0.8585084662769803,0.0,0.0,0.33756756319999437,0.11866996602995997,0.022821567693054157,1.4961036715852405e-97,1.2582681782526983e-61,1.8441480669569732e-35,7.96488504641415e-73,1.7571301218539449e-49,3.3050389457178102e-116,1.3528667740913735e-21,9.1852587345631421e-102,1.3528667740872529e-21,5.613523067583262e-69,9.3672383371704979e-65,1.5996876266369028e-97,9.6660491465106234e-99,8.4132298696404668e-50,3.455069244214574e-81,5.3652748178718691e-15,2.5796718113483488e-16,9.943448918347539e-20,9.9434490264633635e-20,5.405954976790435e-28,3.6389793446504008e-32,1.453996357958536e-37,1.4598692802059937e-31,8.1694794064175268e-62,1.3438835118350745e-48,1.4815585654453844e-89,1.8170484384755534e-88,1.4160072651284547e-87
2.6614571616990393e-20,0.11640260799999998,0.8585084662769803,0.0,0.0,0.33756756319998876,0.1186699660299546,0.022821567693054028,4.3791032744818275e-95,2.0131508544757959e-60,7.4279104952169061e-35,5.8962260001574544e-71,1.4064162570635929e-48,9.7801157549099005e-114,2.706320984914034e-21,5.88310552312613e-100,2.7063209848975455e-21,8.9865121820939494e-68,1.4987027567280886e-63,2.367379193773041e-95,1.4304794912523419e-96,6.7291266027239678e-49,1.1062422972353293e-79,1.0732879325193394e-14,5.1604637580901131e-16,1.9891215335548004e-19,1.9891215768166729e-19,2.1629405342258786e-27,2.9121046034211167e-31,1.3488116466361778e-36,5.8376474050975573e-31,3.0265410228696701e-60,1.0821726112839028e-47,2.194992800176431e-87,2.6597901360048897e-86,2.0955504334985842e-85
5.3234920219354563e-20,0.11640260799999998,0.8585084662769803,0.0,0.0,0.33756756319997749,0.11866996602994385,0.022821567693053772,1.3912684537479318e-92,3.2179986884361267e-59,3.0107797594571539e-34,4.7931451038484534e-69,1.1254179219256787e-47,3.1772862858705493e-111,5.4132294065828875e-21,3.7666409130980407e-98,5.4132294065169236e-21,1.4382320610053446e-66,2.395659392844128e-62,3.8466333772997254e-93,2.3243129232743448e-94,5.3779107663448085e-48,3.540967825306747e-78,2.1468088339816485e-14,1.0322047651573231e-15,3.9786747845440725e-19,3.9786749576314117e-19,8.6520056712430507e-27,2.3298303991703507e-30,1.3755321812826856e-35,2.3324589079010198e-30,1.231669263376663e-58,8.7655437785946094e-47,3.5712801889859027e-85,4.2262997092503644e-84,3.4049526491022032e-83
1.0647561742408291e-19,0.11640260799999998,0.8585084662769803,0.0,0.0,0.33756756319995501,0.11866996602992239,0.022821567693053255,4.8508148080741729e-90,5.1368656262901148e-58,1.2357061773868827e-33,4.3713452228175704e-67,9.0044829054801414e-47,1.1579096399129442e-108,1.0827046250014731e-20,2.4111152997426746e-96,1.082704624975085e-20,2.3014833637414922e-65,3.8241651743731438e-61,7.0115399134351991e-91,4.2366949558735605e-92,4.2925109070772502e-47,1.1332684913340813e-76,4.2938506368982856e-14,2.0645215438537819e-15,7.9577811567193446e-19,7.957781849218429e-19,3.4601523000757148e-26,1.8635682491210998e-29,1.5744452873270227e-34,9.3068365986524859e-30,5.6240073854391128e-57,7.1834847898914125e-46,6.5187968661352213e-83,7.3698013584851561e-82,6.206455871863389e-81
2.129570118335396e-19,0.11640260799999998,0.8585084662769803,0.0,0.0,0.33756756319990999,0.11866996602987945,0.022821567693052221,1.8201111065812452e-87,8.1792924375968587e-57,5.1932174696147789e-33,4.4649549530758854e-65,7.2040417255490799e-46,4.7266595961550221e-106,2.1654679937254949e-20,1.5432625552976778e-94,2.1654679936199386e-20,3.6826228356401763e-64,6.0890876542980852e-60,1.4314911979364183e-88,8.6497276790203264e-90,3.41792143113028e-46,3.6267130408878503e-75,8.5879342426996336e-14,4.1291551012460416e-15,1.5915993381856837e-18,1.5915996152712401e-18,1.3833724633019718e-25,1.490169016696916e-28,2.0173576788907828e-33,3.7040135821411331e-29,2.8756321007154769e-55,6.0194891212504039e-45,1.3325101160531346e-80,1.3829210745463892e-79,1.2671233777589495e-78
4.2591980065245295e-19,0.11640260799999998,0.8585084662769803,0.0,0.0,0.33756756319981995,0.11866996602979356,0.022821567693050156,6.9905518924085081e-85,1.2960202141031587e-55,2.2771853378521797e-32,4.9885093835005067e-63,5.7634148445559284e-45,2.1110460834591597e-103,4.330994731324152e-20,9.8773552689875556e-93,4.3309947309019202e-20,5.8923954125424051e-63,9.6481531724859033e-59,3.1973397245076791e-86,1.9319793118434509e-87,2.7087550036974433e-45,1.1605886589905523e-73,1.7176101454174625e-13,8.2584222160279301e-15,3.1832415755279862e-18,3.1832426844890774e-18,5.5276530667571158e-25,1.1909550700620138e-27,2.8245558342298313e-32,1.4667496881053023e-28,1.6077748792176155e-53,5.2509665256533997e-44,2.9788263224849108e-78,2.6558755453275128e-77,2.8302117233584715e-76
8.518453782902797e-19,0.11640260799999998,0.8585084662769803,0.0,0.0,0.33756756319963993,0.11866996602962179,0.022821567693046028,2.5861775584263553e-82,2.0340913643728177e-54,1.070289467778919e-31,5.9122763585168982e-61,4.6108033393397245e-44,1.0004226432315144e-100,8.6620482071239218e-20,6.3216578710926763e-91,8.6620482054349751e-20,9.4279895408685078e-62,1.5142399741181811e-57,7.5768837177126246e-84,4.578299302181983e-85,2.1270922251413826e-44,3.7139476258686335e-72,3.4352435876613789e-13,1.6516956445581201e-14,6.3665252194720193e-18,6.3665296601176203e-18,2.2063384766320745e-24,9.5084745884705541e-27,4.1910147541633626e-31,5.751263242151618e-28,9.5324359145274401e-52,4.895223671955826e-43,7.0627613637202447e-76,4.912259804691724e-75,6.7068810711752582e-74
1.7036965335659331e-18,0.11640260799999998,0.8585084662769803,0.0,0.0,0.33756756319927989,0.11866996602927826,0.02282156769303777,8.8063179502907679e-80,3.1345826874948578e-53,5.5487997200819804e-31,7.244774444409591e-59,3.688669460269829e-43,4.9027880029070485e-98,1.7324155161133278e-19,4.0459073057798945e-89,1.7324155154377462e-19,1.5084901659303654e-60,2.3333933399406703e-56,1.8566516832282352e-81,1.1218731020789651e-82,1.641089181210399e-43,1.188472915694287e-70,6.870510471944885e-13,3.3034024904645744e-14,1.2733089184399541e-17,1.2733106984891411e-17,8.7876639257996513e-24,7.5761568828122898e-26,6.42491250577875e-30,2.2128313530749368e-27,5.8420498615367543e-50,5.0208123228509988e-42,1.7311542113197856e-73,8.3615266796479585e-73,1.6434636427512208e-71
3.40739884411724e-18,0.11640260799999998,0.8585084662769803,0.0,0.0,0.33756756319855979,0.1186699660285912,0.022821567693021252,2.7214487518246857e-77,4.669212291347518e-52,3.2215721400663448e-30,9.0155928630873191e-57,2.9509434087398577e-42,2.4404624535858476e-95,3.4648369078791256e-19,2.5893930598163128e-87,3.4648369051767941e-19,2.4135914612539638e-59,3.4755304524218879e-55,4.6206491903437197e-79,2.792002350197064e-80,1.2253236068867737e-42,3.8031252818923715e-69,1.3741044239694583e-12,6.6068161822607263e-14,2.5466203822426312e-17,2.5466275323507136e-17,3.4852452806868375e-23,6.0124390497099011e-25,9.9981756879078995e-29,8.2201136663180269e-27,3.6354600823804095e-48,5.7637155344150884e-41,4.3088416888158997e-71,1.2916089797547496e-70,4.090082109810583e-69
