Time (s),Volume (m^3),Ar,Ne,N2,X(1),CH4(2),O2(3),CO2(4),H2O(5),H2(6),CO(7),C2H6(8),CH2O(9),CH3(10),C3H8(11),H(12),C2H5(13),CH3OH(14),HCO(15),CH3CHO(16),OH(17),C2H4(18),CH4X(48),OX(20),HX(19),HOX(22),CH3X(21),CH2X(27),CHX(28),CX(26),OCX(25),H2X(49),C2H4(47),CH3OO(77),COX(50),CO2X(24),CHOX(53)
5.726682421324683e-21,0.16628943999999996,0.8585084662769803,0.0,0.0,0.45230727679999705,0.11866996602996252,0.022821567693054247,2.516094920540074e-98,1.1934933062493756e-60,1.6341298660308283e-30,1.0988331132646802e-71,7.7053731681952066e-46,7.8114042457760024e-110,5.054251371442651e-17,8.1487321078868934e-90,5.0542513714420618e-17,5.3919181958538236e-61,1.3593342389163823e-63,1.1293535207118407e-92,1.3094828307175059e-93,4.0582278810873637e-47,1.18750482250214e-71,2.76026542643807e-15,8.172655337284182e-17,3.2717879950163502e-19,4.9566880589029174e-32,3.2717879662619638e-19,1.43632344535498e-27,1.1795319381672642e-32,9.4219052036833635e-37,5.0678167621900448e-62,6.1311876012081534e-44,9.1023709808340889e-82,1.83539099241482e-31,1.9888978381178689e-86,2.258491850866321e-88,6.6389957132740304e-89
1.1458340240061464e-20,0.16628943999999996,0.8585084662769803,0.0,0.0,0.45230727679999422,0.1186699660299597,0.022821567693054205,6.4722089619964204e-96,1.9113775327949113e-59,6.5407818893053907e-30,7.0634160991806442e-70,6.1705478671154581e-45,2.0084947109689999e-107,1.0112893925658129e-16,5.2232490637932433e-88,1.011289392565577e-16,8.6364397380347495e-60,2.1774494923561909e-62,1.4519176055004547e-90,1.6834951508129748e-91,3.2490263281061733e-46,3.8042805109134519e-70,5.5229289983365781e-15,1.6352411157050634e-16,6.5464185800939956e-19,1.983951557418261e-31,6.5464184650010413e-19,5.7489897014031187e-27,9.4433527038086101e-32,7.5674575709803199e-36,1.6288311257428093e-60,4.9086807390548677e-43,5.8321613275403776e-80,7.3463471325991877e-31,2.5569635473507376e-84,2.9047837818298037e-86,8.5389907473790777e-87
2.2921655877535026e-20,0.16628943999999996,0.8585084662769803,0.0,0.0,0.4523072767999885,0.11866996602995408,0.022821567693054122,1.6685956135955285e-93,3.0596024062428567e-58,2.6171677408040172e-29,4.5516767333614164e-68,4.9389392483065207e-44,5.1769600295762011e-105,2.0230179034089286e-16,3.3454610916621297e-86,2.0230179034079854e-16,1.3825804354734409e-58,3.4858929216414088e-61,1.871200128332522e-88,2.1696522785887926e-89,2.6001708095081804e-45,1.2180525928797102e-68,1.1048256142129752e-14,3.2711922796583032e-16,1.3095679836733275e-18,7.938267078118072e-31,1.3095679376207756e-18,2.3003069121527746e-26,7.5574323707919217e-31,6.0950069612623495e-35,5.2483117864953368e-59,3.9284406547098774e-42,3.7347106390684568e-78,2.9394957558424715e-30,3.2953595249609282e-82,3.7444339638856407e-84,1.1007701643416415e-84
4.584828715248215e-20,0.16628943999999996,0.8585084662769803,0.0,0.0,0.45230727679997712,0.11866996602994283,0.022821567693053959,4.3262151522378231e-91,4.8963770662138751e-57,1.0470399233608546e-28,2.9501638009710441e-66,3.9521520247187556e-43,1.3420857409515226e-102,4.046474925095243e-16,2.1419216118874239e-84,4.0464749250914688e-16,2.2127289294622084e-57,5.5788822421912189e-60,2.4255230558700199e-86,2.812388446008215e-87,2.0804713780991433e-44,3.8988611565687786e-67,2.2098910429700723e-14,6.5430946075645822e-16,2.6194202695967623e-18,3.1757250338799585e-30,2.6194200853535474e-18,9.2024230112317851e-26,6.0469023950999694e-30,4.9389261318081216e-34,1.7009984859607492e-57,3.1433561365242363e-41,2.3908957873118305e-76,1.1759897082256733e-29,4.2715743549251909e-80,4.854256743288715e-82,1.4271469616505001e-82
9.17015497023764e-20,0.16628943999999996,0.8585084662769803,0.0,0.0,0.45230727679995436,0.11866996602992032,0.022821567693053633,1.1347790018271442e-88,7.8346754971850237e-56,4.1885198162372822e-28,1.9347112241786715e-64,3.1621219188901249e-42,3.520071979233245e-100,8.0933889684682036e-16,1.3710943751726373e-82,8.0933889684531048e-16,3.5408465410401468e-56,8.9269716522174066e-59,3.1810185038968443e-84,3.6883836878674119e-85,1.6644386143031143e-43,1.2478104534818485e-65,4.4200219004781168e-14,1.308689926337634e-15,5.2391249798418184e-18,1.2703144349070792e-29,5.2391242427848126e-18,3.681026786699832e-25,4.837674460490788e-29,4.0507075874512243e-33,5.5785756134626911e-56,2.5149344747268461e-40,1.5303912498859774e-74,4.7043416564613355e-29,5.6020729009835335e-78,6.3667141037701491e-80,1.8721138275104751e-80
1.834080748021649e-19,0.16628943999999996,0.8585084662769803,0.0,0.0,0.45230727679990884,0.1186699660298753,0.022821567693052977,3.0436777802436466e-86,1.2534775570624712e-54,1.6754915065530732e-27,1.2975835533935473e-62,2.5298576642379414e-41,9.4410480710044267e-98,1.6187217055215448e-15,8.7758506325847594e-81,1.6187217055155049e-15,5.6657386940140457e-55,1.4282473432135817e-57,4.2662034797820204e-82,4.9466531737070492e-83,1.3314596866979344e-42,3.9932732807481686e-64,8.8402836154696092e-14,2.6174508574996657e-15,1.0478534954051582e-17,5.0808328736234724e-29,1.0478532005510278e-17,1.472277055098335e-24,3.8698325060504289e-28,3.3994046527466708e-32,1.8713790573550434e-54,2.012060360231968e-39,9.795201463293589e-73,1.8818132176369085e-28,7.5131856627632059e-76,8.5390466296427382e-78,2.5117021140339768e-78
3.668211250017419e-19,0.16628943999999996,0.8585084662769803,0.0,0.0,0.4523072767998178,0.11866996602978526,0.022821567693051669,8.4995976545840794e-84,2.0051612414016387e-53,6.7022255736496669e-27,9.0632870214902644e-61,2.0239501845247387e-40,2.6365551976584089e-95,3.2374873228715225e-15,5.6168153379867892e-79,3.2374873228473632e-15,9.065489297223404e-54,2.2847288290446841e-56,5.9578914498323408e-80,6.9081614639501079e-81,1.064946040373615e-41,1.2778922209868824e-62,1.7680807045354202e-13,5.2349727198224497e-15,2.095735711836457e-17,2.0318693579720893e-28,2.0957345322413427e-17,5.8876799765385949e-24,3.0951544828560027e-27,2.9733964239424306e-31,6.539485933875041e-53,1.6097141114113948e-38,6.2691521105129598e-71,7.5274058842931803e-28,1.0492407067694776e-73,1.1924586023602635e-75,3.5098256550545028e-76
7.336472254008958e-19,0.16628943999999996,0.8585084662769803,0.0,0.0,0.45230727679963573,0.1186699660296052,0.022821567693049053,2.5371658189794764e-81,3.2068279863960127e-52,2.6810159836698335e-26,6.7707161138314056e-59,1.6191857685112807e-39,7.8730230179605035e-93,6.4750185575735967e-15,3.594848511981411e-77,6.4750185574769573e-15,1.4505028767540264e-52,3.6538738807425211e-55,8.8975070288851776e-78,1.0316638861172522e-78,8.5157201718372283e-41,4.0893267212556048e-61,3.5361853904729811e-13,1.0470016444462899e-14,4.1915010318675891e-17,8.1235217570927932e-28,4.1914963122032299e-17,2.3538583973726757e-23,2.4748978423417664e-26,2.7845443923181922e-30,2.4449639129988282e-51,1.2878307271407418e-37,4.012328738017924e-69,3.0109928774705869e-27,1.5669345761968225e-71,1.7801821408206674e-73,5.2465390781223733e-74
1.4672994261992038e-18,0.16628943999999996,0.8585084662769803,0.0,0.0,0.45230727679927157,0.11866996602924505,0.022821567693043818,8.3347492756733133e-79,5.1262416187337432e-51,1.0724905186019204e-25,5.5732329809051944e-57,1.2953588620386531e-38,2.5898190335290872e-90,1.2950081026986216e-14,2.3007307837946489e-75,1.295008102659966e-14,2.3208242673527235e-51,5.8406312726312774e-54,1.4638642426040512e-75,1.6973471703305989e-76,6.8063062068747515e-40,1.3085959956596244e-59,7.0723947621906775e-13,2.0940103893723315e-14,8.3830352270804497e-17,3.2461990225105002e-27,8.3830163384550282e-17,9.4055955714775254e-23,1.9779246603237602e-25,2.8759762992526784e-29,1.0075332492606667e-49,1.0303412426648578e-36,2.5679131983456844e-67,1.2044031923514261e-26,2.5780022069897926e-69,2.9249027632103727e-71,8.6427058973207961e-72
2.93460382779582e-18,0.16628943999999996,0.8585084662769803,0.0,0.0,0.45230727679854321,0.11866996602852478,0.022821567693033347,3.0655047764858186e-76,8.1869501311572526e-50,4.2906005035388877e-25,5.1493981437934212e-55,1.0362911866101623e-37,9.5619119896033176e-88,2.590020596584533e-14,1.4724765684472064e-73,2.5900205964299105e-14,3.71333453711157e-50,9.3271173961664894e-53,2.7032767760486383e-73,3.1344429609296089e-74,5.4349916375600756e-39,4.1875254115253582e-58,1.4144813504996363e-12,4.1880278792162264e-14,1.6766117889753489e-16,1.2959091012835832e-26,1.6766042256294506e-16,3.7543622485414449e-22,1.5791449518364994e-24,3.3350698988755952e-28,4.6608061031030538e-48,8.243879952881743e-36,1.6434716960778818e-65,4.8176243448415841e-26,4.7607229890837365e-67,5.3806226361510199e-69,1.5981624393525411e-69
