Time (s),Volume (m^3),N2,Ne,X(1),CH4(2),O2(3),CO2(4),H2O(5),H2(6),CO(7),C2H6(8),CH2O(9),CH3(10),C3H8(11),H(12),C2H5(13),CH3OH(14),HCO(15),CH3CHO(16),OH(17),C2H4(18),CH4X(56),OX(20),CH3X(21),HOX(22),HX(19),CH2X(27),CHX(28),CX(26),OCX(25),H2X(57),CO2X(24)
7.821727116607723e-21,0.09977366400000001,0.80000000000000004,0.0,0.28934362559999688,0.099999999999997549,0.099999999999999659,1.7610471047654162e-99,2.0641871037852488e-57,1.7308294949327657e-39,5.1114895225804497e-66,2.3399918973330833e-51,2.5353389021583419e-43,4.0479091840523009e-26,5.1082583609336346e-103,4.0479091810962563e-26,1.3740103636287818e-65,9.5412488080080323e-67,1.2070825686855902e-66,5.3969872371679165e-95,2.5353389062946633e-43,1.3790129907982135e-80,2.4608504039593553e-15,7.1779401506281763e-16,1.6267246631673736e-20,1.1530125360163785e-31,1.6267246704309146e-20,3.6371037880893528e-29,2.8660377238494655e-33,2.7088185320258623e-39,2.8949352431713662e-63,6.4380548005183698e-53,1.9988828077428009e-90
1.5650249825844992e-20,0.09977366400000001,0.80000000000000004,0.0,0.28934362559999371,0.099999999999995093,0.099999999999999298,5.5380824539301773e-97,1.6526070126627407e-56,1.3479074117002045e-38,4.0922996391858585e-65,1.8738913270018146e-50,1.0147962898867281e-42,8.0993352369219233e-26,1.6370895793817301e-101,8.0993352250900423e-26,1.1003226648768515e-64,1.5244047335638374e-65,9.6640001339238478e-66,8.6422113724919283e-94,1.0147962931900007e-42,2.2088173795144812e-79,4.9238388186934903e-15,1.436211656550513e-15,3.2548626332931637e-20,4.6026628787887661e-31,3.2548626623675252e-20,1.4556746447392285e-28,2.2944032197458002e-32,3.0269779399858267e-38,1.2910470140010518e-61,1.0009189062207736e-51,3.1435705329451422e-88
3.1307295244319526e-20,0.09977366400000001,0.80000000000000004,0.0,0.28934362559998733,0.099999999999990166,0.099999999999998576,1.7925222929784693e-94,1.3225913897921941e-55,1.0634931899809168e-37,3.2750835927721598e-64,1.4998725468842347e-49,4.0605069980228842e-42,1.6202187360456952e-25,5.2426050707428487e-100,1.6202187313114013e-25,8.8070410238113649e-64,2.4278430224334101e-64,7.734137203126442e-65,1.3833167002474678e-92,4.0605070243272188e-42,3.5360261877479006e-78,9.8498156481560506e-15,2.8730469395258297e-15,6.511138551761092e-20,1.8318219815047486e-30,6.5111386681065705e-20,5.823676769847715e-28,1.8359484338844798e-31,3.7959708830027351e-37,6.4613902495655789e-60,1.5779414186641814e-50,5.0878900612679048e-86
6.262138608126859e-20,0.09977366400000001,0.80000000000000004,0.0,0.28934362559997462,0.099999999999980313,0.099999999999997133,5.7096956384317653e-92,1.058279604096263e-54,8.4467350316689275e-37,2.6205660790148041e-63,1.2002018908319513e-48,1.624467207623475e-41,3.2407891678710125e-25,1.6782608514486741e-98,3.240789148930756e-25,7.0474171853989007e-63,3.845862250602467e-63,6.1884848628522628e-64,2.213758367889695e-91,1.6244672284629091e-41,5.6591770800288751e-77,1.9701769307058337e-14,5.7467175054761668e-15,1.3023690301562354e-19,7.250894127913032e-30,1.3023690767101195e-19,2.329115796923642e-27,1.4686034622080753e-30,5.2343774176561383e-36,3.5576981470021511e-58,2.5053415446170805e-49,8.1027862354617036e-84
1.2524956775516673e-19,0.09977366400000001,0.80000000000000004,0.0,0.28934362559994919,0.099999999999960607,0.09999999999999426,1.7282094998888424e-89,8.4671267564401533e-54,6.729940302812246e-36,2.0966708142781923e-62,9.6028304485011529e-48,6.4983977094513358e-41,6.4819300599948966e-25,5.3714385957567094e-97,6.4819299842277038e-25,5.6386476599590883e-62,6.0304956971101722e-62,4.9512579980385127e-63,3.542403780717694e-90,6.4983978729476394e-41,9.0559117678609207e-76,3.9405676624771572e-14,1.1494058637375652e-14,2.6048793452626507e-19,2.8403265148215926e-29,2.6048795315580497e-19,9.3113531252966194e-27,1.1743000861185298e-29,7.7004563999310733e-35,2.0911959591302584e-56,3.9913532565072235e-48,1.2260726176211041e-81
2.5050593110296305e-19,0.09977366400000001,0.80000000000000004,0.0,0.28934362559989829,0.099999999999921194,0.099999999999988515,4.9331070249808229e-87,6.7741526392956122e-53,5.3682490781138914e-35,1.6776476089250181e-61,7.6827501334429307e-47,2.5994648829126322e-40,1.2964211958135655e-24,1.7190210451590796e-95,1.2964211655054561e-24,4.5112038347825716e-61,9.2752732161933495e-61,3.9611944794170809e-62,5.668870182416835e-89,2.5994650088210536e-40,1.4490442038132764e-74,7.8813491259832724e-14,2.2988740901169885e-14,5.2098998360601422e-19,1.0906692469889995e-28,5.2099005817861967e-19,3.7200062423092606e-26,9.3837572390402979e-29,1.17713848948538e-33,1.2778753456958704e-54,6.3669887660998491e-47,1.7495381784072065e-79
5.010186577985556e-19,0.09977366400000001,0.80000000000000004,0.0,0.28934362559979648,0.099999999999842382,0.099999999999977024,1.3436597235483043e-84,5.4196356582793112e-52,4.2807911008454553e-34,1.3450395444288101e-60,6.1463938085024297e-46,1.0398071290277172e-39,2.5928776209989071e-24,5.5011248405443695e-94,2.5928774997640107e-24,3.6090775536066242e-60,1.3767095480570614e-59,3.169030862481451e-61,9.0888045406801729e-88,1.0398072227204188e-39,2.3185495097366376e-73,1.5762912052849368e-13,4.5978105428739399e-14,1.0419940259993817e-18,4.0368922809773754e-28,1.0419943247020615e-18,1.4842966217460531e-25,7.489500824723702e-28,1.8364010419984198e-32,7.9715198465842127e-53,1.0154563463395924e-45,2.3822586843690686e-77
1.0020441111897407e-18,0.09977366400000001,0.80000000000000004,0.0,0.28934362559959287,0.099999999999684744,0.099999999999954028,3.5461266884310378e-82,4.3359990553942113e-51,3.4071620858543535e-33,1.112449018966753e-59,4.9171915462165424e-45,4.1592709934898881e-39,5.1857906535983139e-24,1.7604013869308664e-92,5.1857901686538537e-24,2.8873081572044396e-59,1.9218232134510171e-58,2.5352548732374203e-60,1.5005415969332433e-86,4.1592716506624444e-39,3.709742640636216e-72,3.1526037905997034e-13,9.1956834483802722e-14,2.0840018877216416e-18,1.4023802196829925e-27,2.0840030857249329e-18,5.9075666051239276e-25,5.9635700525351598e-27,2.8908768827398597e-31,5.0186845865204943e-51,1.6166350930461157e-44,3.1432039764739938e-75
2.0040950179721112e-18,0.09977366400000001,0.80000000000000004,0.0,0.28934362559918564,0.099999999999369482,0.099999999999908051,9.1627382728432081e-80,3.4690834317819996e-50,2.6999249023701765e-32,1.3490393653899804e-58,3.9337822650224401e-44,1.6637169931310495e-38,1.0371617447711724e-23,5.6333522597422152e-91,1.0371615507924486e-23,2.3098654825259571e-58,2.4417869588453069e-57,2.0282160860054126e-59,3.5689580535750006e-85,1.6637174140861445e-38,5.9356402360059153e-71,6.3052289609954239e-13,1.839142925936272e-13,4.1680167189086525e-18,4.4205744998591119e-27,4.1680215355516044e-18,2.3396238259657369e-24,4.7265252258829583e-26,4.5568008851264377e-30,3.1640920630626914e-49,2.5628570267198684e-43,4.0604882736546447e-73
4.008196831536852e-18,0.09977366400000001,0.80000000000000004,0.0,0.28934362559837118,0.099999999998738959,0.099999999999816097,2.3259835292386184e-77,2.7755071075772538e-49,2.1204390882656543e-31,6.8323201550338208e-57,3.1470349081617087e-43,6.6548859658044209e-38,2.0743273951594324e-23,1.8026845474078453e-89,2.0743266192429511e-23,1.8479007861851698e-57,2.7490808966826264e-56,1.6225779262412081e-58,3.4987531910821436e-83,6.6548883644984545e-38,9.4970700521551952e-70,1.2610479300851617e-12,3.6782920881206982e-13,8.3360428122557437e-18,1.2305600272637336e-26,8.3360622665015837e-18,9.1763096975931995e-24,3.712130445173497e-25,7.140707320948734e-29,1.9832892389479337e-47,4.0279347472927678e-42,5.1534667172558223e-71
8.016400458666333e-18,0.09977366400000001,0.80000000000000004,0.0,0.28934362559674226,0.099999999997477898,0.099999999999632189,5.7788727712351623e-75,2.2205662898465851e-48,1.6366458417269441e-30,7.6417780339413646e-55,2.5176275408088752e-42,2.6619586263984595e-37,4.1486598621962878e-23,5.7686156963426073e-88,4.148656758529465e-23,1.4783252969069787e-56,2.7370894700152874e-55,1.2980646558978705e-57,7.7816863667835346e-81,2.6619598382525117e-37,1.5195361632971199e-68,2.5220979976823005e-12,7.3565904124413496e-13,1.6672080722866401e-17,3.023933315233713e-26,1.6672159940427234e-17,3.5324494124406219e-23,2.8647918665954827e-24,1.1017935835436227e-27,1.2241183229477175e-45,6.2250344916159467e-41,6.401306440803602e-69
1.6032807712925297e-17,0.09977366400000001,0.80000000000000004,0.0,0.28934362559348448,0.099999999994955777,0.099999999999264358,1.3880977548063808e-72,1.7765385499008766e-47,1.2230372105464357e-29,9.0888530070542352e-53,2.0140954396930262e-41,1.0647848117069654e-36,8.2973294612953789e-23,1.8459650304211856e-86,8.2973170466446527e-23,1.1826641973206651e-55,2.4750608426113811e-54,1.0384531177625612e-56,1.8505100836861985e-78,1.0647853673839037e-36,2.4312659883620239e-67,5.0441981313801802e-12,1.4713187060889919e-12,3.334409943995059e-17,6.7590002966500307e-26,3.3344426328575354e-17,1.3134441874024922e-22,2.1400445129355228e-23,1.6485402208295834e-26,7.3269449556423927e-44,9.3242240181712802e-40,7.6869717103118385e-67
3.2065622221443226e-17,0.09977366400000001,0.80000000000000004,0.0,0.28934362558696891,0.099999999989911548,0.099999999998528696,3.152878847655829e-70,1.4212704904626455e-46,8.6393558404890913e-29,1.0303632951087229e-50,1.611263412807349e-40,4.2591460741521226e-36,1.659468731946743e-22,5.9071264097711928e-85,1.6594637661043737e-22,9.4613628992082708e-55,2.1084671970662362e-53,8.3076379875392257e-56,4.1965453919361849e-76,4.2591484662150245e-36,3.8900454049198739e-66,1.0088398392790346e-11,2.9426380357016174e-12,6.6687908459139835e-17,1.4284735462857641e-25,6.6689281924781399e-17,4.5975501431314328e-22,1.5105460532211211e-22,2.3357979241627785e-25,4.1530351428719893e-42,1.3225958420231084e-38,8.727865957651179e-65
6.413125123847907e-17,0.09977366400000001,0.80000000000000004,0.0,0.28934362557393772,0.099999999979823076,0.099999999997057373,6.569354546021038e-68,1.1370348862924696e-45,5.5907127974060402e-28,1.0729831400083464e-48,1.2889890721706183e-39,1.7036630791066839e-35,3.3189477674683282e-22,1.8903029010654432e-83,3.3189279042520948e-22,7.5691636169791612e-54,1.7401264980061553e-52,6.6461275652756614e-55,8.7436861215558048e-74,1.7036640727328523e-35,6.2241311359205446e-65,2.01767988916683e-11,5.8852766946185171e-12,1.3337461285016095e-16,2.9347140008128167e-25,1.3338048292969884e-16,1.4651288499003125e-21,9.7598674748419176e-22,3.0384537771606002e-24,2.1607649990732372e-40,1.7233418277006373e-37,9.0890897712612737e-63
1.2826250927255076e-16,0.09977366400000001,0.80000000000000004,0.0,0.2893436255478754,0.099999999959646146,0.099999999994114741,1.2205913990381284e-65,9.0963865297715898e-45,3.2241595978705046e-27,9.9699658573894613e-47,1.0311562237336975e-38,6.8146878864941381e-35,6.637935693242207e-22,6.0491269442156893e-82,6.6378562416221596e-22,6.0554459200286141e-53,1.413646618507949e-51,5.3169280531544549e-54,1.6258400729019751e-71,6.8146919367908877e-35,9.9587930158249394e-64,4.0353599793654703e-11,1.1770554011218913e-11,2.6674436714320741e-16,5.9473052082924817e-25,2.6676960081333292e-16,4.1304138132305532e-21,5.6107650168208656e-21,3.5285074642852617e-23,1.0026989240361927e-38,2.0074858546908108e-36,8.4388570114302617e-61
2.565250253406942e-16,0.09977366400000001,0.80000000000000004,0.0,0.28934362549575071,0.099999999919292273,0.099999999988229463,2.0011853078987188e-63,7.2772047718646255e-44,1.6469388826801684e-26,8.1773112971483497e-45,8.2486877560021701e-38,2.7259032844767103e-34,1.3276030957168424e-21,1.9358156293532569e-80,1.3275713160689049e-21,4.8445398694639235e-52,1.1395288649602197e-50,4.2535834507199005e-53,2.6689255685018376e-69,2.7259049193364148e-34,1.5934651861082183e-62,8.0707201214549498e-11,2.3541108639486091e-11,5.3346925857695281e-16,1.1972493569262199e-24,5.335766700000417e-16,1.0263891351184383e-20,2.8478126628160421e-20,3.6261463165140823e-22,4.1060970237016261e-37,2.0755828867757437e-35,6.9128533456732235e-59
5.13050057476981e-16,0.09977366400000001,0.80000000000000004,0.0,0.28934362539150132,0.099999999838584541,0.099999999976458906,2.9297166207691663e-61,5.8218860528339571e-43,7.6118766981339588e-26,5.9896186256776177e-43,6.5980504684369555e-37,1.0903837507391438e-33,2.6552699082185201e-21,6.1952166223387082e-79,2.6551427976360517e-21,3.8759245135228387e-51,9.1502306820495883e-50,3.4029321315230042e-52,3.9126767363211119e-67,1.0903844070799606e-33,2.5497305932789619e-61,1.614144025240271e-10,4.7082217876285984e-11,1.0668605792631602e-15,2.4022871715765796e-24,1.0673100413181903e-15,2.3111533945987737e-20,1.299474017254804e-19,3.3498022479549316e-21,1.5015693033007969e-35,1.9405923846890279e-34,5.0564531739493374e-57
