Time (s),Volume (m^3),Ar,Ne,N2,X(1),CH4(2),O2(3),CO2(4),H2O(5),H2(6),CO(7),C2H6(8),CH2O(9),CH3(10),C3H8(11),H(12),C2H5(13),CH3OH(14),HCO(15),CH3CHO(16),OH(17),C2H4(18),CH4X(48),OX(20),CH3X(21),HX(19),CH2X(27),CHX(28),CX(26),HOX(22),OCX(25),H2X(49),H2OX(23),CO2X(24),CHOX(53),COX(50)
6.746385521509144e-21,0.11640260799999998,0.8585084662769803,0.0,0.0,0.33756756319999714,0.1186699660299626,0.022821567693054223,6.1213445178713087e-100,1.3773683629718481e-54,4.7273851529861643e-36,1.2516855757070921e-74,2.2916988579004454e-50,1.337192645158206e-118,6.8601061749710412e-22,1.5631765334243229e-103,6.8601061749604429e-22,3.7138332641747674e-70,1.469875913901417e-62,1.2756477370254738e-99,7.7080537196258461e-101,2.6033520406589826e-47,1.1595584217971994e-82,2.7206202198434821e-15,1.3080983786952289e-16,5.0421179106396675e-20,5.0421179384450084e-20,1.3903784587569558e-28,4.7474103449909444e-33,1.7480901767843705e-38,3.7569707431558306e-32,2.5293707789267136e-63,1.7478275279147509e-49,7.3331919066234234e-46,1.4653429752620521e-90,1.1802987804509045e-91,1.1291749000036005e-89
1.349863236840622e-20,0.11640260799999998,0.8585084662769803,0.0,0.0,0.33756756319999431,0.11866996602995988,0.022821567693054157,1.7045029836556722e-97,2.205583694380375e-53,1.8985708119559525e-35,8.7083190091792616e-73,1.8352177264288978e-49,3.7197648770435749e-116,1.3726172476960498e-21,1.0019792302105302e-101,1.3726172476918081e-21,5.9485874709688566e-69,2.3545380667136031e-61,1.774521023856926e-97,1.0722476838373311e-98,2.0842643158004258e-46,3.7147516376877446e-81,5.4436041410057081e-15,2.6173332459905056e-16,1.0088616434557652e-19,1.0088616545853381e-19,5.5649472027669553e-28,3.8006925247758067e-32,1.522140416105138e-37,1.5037671863020388e-31,8.8036251414230101e-62,1.4037327077661837e-48,5.8710116589961754e-45,2.0404169547906551e-88,1.6435070989015496e-89,1.5707663878697699e-87
2.700312606220037e-20,0.11640260799999998,0.8585084662769803,0.0,0.0,0.3375675631999886,0.11866996602995444,0.022821567693054025,5.0578618332925789e-95,3.5303694137913825e-52,7.6478460689361433e-35,6.4572654105109106e-71,1.4689179891783865e-48,1.102554793454773e-113,2.7458305080999976e-21,6.4176194844566574e-100,2.7458305080830242e-21,9.5229062253523747e-68,3.769450863359925e-60,2.6304610197821982e-95,1.5894462062816933e-96,1.6680444770033403e-45,1.1893872725230045e-79,1.0889571983325026e-14,5.2358029805809519e-16,2.0181613398880504e-19,2.0181613844223593e-19,2.2265516635942262e-27,3.0415132636890152e-31,1.4143997048024442e-36,6.0170258457978513e-31,3.2669062873426627e-60,1.1304675061709915e-47,4.6985924295583099e-44,3.0279908339643765e-86,2.4389741352794635e-87,2.3284253334336813e-85
5.401211344978867e-20,0.11640260799999998,0.8585084662769803,0.0,0.0,0.33756756319997716,0.11866996602994355,0.022821567693053765,1.6490559095973093e-92,5.6497376245290619e-51,3.1005071169991418e-34,5.2610622525014146e-69,1.1754319690687207e-47,3.5899561776492531e-111,5.4922570289321188e-21,4.108861894955168e-98,5.4922570288642147e-21,1.5240783927953255e-66,6.0328714818325498e-59,4.2837293583047394e-93,2.5884273508556216e-94,1.3346883339709612e-44,3.8071063393345802e-78,2.1781507667943119e-14,1.0472742449761421e-15,4.0367606993473704e-19,4.0367608775257696e-19,8.9064398487234138e-27,2.4333593389562114e-30,1.4456952105124838e-35,2.4072008257967866e-30,1.3324928513583219e-58,9.1583336416567218e-47,3.7595858750486701e-43,4.9377027709793145e-84,3.9772009823992001e-85,3.7918614468630061e-83
1.0803008822496528e-19,0.11640260799999998,0.8585084662769803,0.0,0.0,0.33756756319995435,0.11866996602992176,0.022821567693053241,6.0331142261043107e-90,9.0404907596802555e-50,1.2729904959992482e-33,4.8100105367023656e-67,9.4046459182479926e-47,1.3115525560857285e-108,1.0985110070693265e-20,2.6301789850392956e-96,1.0985110070421625e-20,2.4388561200565624e-65,9.65398687580447e-58,7.8276752937579425e-91,4.7298431727674339e-92,1.0678509605104152e-43,1.2184447495557252e-76,4.3565379037097146e-14,2.0946621388120666e-15,8.0739592846450188e-19,8.0739599975139053e-19,3.5618928629175331e-26,1.9463710352111688e-29,1.6588627908630158e-34,9.6295764263848194e-30,6.0995035751193857e-57,7.5079145352777105e-46,3.0079511637863953e-42,9.0353815787472505e-82,7.2777813548133962e-83,6.9288828275508404e-81
2.1606603777531847e-19,0.11640260799999998,0.8585084662769803,0.0,0.0,0.33756756319990866,0.1186699660298782,0.022821567693052193,2.47110058096814e-87,1.4465491936472645e-48,5.3534736480289361e-33,4.9237051880342562e-65,7.5241923650645332e-46,5.3655143972348329e-106,2.1970816154603161e-20,1.6834768279876683e-94,2.197081615351656e-20,3.9024341308543482e-64,1.5447468120365852e-56,1.6015975790574829e-88,9.6775920287354365e-90,8.5431957840210998e-43,3.8992961435153371e-75,8.713312177507653e-14,4.1894379264832384e-15,1.6148355920756379e-18,1.6148358773125662e-18,1.4240372635810257e-25,1.5563692617840687e-28,2.130105880347333e-33,3.8519788747450566e-29,3.1255277219822389e-55,6.2952999074085339e-45,2.4064701797300073e-41,1.8509405284479961e-79,1.4908872248105104e-80,1.4176981691199852e-78
4.3213793687602486e-19,0.11640260799999998,0.8585084662769803,0.0,0.0,0.33756756319981734,0.11866996602979106,0.022821567693050097,1.1063072718472639e-84,2.3145282819689929e-47,2.3501615950685906e-32,5.5095761334069602e-63,6.0195434062399314e-45,2.4001019409968542e-103,4.3942228323973396e-20,1.0774769738447674e-92,4.3942228319626891e-20,6.2441053411981673e-63,2.4716740399633254e-55,3.5828412093419594e-86,2.1649177509514133e-87,6.8346909195775137e-42,1.2478182919274413e-73,1.742686072497207e-13,8.3789895018228716e-15,3.2297147055043653e-18,3.2297158470965268e-18,5.690051459758793e-25,1.243844448226806e-27,2.9869618489368564e-32,1.5408161505072283e-28,1.7501869902718626e-53,5.4975807882519035e-44,1.9252138558869574e-40,4.1441768505914146e-77,3.3380301424049206e-78,3.1714498986622508e-76
8.642817350774377e-19,0.11640260799999998,0.8585084662769803,0.0,0.0,0.33756756319963471,0.11866996602961678,0.022821567693045906,5.2503365675396829e-82,3.703262614281051e-46,1.1065496996576383e-31,6.5359667531252678e-61,4.8157093417311965e-44,1.1384797034602721e-100,8.7885052668915583e-20,6.8960167738535282e-91,8.7885052651529395e-20,9.9907347448995487e-62,3.9547162023414253e-54,8.4984243132338131e-84,5.1351380131697659e-85,5.467772930822279e-41,3.9930872372326872e-72,3.4853957819375061e-13,1.6758092652491302e-14,6.4594720771878571e-18,6.4594766485579137e-18,2.2710880505609749e-24,9.930445641903625e-27,4.4360439275407861e-31,6.1632733180878561e-28,1.0386475936899189e-51,5.1339025550278665e-43,1.5401765881711951e-39,9.8350083537521944e-75,7.9218387249474136e-76,7.5226099467916522e-74
1.7285693314802633e-18,0.11640260799999998,0.8585084662769803,0.0,0.0,0.33756756319926939,0.11866996602926823,0.022821567693037528,2.5749225283237939e-79,5.9251627306016152e-45,5.7499430127958465e-31,8.0129949504561776e-59,3.8525954161565195e-43,5.5821481166596167e-98,1.7577070138360695e-19,4.4135011671099477e-89,1.7577070131406181e-19,1.598530090584396e-60,6.3274942753271518e-53,2.0835022259990582e-81,1.2589469080821249e-82,4.3741727881396363e-40,1.2777983069929966e-70,6.9708152006077669e-13,3.351629895378482e-14,1.2918983399860833e-17,1.291900172483549e-17,9.0449934949404713e-24,7.9119107241212719e-26,6.8037470170797905e-30,2.4652786828553758e-27,6.3685824580287037e-50,5.2774906842615792e-42,1.232128141797215e-38,2.4118560996395387e-72,1.9426798460562726e-73,1.8442669313780132e-71
3.4571445242859147e-18,0.11640260799999998,0.8585084662769803,0.0,0.0,0.33756756319853876,0.11866996602857113,0.02282156769302077,1.2820197541203301e-76,9.4799861219788637e-44,3.3461967359812885e-30,9.9735802350698812e-57,3.0820844634343199e-42,2.7791920379964774e-95,3.5154199891221736e-19,2.8246542048103259e-87,3.5154199863403623e-19,2.5576557232633648e-59,1.0123687649631807e-51,5.1862549695108696e-79,3.1337675967850632e-80,3.4992341970820901e-39,4.088967358475451e-69,1.3941654037106937e-12,6.7032711556198464e-14,2.5837992362445211e-17,2.5838065973980908e-17,3.5868625947696228e-23,6.2781650875324286e-25,1.0589472265846005e-28,9.8607943563646743e-27,3.9638994302241367e-48,6.0727143871936415e-41,9.8567273503303664e-38,6.0043394467344624e-70,4.8362888444934816e-71,4.59074351465409e-69
