Time (s),Volume (m^3),N2,Ar,He,Ne,X(1),CH4(2),O2(3),CO2(4),H2O(5),H2(6),CO(7),C2H6(8),CH2O(9),CH3(10),C3H8(11),H(12),C2H5(13),CH3OH(14),HCO(15),CH3CHO(16),OH(17),C2H4(18),CH4X(33),OX(20),CH3X(22),HX(19),CH2X(134),CHX(26),HOX(23),H2X(36),CXHO(27),OCX(21),H2OX(35),COX(37),CX(24),CO2X(34),HOCXO(25)
1.0818517349599815e-20,0.066515776,0.80000000000000004,0.0,0.0,0.0,0.19289575039999687,0.09999999999999723,0.099999999999999839,3.9882031123626482e-103,9.5706702609200076e-62,1.8094073815703689e-49,9.5881808691213479e-87,4.5151071663027857e-47,1.6264432601298634e-97,8.2565959882779432e-37,0.0,7.6255734167498255e-43,1.1484938251730699e-99,1.3150240632354254e-64,6.2206221042373593e-83,5.2894856196682068e-94,5.3180702288324073e-56,8.9034120323053054e-138,2.7791031702766827e-15,3.4555353607886675e-16,3.4700325655322553e-19,3.4700325769042808e-19,5.6860139597072701e-28,1.5770205414628262e-33,4.9526273031972575e-33,7.5710694401221538e-63,1.4025678846043823e-63,8.2991357371479072e-71,1.2964739935800488e-75,1.0131218440328215e-100,7.180205328898391e-52,3.355347875271785e-117,4.5307057497255402e-104
2.164643393234437e-20,0.066515776,0.80000000000000004,0.0,0.0,0.0,0.19289575039999374,0.099999999999994454,0.099999999999999672,1.0227090278687072e-100,1.5330893106727048e-60,1.4489934036481241e-48,1.2288358188938162e-84,3.615747635018979e-46,2.0853452289456881e-95,3.3047901216811791e-36,0.0,3.0522166527740616e-42,7.3654601619136999e-98,2.1064870841883793e-63,3.9861822163464797e-81,6.7819172441798712e-92,4.2576897967976603e-55,1.1418841331979252e-135,5.5606208521417833e-15,6.9140729243233035e-16,6.9430799177410677e-19,6.9430799632588696e-19,2.275881085159679e-27,1.2625720585128026e-32,1.982341612885324e-32,1.2126868914782192e-61,4.4937466256911407e-62,5.3180962823524746e-69,4.1537057318996628e-74,2.5968775937381344e-98,1.149765482419096e-50,1.7208531555029581e-114,1.162520093118123e-101
4.330226709783349e-20,0.066515776,0.80000000000000004,0.0,0.0,0.0,0.19289575039998749,0.099999999999988889,0.099999999999999326,2.6203404538424637e-98,2.4543694912039535e-59,1.1597820144770673e-47,1.5738956730421068e-82,2.894063571370706e-45,2.6714724426746097e-93,1.3223465138040687e-35,0.0,1.2212842341715659e-41,4.7187318575703849e-96,3.3723394774919073e-62,2.5527428199369058e-79,8.6881081893487481e-90,3.4074458352652053e-54,1.4630515121281758e-133,1.1123656215006254e-14,1.3831148051392099e-15,1.3889174587997512e-18,1.3889174770128514e-18,9.1064382631556239e-27,1.0104361332287579e-31,7.9319485685193976e-32,1.9413522597560472e-60,1.4388786422268721e-60,3.4056978240575922e-67,1.3299846295133497e-72,6.6521898943334881e-96,1.8403643259109382e-49,8.8182044392169659e-112,2.9794488759661522e-99
8.661393342881171e-20,0.066515776,0.80000000000000004,0.0,0.0,0.0,0.19289575039997497,0.099999999999977759,0.099999999999998632,6.7108438803616263e-96,3.9281328494120137e-58,9.2806059410455915e-47,2.0152020456181614e-80,2.3158371643504383e-44,3.420886361639915e-91,5.290247085820423e-35,0.0,4.885932216681263e-41,3.0215371851253682e-94,5.3973117674257593e-61,1.634250491573927e-77,1.112533675930892e-87,2.7264743767359841e-53,1.8736278820262184e-131,2.2249726937272263e-14,2.7665298305527805e-15,2.7781363791865677e-18,2.7781364520512324e-18,3.6431278350535313e-26,8.084940496870554e-31,3.1732959228420185e-31,3.1070064689903232e-59,4.6057836785716191e-59,2.1803071189348444e-65,4.2572293503161993e-71,1.7034831272488521e-93,2.9451525601203098e-48,4.5167903983464088e-109,7.6316827191776797e-97
1.7323726609076818e-19,0.066515776,0.80000000000000004,0.0,0.0,0.0,0.19289575039994994,0.099999999999955499,0.099999999999997244,1.7183043526937529e-93,6.2859260850179909e-57,7.4254249340411391e-46,2.5798127633383242e-78,1.8529042489930486e-43,4.379563567888664e-89,2.1162710348697781e-34,0.0,1.954531970478379e-40,1.9342795092112764e-92,8.6369538374729986e-60,1.046062528127722e-75,1.4243126947198955e-85,2.1813866049599799e-52,2.398833847580222e-129,4.4501868367952561e-14,5.5333598813791636e-15,5.5565741653023119e-18,5.5565744567879248e-18,1.4573373779664846e-25,6.4684324907817908e-30,1.269421674357214e-30,4.97188481411466e-58,1.4740472690371025e-57,1.3955862878347354e-63,1.3625180031573263e-69,4.3615184207942365e-91,4.7126289767109986e-47,2.3130396466138852e-106,1.954230774895027e-94
3.4648393141468113e-19,0.066515776,0.80000000000000004,0.0,0.0,0.0,0.1928957503998999,0.099999999999910993,0.099999999999994482,4.3991430989867161e-91,1.0058212762466222e-55,5.9407162608516525e-45,3.3022848588543695e-76,1.4824171574869474e-42,5.6061972834136822e-87,8.4654284100765927e-34,0.0,7.8184461926991837e-40,1.238097478756441e-90,1.3820129977966317e-58,6.6950473865973194e-74,1.8232359370176942e-83,1.7451921266818408e-51,3.0708850115766519e-127,8.9006151173906314e-14,1.1067019983028901e-14,1.1113449518902258e-17,1.1113450684917995e-17,5.8293278586024669e-25,5.1747771827673329e-29,5.0778933054407861e-30,7.9555555839353237e-57,4.7171180204420656e-56,8.9320820485382216e-62,4.3603850767791212e-68,1.1165912565099221e-88,7.5402874582026505e-46,1.1843530399560308e-103,5.0033440644639811e-92
6.92977262062507e-19,0.066515776,0.80000000000000004,0.0,0.0,0.0,0.19289575039979981,0.099999999999821967,0.099999999999988945,1.1261471800201058e-88,1.6093725731742446e-54,4.752723887867818e-44,4.2267428378169732e-74,1.1859711433482846e-41,7.175713071492814e-85,3.3862401051763524e-33,0.0,3.1274422458621619e-39,7.9243306668638191e-89,2.2113010261986523e-57,4.2846433325252832e-72,2.3336704691554429e-81,1.3961868342930046e-50,3.9309745921879228e-125,1.7801471656418635e-13,2.2134340186316281e-14,2.2227199351576053e-17,2.2227204015940623e-17,2.3315715164699138e-24,4.1395768845338468e-28,2.0311986366859025e-29,1.2729321725112699e-55,1.5094099609120899e-54,5.7162830350453537e-60,1.3953756601091336e-66,2.8583515891269543e-86,1.2063799054158188e-44,6.0637085507639425e-101,1.2808437487652276e-89
1.3859639233581587e-18,0.066515776,0.80000000000000004,0.0,0.0,0.0,0.19289575039959961,0.099999999999643929,0.099999999999977884,2.8825366675864041e-86,2.5750430923717101e-53,3.8022400216926557e-43,5.4094452824277551e-72,9.4879174248526397e-41,9.1836276172774038e-83,1.3545096990621533e-32,0.0,1.2509897366332015e-38,5.0717328746581027e-87,3.5381455690737555e-56,2.7417713707638386e-70,2.9866798466835926e-79,1.116962712753762e-49,5.0318033826924221e-123,3.5603184645823663e-13,4.4268980592842612e-14,4.445469551881982e-17,4.4454714178122457e-17,9.3247247956395888e-24,3.3111519344154373e-27,8.1248771138714013e-29,2.0367263785010197e-54,4.8293988216362502e-53,3.6578870062977643e-58,4.4652862579998342e-65,7.3163205219552515e-84,1.9299227980842055e-43,3.1041885561204565e-98,3.2785447641068524e-87
2.771937245949462e-18,0.066515776,0.80000000000000004,0.0,0.0,0.0,0.19289575039919921,0.099999999999287853,0.099999999999955749,7.3769533865142392e-84,4.120107006755135e-52,3.0418172767229505e-42,6.921874975314806e-70,7.5903910217127092e-40,1.175129214546226e-80,5.418065379473281e-32,0.0,5.0039852989621929e-38,3.245959443483284e-85,5.661083227365582e-55,1.7541699315231432e-68,3.8217291911309109e-77,8.9357545550773103e-49,6.4408164829123147e-121,7.1206610270029808e-13,8.8538261405701557e-14,8.8909673860896374e-17,8.890974851171349e-17,3.7285846264892375e-23,2.6480594812720771e-26,3.2499673089468744e-28,3.2587910199109829e-53,1.5449068275869658e-51,2.3402955723344613e-56,1.4289052241563003e-63,1.8723801703018615e-81,3.0869058686879812e-42,1.5888409997655648e-95,8.3904990238862891e-85
5.543883891132069e-18,0.066515776,0.80000000000000004,0.0,0.0,0.0,0.19289575039839843,0.0999999999985757,0.099999999999911479,1.8872654127603444e-81,6.5922031906811018e-51,2.433465358277635e-41,8.8542039073218108e-68,6.0723320824307086e-39,1.5031763950147578e-78,2.1672308837418951e-31,0.0,2.0015999312977435e-37,2.0774286415973995e-83,9.0577707761955861e-54,1.1219313693916302e-66,4.8885942650163235e-75,7.1486245796255711e-48,8.2443633845336196e-119,1.4241346010002649e-12,1.7707682303064465e-13,1.7781957457544085e-16,1.7781987328510146e-16,1.490379282359654e-22,2.1170507599617512e-25,1.2999901761868965e-27,5.214091541546965e-52,4.9404284066320823e-50,1.4968053944275749e-54,4.572519525356516e-62,4.7901637829390295e-79,4.9358993077489175e-41,8.1295528530287103e-93,2.1465926577659947e-82
