Time (s),Volume (m^3),N2,Ne,X(1),CH4(2),O2(3),CO2(4),H2O(5),H2(6),CO(7),C2H6(8),CH2O(9),CH3(10),C3H8(11),H(12),C2H5(13),CH3OH(14),HCO(15),CH3CHO(16),OH(17),C2H4(18),CH4X(56),OX(20),CH3X(21),HOX(22),HX(19),CH2X(27),CHX(28),CX(26),OCX(25),H2X(57),H2OX(23),CO2X(24),CHOX(61)
0.0,0.09977366400000001,0.80000000000000004,0.0,0.28934362560000004,0.10000000000000001,0.10000000000000001,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
8.764224075598745e-24,0.09977366400000001,0.80000000000000004,0.0,0.28934362560000004,0.10000000000000001,0.10000000000000001,-1.7461237358165317e-121,3.8182864417129839e-65,1.8336237828568201e-46,1.8855473181842728e-74,5.757491671663363e-60,4.7726551538131303e-49,4.5356694257539809e-29,-4.0361312883765517e-114,4.5356694257484155e-29,3.3807155875134455e-74,3.6668815591592513e-74,4.4527358451514151e-75,4.2354307989990245e-106,4.7726552862242434e-49,7.1233598078245033e-92,2.7573762207891456e-18,8.0428625217274258e-19,1.8227405886808354e-23,2.1763484459604924e-37,1.8227405886945084e-23,6.8472151401672536e-35,1.0573138270242521e-41,6.0460189937664233e-48,1.8542544877243392e-77,1.4262951274228334e-62,7.6125623035487929e-54,-8.8815351010868799e-110,2.9037739587374334e-68
2.4539827411676487e-23,0.09977366400000001,0.80000000000000004,0.0,0.28934362560000004,0.10000000000000001,0.10000000000000001,3.581484728628664e-119,7.7420293962458864e-64,1.142720710414819e-45,2.2385217761508026e-73,8.7007214141597005e-59,2.8826837129065529e-48,1.2699874392129212e-28,-3.8034444420407674e-114,1.2699874392095604e-28,5.1089373967579528e-73,1.1529262052278699e-72,5.2862879953696216e-74,9.6896744012821551e-105,2.8826838701050273e-48,2.0089014399076931e-90,7.7206534182096022e-18,2.25200150608368e-18,5.1036736482842253e-23,1.3145144605850264e-36,5.1036736483668097e-23,4.1357173280204631e-34,1.2552428031779267e-40,7.1865497047301603e-47,1.0238602550583708e-75,1.7425992522898501e-61,9.0376339618608257e-53,1.0169880311387049e-107,3.4473604435293951e-67
5.609103408383197e-23,0.09977366400000001,0.80000000000000004,0.0,0.28934362560000004,0.099999999999999992,0.10000000000000001,1.4624493086085658e-116,1.4398367514150278e-62,5.8603569874874445e-45,2.1977939540831318e-72,9.3598390605715807e-58,1.3878881187339912e-47,2.9028284324951943e-28,7.639476297467673e-114,2.9028284324790128e-28,5.4959617172022087e-72,2.5721149365019097e-71,5.1901089011266543e-73,2.0009132909292858e-103,1.387888273072386e-47,4.3697994307267436e-89,1.7647207813050497e-17,5.1474320139055538e-18,1.1665539767402547e-22,6.3288212692264472e-36,1.1665539767800151e-22,1.9911692378000746e-33,1.2324044627572993e-39,7.074259192867336e-46,4.4779062975521627e-74,1.8153247554134698e-60,8.8732026057883352e-52,2.0612300516888251e-105,3.384638925424925e-66
1.1919344742814295e-22,0.09977366400000001,0.80000000000000004,0.0,0.28934362560000004,0.099999999999999978,0.10000000000000001,4.6596942775548841e-114,2.4826821621544369e-61,2.8744868750981216e-44,1.9439238631710994e-71,8.6033046546442598e-57,6.0612720453957138e-47,6.1685104190886467e-28,4.5465513935388414e-112,6.1685104190179773e-28,5.05173568894755e-71,4.81728660266398e-70,4.5905925469554483e-72,3.8672389912402648e-102,6.0612734105013384e-47,8.1008716917619215e-88,3.7500316602732194e-17,1.0938293029549301e-17,2.478927200528536e-22,2.763962514355602e-35,2.4789272007021791e-22,8.6959536700922584e-33,1.0900471416630111e-38,6.2899445619273331e-45,1.6751120913134178e-72,1.7914068656585844e-59,7.8482472004875628e-51,3.28150270888653e-103,2.9936747986531454e-65
2.4539827411676486e-22,0.09977366400000001,0.80000000000000004,0.0,0.28934362559999999,0.099999999999999936,0.10000000000000001,1.3374843694440456e-111,4.1209875291047928e-60,1.4633929509143507e-43,1.6339851372101484e-70,7.3603082622423367e-56,2.5304617625994562e-46,1.2699874392391174e-27,1.6201826771092553e-110,1.269987439209614e-27,4.3218662393361031e-70,8.3206645908103325e-69,3.858669639703899e-71,7.5569024057211982e-101,2.5304629100529807e-46,1.3923328656870534e-86,7.7206534182095217e-17,2.2520015060836794e-17,5.1036736479635633e-22,1.1538999352354514e-34,5.1036736486884888e-22,3.630384865198738e-32,9.1624921085702142e-38,5.3423272642958725e-44,5.8323604737372894e-71,1.8183054743853053e-58,6.5969246332392923e-50,4.707860145237638e-101,2.516364048907897e-64
4.978079274940088e-22,0.09977366400000001,0.80000000000000004,0.0,0.28934362559999988,0.099999999999999853,0.099999999999999992,3.6778399331266063e-109,6.7144522341648259e-59,8.1305668541913231e-43,1.3396397367340707e-69,6.0856452048113533e-55,1.0337761969769548e-45,2.5762602339458727e-27,5.4444450556931483e-109,2.5762602338253407e-27,3.5734025836346007e-69,1.3824908528412533e-67,3.163570501690267e-70,1.5809477320404766e-99,1.0337771377286711e-45,2.307689616172722e-85,1.566189693408198e-16,4.5683459123411775e-17,1.035316654226748e-21,4.7140576963398756e-34,1.0353166545229045e-21,1.4831269051115389e-31,7.5119466976373204e-37,4.4705672942538469e-43,1.9755982337000324e-69,2.0032605173005593e-57,5.408557332663053e-49,6.4718899153023819e-99,2.0630672766578782e-63
1.0026272342484966e-21,0.09977366400000001,0.80000000000000004,0.0,0.28934362559999965,0.0999999999999997,0.099999999999999964,1.0042653832604721e-106,1.0840530574240355e-57,5.026410765245896e-42,1.0848749913543314e-68,4.9487456113864224e-54,4.1786886749432265e-45,5.188805823544383e-27,1.7847773753792438e-107,5.1888058230571749e-27,2.9058316358702035e-68,2.2538089686960442e-66,2.5619414134715518e-69,3.6641841380075295e-98,4.1786962933943894e-45,3.7574743109805407e-84,3.1544383965826304e-16,9.2010347248561632e-17,2.0852152328610758e-21,1.9054974538578826e-33,2.0852152340581903e-21,5.9950056123802898e-31,6.0833401918249602e-36,3.7671317777485795e-42,6.6955066258892101e-68,2.4523843332347081e-56,4.3799898715992816e-48,8.8357949564214372e-97,1.6707253644922751e-62
2.012265847757472e-21,0.09977366400000001,0.80000000000000004,0.0,0.28934362559999927,0.099999999999999381,0.099999999999999922,2.802741348938332e-104,1.7423046796444733e-56,3.4203073112232528e-41,8.7320177510231158e-68,3.991342614062044e-53,1.6802323377901801e-44,1.0413897003481399e-26,5.7803010456381178e-106,1.0413897001522354e-26,2.3436584860040826e-67,3.639907362196694e-65,2.0620733335863963e-68,9.4485850110064339e-97,1.6802384697822357e-44,6.0645786886571298e-83,6.3309358029312557e-16,1.8466412349886105e-16,4.1850123892239084e-21,7.6619211471269641e-33,4.1850123940374776e-21,2.4105408864297865e-30,4.8963547350497986e-35,3.2683485051833612e-41,2.3281775193296579e-66,3.3101417073604927e-55,3.5253967660255777e-47,1.2330611753851897e-94,1.3447451154759922e-61
4.0315430747754224e-21,0.09977366400000001,0.80000000000000004,0.0,0.28934362559999843,0.099999999999998743,0.099999999999999825,8.2453246518744251e-102,2.7939538578788467e-55,2.4939580340576657e-40,7.0068943232241198e-67,3.2060634426951869e-52,6.7384831779099157e-44,2.0864079366315411e-26,1.8608143321597778e-104,2.0864079358458767e-26,1.8825539506924757e-66,5.8510443190970249e-64,1.6546839856155172e-67,2.6556203536339208e-95,6.7385323832806737e-44,9.7456151502666762e-82,1.2683930615627561e-15,3.6997167599945863e-16,8.3846066983262876e-21,3.0727728207424491e-32,8.3846067176310495e-21,9.6671505619965322e-30,3.9289413836783317e-34,3.0017582371356039e-40,8.551381480333509e-65,4.8006360195138396e-54,2.8289086693220382e-46,1.8140929791333857e-92,1.0790732537401727e-60
