Time (s),Volume (m^3),Ar,Ne,N2,X(1),CH4(2),O2(3),CO2(4),H2O(5),H2(6),CO(7),C2H6(8),CH2O(9),CH3(10),C3H8(11),H(12),C2H5(13),CH3OH(14),HCO(15),CH3CHO(16),OH(17),C2H4(18),CH4X(48),OX(20),HX(19),HOX(22),CH3OO(77),CH3X(21),CH2X(27),CHX(28),CX(26),OCX(25),H2X(49),C2H4(47),H2OX(23),COX(50),CO2X(24),CHOX(53)
5.8056748758918786e-21,0.16628943999999996,0.8585084662769803,0.0,0.0,0.45230727679999705,0.11866996602996248,0.022821567693054247,2.8077057080620388e-98,1.9187973403522031e-54,1.679522375623752e-30,1.1930212524912516e-71,8.02864973152733e-46,8.7165508696223764e-110,5.1239684768199586e-17,8.8468305782882791e-90,5.123968476819354e-17,5.6956296374388088e-61,3.3076653445953103e-61,1.2430708730539901e-92,1.4413378413157281e-93,9.73651203020506e-45,1.2716963952405841e-71,2.7983398516025134e-15,8.2853869431123323e-17,3.3169182373954615e-19,5.0944132417715535e-32,1.8863740755231866e-31,3.3169182078423405e-19,1.4762211515271456e-27,1.2290187037752211e-32,9.8176328147244109e-37,5.4273506581789123e-62,6.3884197401138937e-44,9.8821672944788567e-82,9.8772974934016193e-46,2.1891647979813998e-86,2.4859565521989898e-88,7.3074948185618538e-89
1.1616393778609032e-20,0.16628943999999996,0.8585084662769803,0.0,0.0,0.45230727679999416,0.11866996602995962,0.022821567693054205,7.222784323883656e-96,3.0725757136103192e-53,6.7224703817130528e-30,7.669196882528762e-70,6.4294313066073354e-45,2.2413247858527256e-107,1.025238870731229e-16,5.6707226257735765e-88,1.0252388707309867e-16,9.1229058652464083e-60,5.2984232579861744e-60,1.5981830987290411e-90,1.8530896564758243e-91,7.7951295915528599e-44,4.0739959287169545e-70,5.5991109280965017e-15,1.6577972311023021e-16,6.6367182752463572e-19,2.0390928693950218e-31,7.5504123306127139e-31,6.6367181569563631e-19,5.9086825202994527e-27,9.8395435127275725e-32,7.8856436410102064e-36,1.7444633075704898e-60,5.114623006671527e-43,6.3318001483762432e-80,7.9078435467288852e-45,2.8145508463263204e-84,3.1975432195160015e-86,9.3992109909662003e-87
2.323783158404334e-20,0.16628943999999996,0.8585084662769803,0.0,0.0,0.45230727679998839,0.11866996602995392,0.022821567693054122,1.8623356854339794e-93,4.918121873195741e-52,2.6898669300198964e-29,4.9424634188631255e-68,5.1461509266809135e-44,5.7775758738904218e-105,2.0509229168297168e-16,3.6320653437000758e-86,2.050922916828747e-16,1.4604572655554519e-58,8.4824069395225111e-59,2.0598785523535663e-88,2.3884244806394371e-89,6.238472374103636e-43,1.3044099377279712e-68,1.1200653081080526e-14,3.3163143046843888e-16,1.3276318439834543e-18,8.1590269610962011e-31,3.0211484156355668e-30,1.3276317966516549e-18,2.3642032544244671e-26,7.8744986793637112e-31,6.3518346650487835e-35,5.6213762115240578e-59,4.0932572962889779e-42,4.0546617369495834e-78,6.3286777639529582e-44,3.6276399860704806e-82,4.1223384485363818e-84,1.2117655649660423e-84
4.6480707194911954e-20,0.16628943999999996,0.8585084662769803,0.0,0.0,0.45230727679997684,0.11866996602994251,0.022821567693053955,4.8297327577959712e-91,7.8705952076844752e-51,1.0761244339289031e-28,3.2039868306005669e-66,4.1179633483754813e-43,1.4980394035393856e-102,4.1022910090267768e-16,2.3254191402297847e-84,4.1022910090228976e-16,2.3373656669932713e-57,1.3575794678232343e-57,2.6705397676832431e-86,3.0964847639398642e-87,4.9917251041839149e-42,4.1752821414682196e-67,2.2403737387032777e-14,6.6333484518483572e-16,2.6555519124577152e-18,3.2641416219399547e-30,1.2086560889365713e-29,2.6555517230965483e-18,9.4580372959177117e-26,6.3005928155090415e-30,5.1479192079580945e-34,1.8222167924215568e-57,3.2752348711310272e-41,2.5957228290603221e-76,5.0639030728251724e-43,4.7030718413042507e-80,5.3455024898345838e-82,1.5713157776387516e-82
9.296645841664919e-20,0.16628943999999996,0.8585084662769803,0.0,0.0,0.45230727679995375,0.11866996602991969,0.022821567693053622,1.2674686205206579e-88,1.2594230184424083e-49,4.3048681349146599e-28,2.1018443599330135e-64,3.2947877722383432e-42,3.930371189552778e-100,8.2050271934212395e-16,1.4885554566431403e-82,8.2050271934057177e-16,3.7402923724154433e-56,2.17244220661495e-56,3.503475940300346e-84,4.0622723485224698e-85,3.9937582410619737e-41,1.3362775674944476e-65,4.4809905998874073e-14,1.3267416746175471e-15,5.3113921916492666e-18,1.3057625559433495e-29,4.8350178130000147e-29,5.3113914341177696e-18,3.7832706695810373e-25,5.0406287878871054e-29,4.2235048340349878e-33,5.9780601345641287e-56,2.6204480879579285e-40,1.6614992279198258e-74,4.051506020945363e-42,6.1699507868633908e-78,7.0144313461021764e-80,2.0618988215343986e-80
1.8593796086012365e-19,0.16628943999999996,0.8585084662769803,0.0,0.0,0.45230727679990762,0.11866996602987405,0.02282156769305296,3.4027260577396973e-86,2.015178271745173e-48,1.7220333740067615e-27,1.4105223789866499e-62,2.6359970650791426e-41,1.054778246209388e-97,1.6410499562211521e-15,9.5276740844951584e-81,1.6410499562149443e-15,5.9848736666650174e-55,3.4761580630087134e-55,4.7014722607230546e-82,5.4513463288704929e-83,3.1951566404366571e-40,4.2763878848124543e-64,8.962224322230385e-14,2.6535553334826408e-15,1.0623073319136685e-17,5.2232599024749916e-29,1.934085806547492e-28,1.062307028868601e-17,1.513168152102193e-24,4.0321760335772773e-28,3.5465864222158001e-32,2.0065996852774643e-54,2.0964762305593353e-39,1.0634352273798117e-72,3.241356933136725e-41,8.2797349303220585e-76,9.4165017551139933e-78,2.7679890376315775e-78
3.7188096574707257e-19,0.16628943999999996,0.8585084662769803,0.0,0.0,0.45230727679981531,0.11866996602978278,0.022821567693051634,9.5184232423326449e-84,3.2243638557175095e-47,6.8884019983368704e-27,9.8624502078352178e-61,2.1088643925182437e-40,2.9486979629581985e-95,3.2821444299797524e-15,6.0980055578537194e-79,3.2821444299549218e-15,9.5761225675580457e-54,5.5620484238787268e-54,6.5726123968240018e-80,7.6209289900982492e-81,2.5561833752479996e-39,1.3684920684018808e-62,1.7924691766815217e-13,5.3071826512115136e-15,2.1246437851586515e-17,2.0893441829297303e-28,7.7365004884443644e-28,2.1246425727926179e-17,6.0511827603106476e-24,3.2249881785935133e-27,3.1054382039239196e-31,7.0193950553809686e-53,1.6772499658992344e-38,6.8062277479946318e-71,2.5931442876500216e-40,1.157498845028337e-73,1.3172341894035923e-75,3.8720196570337435e-76
7.437669755209705e-19,0.16628943999999996,0.8585084662769803,0.0,0.0,0.45230727679963073,0.11866996602960023,0.02282156769304898,2.8496629663396424e-81,5.1590369535956769e-46,2.7554914408260817e-26,7.3798092733537087e-59,1.6871182098082854e-39,8.8195030526349466e-93,6.5643333774991296e-15,3.9028176797707261e-77,6.5643333773998065e-15,1.5322055850048713e-52,8.8994181843466606e-53,9.8315887218422888e-78,1.1399704424255154e-78,2.0449667932824376e-38,4.3792513098555389e-61,3.5849626655580382e-13,1.0614437286663997e-14,4.2493176034836095e-17,8.3574434599452719e-28,3.0946315655147217e-27,4.2493127526825085e-17,2.4192082812935677e-23,2.5786953597419001e-26,2.9130278729698953e-30,2.62871207099618e-51,1.3418625381371331e-37,4.3560632611304222e-69,2.0745355556283927e-39,1.7314351353391121e-71,1.97225817132297e-73,5.7974617411290669e-74
1.4875389950687662e-18,0.16628943999999996,0.8585084662769803,0.0,0.0,0.45230727679926153,0.11866996602923512,0.022821567693043672,9.4061014077487149e-79,8.254476991293274e-45,1.1022841502598804e-25,6.0878026248026614e-57,1.349705244972536e-38,2.9074575746245415e-90,1.3128711272546591e-14,2.4978334271848292e-75,1.3128711272149297e-14,2.4515497080663854e-51,1.4239131371564065e-51,1.6210560302210518e-75,1.8796106797219699e-76,1.6359764601200356e-37,1.4013726751617169e-59,7.1699496431492726e-13,2.122894655754791e-14,8.4986688942225601e-17,3.3429797566505593e-27,1.2378588341860241e-26,8.4986494806328538e-17,9.666582094177302e-23,2.0608502938362799e-25,3.0152543538017536e-29,1.0856122187010474e-49,1.0735709187687692e-36,2.7879052461577607e-67,1.6596311007670918e-38,2.8548316782629531e-69,3.2560064057245519e-71,9.571026333606826e-72
2.9750830341643574e-18,0.16628943999999996,0.8585084662769803,0.0,0.0,0.45230727679852312,0.11866996602850491,0.022821567693033059,3.4855674794162993e-76,1.3207094400030386e-43,4.4098016076521975e-25,5.6378723791279524e-55,1.0797684648078186e-37,1.0759560627627684e-87,2.6257467062676332e-14,1.5986230196577615e-73,2.6257467061087156e-14,3.9224961266819409e-50,2.2782499091775266e-50,3.0004985763608583e-73,3.4790709235157084e-74,1.3087743595291558e-36,4.4844120763726789e-58,1.4339923597684539e-12,4.2457965099231542e-14,1.6997386145853686e-16,1.3371835988881793e-26,4.9514472241302638e-26,1.6997308409240583e-16,3.8584269526914108e-22,1.6453057034692941e-24,3.5046623015118571e-28,5.033628741837996e-48,8.5897816939434661e-36,1.7842672267332284e-65,1.3276973128441846e-37,5.2841583229166921e-67,6.0348052524986595e-69,1.7739230622243129e-69
