Time (s),Volume (m^3),N2,Ar,He,Ne,X(1),CH4(2),O2(3),CO2(4),H2O(5),H2(6),CO(7),C2H6(8),CH2O(9),CH3(10),C3H8(11),H(12),C2H5(13),CH3OH(14),HCO(15),CH3CHO(16),OH(17),C2H4(18),CH4X(45),OX(20),CH3X(21),HX(19),CH2X(27),CHX(28),CX(26),HOX(22),OCX(25),H2X(46),CHOX(50),H2OX(23),CO2X(24),COX(47)
0.0,0.066515776,0.80000000000000004,0.0,0.0,0.0,0.19289575039999998,0.10000000000000001,0.10000000000000001,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1.0699154081012576e-23,0.066515776,0.80000000000000004,0.0,0.0,0.0,0.19289575039999998,0.10000000000000001,0.10000000000000001,-5.2932213806907796e-122,3.544358608756067e-69,6.3387611074498394e-46,1.3392449099326491e-97,3.9975616549933722e-57,5.3432919381334067e-154,3.5352754614746032e-37,-3.0948300789202228e-141,3.5352726929541713e-37,2.7410782748873489e-91,8.0033787257603965e-78,1.6924066904074542e-135,5.1704143587160835e-137,1.3352973668697537e-65,6.2469944617699595e-111,2.7484406658055024e-18,1.2025198225147652e-18,3.1608378259266517e-21,3.1608378259631789e-21,1.8263260777633268e-32,1.6779972771871233e-37,7.9475429370981391e-46,5.4674654625412541e-38,5.6878957936767819e-75,4.9146646531645084e-62,-2.1121595680729284e-108,1.7323284556483313e-54,-2.5611736388129486e-109,2.7856370640469884e-114
2.9957631426835215e-23,0.066515776,0.80000000000000004,0.0,0.0,0.0,0.19289575039999998,0.10000000000000001,0.10000000000000001,1.1303260768766068e-119,7.9300073067587575e-68,7.525316071314263e-45,1.7380661763219779e-95,6.0411151720119845e-56,1.9312978056705551e-151,9.8987802666184603e-37,5.9746029584933657e-140,9.898763544755056e-37,7.7302793064547853e-90,2.5163902394772782e-76,3.9748954896064445e-133,1.2129958125400336e-134,1.5852650123252443e-64,3.2336242463392281e-109,7.6956338642554005e-18,3.3670555030413428e-18,8.8503459125354511e-21,8.8503459127560754e-21,1.103091165044569e-31,1.9921021817345654e-36,1.1124068791529725e-44,3.3023490901888608e-37,4.069359601145161e-73,1.0993822949614453e-60,2.5175729204401254e-106,2.0566203144940268e-53,3.0526655396086997e-107,6.5351940086757941e-112
6.847458611848049e-23,0.066515776,0.80000000000000004,0.0,0.0,0.0,0.19289575039999995,0.099999999999999992,0.10000000000000001,6.2892265433689424e-117,1.566961228527934e-66,7.3882704567904206e-44,2.0783457398998934e-93,6.498756029966122e-55,2.4357369230010254e-148,2.2625825774864451e-36,6.3085586229894713e-138,2.2625745266290314e-36,1.6815045995086354e-88,5.6139280227933918e-75,9.5121703044183313e-131,2.9007182121873719e-132,1.5564225437932204e-63,1.4119268970064603e-107,1.7590020261155166e-17,7.6961268640944972e-18,2.0229362085516353e-20,2.0229362086578573e-20,5.3108094478579049e-31,1.9558234513456994e-35,1.4498678700901275e-43,1.589938882727537e-36,2.4314187361821061e-71,2.1721572620069653e-59,6.9593710873785904e-104,2.0192019609430824e-52,8.4378629768400613e-105,1.5628047586947017e-109
1.4550849550177104e-22,0.066515776,0.80000000000000004,0.0,0.0,0.0,0.19289575039999993,0.099999999999999978,0.10000000000000001,3.0118482142955828e-114,2.7884261446316799e-65,6.534611203214168e-43,2.3414676956297258e-91,5.9734764282924764e-54,2.4788485578254252e-145,4.8080060383189549e-36,4.9864027465134573e-136,4.8079708781094804e-36,3.1172261393060465e-87,1.0514265235504743e-73,2.1468304709869988e-128,6.5375836456195829e-130,1.3766380325843735e-62,5.2562498250075236e-106,3.7378793054954592e-17,1.6354269586200801e-17,4.2987394430531373e-20,4.2987394435170457e-20,2.3192824449567235e-30,1.7298427091045896e-34,1.9186771069673021e-42,6.9436803750379352e-36,1.3689109042784333e-69,3.865105898099038e-58,1.6661658199324108e-101,1.7859611620175e-51,2.0198156114580254e-102,3.5222197002148351e-107
2.9957631426835214e-22,0.066515776,0.80000000000000004,0.0,0.0,0.0,0.19289575039999987,0.099999999999999936,0.099999999999999992,1.4272780376479438e-111,4.7031711557205675e-64,5.4923469854889633e-42,2.6948968180064012e-89,5.1104348471642922e-53,2.4193079853896007e-142,9.898910396717215e-36,3.5342039508145924e-134,9.8987636097639663e-36,5.3577152782088535e-86,1.8160776249943186e-72,4.9551005790591679e-126,1.5047382236945249e-127,1.1571470779856836e-61,1.8108577606429242e-104,7.6956338642552982e-17,3.3670555030413391e-17,8.8503459116774264e-20,8.8503459136142234e-20,9.6818158963863467e-30,1.4539344454972395e-33,2.6830606915902002e-41,2.898849502088188e-35,7.8791870372176835e-68,6.5186209682099965e-57,3.9490443218443599e-99,1.501207791088519e-50,4.7857238803377679e-100,8.1069993172686598e-105
6.077119518015143e-22,0.066515776,0.80000000000000004,0.0,0.0,0.0,0.19289575039999976,0.099999999999999853,0.099999999999999978,6.9155742423646064e-109,7.725038452297335e-63,4.5023226026304496e-41,3.2198723556637032e-87,4.225406356880583e-52,2.3795423985003235e-139,2.0080948860446649e-35,2.378381821396442e-132,2.0080349187847285e-35,8.8800201556045003e-85,3.0174393941125607e-71,1.190480658191946e-123,3.5951583474500275e-125,9.4869886163913498e-61,6.0095766751821133e-103,1.5611142981774796e-16,6.8303125918838546e-17,1.7953558847411152e-19,1.7953558855324189e-19,3.9547398276946258e-29,1.1918551098026419e-32,3.9545692919300429e-40,1.1842743081067758e-34,4.7085548839943574e-66,1.070539266633382e-55,9.5736474645178462e-97,1.2307805546798893e-49,1.1594645529421655e-97,1.9369446332453389e-102
1.2239832268678387e-21,0.066515776,0.80000000000000004,0.0,0.0,0.0,0.19289575039999954,0.0999999999999997,0.09999999999999995,3.4233489425781286e-106,1.2522668790629716e-61,3.64506902198201e-40,3.961475532693392e-85,3.4360302742192939e-51,2.3755117774496869e-136,4.044594477563689e-35,1.5605755593973689e-130,4.0443520803111334e-35,1.4458810822618621e-83,4.9191853568794043e-70,2.9614489731848366e-121,8.8453206679811163e-123,7.6828057076816037e-60,1.9581330643025736e-101,3.144216121681307e-16,1.3756826769568868e-16,3.6159984712819191e-19,3.6159984744809797e-19,1.5980859128848708e-28,9.6492286195732427e-32,6.0436372671399069e-39,4.7870236720856517e-34,2.8972219600933875e-64,1.734916524472841e-54,2.3726846188297483e-94,9.9671753100452052e-49,2.8699176596561625e-95,4.7655470889959456e-100
2.4565257770004874e-21,0.066515776,0.80000000000000004,0.0,0.0,0.0,0.19289575039999909,0.099999999999999381,0.099999999999999881,1.7170423824008149e-103,2.0167397120728867e-60,2.9322142721366395e-39,4.9623033964093205e-83,2.7712828926073473e-50,2.3973906696584856e-133,8.1179612556940452e-35,1.011271534811361e-128,8.1169865870029052e-35,2.3336578942536408e-82,7.9444896812889583e-69,7.581350350671284e-119,2.2158392433879952e-120,6.1837845618657357e-59,6.3226930026333238e-100,6.3104197686886733e-16,2.7609855124938819e-16,7.2572836419397564e-19,7.2572836548069252e-19,6.4219509198854694e-28,7.7621586957405515e-31,9.4342942012535727e-38,1.9248392098867345e-33,1.8148532575361695e-62,2.7925048527936981e-53,5.9655499694004935e-92,8.0224422109274117e-48,7.1974849145680557e-93,1.1938161037191334e-97
4.921610877265785e-21,0.066515776,0.80000000000000004,0.0,0.0,0.0,0.19289575039999818,0.099999999999998743,0.099999999999999742,8.6581528974305044e-101,3.2373114320051732e-59,2.3502665390357727e-38,6.2760482949955686e-81,2.2260451244832132e-49,2.4342265127319054e-130,1.6266165192322019e-34,6.5128439112334863e-127,1.6262256334942293e-34,3.7501255813174276e-81,1.2770510026653472e-67,1.9998933523041961e-116,5.6047273485369209e-118,4.962088264129763e-58,2.0323731651246811e-98,1.264282706270225e-15,5.5315911835678426e-16,1.453985397356036e-18,1.4539854025194548e-18,2.5723808916745267e-27,6.221625710149961e-30,1.4892473418122472e-36,7.719450459683003e-33,1.1477516649625131e-60,4.4777015661251315e-52,1.5116781392368901e-89,6.437492436263211e-47,1.8146781690244761e-90,3.0196295988431923e-95
