Time (s),Volume (m^3),Ar,Ne,N2,X(1),CH4(2),O2(3),CO2(4),H2O(5),H2(6),CO(7),C2H6(8),CH2O(9),CH3(10),C3H8(11),H(12),C2H5(13),CH3OH(14),HCO(15),CH3CHO(16),OH(17),C2H4(18),CH4X(48),OX(20),CH3X(21),HX(19),CH2X(27),CHX(28),CX(26),HOX(22),OCX(25),H2X(49),CO2X(24),CHOX(53),COX(50)
0.0,0.11640260799999998,0.8585084662769803,0.0,0.0,0.33756756319999998,0.11866996602996532,0.022821567693054285,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
7.221231717221184e-24,0.11640260799999998,0.8585084662769803,0.0,0.0,0.33756756319999998,0.11866996602996532,0.022821567693054285,-4.1606097394219231e-120,3.1046308352865266e-74,8.097178719294309e-42,7.1441105206327461e-91,2.8458242384349889e-60,3.4526903681645539e-140,7.3429566300639488e-25,-6.1428254244579895e-121,7.3429566300639433e-25,9.2491109736921638e-83,5.5012935461815913e-78,1.5456980773726904e-118,9.3398228405917817e-120,3.5315288584980887e-59,5.9842029364669147e-98,2.912111820383841e-18,1.4001692419390023e-19,5.3970087777975102e-23,5.3970087779960594e-23,9.9277931837176052e-34,2.6375031666146858e-40,3.6830995473515443e-45,6.4538735109253303e-38,1.1837071820362886e-75,5.6053675295209215e-58,-4.6738809766872207e-108,-9.0680539141162926e-110,1.3682174407522361e-108
2.0219448808219315e-23,0.11640260799999998,0.8585084662769803,0.0,0.0,0.33756756319999998,0.11866996602996532,0.022821567693054285,7.5364891749648653e-118,9.6912549457714913e-73,4.892843829547016e-41,7.8947544663733555e-89,4.3006095889309104e-59,1.2458799642190166e-137,2.0560278564179068e-24,1.1856819633943918e-119,2.0560278564179042e-24,2.6083972802444209e-81,1.7296937421227215e-76,3.0900499867483543e-116,1.8671511510850048e-117,4.1926288098980357e-58,3.0975957848290021e-96,8.1539130970747509e-18,3.9204738774292063e-19,1.5111624577511387e-22,1.5111624578710629e-22,5.9963855446463414e-33,3.1312430219837015e-39,4.37275391932679e-44,3.8981373152898137e-37,7.2013569671509228e-74,6.6573687464034638e-57,4.729423697125332e-106,9.1774775207109517e-108,2.7352432835530262e-106
4.621588299021558e-23,0.11640260799999998,0.8585084662769803,0.0,0.0,0.33756756319999998,0.11866996602996531,0.022821567693054285,3.1804255805404556e-115,2.1576473811403104e-71,2.3578813945671311e-40,7.1431944196867502e-87,4.6263995473507763e-58,4.5114202716592916e-135,4.6994922432409371e-24,1.2519652201339889e-117,4.6994922432409231e-24,5.6738338293124857e-80,3.85884694893488e-75,5.5947000320848117e-114,3.3805765762652041e-115,4.1163430596494616e-57,1.3525315470535896e-94,1.8637515650456551e-17,8.9610831484096137e-19,3.4540856175652589e-22,3.4540856181426406e-22,2.8869999503476213e-32,3.074271405001325e-38,4.2935730559238957e-43,1.8767829890174513e-36,3.2513182779842262e-72,6.5419132759179644e-56,9.9008631573874505e-104,1.9220697665266582e-105,4.9523036039982014e-104
9.820875135420811e-23,0.11640260799999998,0.8585084662769803,0.0,0.0,0.33756756319999998,0.11866996602996528,0.022821567693054285,1.0223155493500729e-112,4.0378293501893513e-70,1.0316709110499657e-39,5.4070104076240628e-85,4.2524582417676288e-57,1.368173590384848e-132,9.986421016887016e-24,9.8957424187532254e-116,9.9864210168869558e-24,1.0518331692980686e-78,7.2271758118003425e-74,8.4789354310474706e-112,5.1233650319846096e-113,3.6408503385768383e-56,5.0351358288013092e-93,3.9604720757220076e-17,1.904230169037043e-18,7.3399319366788744e-22,7.3399319392004555e-22,1.260827349941196e-31,2.7191554640478378e-37,3.7982879776047254e-42,8.1963839367081947e-36,1.2278494854912134e-70,5.7963331463996212e-55,1.5900835340870322e-101,3.0894095747005069e-103,7.5053644074868515e-102
2.0219448808219317e-22,0.11640260799999998,0.8585084662769803,0.0,0.0,0.33756756319999992,0.11866996602996524,0.022821567693054285,2.9205600856970141e-110,6.9718413546402692e-69,4.3230870191268858e-39,3.7576787889598222e-83,3.6380675542640241e-56,3.8067277468788457e-130,2.0560278564179255e-23,7.0137517795481969e-114,2.0560278564178999e-23,1.8078324729107413e-77,1.2483088596793082e-72,1.1792140582437075e-109,7.1253568563226955e-111,3.0603398190140377e-55,1.7346806360183962e-91,8.1539130970746812e-17,3.9204738774292058e-18,1.5111624572847601e-21,1.5111624583374719e-21,5.2636944865323999e-31,2.2856093344853149e-36,3.193819103547706e-41,3.4218118556909853e-35,4.26146297853722e-69,4.8891328477367471e-54,2.2703951239779425e-99,4.4185019028842699e-101,1.0438139661206444e-99
4.1016596153816325e-22,0.11640260799999998,0.8585084662769803,0.0,0.0,0.33756756319999981,0.11866996602996516,0.022821567693054282,7.8768096704807515e-108,1.158175539971873e-67,1.7792497524117998e-38,2.5062062272129182e-81,3.008024605211472e-55,1.0160346529929191e-127,4.1707993658764064e-23,4.7199334126930814e-112,4.1707993658763018e-23,2.9963497417781406e-76,2.074063784708558e-71,1.5734496533304049e-107,9.5075106978552351e-109,2.5090280832058433e-54,5.7567725699878958e-90,1.6540795139779909e-16,7.9529612942135291e-18,3.0655009836951061e-21,3.0655009879957871e-21,2.1503815458182198e-30,1.8738729574593674e-35,2.6203376325844622e-40,1.3979078266468147e-34,1.4202327862472501e-67,4.03622840628574e-53,3.0610136286415083e-97,5.9768375965030202e-99,1.3927825159137503e-97
8.261089084501034e-22,0.11640260799999998,0.8585084662769803,0.0,0.0,0.33756756319999964,0.11866996602996499,0.022821567693054278,2.0613419466157092e-105,1.8879267072882501e-66,7.2981429152888456e-38,1.6389071576558095e-79,2.4460756497252076e-54,2.65830473394449e-125,8.4003423847934982e-23,3.0969209484082968e-110,8.400342384793075e-23,4.8787787952853958e-75,3.3811820440618395e-70,2.0581934517485013e-105,1.2436556971282811e-106,2.0318380956341721e-53,1.8757605256640563e-88,3.3314559225189876e-16,1.6017936127782166e-17,6.1741780332221995e-21,6.1741780506063128e-21,8.6921100133897201e-30,1.5174984885500559e-34,2.1250166094272974e-39,5.6504540235627398e-34,4.6423243599827348e-66,3.3137047655819224e-52,4.0048432071515597e-95,7.8712344477948412e-97,1.8218669068153002e-95
1.6579948022739839e-21,0.11640260799999998,0.8585084662769803,0.0,0.0,0.33756756319999931,0.11866996602996466,0.022821567693054271,5.2946115665104453e-103,3.0487649793490288e-65,3.0198994226611696e-37,1.0624204494601384e-77,1.9728486214781429e-53,6.8936833479715407e-123,1.685942842262821e-22,2.0067586807335431e-108,1.6859428422626503e-22,7.8743686252557026e-74,5.4604068275753043e-69,2.668627191173607e-103,1.6125080006804677e-104,1.6353390625034556e-52,6.0567170566795965e-87,6.6862087396007864e-16,3.2147885794919389e-17,1.2391532119101989e-20,1.2391532189003359e-20,3.4949980804676818e-29,1.221394816641675e-33,1.7152262782542894e-38,2.2719319078859852e-33,1.5044866947719077e-64,2.7396967664285926e-51,5.1429009613333391e-93,1.0240293295992245e-94,2.3622092270450113e-93
3.3217665899217445e-21,0.11640260799999998,0.8585084662769803,0.0,0.0,0.33756756319999859,0.11866996602996399,0.022821567693054254,1.3376369194703362e-100,4.90032298595695e-64,1.2795684698967095e-36,6.871274634489322e-76,1.584699292526043e-52,1.7834634490807182e-120,3.3777600498299725e-22,1.2922964077088961e-106,3.3777600498292897e-22,1.2653898923089479e-72,8.7767655594707688e-68,3.4519678981160182e-101,2.085838691057188e-102,1.3121587162948959e-51,1.9468775673955076e-85,1.3395714373763604e-15,6.4407785129193685e-17,2.4826240238163977e-20,2.4826240518504639e-20,1.4016015211469866e-28,9.8006034553512688e-33,1.3841091031138452e-37,9.1107348524963063e-33,4.8650077501782202e-63,2.3148445234111976e-50,6.4961195900152122e-91,1.3268965926899658e-92,3.0556049326586797e-91
