Time (s),Volume (m^3),Ar,Ne,N2,X(1),CH4(2),O2(3),CO2(4),H2O(5),H2(6),CO(7),C2H6(8),CH2O(9),CH3(10),C3H8(11),H(12),C2H5(13),CH3OH(14),HCO(15),CH3CHO(16),OH(17),C2H4(18),CH4X(48),OX(20),HX(19),HOX(22),CH3X(21),CH2X(27),CHX(28),CX(26),OCX(25),H2X(49),C2H4(47),CH3OO(77),CO2X(24),CHOX(53),COX(50)
1.1458340240061464e-20,0.16628943999999996,0.8585084662769803,0.0,0.0,0.45230727679999422,0.1186699660299597,0.022821567693054205,1.2838734870059125e-94,1.9113775514026221e-59,6.5409241529974798e-30,1.9071703065001389e-69,6.1642524274907854e-45,5.4231982849244395e-107,1.0112893925658002e-16,5.2179200962769396e-88,1.011289392565577e-16,8.6276284969367602e-60,8.0323493608334043e-63,3.9203370514413003e-90,4.5456218663137406e-91,3.249026355345245e-46,3.8003992318437271e-70,5.5229289983365781e-15,1.6352411157050634e-16,6.5464186784581981e-19,1.9839515574182619e-31,6.5464183666555173e-19,1.5584210727549185e-26,6.9394619803135059e-31,1.5013919299501608e-34,3.2318267770843265e-59,4.9087803920063722e-43,5.8262111233877332e-80,7.3463471325991072e-31,5.7620883191071062e-85,6.2677502907619245e-86,6.9040825015692563e-84
2.2921655877535026e-20,0.16628943999999996,0.8585084662769803,0.0,0.0,0.4523072767999885,0.11866996602995408,0.022821567693054122,3.2960118302904652e-92,3.0596024658226692e-58,2.6172815901014554e-29,1.2241367572067806e-67,4.9339003450930277e-44,1.3923659483591619e-104,2.023017903408878e-16,3.3420479185465681e-86,2.0230179034079854e-16,1.3811698716551131e-58,1.2859039683641545e-61,5.0325970872374306e-88,5.8352848378957014e-89,2.6001708531066205e-45,1.2168098869416806e-68,1.1048256142129752e-14,3.2711922796583032e-16,1.3095680230342188e-18,7.9382670781180772e-31,1.3095678982697572e-18,6.2354363652422844e-26,5.5534448008941736e-30,1.2043735228701516e-33,1.0371988817909799e-57,3.9286001576969053e-42,3.7309003380059643e-78,2.9394957558424084e-30,7.3963370069493999e-83,8.0478328497140188e-84,8.8628770891925438e-82
4.584828715248215e-20,0.16628943999999996,0.8585084662769803,0.0,0.0,0.45230727679997712,0.11866996602994283,0.022821567693053959,8.4747185331011166e-90,4.8963772569246982e-57,1.047131012267047e-28,7.8725537124954233e-66,3.9481198813654743e-43,3.5817000645947404e-102,4.0464749250950413e-16,2.1397363379016739e-84,4.0464749250914688e-16,2.2104714150236252e-57,2.0579825015602392e-60,6.472935216122768e-86,7.505353605883863e-87,2.0804714478650392e-44,3.8948833826787001e-67,2.2098910429700723e-14,6.5430946075645822e-16,2.6194204270851394e-18,3.1757250338799627e-30,2.6194199279238587e-18,2.4943582742820754e-25,4.4432254532269648e-29,9.6816798860356294e-33,3.3352708022860817e-56,3.1436113720024553e-41,2.3884564999255514e-76,1.1759897082256226e-29,9.5088026662668951e-81,1.0352588070766642e-81,1.1399448050299934e-79
9.17015497023764e-20,0.16628943999999996,0.8585084662769803,0.0,0.0,0.45230727679995436,0.11866996602992032,0.022821567693053633,2.1870381750316498e-87,7.8346761075431283e-56,4.1892484714265694e-28,5.0848175820181076e-64,3.1588957959603361e-42,9.2530968981208737e-100,8.0933889684673921e-16,1.3696955299879023e-82,8.0933889684531048e-16,3.5372340281310639e-56,3.2930522166825722e-59,8.3613501573925254e-84,9.69496640497851e-85,1.6644387259213361e-43,1.2465373874718834e-65,4.4200219004781168e-14,1.308689926337634e-15,5.2391256100000427e-18,1.2703144349070825e-29,5.2391236130148736e-18,9.9764670434385686e-25,3.5543193229742078e-28,7.8178475485779366e-32,1.0771852219232568e-54,2.5153428251084936e-40,1.5288298836719534e-74,4.7043416564609308e-29,1.2269677113402835e-78,1.3374496370063579e-79,1.4725124382233018e-77
1.834080748021649e-19,0.16628943999999996,0.8585084662769803,0.0,0.0,0.45230727679990884,0.1186699660298753,0.022821567693052977,5.6863655662662078e-85,1.253477752387066e-54,1.6760742580625512e-27,3.3128745323738729e-62,2.5272766027703772e-41,2.4111989273899452e-97,1.6187217055212198e-15,8.766897160455259e-81,1.6187217055155049e-15,5.6599582818884209e-55,5.2686317295137533e-58,1.0894488585250552e-81,1.2632134587802968e-82,1.3314598652367826e-42,3.9891991843933458e-64,8.8402836154696092e-14,2.6174508574996657e-15,1.0478537476013815e-17,5.0808328736235015e-29,1.0478529486328586e-17,3.9893273786567652e-24,2.8426331810546422e-27,6.3693534076689153e-31,3.509530541285846e-53,2.01271353679615e-39,9.7852080088446088e-73,1.8818132176365848e-28,1.5951228484328959e-76,1.742925925255036e-77,1.9186219276388598e-75
3.668211250017419e-19,0.16628943999999996,0.8585084662769803,0.0,0.0,0.4523072767998178,0.11866996602978526,0.022821567693051669,1.499944204870694e-82,2.0051618664347887e-53,6.7068844943871051e-27,2.1949238920105947e-60,2.0218852703953601e-40,6.3888717185662215e-95,3.2374873228702236e-15,5.6110848404567988e-79,3.2374873228473632e-15,9.0562403259229928e-54,8.4280866709243191e-57,1.4434297640627932e-79,1.6736534990255154e-80,1.0649463258531633e-41,1.2765884647130903e-62,1.7680807045354202e-13,5.2349727198224497e-15,2.0957367216222785e-17,2.0318693579721126e-28,2.095733524548616e-17,1.5946270689749871e-23,2.2726303379327591e-26,5.2790741413608798e-30,1.1629099924464142e-51,1.6107585258483102e-38,6.2627560731284243e-71,7.5274058842905894e-28,2.1039163626089257e-74,2.3098651850067881e-75,2.542015541119391e-73
7.336472254008958e-19,0.16628943999999996,0.8585084662769803,0.0,0.0,0.45230727679963573,0.1186699660296052,0.022821567693049053,4.0623607588258964e-80,3.2068299863542576e-52,2.6847380512234298e-26,1.5000854182141736e-58,1.6175338116991052e-39,1.7459429010174328e-92,6.4750185575683981e-15,3.5911809064554446e-77,6.4750185574769573e-15,1.4490230168059217e-52,1.3478690796478602e-55,1.9725206904591437e-77,2.287133187190214e-78,8.5157247335037131e-41,4.0851546296331233e-61,3.5361853904729811e-13,1.0470016444462899e-14,4.1915050788783322e-17,8.1235217570929852e-28,4.1914922813949268e-17,6.3695003777446032e-23,1.8156822381486975e-25,4.5162927859681298e-29,3.9757220653874674e-50,1.2894995928635734e-37,4.0082352027365829e-69,3.0109928774685149e-27,2.8493441612867749e-72,3.1580556181902194e-73,3.4737942458973442e-71
1.4672994261992038e-18,0.16628943999999996,0.8585084662769803,0.0,0.0,0.45230727679927157,0.11866996602924505,0.022821567693043818,1.1501933879984747e-77,5.1262480174619247e-51,1.0754600408492631e-25,1.0815869098030065e-56,1.2940372871435564e-38,5.032529160356236e-90,1.295008102696542e-14,2.2983834896803878e-75,1.295008102659966e-14,2.3184564731231352e-51,2.1545352301828947e-54,2.8433519616033901e-75,3.2968599584499551e-76,6.8063134862556902e-40,1.3072609156349677e-59,7.0723947621906775e-13,2.0940103893723315e-14,8.3830514775511317e-17,3.2461990225106609e-27,8.3830002151685947e-17,2.5405836689669733e-22,1.4486596394220329e-24,4.0800066753490591e-28,1.4343907467420584e-48,1.0330043723242275e-36,2.5652933143885257e-67,1.2044031923497686e-26,4.0343837563969527e-70,4.5558403528261549e-71,5.0074094428373243e-69
2.93460382779582e-18,0.16628943999999996,0.8585084662769803,0.0,0.0,0.45230727679854321,0.11866996602852478,0.022821567693033347,3.4737569561980277e-75,8.1869705993278265e-50,4.3142273693070882e-25,8.4657421844085881e-55,1.035233924128984e-37,1.5743181442857662e-87,2.5900205965762155e-14,1.4709742933691671e-73,2.5900205964299105e-14,3.7095460559165789e-50,3.4406504945458013e-53,4.4486233425418014e-73,5.1581681329240252e-74,5.4350032232156619e-39,4.1832531430666557e-58,1.4144813504996363e-12,4.1880278792162264e-14,1.6766183386252984e-16,1.2959091012837144e-26,1.6765977763215682e-16,1.0104981906980382e-21,1.1527471663007129e-23,4.0053496936062205e-27,5.6198186565240446e-47,8.2862655667691312e-36,1.6417949653692308e-65,4.817624344828323e-26,6.0935726764965703e-68,7.135931165511698e-69,7.8344413711020763e-67
5.869212630989052e-18,0.16628943999999996,0.8585084662769803,0.0,0.0,0.45230727679708649,0.11866996602708423,0.022821567693012405,1.1286103736517004e-72,1.3051253654498031e-48,1.7354391449584621e-24,7.3637819309194452e-53,8.2818877592774566e-37,5.4722970749071329e-85,5.1800455843366376e-14,9.4142637381315207e-72,5.1800455837514177e-14,5.9352861905912494e-49,5.483979682894345e-52,7.7341409168586339e-71,8.9677170638851597e-72,4.3319931475535592e-38,1.3386438675883183e-56,2.8289650988088896e-12,8.3760628588712721e-14,3.3532606588632239e-16,5.1631663807488579e-26,3.3531779582709068e-16,3.9968133307074659e-21,9.1245459602292147e-23,4.3722186247240857e-26,2.4473198355142446e-45,6.6640136682375871e-35,1.0507510358656449e-63,1.927051647161901e-25,9.9012084618660747e-66,1.2422571337435712e-66,1.362053955853037e-64
