Time (s),Volume (m^3),Ar,Ne,N2,X(1),CH4(2),O2(3),CO2(4),H2O(5),H2(6),CO(7),C2H6(8),CH2O(9),CH3(10),C3H8(11),H(12),C2H5(13),CH3OH(14),HCO(15),CH3CHO(16),OH(17),C2H4(18),CH4X(55),OX(20),CH3X(21),HX(19),CH2X(27),CHX(28),CX(26),HOX(22),OCX(25),H2X(56),CO2X(24)
6.4507783879260575e-21,0.11640260799999998,0.8585084662769803,0.0,0.0,0.33756756319999726,0.11866996602996273,0.022821567693054223,2.6008633572814807e-98,4.2576552551038453e-55,1.0706572241700542e-36,5.6149254722842478e-62,1.1596602678986971e-51,3.8462575225810025e-41,1.3643326225091723e-23,1.7197047862633264e-95,1.3643326224870469e-23,2.1145093974666816e-60,1.2466487577018048e-66,1.5804451433753723e-62,5.6897478282561835e-89,3.8462575235407168e-41,9.0844448410348682e-75,2.6014104975126463e-15,1.2507812848324582e-16,4.8211868232036756e-20,4.8211869288847846e-20,5.2831506400451586e-28,7.169399482343716e-32,1.0232331951796118e-36,3.4338801551323804e-32,1.3550630203670667e-61,3.5502514865426606e-50,6.5092651261413477e-89
1.2907161274885934e-20,0.11640260799999998,0.8585084662769803,0.0,0.0,0.33756756319999454,0.11866996602996012,0.02282156769305416,6.2293908823460532e-96,3.4087130965238685e-54,8.292335561126943e-36,4.4953544929743176e-61,9.286687211748881e-51,1.5395053726929105e-40,2.729850590521701e-23,5.511292848704109e-94,2.7298505904331428e-23,1.693322460607622e-59,1.9963601151694676e-65,1.2653170930243119e-61,9.1110097247395878e-88,1.5395053734610431e-40,1.4550899620150901e-73,5.2050811257774322e-15,2.5026492606160858e-16,9.6465622346701642e-20,9.6465626576987108e-20,2.1143501084731203e-27,5.7391500887547049e-31,8.368140937553067e-36,1.3740208360359286e-31,4.433401350075593e-60,5.4874811289392355e-49,7.7941940390258014e-87
2.5819927048805686e-20,0.11640260799999998,0.8585084662769803,0.0,0.0,0.3375675631999891,0.11866996602995492,0.022821567693054035,1.4197735663202578e-93,2.7280065439059685e-53,6.5233732972680378e-35,3.5976498246180844e-60,7.4331134071259651e-50,6.1600267895567882e-40,5.4608865266819743e-23,1.7649328441725841e-92,5.4608865263276239e-23,1.3553442808521448e-58,3.1941170461618273e-64,1.0126382301418339e-60,1.458354908286119e-86,6.160026795700625e-40,2.3294076895181856e-72,1.0412422382302307e-14,5.0063852121832443e-16,1.9297312740177692e-19,1.9297314433072446e-19,8.4578588164614182e-27,4.5918982234059805e-30,6.9787450521251091e-35,5.4944659695184403e-31,1.478359813805019e-58,8.6238980014260768e-48,8.880185956843619e-85
5.1645458596645193e-20,0.11640260799999998,0.8585084662769803,0.0,0.0,0.33756756319997816,0.11866996602994451,0.022821567693053785,3.0384001122785147e-91,2.1828198571729671e-52,5.1725309939385237e-34,2.8786664696296104e-59,5.9479961832461444e-49,2.4644118328176683e-39,1.092295839954338e-22,5.6498966163813743e-91,1.0922958398125746e-22,1.0845500167825325e-57,5.105947887014642e-63,8.102644393088418e-60,2.3338426554811628e-85,2.4644118377279892e-39,3.7280635919127522e-71,2.0827104895333281e-14,1.0013857115317169e-15,3.8598812481491007e-19,3.8598819256007706e-19,3.3818588163661749e-26,3.6723515176887326e-29,6.0345123281855566e-34,2.195422751855156e-30,5.1083424768581409e-57,1.3668329664497877e-46,9.49934212956333e-83
1.032965216923242e-19,0.11640260799999998,0.8585084662769803,0.0,0.0,0.33756756319995634,0.11866996602992368,0.022821567693053286,6.1450725422965578e-89,1.7464219224544438e-51,4.1164419066428924e-33,2.3031518501346374e-58,4.7589986187131166e-48,9.8584496232305892e-39,2.1847102147429635e-22,1.8083048323009409e-89,2.1847102141758641e-22,8.6774986384005758e-57,8.1511674702088961e-62,6.4827310015147323e-59,3.7345281525875206e-84,9.8584496624262791e-39,5.9657108943387138e-70,4.1656469921320106e-14,2.0028800921583478e-15,7.720180688531137e-19,7.7201834000245143e-19,1.3513873694816323e-25,2.9351806989315118e-28,5.5478051693683755e-33,8.7607079607103766e-30,1.8753268577611454e-55,2.1749468690609418e-45,9.603444352381543e-81
2.0659864788368223e-19,0.11640260799999998,0.8585084662769803,0.0,0.0,0.33756756319991266,0.11866996602988202,0.022821567693052283,1.2169387436788201e-86,1.3972042262225816e-50,3.2795580988551664e-32,1.8426090112333792e-57,3.8074386434059698e-47,3.9435403140668849e-38,4.3695389651855894e-22,5.7871161882015455e-88,4.3695389629170997e-22,6.9424383418049351e-56,1.2980718114178073e-60,5.1864310100017234e-58,5.9755491717827159e-83,3.9435403452809205e-38,9.5457847983326079e-69,8.3315199972993276e-14,4.0058688534109911e-15,1.5440777537773241e-18,1.544078839588236e-18,5.3940744633086092e-25,2.3435026280056855e-27,5.5867044149348423e-32,3.4871864340526249e-29,7.5356736106325762e-54,3.4652528032076017e-44,9.5080800638321326e-79
4.132029002663983e-19,0.11640260799999998,0.8585084662769803,0.0,0.0,0.33756756319982534,0.11866996602979869,0.022821567693050281,2.4747826401172807e-84,1.1177904819121181e-49,2.6103239697747176e-31,1.4741227379540293e-56,3.0460453208486317e-46,1.5774482196884828e-37,8.7391964695323382e-22,1.851963702732103e-86,8.7391964604581989e-22,5.554126455412479e-55,2.0573855392699704e-59,4.1492432954635948e-57,9.5611251760916931e-82,1.577448244432936e-37,1.5273773600783199e-67,1.6663266007513767e-13,8.0118463759138008e-15,3.0881963110173801e-18,3.0882006636486632e-18,2.1483739729423711e-24,1.867285390917699e-26,6.295955603083123e-31,1.3812995675883407e-28,3.3876305431041937e-52,5.5165516088047975e-43,9.6691635127073196e-77
8.264114050318304e-19,0.11640260799999998,0.8585084662769803,0.0,0.0,0.3375675631996507,0.11866996602963205,0.022821567693046274,5.3192817792727589e-82,8.9424388386927631e-49,2.0704860851524287e-30,1.179317649386947e-55,2.4368716258127759e-45,6.3098570717324307e-37,1.7478511492071767e-21,5.9264223006931901e-85,1.7478511455774913e-21,4.4433714848627923e-54,3.2307982426159026e-58,3.3194340339878475e-56,1.5298061739280353e-80,6.309857266147013e-37,2.4438452142904891e-66,3.3326758027461872e-13,1.6023801420909529e-14,6.1764301750674631e-18,6.1764476592752912e-18,8.5200760448530508e-24,1.4818882060832944e-25,7.9252720507237029e-30,5.4193488716191756e-28,1.7014905860340541e-50,8.7532942642971437e-42,1.0394184807170597e-74
1.6528284145626946e-18,0.11640260799999998,0.8585084662769803,0.0,0.0,0.33756756319930137,0.11866996602929877,0.022821567693038263,1.2056579823534525e-79,7.1540069292551936e-48,1.6298997621709938e-29,9.4351983738939026e-55,1.9495076181865611e-44,2.5239556707727732e-36,3.4957141592534383e-21,1.8964772966642771e-83,3.4957141447346416e-21,3.5547253269939556e-53,4.9838657833177552e-57,2.6555629897120227e-55,2.447852386644366e-79,2.5239558209210101e-36,3.9101855050567341e-65,6.6653742065434994e-13,3.2047711510861446e-14,1.2352884901474844e-17,1.2352955412859129e-17,3.3506295278096579e-23,1.1668219749385458e-24,1.0855962857469855e-28,2.0874274368035272e-27,9.3053724431319172e-49,1.3788093937431628e-40,1.1782474525638546e-72
3.305662433624423e-18,0.11640260799999998,0.8585084662769803,0.0,0.0,0.33756756319860276,0.11866996602863222,0.022821567693022238,2.8173269108889622e-77,5.7232418102415099e-47,1.263921676839457e-28,7.5551008687637694e-54,1.5596040932490578e-43,1.0095848394723507e-35,6.9914402014994046e-21,6.0687628564118708e-82,6.9914401434241683e-21,2.84379153436116e-52,7.4377235623623631e-56,2.1244567021909602e-54,3.9199572470319981e-78,1.0095849517897071e-35,6.2563233743295198e-64,1.333077101336889e-12,6.4095531690607575e-14,2.4705742347737668e-17,2.4706028777472169e-17,1.2964261852033672e-22,9.0487449310744441e-24,1.5588528499807347e-27,7.7698127836513725e-27,5.3378981407184275e-47,2.1405467895440814e-39,1.3768208172201721e-70
