Time (s),Volume (m^3),N2,Ne,X(1),CH4(2),O2(3),CO2(4),H2O(5),H2(6),CO(7),C2H6(8),CH2O(9),CH3(10),C3H8(11),H(12),C2H5(13),CH3OH(14),HCO(15),CH3CHO(16),OH(17),C2H4(18),CH4X(56),OX(20),CH3X(21),HOX(22),HX(19),CH2X(27),CHX(28),CX(26),OCX(25),H2X(57)
0.0,0.09977366400000001,0.80000000000000004,0.0,0.28934362560000004,0.10000000000000001,0.10000000000000001,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
8.356359779848937e-24,0.09977366400000001,0.80000000000000004,0.0,0.28934362560000004,0.10000000000000001,0.10000000000000001,1.1957015300500146e-139,6.6000858996324331e-66,9.2734918046792029e-46,1.6343632418581113e-74,1.796632821443966e-61,4.3387791933997317e-49,4.3245928896610642e-29,-3.3348259404978376e-114,4.3245928896601141e-29,2.9303531673186901e-74,6.6427043656044338e-79,3.8595626032518824e-75,3.4541261346237759e-106,4.3387791934129914e-49,5.8870770618469167e-92,2.6290550709978456e-18,7.6685685249125653e-19,1.7379149611803859e-23,1.9784886164664646e-37,1.7379149612459791e-23,3.2806779505202718e-34,2.5456562959103691e-40,7.6633549733444098e-46,1.8211099219820642e-75,6.8777457179548221e-62
2.3397807383577024e-23,0.09977366400000001,0.80000000000000004,0.0,0.28934362560000004,0.10000000000000001,0.10000000000000001,9.2265686801584915e-138,7.8356219999934548e-65,1.0069339721167628e-44,1.9403160407343317e-73,2.7150715196577658e-60,2.6206226328140015e-48,1.2108860091054098e-28,-3.1514718279795442e-114,1.2108860091048351e-28,4.4283497061259487e-73,2.0885627733724536e-77,4.5820727225815384e-74,7.7267419981111122e-105,2.6206226328297422e-48,1.6602499245559119e-90,7.3613541987939628e-18,2.1471991869755188e-18,4.8661618911988503e-23,1.1950013087405938e-36,4.8661618915950365e-23,1.9815279974490016e-33,3.0222010788453249e-39,9.0999298557705954e-45,1.1081089539902174e-73,1.4130159306195878e-60
5.34807025910332e-23,0.09977366400000001,0.80000000000000004,0.0,0.28934362560000004,0.099999999999999992,0.10000000000000001,1.0055565883885533e-135,7.6930601842383775e-64,9.398947438074597e-44,1.9050137947109977e-72,2.9207500448024096e-59,1.2617169894414862e-47,2.7677394493852623e-28,5.8653961637245908e-114,2.7677394493824965e-28,4.7638165366462882e-72,4.6594221514313117e-76,4.4987061703531879e-73,1.526674012089279e-103,1.2617169894569407e-47,3.6114062298112214e-89,1.6825952454386176e-17,4.9078838559440424e-18,1.1122655750810857e-22,5.7533576634513776e-36,1.1122655752718327e-22,9.5401892101674858e-33,2.9672105439780612e-38,8.9385905253954396e-44,5.0048644212508862e-72,2.6507862476596218e-59
1.1364649300594553e-22,0.09977366400000001,0.80000000000000004,0.0,0.28934362560000004,0.099999999999999978,0.10000000000000001,8.2260772450570363e-134,6.8044246825041353e-63,8.1033360446946517e-43,1.6849631278285272e-71,2.6846724916404981e-58,5.5102495756263808e-47,5.8814463299499526e-28,3.5810774020565604e-112,5.8814463299378723e-28,4.3787681304873817e-71,8.7264070562121718e-75,3.9790546614544269e-72,2.7166348346379943e-102,5.5102495757630713e-47,6.694938511063889e-88,3.5755148965570521e-17,1.0429253193881091e-17,2.3635643468335192e-22,2.5125904036494284e-35,2.3635643476665634e-22,4.1664379849523307e-32,2.62445630234708e-37,7.9135987396123003e-43,1.8915099133511978e-70,4.5922009092958683e-58
2.339780738357702e-22,0.09977366400000001,0.80000000000000004,0.0,0.28934362559999999,0.099999999999999936,0.10000000000000001,5.920367537043397e-132,5.7195290617349319e-62,6.7246857170872139e-42,1.416313035586917e-70,2.2967938378906541e-57,2.3004207283483877e-46,1.2108860091099275e-27,1.2766667676292321e-110,1.2108860091048837e-27,3.7461283245540396e-70,1.5072093275794266e-73,3.3446351989870724e-71,4.5820017203275795e-101,2.3004207284632785e-46,1.1506888736368989e-86,7.3613541987938867e-17,2.1471991869755184e-17,4.8661618896585117e-22,1.0489135422538642e-34,4.866161893136319e-22,1.7393947385016972e-31,2.2060005001686638e-36,6.6645015220554754e-42,6.574803418008219e-69,7.641086241456071e-57
4.746412354954195e-22,0.09977366400000001,0.80000000000000004,0.0,0.28934362559999988,0.099999999999999867,0.099999999999999992,4.0130178941034545e-130,4.689215678865514e-61,5.4780823639436857e-41,1.1611789966077596e-69,1.8990335595219601e-56,9.3979692841380167e-46,2.4563687613477686e-27,4.2901481010147118e-109,2.4563687613271633e-27,3.0973713417859708e-69,2.5040498561109787e-72,2.7421340104862746e-70,7.525951584580414e-100,9.3979692850798872e-46,1.9071824205393744e-85,1.493303280326742e-16,4.3557469221503358e-17,9.8713569725890066e-22,4.2847987013778513e-34,9.8713569867970752e-22,7.1059043180517036e-31,1.8085909145108981e-35,5.4846972561717981e-41,2.1978619763268741e-67,1.2465132569229333e-55
9.559675588147182e-22,0.09977366400000001,0.80000000000000004,0.0,0.28934362559999965,0.099999999999999714,0.099999999999999964,2.6423511816292025e-128,3.7974487480759214e-60,4.4220251706318189e-40,9.4035285705960304e-69,1.5442625501637587e-55,3.7988094452774131e-45,4.9473342658553539e-27,1.4063806062844738e-107,4.9473342657720662e-27,2.5187309353434442e-68,4.0815780775795978e-71,2.220651216332178e-69,1.2199891834061083e-98,3.7988094460400461e-45,3.1053521671257118e-84,3.007639001221395e-16,8.7728423924999607e-17,1.9881747127572013e-21,1.7316969055012403e-33,1.9881747185004026e-21,2.8722467822319568e-30,1.464608867466132e-34,4.4752351986157338e-40,7.2275747465184739e-66,2.0137146500366129e-54
1.9186202054533154e-21,0.09977366400000001,0.80000000000000004,0.0,0.28934362559999927,0.099999999999999409,0.099999999999999922,1.7151727341975076e-126,3.0565176301861516e-59,3.5533763497777919e-39,7.5687778823276725e-68,1.2455036880912931e-54,1.5274845701974887e-44,9.9292652749981457e-27,4.5547996546578688e-106,9.9292652746632474e-27,2.031447746721751e-67,6.5896442247027232e-70,1.7873732912181312e-68,1.9647549697852909e-97,1.5274845708111322e-44,5.0120509177522898e-83,6.0363104430104855e-16,1.7607033333199186e-16,3.9902527394026126e-21,6.9607682057604329e-33,3.9902527624963656e-21,1.154858809355251e-29,1.178788383067405e-33,3.6561196918376119e-39,2.370332578736006e-64,3.2373347085129224e-53
3.843925498730511e-21,0.09977366400000001,0.80000000000000004,0.0,0.28934362559999849,0.099999999999998798,0.099999999999999839,1.1054738873990297e-124,2.4526637186116304e-58,2.8488113314104212e-38,6.0734675864964889e-67,1.0004562902594781e-53,6.1258963108430789e-44,1.9893127293794203e-26,1.4662967219255749e-104,1.9893127292451114e-26,1.631769305152017e-66,1.0585866354132458e-68,1.4342545014036921e-67,3.1538668546304797e-96,6.1258963157641349e-44,8.0542312732531718e-82,1.2093653326587802e-15,3.5275415214597516e-16,7.994408775288677e-21,2.7897291577836727e-32,7.9944088679097009e-21,4.6310272693707955e-29,9.458131756178058e-33,3.0205550962605789e-38,7.8445309107590223e-63,5.1917157156196062e-52
