Time (s),Volume (m^3),Ar,Ne,N2,X(1),CH4(2),O2(3),CO2(4),H2O(5),H2(6),CO(7),C2H6(8),CH2O(9),CH3(10),C3H8(11),H(12),C2H5(13),CH3OH(14),HCO(15),CH3CHO(16),OH(17),C2H4(18),CH4X(48),OX(20),HX(19),CH3X(21),CH3OO(77),CH2X(27),CHX(28),CX(26),H2X(49),C2H4(47),HOX(22),H2OX(23),OCX(25),CH4OX(60),C2H6X(52),COX(50),C2H4X(206),CH2OH(40),CH2OX(54),C2H4X(65),CH2(T)(34),CH2O2(180),O(29),C3H6O(211),acetyl(43),C2H3(46),C2H2(334),C2H2(358),C2H2X(360),C4H6(374)
6.816115440814116e-21,0.16628943999999996,0.8585084662769803,0.0,0.0,0.45230727679999649,0.11866996602996198,0.022821567693054236,0.0,1.9695474232229742e-45,2.3150159797431763e-30,1.4556673234058937e-68,1.3308586291817664e-45,1.4821914025349831e-53,6.0157624048408168e-17,2.3814090823614002e-89,6.0157624048362044e-17,1.1122939837681846e-60,1.7448021012039951e-58,4.951480526704281e-71,2.0811300921222782e-90,8.3386946969154701e-32,2.915717916339711e-71,3.2853729977813199e-15,9.7274055270605987e-17,3.8942066165837052e-19,3.8942066154140619e-19,2.6001372389844912e-31,3.7679179271549187e-29,6.8197820188357751e-36,1.2140195168055431e-41,1.0338222737493611e-43,2.6601032215789124e-81,7.0220293006648069e-32,1.5984197096047176e-45,9.2260213298194638e-67,1.765503043199486e-72,1.4363641417605583e-59,3.1609082924131051e-83,2.8088755525540875e-95,4.2666183980383621e-72,1.5493407956259953e-67,3.1031646583428163e-85,5.6436645064210012e-35,8.0824916970130195e-48,9.2262949700168584e-26,1.3314114509491059e-147,1.029168635408911e-98,1.9535226373631585e-87,7.6328579829280005e-98,2.2621691024461946e-110,8.3331987910291608e-112,3.263590071545638e-192
1.3638152789048574e-20,0.16628943999999996,0.8585084662769803,0.0,0.0,0.45230727679999311,0.11866996602995863,0.022821567693054188,0.0,1.576835511041512e-44,9.2660970247705507e-30,4.6623439555046906e-67,1.0657662771793527e-44,2.3734331736848805e-52,1.2036751362603998e-16,1.5264578563910103e-87,1.2036751362585533e-16,1.7816039091042418e-59,2.7949321972933378e-57,1.5858042381471399e-69,1.3331439149655776e-88,3.3376510062112968e-31,9.3407720998498524e-70,6.573600359590175e-15,1.9463262318697036e-16,7.7917965586114504e-19,7.7917965539298258e-19,1.0407325102355178e-30,1.5081488453356119e-28,5.4599697414347466e-35,1.1389204987639007e-40,8.2768642720219216e-43,1.7044081735945557e-79,2.810641712970061e-31,1.2797076719766389e-44,3.4570623439768424e-65,5.6564035441414344e-71,2.3006788867785702e-58,2.0248352885860542e-81,3.5994947066713025e-93,1.3664828306454562e-70,4.9620536459539274e-66,1.9882908946222605e-83,2.2589365839875236e-34,6.4708959579998491e-47,1.8460622526755777e-25,2.734194931340652e-144,1.3191117574709667e-96,1.251680733091495e-85,9.781291977082921e-96,5.797837855514477e-108,2.1357614437037397e-109,5.3652330152067538e-188
2.728222748551749e-20,0.16628943999999996,0.8585084662769803,0.0,0.0,0.45230727679998634,0.11866996602995193,0.022821567693054091,0.0,1.2619476466366887e-43,3.7076457749695088e-29,1.4928344841755563e-65,8.5304498227041871e-44,3.7990252462942021e-51,2.4078729278153303e-16,9.776876421994298e-86,2.4078729278079426e-16,2.8521139650324514e-58,4.474492284621028e-56,5.0766901104544485e-68,8.537221961449549e-87,1.335495152373313e-30,2.9907240587953683e-68,1.3150055083202441e-14,3.8934975901969197e-16,1.5586976445194992e-18,1.5586976426462394e-18,4.1642856523812416e-30,6.0345576492556114e-28,4.3696310389453083e-34,1.1787304012629175e-39,6.6240069256634675e-42,1.0914430991880755e-77,1.1246227874682988e-30,1.0241550615533136e-43,1.4278371960831866e-63,1.8111369028861969e-69,3.6830843655239715e-57,1.2966693286388853e-79,4.6100006813332116e-91,4.3745989138685672e-69,1.5885194443318773e-64,1.2732315245687691e-81,9.0386887371241798e-34,5.1786643557220213e-46,3.6929327737602476e-25,5.6072695545019907e-141,1.6898378284205472e-94,8.0153235576689013e-84,1.2527247948645301e-93,1.4851027149394422e-105,5.4707034021495964e-107,8.8052590625425282e-184
5.457037687845533e-20,0.16628943999999996,0.8585084662769803,0.0,0.0,0.45230727679997279,0.11866996602993854,0.022821567693053896,0.0,1.0097498597623195e-42,1.4832997374063628e-28,4.7806399481788439e-64,6.8260881221354576e-43,6.079633969798175e-50,4.8162685109343682e-16,6.2596167633421643e-84,4.8162685109048106e-16,4.5646208650055015e-57,7.1612689424549231e-55,1.6248710346018756e-66,5.4678920853195533e-85,5.3428502374125795e-30,9.5730009832556915e-67,2.6302964530405187e-14,7.7878403068510673e-16,3.1177336228474277e-18,3.1177336153531675e-18,1.665985418602966e-29,2.4142142566714206e-27,3.4963620888888115e-33,1.3708400203604842e-38,5.3002119588198458e-41,6.9872264371269393e-76,4.4992234541995831e-30,8.1947964569999517e-43,6.624832853311324e-62,5.7973791071083097e-68,5.8945339575187381e-56,8.3048653963412085e-78,5.9024957848053589e-89,1.4001612668857612e-67,5.084295430385108e-63,8.1510027174012371e-80,3.616064058925628e-33,4.1436878223974073e-45,7.386693854877131e-25,1.149144001320633e-137,2.1648428689490926e-92,5.1312689328512633e-82,1.6039483142998814e-91,3.8029592520661097e-103,1.400903926403773e-104,1.4438548758735267e-179
1.0914667566433099e-19,0.16628943999999996,0.8585084662769803,0.0,0.0,0.4523072767999457,0.11866996602991176,0.022821567693053508,0.0,8.0787660316652492e-42,5.9336818389979127e-28,1.5327858865976374e-62,5.4615618874474678e-42,9.7282654426795123e-49,9.6330596772091518e-16,4.0069279750233208e-82,9.6330596770909173e-16,7.3043843405158282e-56,1.1459695578865663e-53,5.2000610496242755e-65,3.5062044945887588e-83,2.1373140363566458e-29,3.0637898171532888e-65,5.260878342472357e-14,1.5576525740158234e-15,6.2358055835481768e-18,6.2358055535686806e-18,6.6644840022519399e-29,9.6576289759535021e-27,2.7973446307068483e-32,1.7811199214263689e-37,4.240572177426025e-40,4.472462008177303e-74,1.7998358493428103e-29,6.5564595158514466e-42,3.4352377050180986e-60,1.8554399112157226e-66,9.4325336917561256e-55,5.3253713940134457e-76,7.5562795144523079e-87,4.4809341676751054e-66,1.6271227727932257e-61,5.2173834127529165e-78,1.4465433447755993e-32,3.3152162419326629e-44,1.4774296172901081e-24,2.3542096680222854e-134,2.7765243889648856e-90,3.2844799815486893e-80,2.0533486567739153e-89,9.7369790802416345e-101,3.5868310665956392e-102,2.3665389727982406e-175
2.1829927323608233e-19,0.16628943999999996,0.8585084662769803,0.0,0.0,0.45230727679989152,0.11866996602985817,0.022821567693052731,0.0,6.4633198660569688e-41,2.3735693170304226e-27,4.9383073992477175e-61,4.3695260823248033e-41,1.5565573189395415e-47,1.9266642009905557e-15,2.5646813697531249e-80,1.9266642009432596e-15,1.1687807761792478e-54,1.8336845151401131e-52,1.6640603637865134e-63,2.2590770979898336e-81,8.5496040679661521e-29,9.8048146567348243e-64,1.0522042121301187e-13,3.1153896606768032e-15,1.2471949521129319e-17,1.2471949401206339e-17,2.6659020494639056e-28,3.8631975853595169e-26,2.2379649392151997e-31,2.5199535249986468e-36,3.3926187947646407e-39,2.8625795634043734e-72,7.1996363140638145e-29,5.2454164027625995e-41,1.9409785555164515e-58,5.9378534153415377e-65,1.5093077465435619e-53,3.4311815926616074e-74,9.6727321555927819e-85,1.4339368244088856e-64,5.2069206253956492e-60,3.3393612653323446e-76,5.7864088299515967e-32,2.6522208612134075e-43,2.9549821432109699e-24,4.8220740105866269e-131,3.5781090979301045e-88,2.1022169125563725e-78,2.6284749719486758e-87,2.4928462433407909e-98,9.1829493450980969e-100,3.8779089675332572e-171
4.366044683795851e-19,0.16628943999999996,0.8585084662769803,0.0,0.0,0.45230727679978316,0.11866996602975101,0.022821567693051173,0.0,5.1707789730705236e-40,9.4944704353668014e-27,1.6208134251370503e-59,3.4957314975263648e-40,2.4904132200675177e-46,3.8533806675885715e-15,1.6414752688374414e-78,3.853380667399383e-15,1.8701126679907971e-53,2.9340017744013763e-51,5.3248346678157089e-62,1.4824891624286593e-79,3.4199112348288822e-28,3.1376506436779095e-62,2.1044369678819458e-13,6.2308638339969497e-15,2.4944237461010765e-17,2.4944236981308189e-17,1.066382493190661e-27,1.5453015133847826e-25,1.7903872389911445e-30,3.7679975152316763e-35,2.7141594587801836e-38,1.8321161562233179e-70,2.8799130867558429e-28,4.1964323795931845e-40,1.159762100380395e-56,1.9001843472981861e-63,2.4149742814211076e-52,2.2516669913725373e-72,1.2381541524793704e-82,4.5884728047251918e-63,1.6661650059628588e-58,2.1372648091621303e-74,2.3146106230330067e-31,2.1217021944522342e-42,5.9102154443169772e-24,9.8757491136360443e-128,4.696910262979592e-86,1.3454667324825599e-76,3.3645687182749625e-85,6.3819160213183091e-96,2.3509197387901824e-97,6.3534176929044764e-167
8.732148586665904e-19,0.16628943999999996,0.8585084662769803,0.0,0.0,0.45230727679956645,0.11866996602953668,0.022821567693048057,0.0,4.136672828253989e-39,3.7978268086946561e-26,5.6930572798603133e-58,2.796629450312513e-39,3.9842580412213073e-45,7.7068136010195385e-15,1.0505695126059101e-76,7.7068136002627747e-15,2.9922310057307967e-52,4.6944879778754526e-50,1.7037785141356481e-60,1.0403945549181282e-77,1.3679784331005859e-27,1.0040657928797864e-60,4.2089024793298448e-13,1.2461812180629986e-14,4.9888813599654956e-17,4.9888811680818018e-17,4.265573186409012e-27,6.181197251083415e-25,1.432283255961427e-29,5.8175223266411418e-34,2.1713533367453868e-37,1.1725752056331276e-68,1.1519769284316964e-27,3.3571851890649814e-39,7.1581788172356708e-55,6.0807035327028513e-62,3.8640243589075164e-51,1.5801949658556236e-70,1.5848657414438259e-80,1.468172491462625e-61,5.3312005262695736e-57,1.3678706165430028e-72,9.2585366754287048e-31,1.697182159188144e-41,1.1821195043586122e-23,2.022352169972665e-124,6.5958406626909189e-84,8.611140330865732e-75,4.3067252101378967e-83,1.6337997639807514e-93,6.0184629103945233e-95,1.0407298372971393e-162
1.746435639240601e-18,0.16628943999999996,0.8585084662769803,0.0,0.0,0.45230727679913302,0.11866996602910804,0.022821567693041826,0.0,3.3093587899363569e-38,1.5191384510258499e-25,2.4620798952934057e-56,2.2373212596209059e-38,6.3734017821929442e-44,1.5413679468821217e-14,6.7237259502500408e-75,1.541367946579415e-14,4.7876101835943631e-51,7.5112485465920843e-49,5.4509052633929881e-59,8.9746142582759871e-76,5.4719417509977362e-27,3.2130386381504409e-59,8.4178335020026221e-13,2.4923708873867049e-14,9.9777966912506096e-17,9.977795923706231e-17,1.7062378104914676e-26,2.4724341324280588e-24,1.1457637540563747e-28,9.1386180116456706e-33,1.7370929776572617e-36,7.5045479566437622e-67,4.6079309524818442e-27,2.685763196563302e-38,4.496147088536658e-53,1.9458430616477075e-60,6.1824913749259045e-50,1.3631019653304805e-68,2.0286463069704386e-78,4.697169852371165e-60,1.705613069495767e-55,8.7544086966806551e-71,3.7034335071975464e-30,1.3574343062090434e-40,2.3645206230352863e-23,4.1406878070416843e-121,1.1394767674191172e-81,5.5111787641343984e-73,5.5126576242444449e-81,4.182564177476661e-91,1.5407403534825773e-92,1.7042951532291584e-158
3.4928772003886225e-18,0.16628943999999996,0.8585084662769803,0.0,0.0,0.4523072767982661,0.11866996602825074,0.022821567693029364,0.0,2.6474963105603519e-37,6.0765692640653079e-25,1.6021754164106039e-54,1.7898640847829333e-37,1.0192833209924364e-42,3.0827411208183566e-14,4.3032105233038511e-73,3.0827411196075258e-14,7.6602087038584957e-50,1.2018050845144827e-47,1.7435139801414408e-57,1.1634632954525912e-73,2.1887824162373103e-26,1.0281768358172884e-57,1.6835695546456087e-12,4.9847502260225105e-14,1.9955627768076263e-16,1.9955624697844993e-16,6.824967459140186e-26,9.8893029592390486e-24,9.1650229756333287e-28,1.4484987258610743e-31,1.389678505929668e-35,4.8029318507577325e-65,1.8431769097078699e-26,2.1486155050755783e-37,2.8496540755696957e-51,6.2267248973532458e-59,9.8920280991683898e-49,1.7671164309566903e-66,2.5966788042639494e-76,1.5024511720211227e-58,5.4555346101274484e-54,5.602793782919901e-69,1.4813771705189316e-29,1.0854398496013037e-39,4.7301436556799554e-23,8.4753975716793035e-118,2.9602428241661842e-79,3.5271699639891711e-71,7.0562331271579054e-79,1.0707407920555375e-88,3.9443129068640097e-90,2.7894690956608696e-154
