Time (s),Volume (m^3),N2,Ne,X(1),CH4(2),O2(3),CO2(4),H2O(5),H2(6),CO(7),C2H6(8),CH2O(9),CH3(10),C3H8(11),H(12),C2H5(13),CH3OH(14),HCO(15),CH3CHO(16),OH(17),C2H4(18),CH4X(56),OX(20),CH3X(21),HOX(22),H2OX(23),HX(19),CH2X(27),CHX(28),CX(26),OCX(25),CO2X(24),COX(58)
7.946882697360115e-21,0.09977366400000001,0.80000000000000004,0.0,0.28934362559999682,0.099999999999997508,0.099999999999999645,4.2596242651456422e-101,4.2087406006591379e-54,1.0896291456497204e-40,5.360803675498467e-66,6.8168190397335905e-50,2.6171240351846398e-43,4.1126798567851154e-26,5.5302349225380197e-103,4.1126798406757912e-26,1.4410280980322852e-65,1.960474839759554e-59,1.2659583167069748e-66,5.7507959871772301e-95,2.6329948534251487e-43,1.4694165933263026e-80,2.5002265106504496e-15,7.2927944858363544e-16,1.6527539135161357e-20,1.1934177696809269e-31,2.1643283419535809e-45,1.6527539149290674e-20,7.1240853116053535e-30,1.0821940175480672e-34,5.2858218413792456e-41,5.7956950454629031e-65,4.7633975358996165e-92,3.8232969165811703e-81
1.590066972373618e-20,0.09977366400000001,0.80000000000000004,0.0,0.2893436255999936,0.09999999999999501,0.099999999999999284,1.9381804093906823e-98,6.737735413430196e-53,4.8307704088454393e-40,4.291902562470334e-65,5.4589839109770201e-49,1.0475316598011486e-42,8.2289328821080846e-26,1.7723242689220581e-101,8.2289328176288078e-26,1.1539912426113002e-64,3.1404101613852649e-58,1.0135364133974436e-65,9.2087663673958108e-94,1.0602379645216014e-42,2.3536203281502945e-79,5.0026252424202669e-15,1.4591925022485521e-15,3.3069437543124115e-20,4.7767812116109392e-31,1.7327786732716558e-44,3.3069437599678633e-20,2.8514473896668586e-29,8.6640061842166859e-34,7.5252408221180975e-40,3.2968212540910695e-63,1.0839057941434399e-89,6.1222564797995326e-80
3.1808243776488313e-20,0.09977366400000001,0.80000000000000004,0.0,0.28934362559998716,0.09999999999999,0.099999999999998548,9.3002818469187197e-96,1.0783377590624365e-51,2.3085750567096522e-39,3.4348265944645739e-64,4.3693996760518892e-48,4.191491140546907e-42,1.6461439029573509e-25,5.6756801434263553e-100,1.6461438771572413e-25,9.2366077504860021e-64,5.0275784986243901e-57,8.11137170212734e-65,1.4740023971395526e-92,4.2931801952222802e-42,3.7678368978948729e-78,1.0007422705954008e-14,2.9190186095783086e-15,6.6153234316961659e-20,1.9113346863461843e-30,1.3867495580998883e-43,6.6153234543256851e-20,1.1409157041250918e-28,6.9336361928114047e-33,1.1293649790025971e-38,1.9777054794085321e-61,2.6008359309895214e-87,9.7995978349090571e-79
6.362339188199258e-20,0.09977366400000001,0.80000000000000004,0.0,0.28934362559997423,0.099999999999979994,0.099999999999997091,4.6018154156193742e-93,1.7255804999011327e-50,1.2241138243808234e-38,2.748384743778375e-63,3.4964049676107212e-47,1.6768694122691762e-41,3.2926451711782287e-25,1.8168969303612856e-98,3.2926450679609924e-25,7.3911585302269106e-63,8.0464641300946138e-56,6.4903298440844242e-64,2.3588850224310786e-91,1.7582361059046462e-41,6.0301755923466258e-77,2.0017017632997919e-14,5.8386708242375136e-15,1.3232082769628477e-19,7.6465833088689324e-30,1.1096103304925873e-42,1.3232082860164063e-19,4.5641283549252679e-28,5.5476393046117235e-32,1.747139646759468e-37,1.2233193644928725e-59,6.4349245862005198e-85,1.5682555497883107e-77
1.2725368809300112e-19,0.09977366400000001,0.80000000000000004,0.0,0.28934362559994836,0.099999999999959968,0.099999999999994177,2.3149714566390561e-90,2.7611208355076042e-49,7.3009082073206515e-38,2.1989363044316655e-62,2.7974780947423519e-46,6.7080237353049104e-41,6.5856478625311606e-25,5.8151585258027841e-97,6.5856474496286119e-25,5.9136770459743028e-62,1.287621365715515e-54,5.1927570186073045e-63,3.7746318976483295e-90,7.3590190878396167e-41,9.6495922712569121e-76,4.0036207486991454e-14,1.1677975253554699e-14,2.6465601378152311e-19,3.0588822402174463e-29,8.8777253292334135e-42,2.6465601740346312e-19,1.8255780421435362e-27,4.4380159067282792e-31,2.747306108325211e-36,7.6928282119291597e-58,1.6186179004823096e-82,2.5094853216288662e-76
2.5451428051501817e-19,0.09977366400000001,0.80000000000000004,0.0,0.28934362559989663,0.099999999999919931,0.099999999999988334,1.1745309191482801e-87,4.4179468336355873e-48,4.8431495724250569e-37,1.7594824493498329e-61,2.2381241114414313e-45,2.6833188234566814e-40,1.3171653864881713e-24,1.8610256898856663e-95,1.3171652213204328e-24,4.7312436613172181e-61,2.0603438546733617e-53,4.1544030391090887e-62,6.040525731647472e-89,3.2041398238138207e-40,1.5440402823432583e-74,8.0074587194601415e-14,2.3356584112184162e-14,5.2932638325836861e-19,1.2236026701902378e-28,7.1025171302370928e-41,5.2932639774849235e-19,7.3008347631603499e-27,3.5497544026414791e-30,4.3564604578950089e-35,4.8789359310569685e-56,4.1062037916144885e-80,4.0159174844114081e-75
5.090354653590522e-19,0.09977366400000001,0.80000000000000004,0.0,0.28934362559979321,0.099999999999839856,0.099999999999976649,5.9841218490990193e-85,7.068837298925123e-47,3.4744183615694242e-36,1.4108021652089797e-60,1.7905559111241507e-44,1.0733494821995943e-39,2.6343668348161542e-24,5.9555673276423168e-94,2.6343661741317657e-24,3.7851188105913342e-60,3.2966698227212639e-52,3.3236016532500515e-61,9.68565600604056e-88,1.4900161630867683e-39,2.4705508078225378e-73,1.6015134660831286e-13,4.6713801829423484e-14,1.0586671114375349e-18,4.894510142712613e-28,5.6821480940923685e-40,1.0586671694133962e-18,2.9189746169240112e-26,2.8385487700790991e-29,6.936616897667248e-34,3.107248354426995e-54,1.0460442566666558e-77,6.4393059243614895e-74
1.0180778350471205e-18,0.09977366400000001,0.80000000000000004,0.0,0.28934362559958632,0.099999999999679706,0.099999999999953293,3.0542871749971272e-82,1.1310236182493688e-45,2.6178180139149496e-35,1.1692703814344159e-59,1.43246732360575e-43,4.2934425273107365e-39,5.2687707229035684e-24,1.9058304718238989e-92,5.2687680801391897e-24,3.0281495107256913e-59,5.2747671696057865e-51,2.6589134120734609e-60,1.6022199975216205e-86,7.6268153854320513e-39,3.952956579965694e-72,3.2030486542970196e-13,9.3428237263823695e-14,2.1173485246977702e-18,1.9578238792305895e-27,4.5457716552530567e-39,2.1173487567169183e-18,1.1664682919470263e-25,2.2687532717577641e-28,1.1064152153341662e-32,1.9824263281571531e-52,2.6695067533152984e-75,1.0652023538726546e-72
2.036162574423257e-18,0.09977366400000001,0.80000000000000004,0.0,0.28934362559917259,0.099999999999359393,0.09999999999990658,1.5592623474065169e-79,1.809645065242883e-44,2.0269008972616836e-34,1.453794161350125e-58,1.1459828097518003e-42,1.717386484657408e-38,1.0537582464803864e-23,6.0987569561281169e-91,1.0537571893693071e-23,2.4225492478775645e-58,8.4397029614598084e-50,2.1271442059595315e-59,3.9035624965832005e-85,4.3841003566135358e-38,6.3248106028538862e-71,6.4061190304834465e-13,1.8685710813231031e-13,4.2347111788258682e-18,7.8313345980144332e-27,3.6366376736150882e-38,4.2347121078115374e-18,4.6568539995701393e-25,1.8116419387480881e-27,1.7651301147007293e-31,1.265072904010768e-50,6.8141320825397053e-73,2.5952010943441067e-71
4.07233205317553e-18,0.09977366400000001,0.80000000000000004,0.0,0.28934362559834509,0.09999999999871878,0.099999999999813155,7.9506546365849081e-77,2.8954365034174737e-43,1.5903397719554774e-33,7.7704399531465284e-57,9.1678968882690582e-42,6.8695693180681959e-38,2.1075221811503755e-23,1.951631681249003e-89,2.1075179526956976e-23,1.9380638208478498e-57,1.3503582336177985e-48,1.7017217799880433e-58,4.0406202981742235e-83,2.8203339770868525e-37,1.0119824526984972e-69,1.2812259781890881e-12,3.7371484986802855e-13,8.4694357975126821e-18,3.1325412047411824e-26,2.9093168023305021e-37,8.4694395206616127e-18,1.8555511250256206e-24,1.4439517711516193e-26,2.8125324821858268e-30,8.0631645231634979e-49,1.7372535852449503e-70,2.6863200397272354e-69
8.144671010680076e-18,0.09977366400000001,0.80000000000000004,0.0,0.28934362559669013,0.099999999997437541,0.099999999999626291,4.040931164768473e-74,4.6326973748931659e-42,1.2530987306085944e-32,9.0154200307264227e-55,7.3343290453819375e-41,2.7478359486645685e-37,4.215056395648005e-23,6.2453551890398732e-88,4.2150394818109382e-23,1.5504809325730229e-56,2.1605768873754075e-47,1.3613816295747049e-57,9.3258434906993903e-81,1.9814871517979682e-36,1.6192024500492098e-68,2.5624541280844077e-12,7.4743033333444452e-13,1.6938882276609702e-17,1.2530175944452369e-25,2.3274537450816473e-36,1.693889722619701e-17,7.3652706000594195e-24,1.1466667243439594e-25,4.4667821706631725e-29,5.1225430167567962e-47,4.4147795183419433e-68,6.200082728801335e-67
1.6289348925689168e-17,0.09977366400000001,0.80000000000000004,0.0,0.28934362559338023,0.099999999994875063,0.099999999999252576,2.0399119712538059e-71,7.4123004160690003e-41,9.8434533018532953e-32,1.1309755206084794e-52,5.8674642832405955e-40,1.0991388601885018e-36,8.4301502052573398e-23,1.9985905456928955e-86,8.4300825498912428e-23,1.2404288673917808e-55,3.4569231290725593e-46,1.0891096090809755e-56,2.3390236783914232e-78,1.4752767664374314e-35,2.5908133669675683e-67,5.1249104263303771e-12,1.4948613002471946e-12,3.3877764201704716e-17,5.0120697184076781e-25,1.8619593379066176e-35,3.3877824446473718e-17,2.9015212165823506e-23,9.0401893484391358e-25,7.0454674596553521e-28,3.2322748366585279e-45,1.1143026537314147e-65,1.5550461281988849e-64
3.257870475570735e-17,0.09977366400000001,0.80000000000000004,0.0,0.28934362558676041,0.099999999989750121,0.099999999998505146,1.0160724761463098e-68,1.185962176934144e-39,7.6426065903409647e-31,1.4078396953403362e-50,4.69396613821509e-39,4.396587093650767e-36,1.6860439346800014e-22,6.3959678100789457e-85,1.6860168725451203e-22,9.9241221594627332e-55,5.531067936849385e-45,8.7129360652738691e-56,5.8234115987054994e-76,1.1362550157701234e-34,4.1455810285848272e-66,1.0249823016643641e-11,2.9897232339923699e-12,6.7755483919556767e-17,2.0048254479226772e-24,1.4895599599961847e-34,6.7755728326363669e-17,1.1264109378950263e-22,7.027634380723739e-24,1.0963373184390772e-26,2.0123212720147735e-43,2.7750755204558416e-63,3.8715487914631031e-62
6.515741641574372e-17,0.09977366400000001,0.80000000000000004,0.0,0.28934362557352072,0.099999999979500223,0.099999999997010286,4.9340112267522004e-66,1.8975198630444846e-38,5.7884805940122382e-30,1.7091586520752245e-48,3.7551616638122216e-38,1.7586593211563711e-35,3.372142371812334e-22,2.0470134233848944e-83,3.372034123416943e-22,7.9403977897832481e-54,8.8496721408122202e-44,6.9704396826155429e-55,1.4141025963146933e-73,8.9141556777508213e-34,6.6338192259263224e-65,2.0499648172555453e-11,5.9794471011614148e-12,1.3551074682637747e-16,8.0192784524684965e-24,1.191635288715343e-33,1.35511749784364e-16,4.2535418137838771e-22,5.3197675619723011e-23,1.662725350626508e-25,1.2212841329573965e-41,6.7374843161945084e-61,9.4012446070663927e-60
1.3031483973581646e-16,0.09977366400000001,0.80000000000000004,0.0,0.28934362554704135,0.099999999959000441,0.099999999994020566,2.2888731451277413e-63,3.0359683801797733e-37,4.1882948520755669e-29,1.9823893774283212e-46,3.0041102222209312e-37,7.0348314762447372e-35,6.7445016805257728e-22,6.5524835972891494e-82,6.7440686882002989e-22,6.354075969405485e-53,1.4159339443427116e-42,5.5764955230985756e-54,3.2809620343795925e-71,7.060940706538389e-33,1.061695319087083e-63,4.0999298385520245e-11,1.1958894834214282e-11,2.710205665282211e-16,3.2076919451367125e-23,9.5328767950907736e-33,2.7102475294989447e-16,1.5285533410993463e-21,3.8390578630273836e-22,2.4078410928853536e-24,7.0798724946735415e-40,1.5625986296321403e-58,2.1812226736740212e-57
