Time (s),Volume (m^3),Ar,Ne,N2,X(1),CH4(2),O2(3),CO2(4),H2O(5),H2(6),CO(7),C2H6(8),CH2O(9),CH3(10),C3H8(11),H(12),C2H5(13),CH3OH(14),HCO(15),CH3CHO(16),OH(17),C2H4(18),CH4X(48),OX(20),CH3X(21),CH2X(27),HOX(22),HX(19),CHX(28),CX(26),OCX(25),H2OX(23),COX(50),CO2X(24)
6.5507964204129525e-21,0.11640260799999998,0.8585084662769803,0.0,0.0,0.33756756319999726,0.11866996602996269,0.022821567693054223,8.4940719061798366e-102,1.2247002815678451e-54,4.4424145243456047e-36,3.1812455805265236e-75,3.6246458364304309e-49,3.2008169369428182e-119,6.6612201202525061e-22,2.263522937513821e-102,6.6612201202120174e-22,5.7036567217826891e-69,9.6559127718606219e-60,3.1458252205722332e-100,1.9008531275967758e-101,4.2374098719307395e-45,1.7292053071432236e-81,2.6417448485018057e-15,1.2701743992222695e-16,4.8959384139571591e-20,3.1540469628027204e-29,3.5422871827140811e-32,4.8959384202621897e-20,2.5158917805030273e-34,2.8217821763902782e-40,3.8379174008277547e-65,6.7137002771141075e-46,2.7846142728334178e-90,2.0948160132355784e-92
1.310728423649959e-20,0.11640260799999998,0.8585084662769803,0.0,0.0,0.33756756319999448,0.11866996602996004,0.02282156769305416,2.7771062030433239e-99,1.9611162363938935e-53,1.7782049465630101e-35,2.5982936158506997e-73,2.9026563827807456e-48,1.0447651528548981e-116,1.3328227573443685e-21,1.4508936966488992e-100,1.3328227573281629e-21,9.1357631401429817e-68,1.5467439808872584e-58,5.1356232610167443e-98,3.1031811538511241e-99,3.3925044217951775e-44,5.5396676441677687e-80,5.2857848706323213e-15,2.5414523383221969e-16,9.7961304605415345e-20,1.2624306806154411e-28,1.4178380187115452e-31,9.7961304857781922e-20,2.0142275631732058e-33,2.8902784464841027e-39,1.5692266604241531e-63,5.3750424253379263e-45,4.5459390826630509e-88,3.4254908142160165e-90
2.6220259868672867e-20,0.11640260799999998,0.8585084662769803,0.0,0.0,0.33756756319998893,0.11866996602995475,0.022821567693054032,1.0184538892929596e-96,3.1390632325003335e-52,7.1157874845071565e-35,2.3808538212161981e-71,2.3233015621644083e-47,3.8254957689862294e-114,2.6662242480066362e-21,9.2928909575844462e-99,2.6662242479417918e-21,1.4625155428869899e-66,2.476229657523482e-57,9.405395892634518e-96,5.6831753021378025e-97,2.7150345850118774e-43,1.7736879560570362e-78,1.0573864914888509e-14,5.084008216521951e-16,1.9596514534779305e-19,5.051286507199921e-28,5.6731988859384624e-31,1.9596514635759606e-19,1.6119691966323401e-32,3.3232811683580348e-38,7.1992076782365074e-62,4.3016675037198108e-44,8.3254464965455338e-86,6.283277190687568e-88
5.2446211133019425e-20,0.11640260799999998,0.8585084662769803,0.0,0.0,0.33756756319997783,0.11866996602994417,0.022821567693053778,4.180337568853901e-94,5.0235231934887131e-51,2.8472995908556984e-34,2.4421069930698491e-69,1.8591119403423204e-46,1.5681884536821309e-111,5.333027229427298e-21,5.9497460423250597e-97,5.3330272291678782e-21,2.3406597937079048e-65,3.963119244855068e-56,1.9283443466438004e-93,1.1651948615067572e-94,2.1724401706490193e-42,5.6773928215183697e-77,2.115002500338152e-14,1.0169119972921062e-15,3.9197282607530928e-19,2.0207790293888313e-27,2.2696489641396252e-30,3.919728301152434e-19,1.2897802358662958e-31,4.2756519823163513e-37,3.6965578272155373e-60,3.4419875419870445e-43,1.7069273638681834e-83,1.2898900443070785e-85
1.0489811366171253e-19,0.11640260799999998,0.8585084662769803,0.0,0.0,0.33756756319995568,0.11866996602992302,0.022821567693053268,1.8753518655063566e-91,8.0384547111219614e-50,1.1394295228764225e-33,2.738163051741379e-67,1.4874778407783503e-45,7.0287900313628103e-109,1.066663319265313e-20,3.8085722717560042e-95,1.0666633191615363e-20,3.7455636562116308e-64,6.34191232914779e-55,4.3224263841482269e-91,2.6118099811967772e-92,1.7381171479524875e-41,1.8170203472058851e-75,4.2302345180290071e-14,2.0339343485717692e-15,7.8398818450138487e-19,8.0832580394456734e-27,9.0793346881266675e-30,7.8398820066295263e-19,1.0318581039037722e-30,6.0072942695126485e-36,2.0740831520941889e-58,2.7538514354952086e-42,3.8261153014438502e-81,2.8939052209074984e-83
2.0980191871909876e-19,0.11640260799999998,0.8585084662769803,0.0,0.0,0.33756756319991132,0.11866996602988072,0.022821567693052252,8.9225006331944703e-89,1.2862181283554803e-48,4.5612390337602268e-33,3.2563727982509881e-65,1.1900575754569058e-44,3.3423198388366498e-106,2.1333845120642815e-20,2.4377213842560106e-93,2.1333845116491588e-20,5.9933081842254161e-63,1.0147796863926155e-53,1.0278288689088011e-88,6.2106175094180454e-90,1.3905597148598882e-40,5.8148724931613966e-74,8.4606985533797296e-14,4.0679790511304547e-15,1.5680188892377091e-18,3.233022086992955e-26,3.6318816143633931e-29,1.5680189538907369e-18,8.2542319214725228e-30,8.9438308981323856e-35,1.2339412192010133e-56,2.2031856481384828e-41,9.0981114465025038e-79,6.8851518622686117e-81
4.196095288338712e-19,0.11640260799999998,0.8585084662769803,0.0,0.0,0.33756756319982262,0.11866996602979611,0.022821567693050219,4.3936395758351011e-86,2.0580011862628146e-47,1.827200218466001e-32,4.0084284428442258e-63,9.52076154954257e-44,1.6453357901745525e-103,4.2668268982774284e-20,1.5602168887984087e-91,4.2668268966169048e-20,9.5896179059915342e-62,1.6237064226686502e-52,2.5300465037024773e-86,1.5287711395427388e-87,1.1124741526305551e-39,1.8608243302992403e-72,1.6921626623957225e-13,8.1360684562452729e-15,3.1360802502470504e-18,1.2929050984404246e-25,1.4527821681239156e-28,3.1360805088974232e-18,6.601903127900705e-29,1.3773433853415511e-33,7.5967741916891067e-55,1.7625902129555494e-40,2.2395405475435709e-76,1.6953223484160819e-78
8.39224749063416e-19,0.11640260799999998,0.8585084662769803,0.0,0.0,0.33756756319964526,0.11866996602962689,0.022821567693046149,2.2040520071427745e-83,3.2928432581161029e-46,7.3302000752850935e-32,5.0268025776388819e-61,7.6167291803959534e-43,8.2524535740735745e-101,8.5337116731645609e-20,9.9856281929958392e-90,8.5337116665223981e-20,1.5343647646318657e-60,2.5979772601227736e-51,6.3451724772046939e-84,3.8340467417183814e-85,8.8998984484391525e-39,5.9547417436565726e-71,3.3843482764616422e-13,1.6272247266464689e-14,6.2722027784125213e-18,5.1690344829140702e-25,5.8111875100176753e-28,6.2722038132883449e-18,5.2789643288544514e-28,2.1600494539534418e-32,4.7641174371017065e-53,1.4100886778548685e-39,5.6166043050146853e-74,4.2524180300105579e-76
1.6784551895225059e-18,0.11640260799999998,0.8585084662769803,0.0,0.0,0.33756756319929054,0.11866996602928845,0.022821567693038013,1.1160414729923404e-80,5.2685810684536813e-45,2.9491305624172304e-31,6.3632726837917426e-59,6.0934306178980283e-42,4.1783744451505944e-98,1.7067481232782184e-19,6.3908781724460333e-88,1.7067481206213398e-19,2.4550040691321155e-59,4.1568007023356373e-50,1.6063709684985624e-81,9.7064364979485999e-83,7.1199603748137833e-38,1.9055337705477363e-69,6.7687195043951648e-13,3.2544604886862652e-14,1.2544447059330698e-17,2.065516495512063e-24,2.3244866053551744e-27,1.2544451200962749e-17,4.2190089321337069e-27,3.4186814792959115e-31,3.0156000202560669e-51,1.1280772725074484e-38,1.4219233458841469e-71,1.0766449920896587e-73
3.3569160704406852e-18,0.11640260799999998,0.8585084662769803,0.0,0.0,0.33756756319858111,0.11866996602861156,0.022821567693021742,5.6742705359930774e-78,8.4297512488267907e-44,1.193244921317479e-30,8.0880891023102779e-57,4.8747622788787707e-41,2.1243307605033191e-95,3.4135020391390842e-19,4.090185488557093e-86,3.4135020285115442e-19,3.9280219898140809e-58,6.6509091885494245e-49,4.0835151209672682e-79,2.4674487345252782e-80,5.6959841860491781e-37,6.0977329855030425e-68,1.3537461959468933e-12,6.5089320127495081e-14,2.5088932519516776e-17,8.2452724828274305e-24,9.2979682944994643e-27,2.5088949102901822e-17,3.368535500193391e-26,5.432198117203751e-30,1.9165636744891441e-49,9.0246391359708716e-38,3.6146344958690201e-69,2.7370058847177974e-71
