Time (s),Volume (m^3),Ar,Ne,N2,X(1),CH4(2),O2(3),CO2(4),H2O(5),H2(6),CO(7),C2H6(8),CH2O(9),CH3(10),C3H8(11),H(12),C2H5(13),CH3OH(14),HCO(15),CH3CHO(16),OH(17),C2H4(18),CH4X(48),OX(20),HX(19),HOX(22),CH3OO(77),CH3X(21),H2OX(23),CH2X(27),CHX(28),CX(26),OCX(25),H2X(49),C2H4(47),COX(50),CHOX(53)
5.726682420223071e-21,0.16628943999999996,0.8585084662769803,0.0,0.0,0.45230727679999705,0.11866996602996252,0.022821567693054247,0.0,1.8233140587623178e-54,1.6341294428926144e-30,4.0752658909557234e-72,7.7631482068948827e-46,2.8969426144302601e-110,5.0542528226239689e-17,8.2098318837619247e-90,5.0542528226232941e-17,5.4323456252437619e-61,3.1897631029997003e-59,4.1883714652025743e-93,4.8564057053930008e-94,3.5114268291351261e-43,1.1964081263019046e-71,2.7602654259070924e-15,8.1726553357120513e-17,3.2717879853219888e-19,4.9567265604871704e-32,1.8353917459494584e-31,3.27178797468888e-19,9.479584730663796e-46,5.2984529927465762e-28,1.6050958186647273e-33,4.755623714424772e-38,2.5577147828159734e-63,6.1311862352125018e-44,9.170620560285935e-82,7.3761141283441798e-87,9.0735026483935311e-90
1.1458340237857283e-20,0.16628943999999996,0.8585084662769803,0.0,0.0,0.45230727679999422,0.1186699660299597,0.022821567693054205,0.0,2.9196784280855716e-53,6.5407766245414563e-30,2.633549815893737e-70,6.2168147555912028e-45,7.488084242533272e-108,1.0112896829281736e-16,5.2624133585864249e-88,1.0112896829279034e-16,8.7011938838256316e-60,5.1095603200357355e-58,5.4131606381955964e-91,6.2765455311568824e-92,2.8112765587920202e-42,3.8328030603931932e-70,5.5229289972741623e-15,1.6352411153905004e-16,6.5464185425507232e-19,1.9839823826361449e-31,7.3463501487016139e-31,6.5464184999905151e-19,7.5894317569754774e-45,2.1207555847371808e-27,1.2850486558315145e-32,3.8403959349600557e-37,8.264712699824186e-62,4.908677144072969e-43,5.8758908742607918e-80,9.5330824794509362e-85,1.1732502885091944e-87
2.2921655873125706e-20,0.16628943999999996,0.8585084662769803,0.0,0.0,0.4523072767999885,0.11866996602995408,0.022821567693054122,0.0,4.6733871620995608e-52,2.6171627764635394e-29,1.714843931109299e-68,4.9759715111308173e-44,1.9501841157879498e-105,2.0230184842597991e-16,3.3705455979263189e-86,2.0230184842587184e-16,1.3929467226728929e-58,8.1800510837069871e-57,7.0491780508678267e-89,8.1735034177913812e-90,2.2498756476014309e-41,1.2271849281804712e-68,1.1048256140004456e-14,3.2711922790290402e-16,1.3095679689027707e-18,7.9385137730210498e-31,2.9394969626763923e-30,1.3095679518730924e-18,6.0738519553738296e-44,8.4857333022127883e-27,1.0284231291097129e-31,3.126312057320501e-36,2.6911162433159794e-60,3.928433774035728e-42,3.7627135000195932e-78,1.2414262232675008e-82,1.5283563425754777e-85
4.5848287143662556e-20,0.16628943999999996,0.8585084662769803,0.0,0.0,0.45230727679997712,0.11866996602994283,0.022821567693053959,0.0,7.4789411208662735e-51,1.0470356508386451e-28,1.1340984450836971e-66,3.981785337431368e-43,5.1580380597532961e-103,4.0464760869233394e-16,2.1579818930161778e-84,4.0464760869190149e-16,2.229319489254295e-57,1.3091886550464842e-55,9.3227288592074389e-87,1.0809679595030851e-87,1.8002423468228504e-40,3.9280928229867616e-67,2.2098910425449668e-14,6.5430946063059211e-16,2.6194202110062467e-18,3.1759224227790359e-30,1.1759901910378933e-29,2.6194201428760319e-18,4.8600043412387245e-43,3.3948047136046457e-26,8.2288459803601822e-31,2.5860641956208469e-35,8.9008803416376615e-59,3.1433442242640882e-41,2.4088227241470289e-76,1.6418197923066495e-80,2.0219974687946181e-83
9.170154968473625e-20,0.16628943999999996,0.8585084662769803,0.0,0.0,0.45230727679995436,0.11866996602992032,0.022821567693053633,0.0,1.1967523083517e-49,4.1884844333064521e-28,7.7234795939543988e-65,3.1858315700936793e-42,1.4046369884781831e-100,8.0933912922515766e-16,1.3813749384880643e-82,8.0933912922342769e-16,3.5673950370947105e-56,2.0950062553895199e-54,1.2695213419573261e-84,1.4720066552186743e-85,1.4403306163222979e-39,1.2571658977649715e-65,4.4200218996278598e-14,1.3086899260858879e-15,5.2391247464476692e-18,1.270472352346015e-29,4.7043435878679355e-29,5.239124473901344e-18,3.8883725589482301e-42,1.357999469923756e-25,6.58353930809521e-30,2.2043190780228177e-34,3.0322001826985739e-57,2.5149146933033968e-40,1.5418661234289484e-74,2.2357458689571701e-78,2.7548201020192388e-81
1.8340807476688365e-19,0.16628943999999996,0.8585084662769803,0.0,0.0,0.45230727679990884,0.1186699660298753,0.022821567693052977,0.0,1.9149010215751662e-48,1.67546272183167e-27,5.5374823844074896e-63,2.5488265851846894e-41,4.0260852961166533e-98,1.618722170291268e-15,8.8416525836855714e-81,1.6187221702843475e-15,5.7082191671154171e-55,3.352253465242898e-53,1.8197376368436403e-82,2.1099809950571405e-83,1.1523191799400722e-38,4.0232127994701048e-64,8.8402836137690497e-14,2.6174508569961607e-15,1.0478534022285679e-17,5.0820961284751199e-29,1.8818139902314176e-28,1.0478532932029705e-17,3.1108455866210937e-41,5.4319554567165814e-25,5.2668214092793229e-29,1.9799677905350453e-33,1.0878063066739648e-55,2.0120281354453826e-39,9.8686458811122858e-73,3.2047282079725033e-76,3.9518203687058222e-79
3.668211249311784e-19,0.16628943999999996,0.8585084662769803,0.0,0.0,0.4523072767998178,0.11866996602978526,0.022821567693051669,0.0,3.063919304098977e-47,6.7019934267677165e-27,4.3044568771877584e-61,2.0391258004859267e-40,1.2508202437936616e-95,3.2374882524253386e-15,5.6589306153240425e-79,3.2374882523976563e-15,9.1334603542761508e-54,5.3638000322921039e-52,2.8275376839622771e-80,3.2785224750184683e-81,9.2187720075335006e-38,1.2874732020069366e-62,1.7680807041953035e-13,5.2349727188154254e-15,2.0957353393920502e-17,2.0328797521520938e-28,7.5274089747375509e-28,2.0957349032597438e-17,2.4887353221671986e-40,2.1726156440592897e-24,4.2131410672854157e-28,1.9302565064539256e-32,4.2325720403007123e-54,1.6096621017693973e-38,6.3161582081502629e-71,4.9795582469298122e-74,6.1472142869737579e-77
7.336472252597679e-19,0.16628943999999996,0.8585084662769803,0.0,0.0,0.45230727679963573,0.1186699660296052,0.022821567693049053,0.0,4.9023323978506066e-46,2.6808295896585351e-26,3.7278711329598382e-59,1.6313264516775935e-39,4.3287871564506292e-93,6.4750204167008819e-15,3.6218029358882087e-77,6.4750204165901511e-15,1.4613784287657107e-52,8.5822347319948478e-51,4.8943288917046592e-78,5.6749613539953783e-79,7.3751047378261611e-37,4.1199863933360182e-61,3.5361853897927442e-13,1.0470016442448836e-14,4.191499541813094e-17,8.1316012605294188e-28,3.0109941136636756e-27,4.1914977970977444e-17,1.9910115360100978e-39,8.6888654615918375e-24,3.3698873077735402e-27,2.0980627875657058e-31,1.8352544965262226e-52,1.2877471825894544e-37,4.0424131717672014e-69,8.6193704016542375e-72,1.0654779022369973e-74
1.467299425916947e-18,0.16628943999999996,0.8585084662769803,0.0,0.0,0.45230727679927157,0.11866996602924505,0.022821567693043818,0.0,7.843779044891728e-45,1.0723412464540984e-25,3.63056227216488e-57,1.3050714826718955e-38,1.684691745240533e-90,1.2950084745281578e-14,2.3179818184040518e-75,1.2950084744838653e-14,2.3382252932720169e-51,1.3731696394536859e-49,9.5270127235759111e-76,1.1046545696620993e-76,5.9001181686967799e-36,1.3184071739028771e-59,7.0723947608301976e-13,2.094010388969517e-14,8.3830292599150443e-17,3.2526566743990594e-27,1.2044036868333882e-26,8.383022279671977e-17,1.592818119082643e-38,3.4742161714194626e-23,2.6948615248252949e-26,2.5641003996904946e-30,8.9483042112112777e-51,1.0302074067177635e-36,2.5871674018240651e-67,1.6777957795112209e-69,2.0766817280640147e-72
2.9346038272313052e-18,0.16628943999999996,0.8585084662769803,0.0,0.0,0.45230727679854321,0.11866996602852478,0.022821567693033347,0.0,1.2550077835165766e-43,4.2894075111857148e-25,3.9149923038077382e-55,1.0440613094620088e-37,7.2612513835457322e-88,2.5900213402561398e-14,1.4835172911185034e-73,2.5900213400789702e-14,3.7411762812000568e-50,2.1970801539441787e-48,2.053649540064143e-73,2.3812010209413271e-74,4.720107527152435e-35,4.2189213017155147e-58,1.4144813502275397e-12,4.1880278784105918e-14,1.676609395621483e-16,1.3010656795886283e-26,4.8176263227921574e-26,1.6766066024416616e-16,1.2742573776311796e-37,1.3886130165743782e-22,2.1541945018830857e-25,3.4666917693839594e-29,4.8295198215504587e-49,8.2417404064365007e-36,1.6557944341036324e-65,3.6166676454525157e-67,4.4809938466746194e-70
5.8692126298600216e-18,0.16628943999999996,0.8585084662769803,0.0,0.0,0.45230727679708649,0.11866996602708423,0.022821567693012405,0.0,2.0080129135976691e-42,1.7157904249374976e-24,4.5380167740938893e-53,8.3525068854546069e-37,3.3650744260048078e-85,5.1800470717594783e-14,9.4945390599637189e-72,5.1800470710507979e-14,5.9858945910298857e-49,3.5153322386826608e-47,4.7593775813446333e-71,5.518484760967653e-72,3.7760900038626998e-34,1.3500576879724955e-56,2.8289650982646965e-12,8.3760628572599713e-14,3.3532244445561705e-16,5.2042669443168429e-26,1.9270524383679033e-25,3.3532132632316503e-16,1.0194059770475603e-36,5.5458618915469294e-22,1.720642119752066e-24,5.032827895397066e-28,2.8008664296720515e-47,6.5934926358624075e-35,1.0597107035962543e-63,8.3817028889298077e-65,1.0391462269189479e-67
