Time (s),Volume (m^3),N2,Ar,He,Ne,X(1),CH4(2),O2(3),CO2(4),H2O(5),H2(6),CO(7),C2H6(8),CH2O(9),CH3(10),C3H8(11),H(12),C2H5(13),CH3OH(14),HCO(15),CH3CHO(16),OH(17),C2H4(18),CH4X(45),OX(20),CH3X(21),HX(19),CH2X(27),CHX(28),CX(26),HOX(22),OCX(25),H2OX(23),CO2X(24),CHOX(50)
0.0,0.066515776,0.80000000000000004,0.0,0.0,0.0,0.19289575039999998,0.10000000000000001,0.10000000000000001,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1.0397720257321284e-23,0.066515776,0.80000000000000004,0.0,0.0,0.0,0.19289575039999998,0.10000000000000001,0.10000000000000001,-6.244863762128721e-126,4.1582264996676693e-69,2.7147004323558502e-50,2.4490288378369012e-99,3.6691142186444989e-57,6.1259784465639451e-158,3.4356739038650245e-37,-2.6072478770011456e-141,3.4356712879466454e-37,2.4449849223708797e-91,6.1794640361044216e-74,3.0092748792333999e-137,9.188570050386003e-139,1.0608811736716954e-61,5.4152006800141297e-111,2.6710071628566426e-18,1.1686404947267414e-18,2.5387922461350666e-22,2.5387922461374227e-22,1.1782349164138053e-34,8.6950036656542291e-41,1.081616344209136e-49,5.1637288471371441e-38,7.3108750861625946e-79,1.5899970070952257e-54,-3.1092328419304581e-113,-2.5639757814121823e-112
2.9113616720499594e-23,0.066515776,0.80000000000000004,0.0,0.0,0.0,0.19289575039999998,0.10000000000000001,0.10000000000000001,1.8797176776925769e-123,1.0207287361933441e-67,3.2228840493164934e-49,4.4531827144714851e-97,5.5447654072920547e-56,3.1142273257245719e-155,9.6198954067475734e-37,5.0331568698416912e-140,9.6198796066005668e-37,6.8952486787651968e-90,1.9429223102652698e-72,9.8804130305677462e-135,3.0166291210328198e-136,1.2594781293814779e-60,2.8030638297914723e-109,7.4788200559985934e-18,3.2721933852348757e-18,7.1086182891743707e-22,7.1086182891886007e-22,7.1165338242167904e-34,1.0322701607433172e-39,2.1345545693064915e-48,3.1188922236666196e-37,7.3447747082378143e-77,1.8876444468211126e-53,5.2166396221328417e-111,4.3018128056728116e-110
6.654540964685622e-23,0.066515776,0.80000000000000004,0.0,0.0,0.0,0.19289575039999998,0.099999999999999992,0.10000000000000001,1.456318327201039e-120,2.0968495284885577e-66,3.1642388936458189e-48,7.4521288405737902e-95,5.9648056030415806e-55,5.4818202326375995e-152,2.1988372316214697e-36,5.3144978012488575e-138,2.1988296245308239e-36,1.4998671987017451e-88,4.3345527903910682e-71,3.3068491414484308e-132,1.0095701843324863e-133,1.2365630960268743e-59,1.2239273687887034e-107,1.7094445842282472e-17,7.4792991662511435e-18,1.6248270375237712e-21,1.6248270375306226e-21,3.4262995305582306e-33,1.013487536497749e-38,3.8971532921355295e-47,1.5016123487411294e-36,6.1425727910674185e-75,1.8533005114629105e-52,2.0115145215309953e-108,1.6587611091745726e-107
1.4140899549956949e-22,0.066515776,0.80000000000000004,0.0,0.0,0.0,0.19289575039999995,0.099999999999999978,0.10000000000000001,9.0044320016504842e-118,3.7966538910805287e-65,2.7987240913329288e-47,1.0840824277416702e-92,5.482683994683286e-54,7.2015355251057901e-149,4.6725461749957038e-36,4.2006782340279598e-136,4.6725129528322942e-36,2.7805010101490678e-87,8.118137661775551e-70,9.6265384545088757e-130,2.9386200071252611e-131,1.0937260547983559e-58,4.5563747188061032e-106,3.6325697414850121e-17,1.5893510728283676e-17,3.4527574547303346e-21,3.4527574547602557e-21,1.4963504839489189e-32,8.9641570730742132e-38,6.6515726747296673e-46,6.5579356357983984e-36,4.4638497262199778e-73,1.6392233144195623e-51,6.2165744076174156e-106,5.1263919525160386e-105
2.91136167204996e-22,0.066515776,0.80000000000000004,0.0,0.0,0.0,0.1928957503999999,0.099999999999999936,0.099999999999999992,5.0485909867412222e-115,6.4568559673231331e-64,2.3524823007219518e-46,1.4760997215455171e-90,4.6905515877459253e-53,8.3124927468480629e-146,9.6200183076674114e-36,2.9773069298453455e-134,9.6198796116749683e-36,4.7789708153296696e-86,1.4022063972220885e-68,2.6227322652706332e-127,8.004414299311024e-129,9.193426509865602e-58,1.5697401751039656e-104,7.4788200559985e-17,3.2721933852348732e-17,7.1086182891190361e-21,7.1086182892439492e-21,6.2469307881573864e-32,7.5348713988810489e-37,1.0981993756491156e-44,2.737809034692858e-35,3.0375773067540524e-71,1.3778659663687637e-50,1.742459508258861e-103,1.4368894841304287e-102
5.90590510615849e-22,0.066515776,0.80000000000000004,0.0,0.0,0.0,0.19289575039999979,0.099999999999999853,0.099999999999999978,2.7025493535539465e-112,1.0648465294229144e-62,1.9286850145626326e-45,1.9475620952459014e-88,3.8782387590579169e-52,9.0263438408052287e-143,1.9515179556703765e-35,2.0036111997460571e-132,1.9514612938319258e-35,7.9207936531451682e-85,2.3297869006850891e-67,6.9247845488126179e-125,2.1124506394280698e-126,7.5373264960587009e-57,5.2093953203498265e-103,1.5171320685025303e-16,6.6378780100478807e-17,1.4420339957798736e-20,1.4420339958309053e-20,2.5520440669550741e-31,6.1774727021341983e-36,1.7844236957717783e-43,1.1184843231551006e-34,2.0034113987612874e-69,1.1296577663598803e-49,4.6633645451036896e-101,3.8455639474597652e-100
1.1894991974375549e-21,0.066515776,0.80000000000000004,0.0,0.0,0.0,0.19289575039999957,0.0999999999999997,0.09999999999999995,1.4145116837582061e-109,1.7296277053759313e-61,1.5618636232618968e-44,2.5305345190799259e-86,3.1537193506016728e-51,9.5151573164797489e-140,3.9306369989548238e-35,1.3146689994193656e-130,3.9304079627443623e-35,1.2896959131985792e-83,3.7981406557419385e-66,1.8012464987494414e-122,5.4898834530130501e-124,6.103922414629565e-56,1.6974056205367493e-101,3.0556321943078222e-16,1.3369247259673878e-16,2.9043783294767349e-20,2.9043783296830146e-20,1.0315519602116727e-30,5.0025640057512467e-35,2.8769187153252807e-42,4.5210924642402555e-34,1.301397237562596e-67,9.148261475139247e-49,1.2203482484969562e-98,1.006339343074695e-97
2.3873165710809667e-21,0.066515776,0.80000000000000004,0.0,0.0,0.0,0.19289575039999912,0.099999999999999395,0.099999999999999881,7.321829205361132e-107,2.788293345993944e-60,1.2570666894124742e-43,3.2632264684382707e-84,2.5435889074205717e-50,9.8848858043826413e-137,7.8892222594324052e-35,8.5192016605172144e-129,7.8883013149035428e-35,2.0815744034310329e-82,6.1340073036381104e-65,4.6540440848131084e-120,1.4159269914679734e-121,4.9129677881162377e-55,5.4808198906581607e-100,6.1326324459181333e-16,2.68319857589258e-16,5.8290669967141395e-20,5.8290669975436038e-20,4.1476235818502463e-30,4.0263159458827733e-34,4.6204038357386009e-41,1.8179113952150105e-33,8.3905272161919148e-66,7.3633167153134382e-48,3.158330421824123e-96,2.6044632305617601e-95
4.782951318367791e-21,0.066515776,0.80000000000000004,0.0,0.0,0.0,0.19289575039999823,0.099999999999998784,0.099999999999999742,3.7690051800849459e-104,4.4780569331878822e-59,1.0086253789518095e-42,4.192154512176245e-82,2.0431489364671679e-49,1.0194433991722295e-133,1.5807781476022168e-34,5.4865681112600837e-127,1.5804088076559143e-34,3.3450341845110878e-81,9.8602375876724752e-64,1.2000850403708734e-117,3.6380390978668976e-119,3.9423472413754933e-54,1.7617605789463392e-98,1.2286632949137666e-15,5.3757462757429357e-16,1.1678444330563675e-19,1.1678444333890358e-19,1.6632209792731926e-29,3.2305716787166981e-33,7.4060291882708118e-40,7.2906377742011552e-33,5.3893506505392262e-64,5.9085979375234468e-47,8.1288673815350114e-94,6.7033315405012568e-93
