Time (s),Volume (m^3),N2,Ar,He,Ne,X(1),CH4(2),O2(3),CO2(4),H2O(5),H2(6),CO(7),C2H6(8),CH2O(9),CH3(10),C3H8(11),H(12),C2H5(13),CH3OH(14),HCO(15),CH3CHO(16),OH(17),C2H4(18),CH4X(33),CO2X(34),CH3X(22),HX(19),CH2X(134),CHX(26),H2X(36),C2H6X(39),CX(24),C2H3X(136),C2H5X(38),C2H4X(51),C2H3X(50),CH2(T)(29),C3H8X(43),C3H6(143),C3H6X(157),C3H5X(155),HOCXO(25),C3H5X(156),C3H5X(144),allyl(160),C4H8(202),C4H8X(281),C4H7X(280),C4H7X(203),C4H7(284),C4H7X(335),C4H8(148),C4H8X(439)
9.895885857960867e-21,0.08314471999999999,0.80000000000000004,0.0,0.0,0.0,0.24111968799999545,0.099999999999997174,0.0,0.099999999999998299,0.0,2.5682712984312579e-57,0.0,1.3678044625450258e-52,0.0,1.2065266810078748e-33,7.2983569243697166e-102,7.0996996359150915e-44,1.6598473095785641e-80,0.0,0.0,0.0,0.0,8.3600214253891559e-119,2.8421474653679625e-15,1.7159668127814771e-15,1.2421682840176196e-23,1.2421682841383419e-23,3.4790450571273401e-37,1.095137811097114e-47,1.0990163232832569e-70,1.515512030816806e-66,1.0100993091852021e-68,1.1337502668034666e-97,1.3210144001144402e-72,9.062434183801677e-133,2.3651171486754524e-135,7.2185137254475846e-63,6.3103318382773446e-116,2.1378275960620969e-168,1.8792669313204975e-182,2.4522586073637806e-185,5.0438015499087994e-46,1.2261293036818903e-185,5.3642407899380344e-186,1.0994249929985605e-193,1.9756504308019998e-218,1.5027484087831216e-232,1.9609389484327841e-235,9.7180906823823677e-236,3.062300356005304e-239,3.4640558788713415e-231,2.5726488921071512e-214,1.9568461923670798e-228
1.9800369357848717e-20,0.08314471999999999,0.80000000000000004,0.0,0.0,0.0,0.24111968799999089,0.09999999999999433,0.0,0.099999999999996578,0.0,2.0566855770644485e-56,0.0,1.0953529080687885e-51,0.0,4.8292510229044983e-33,4.6781938517521e-100,2.8417300894889674e-43,5.3175030895523236e-79,0.0,0.0,0.0,0.0,5.3559541958338319e-117,5.6867642157994263e-15,3.4334244741142359e-15,2.4854157756858274e-23,2.4854157761690311e-23,1.3925246879993705e-36,8.7677613945655763e-47,1.7603228747682865e-69,2.4274530600608381e-65,1.6174749574229223e-67,7.2652110807521941e-96,2.1159304403642519e-71,1.1612023057107561e-130,3.030509718141906e-133,5.7792001452837794e-62,8.0898532552283011e-114,1.0961893272811726e-165,1.9272230718129984e-179,2.514836656526496e-182,2.018835066802272e-45,1.257418328263248e-182,5.5011289081522082e-183,2.2549632737637242e-190,8.107788867692945e-215,1.2334135103502907e-228,1.6094833825047968e-231,7.9763358284975767e-232,5.0269321263586978e-235,2.8432174710344182e-227,1.0557853110692948e-210,1.6061344059899238e-224
3.9609336357624423e-20,0.08314471999999999,0.80000000000000004,0.0,0.0,0.0,0.24111968799998176,0.09999999999998864,0.0,0.099999999999993136,0.0,1.6461762802953998e-55,0.0,8.7672627829030501e-51,0.0,1.9323294479153803e-32,2.9963646475283699e-98,1.1370621882808782e-42,1.7025602208201655e-77,0.0,0.0,0.0,0.0,3.4295865191408538e-115,1.1375997715730728e-14,6.8683397964401034e-15,4.9719107582968456e-23,4.9719107602302905e-23,5.5719125981207799e-36,7.0168738158266918e-46,2.8180348681621249e-68,3.8860331450168433e-64,2.5890133069881747e-66,4.6526843747982827e-94,3.3873356244815958e-70,1.4871150713768751e-128,3.8810779602476026e-131,4.6251165324119217e-61,1.0363101667469168e-111,5.6166472992117821e-163,1.9749398792006401e-176,2.5771023995828224e-179,8.0779698754011877e-45,1.2885511997914112e-179,5.637333439574058e-180,4.6215911959124685e-187,3.3241353245821952e-211,1.0113815160233434e-224,1.3197534564226977e-227,6.5404821636336504e-228,8.2440519057365273e-231,2.3314051642031276e-223,4.3286577735139638e-207,1.3170115028895764e-220
7.922727035717582e-20,0.08314471999999999,0.80000000000000004,0.0,0.0,0.0,0.24111968799996353,0.09999999999997726,0.0,0.099999999999986267,0.0,1.3172722323601077e-54,0.0,7.0155864635822712e-50,0.0,7.7305760464555863e-32,1.9184162245788792e-96,4.5489891635538473e-42,5.4497277469571735e-76,0.0,0.0,0.0,0.0,2.1955089242485803e-113,2.2754464711866827e-14,1.3738170439733237e-14,9.9449007206172911e-23,9.9449007283523249e-23,2.2291278593834407e-35,5.6145651587205774e-45,4.5100707475033131e-67,6.219340107946648e-63,4.1432642001109566e-65,2.9786621346579457e-92,5.4212147536412521e-69,1.904008568217518e-126,4.9690880237716625e-129,3.7007959416892008e-60,1.326994929689303e-109,2.8767949773201756e-160,2.0230927336073358e-173,2.6399371412738932e-176,3.2317139189567106e-44,1.3199685706369466e-176,5.77478223351746e-177,9.4685502705323306e-184,1.3622216544025129e-207,8.2892286115570334e-221,1.0816628481753271e-223,5.3605440753099541e-224,1.3513581791734864e-226,1.9108099886795458e-219,1.7738749247845358e-203,1.0794171954030932e-216
1.5846313835627862e-19,0.08314471999999999,0.80000000000000004,0.0,0.0,0.0,0.24111968799992703,0.0999999999999545,0.0,0.099999999999972528,0.0,1.0539502852706958e-53,0.0,5.6131797464049626e-49,0.0,3.0924820859160771e-31,1.2280240560461854e-94,1.8197437580528198e-41,1.7441583921439662e-74,0.0,0.0,0.0,0.0,1.4053225427794281e-111,4.5511398689233005e-14,2.7477831720885098e-14,1.9890880633651813e-22,1.9890880664594468e-22,8.9172371233371025e-35,4.4920786120691504e-44,7.2170852956929338e-66,9.9522940133767156e-62,6.6298971272447602e-64,1.9066459458939199e-90,8.6751253163915355e-68,2.4374747085084573e-124,6.3613297689319551e-127,2.9609178683025651e-59,1.6988849234924244e-107,1.4732072143238493e-157,2.0720526482561589e-170,2.7038250175304483e-173,1.2927907466227993e-43,1.3519125087652242e-173,5.9145341392273085e-174,1.9395387188121958e-180,5.5810556787387128e-204,6.7922349588377683e-217,8.8631989255237938e-220,4.3924561215277977e-220,2.2146204396418857e-222,1.5657280440104565e-215,7.2676138664242962e-200,8.8448035297517885e-213
3.1693487435448427e-19,0.08314471999999999,0.80000000000000004,0.0,0.0,0.0,0.24111968799985403,0.099999999999908981,0.0,0.09999999999994505,0.0,8.4321323119546765e-53,0.0,4.4908280349062545e-48,0.0,1.2370431683877727e-30,7.8601133975308824e-93,7.2792712280129596e-41,5.5816988661595572e-73,0.0,0.0,0.0,0.0,8.9950353565019621e-110,9.102526658434128e-14,5.4957154261451199e-14,3.9782840413295363e-22,3.9782840537071025e-22,3.5670399867469053e-34,3.5938334881802077e-43,1.1548114191572365e-64,1.5924750331365197e-60,1.0608374949654812e-62,1.2203501097585886e-88,1.3881143820071268e-66,3.1203052920866415e-122,8.1433833480519017e-125,2.3688467444164917e-58,2.1747845001009099e-105,7.5438428051466179e-155,2.1220694855571052e-167,2.7690920745352198e-170,5.1713731743729966e-43,1.3845460372676099e-170,6.057301879413353e-171,3.9727125069688282e-177,2.2863723079676962e-200,5.5651041571277885e-213,7.2619138622340986e-216,3.5988850124133195e-216,3.6290241796270952e-218,1.2828529887507463e-211,2.9772990985843396e-196,7.2468423155265835e-209
6.338783463508955e-19,0.08314471999999999,0.80000000000000004,0.0,0.0,0.0,0.24111968799970804,0.099999999999817957,0.0,0.099999999999890093,0.0,6.7459178679185981e-52,0.0,3.5927761108543061e-47,0.0,4.9482733334849124e-30,5.0307140741078705e-91,2.9117677314145582e-40,1.7862058237901871e-71,0.0,0.0,0.0,0.0,5.7580086543405902e-108,1.8205300213606161e-13,1.0991579925563293e-13,7.9566759786880551e-22,7.9566760281993261e-22,1.4268450187647862e-33,2.8751350243781309e-42,1.8477604850499416e-63,2.5480464362602969e-59,1.6973831527470566e-61,7.8105501396526566e-87,2.2210577997656526e-65,3.9948105646292932e-120,1.0425670188568193e-122,1.8951223731049607e-57,2.7838588711914814e-103,3.8632920744694843e-152,2.1734741205204755e-164,2.8361700722654379e-167,2.0685911659222964e-42,1.418085036132719e-167,6.2040288435931728e-168,8.1378879496174632e-174,9.3671548239136491e-197,4.5599915281691763e-209,5.9503406905391829e-212,2.9488901100219169e-212,5.9471685529715572e-214,1.0511562622651525e-207,1.2197841573251762e-192,5.9379881388839148e-205
1.2677652903437179e-18,0.08314471999999999,0.80000000000000004,0.0,0.0,0.0,0.24111968799941608,0.099999999999635908,0.0,0.099999999999780181,0.0,5.3968191029445763e-51,0.0,2.8742663375033155e-46,0.0,1.9793294576390966e-29,3.2197323253218057e-89,1.1647189407087027e-39,5.7159546959258648e-70,0.0,0.0,0.0,0.0,3.6877481208101549e-106,3.6410847228551718e-13,2.1983308889619449e-13,1.5913459779124328e-21,1.5913459977171422e-21,5.7074380922425789e-33,2.30013530156321e-41,2.956466531559777e-62,4.0769433654200269e-58,2.7158475600467542e-60,4.9988510709450541e-85,3.5537501378689465e-64,5.1169762941066084e-118,1.3354302149747858e-120,1.5161158840901985e-56,3.5634234031054457e-101,1.9794169001906534e-149,2.22722447014772e-161,2.906308999505293e-164,8.2744473195650926e-42,1.4531544997526465e-164,6.3574471074253509e-165,1.6678252485999399e-170,3.8395479752421539e-193,3.7382333275333484e-205,4.8780270255463783e-208,2.4174678882723197e-208,9.7508330248695723e-210,8.6172515615017423e-204,4.9998244230539223e-189,4.8678934119136801e-201
2.5355391783293627e-18,0.08314471999999999,0.80000000000000004,0.0,0.0,0.0,0.24111968799883213,0.099999999999271796,0.0,0.099999999999560343,0.0,4.3174892060209455e-50,0.0,2.2994312095960245e-45,0.0,7.9173580158590365e-29,2.0606502760947679e-87,4.658899459190379e-39,1.8291186703549094e-68,0.0,0.0,0.0,0.0,2.3667432405518661e-104,7.2821940876848806e-13,4.396676667861097e-13,3.1827027082873801e-21,3.1827027875066204e-21,2.2829868152130757e-32,1.8401191352079841e-40,4.7303862010805517e-61,6.5231645097416564e-57,4.345383665520603e-59,3.1992963077512528e-83,5.6860393918335584e-63,6.5678958003476511e-116,1.7140916883946433e-118,1.2128998925023541e-55,4.5612301933135279e-99,1.0162717213221847e-146,2.286997449701456e-158,2.9843068718436433e-161,3.3097945493010715e-41,1.4921534359218216e-161,6.5280475154510163e-162,3.4251583661838684e-167,1.5770411812483687e-189,3.0708544083799508e-201,4.0071631503523571e-204,1.9858801992921435e-204,1.6019997289695521e-205,7.0787984738136871e-200,2.0536013208554863e-185,3.9988243470977049e-197
5.071086954300652e-18,0.08314471999999999,0.80000000000000004,0.0,0.0,0.0,0.24111968799766423,0.099999999998543573,0.0,0.099999999999120667,0.0,3.454004934275717e-49,0.0,1.8395521594245267e-44,0.0,3.1669511927286028e-28,1.3188198667357374e-85,1.86356452292929e-38,5.853186720380045e-67,0.0,0.0,0.0,0.0,1.5315342500981104e-102,1.4564412664706688e-12,8.7933681700110931e-13,6.3654160501880544e-21,6.3654163670658123e-21,9.1319702161575065e-32,1.4720996354603161e-39,7.5686495490501546e-60,1.043710690193386e-55,6.9526357819459309e-58,2.0475596894354535e-81,9.0976721057045034e-62,8.4997066751422808e-114,2.2182563676869681e-116,9.7032277360702093e-55,5.838391300996989e-97,5.2606733109307695e-144,2.3676838525312339e-155,3.0895947164561704e-158,1.3239202162037463e-40,1.5447973582280852e-158,6.7583247237163626e-159,7.0919338462531027e-164,6.5307179487040939e-186,2.5433532397109004e-197,3.31882599504621e-200,1.644748579111963e-200,2.6535953355073474e-201,5.8627587692311998e-196,8.5041327166402693e-182,3.3118890893366288e-193
