Time (s),Volume (m^3),Ar,Ne,N2,X(1),CH4(2),O2(3),CO2(4),H2O(5),H2(6),CO(7),C2H6(8),CH2O(9),CH3(10),C3H8(11),H(12),C2H5(13),CH3OH(14),HCO(15),CH3CHO(16),OH(17),C2H4(18),CH4X(48),OX(20),HX(19),CH3X(21),CH2X(27),CHX(28),CX(26),CH3OO(77),H2X(49),C2H4(47),OCX(25),COX(50),CHOX(53),O(29),H2OX(23),HOX(22)
0.0,0.16628943999999996,0.8585084662769803,0.0,0.0,0.45230727679999988,0.11866996602996532,0.022821567693054285,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
6.305033531594134e-24,0.16628943999999996,0.8585084662769803,0.0,0.0,0.45230727679999988,0.11866996602996532,0.022821567693054285,0.0,4.0876672320583406e-54,2.9700072505100237e-36,1.9483415512936766e-88,1.7985939299040546e-54,6.6260031275402656e-132,5.5646920903778486e-20,-6.5494093392713291e-106,5.5646920903778486e-20,2.5962946586401065e-72,3.5887402614662509e-70,4.3712748470903963e-112,5.0684832133456026e-113,1.0697975259130783e-37,1.2187828446504407e-85,3.0390311159895404e-18,8.9980309981672622e-20,3.6022135345625228e-22,3.6022135345102627e-22,2.6105198650229318e-33,4.1278484604499005e-41,3.2866734920503653e-45,3.3357983340900261e-37,2.1456307148882919e-52,2.0232935776207614e-98,4.1488573236511564e-76,7.6982264103200465e-106,-3.918891913759142e-108,8.5344867117686701e-29,3.3174158812195123e-54,9.0087835689749008e-38
1.7654093888463576e-23,0.16628943999999996,0.8585084662769803,0.0,0.0,0.45230727679999988,0.11866996602996532,0.022821567693054285,0.0,4.8528785379247859e-53,1.7938843812248289e-35,2.152983980601663e-86,2.7180351697892699e-53,2.3908677962272818e-129,1.5581137853057977e-19,1.2643731906646193e-104,1.558113785305797e-19,7.3219664040592818e-71,1.1283573652488872e-68,8.7384472450168387e-110,1.0132209646232151e-110,6.4615770565315e-37,6.308771063686446e-84,8.5092871247707105e-18,2.5194486794868334e-19,1.008619789685983e-21,1.0086197896544175e-21,1.5767539743872918e-32,4.9005816213940546e-40,3.9019616781724189e-44,2.0148221937883227e-36,2.547292787207906e-51,1.9053999987482421e-96,2.5239669544150654e-74,1.5389228021524652e-103,3.966043576150294e-106,2.3896562827613714e-28,3.9384361341591833e-53,5.4413052756444562e-37
4.035221460220246e-23,0.16628943999999996,0.8585084662769803,0.0,0.0,0.45230727679999988,0.11866996602996531,0.022821567693054285,0.0,4.7645849257650797e-52,8.6367811132347686e-35,1.947882157843646e-84,2.9239382062053861e-52,8.6568687941196014e-127,3.5614029378418233e-19,1.3350445659621074e-102,3.5614029378418209e-19,1.5926876259127614e-69,2.5173032114727709e-67,1.582026344007624e-107,1.8343559369173459e-108,3.1109712053799929e-36,2.7546563490422522e-82,1.9449799142333041e-17,5.7587398388270478e-19,2.3054166621793497e-21,2.3054166620273762e-21,7.5913914061883151e-32,4.8114199458589981e-39,3.8310176384034485e-43,9.7005015555029895e-36,2.5009471690006231e-50,1.6653294367080546e-94,1.1394535517935616e-72,2.7860972849384842e-101,8.3056077202692485e-104,5.4620715197949538e-28,3.8667799510731254e-52,2.6197542618333191e-36
8.574845602968022e-23,0.16628943999999996,0.8585084662769803,0.0,0.0,0.45230727679999988,0.11866996602996528,0.022821567693054285,0.0,4.2142214097264065e-51,3.7719092378577348e-34,1.4742232627801825e-82,2.6876029618279863e-51,2.6249737602862913e-124,7.5679812429138743e-19,1.0552414642956331e-100,7.5679812429138618e-19,2.9525744392043247e-68,4.7146303196004654e-66,2.3972555131257343e-105,2.7796122987838651e-106,1.3586428579351954e-35,1.0254894913838212e-80,4.1330823177457633e-17,1.2237322157507477e-18,4.899010407301706e-21,4.8990104066379974e-21,3.3153598552374955e-31,4.2556461875385045e-38,3.3885780371012212e-42,4.2364638842624962e-35,2.2120594580475743e-49,1.2423874305809006e-92,4.302467687135958e-71,4.2217925774006137e-99,1.3347912454867769e-101,1.1606902049320418e-27,3.420123076741756e-51,1.1441155132344095e-35
1.7654093888463574e-22,0.16628943999999996,0.8585084662769803,0.0,0.0,0.45230727679999982,0.11866996602996524,0.022821567693054285,0.0,3.5423070209227519e-50,1.5746978709594151e-33,1.0242297349189787e-80,2.2993009176213059e-50,7.3014312685457962e-122,1.558113785305798e-18,7.4791777918532791e-99,1.5581137853057924e-18,5.0747210750086172e-67,8.1433514307143433e-65,3.3330192322532323e-103,3.8646281964109958e-104,5.6720664826214167e-35,3.5329667842226247e-79,8.5092871247706566e-17,2.5194486794868328e-18,1.0086197898088905e-20,1.0086197895318053e-20,1.3840972964277337e-30,3.5771265934169072e-37,2.8484492326106033e-41,1.7686402767058784e-34,1.8593692768699703e-48,8.569918637221137e-91,1.4928008096004296e-69,5.8697605565395781e-97,1.9084644229242565e-99,2.3896563330204536e-27,2.8748195237198681e-50,4.7764570480418529e-35
3.581259045945468e-22,0.16628943999999996,0.8585084662769803,0.0,0.0,0.45230727679999971,0.11866996602996516,0.022821567693054285,0.0,2.9041973131893717e-49,6.433154731284878e-33,6.8271274879390719e-79,1.9011064628099918e-49,1.9476444773401326e-119,3.16074510733462e-18,5.033143785332991e-97,3.1607451073345965e-18,8.4109780193938836e-66,1.3530300194123117e-63,4.4447005632815794e-101,5.1536201637066789e-102,2.3172242332237317e-34,1.1724628651819489e-77,1.7261696738820348e-16,5.1108816069590024e-18,2.0460572881833257e-20,2.0460572870513426e-20,5.6544876035720999e-30,2.9327437656388458e-36,2.3355689172378464e-40,7.225472623329761e-34,1.5244232974485985e-47,5.6913256481469587e-89,4.972148897686341e-68,7.8275360066615382e-95,2.5800191913785183e-97,4.8475886779305534e-27,2.3569507345693365e-49,1.9513385559806545e-34
7.21295836014369e-22,0.16628943999999996,0.8585084662769803,0.0,0.0,0.45230727679999955,0.11866996602996498,0.022821567693054282,0.0,2.3518942810438175e-48,2.6003840943936112e-32,4.4592634543003146e-77,1.5459482027791237e-48,5.0897504621010288e-117,6.3660077513922666e-18,3.3024297340565574e-95,6.3660077513921696e-18,1.3695097300807846e-64,2.2057804180916469e-62,5.807181834763056e-99,6.733414089767911e-100,9.3665908437852011e-34,3.8202995451430741e-76,3.4766515966919347e-16,1.0293747461903335e-17,4.1209322858001783e-20,4.1209322812245197e-20,2.2856331066536742e-29,2.3750107449810816e-35,1.8917899762489594e-39,2.9206515596162961e-33,1.2345175515840034e-46,3.7099367948894007e-87,1.6233179374463578e-66,1.0226993755707777e-92,3.3937501086923928e-95,9.763453722683858e-27,1.9087198125140073e-48,7.8876224346564247e-34
1.4476356988540132e-21,0.16628943999999996,0.8585084662769803,0.0,0.0,0.45230727679999921,0.11866996602996462,0.022821567693054278,0.0,1.8930091282431131e-47,1.0456030836193143e-31,2.8839172150024619e-75,1.2468632313595991e-47,1.3168205631893047e-114,1.2776533039507563e-17,2.1399253204979788e-93,1.2776533039507184e-17,2.2103942257892365e-63,3.5623412649120325e-61,7.5118813319265097e-97,8.7100092676797079e-98,3.7662649831788577e-33,1.2335515732363915e-74,6.9776154423115806e-16,2.0659479171791989e-17,8.270682284505822e-20,8.2706822661072857e-20,9.1904206245927262e-29,1.9116133484380221e-34,1.5232980687039668e-38,1.1743811465478657e-32,9.9364719367236852e-46,2.3961776965443305e-85,5.2483884431560083e-65,1.3229130007264495e-90,4.4047669617683044e-93,1.9595185231922884e-26,1.5363037593145434e-47,3.1715782893002627e-33
2.9003154245333017e-21,0.16628943999999996,0.8585084662769803,0.0,0.0,0.45230727679999849,0.11866996602996391,0.022821567693054268,0.0,1.5190206089571615e-46,4.1933366336607956e-31,1.8564727602419574e-73,1.0015483547569153e-46,3.3909093893863945e-112,2.5597583615738197e-17,1.3780520024520788e-91,2.5597583615736672e-17,3.5520441811817152e-62,5.726359533955845e-60,9.6716455448418592e-95,1.1214250945013344e-95,1.5104407090993535e-32,3.9651413062220788e-73,1.3979543133550254e-15,4.1390942591569213e-17,1.6570182295804895e-19,1.6570182222018465e-19,3.6857620449045422e-28,1.5339462409420992e-33,1.2233472530186335e-37,4.7097936518078645e-32,7.9733940362935539e-45,1.5405710745679035e-83,1.6891571798588526e-63,1.7032678049465488e-88,5.6807343719365705e-91,3.9258653929330627e-26,1.2327870127474503e-46,1.2719447457930007e-32
