Time (s),Volume (m^3),N2,Ne,X(1),CH4(2),O2(3),CO2(4),H2O(5),H2(6),CO(7),C2H6(8),CH2O(9),CH3(10),C3H8(11),H(12),C2H5(13),CH3OH(14),HCO(15),CH3CHO(16),OH(17),C2H4(18),CH4X(56),OX(20),CH3X(21),HOX(22),HX(19),CH2X(27),CHX(28),CX(26),H2OX(23),OCX(25),CO2X(24)
0.0,0.09977366400000001,0.80000000000000004,0.0,0.28934362560000004,0.10000000000000001,0.10000000000000001,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
8.494490786932799e-24,0.09977366400000001,0.80000000000000004,0.0,0.28934362560000004,0.10000000000000001,0.10000000000000001,-2.1102772683072999e-119,3.3910079066049311e-65,9.713473661010844e-46,1.7167586519043167e-74,1.8872089517856118e-61,4.4834051665130732e-49,4.396078606745343e-29,-3.5611504663790811e-114,4.396078606744361e-29,3.0780851055313286e-74,2.5884064672089484e-72,4.0541400601777936e-75,3.6882391281927424e-106,4.4834559916622229e-49,6.2860900610329435e-92,2.6725134708517623e-18,7.7953303112818144e-19,1.7666427745026706e-23,2.0444485413903596e-37,1.7666427745704516e-23,3.3900338387206527e-34,2.6739939462288784e-40,8.0497312606807325e-46,6.9311052104557954e-54,1.9766922062793465e-75,-1.1074623890296629e-107
2.378457420341184e-23,0.09977366400000001,0.80000000000000004,0.0,0.28934362560000004,0.10000000000000001,0.10000000000000001,3.8239280927972565e-117,6.8579350102066722e-64,1.0560347641061709e-44,2.038135871541213e-73,2.8519501678255038e-60,2.7079767205744882e-48,1.2309020098890181e-28,-3.3621327433543638e-114,1.2309020098884247e-28,4.6516022122919348e-73,8.1383641304668851e-71,4.8130750794440413e-74,8.2504434002054179e-105,2.7080370601915581e-48,1.772777974951211e-90,7.4830377183849315e-18,2.1826924871589081e-18,4.9465997684977076e-23,1.2348469189981084e-36,4.9465997689071017e-23,2.0475788790736091e-33,3.1745633966199542e-39,9.5587709892601281e-45,8.2286081058146199e-53,1.2027819678419999e-73,1.1210288524979932e-105
5.436474103636992e-23,0.09977366400000001,0.80000000000000004,0.0,0.28934362560000004,0.099999999999999992,0.10000000000000001,1.6149968133155144e-114,1.2732123237228626e-62,9.8647818031105606e-44,2.0010538846609363e-72,3.0679978483548316e-59,1.303774222422889e-47,2.8134903083192739e-28,6.4250299873047189e-114,2.8134903083164157e-28,5.0039813952626944e-72,1.8156242687213498e-69,4.7255056541462232e-73,1.6301485840198193e-103,1.3038334642167373e-47,3.8561793187100606e-89,1.7104086213451246e-17,4.9890113992203615e-18,1.1306513756048699e-22,5.9452563583381336e-36,1.1306513758019752e-22,9.8581950103301092e-33,3.1168004730712399e-38,9.3893698611601718e-44,8.0788962331879214e-52,5.4325048495290819e-72,2.3487084419951374e-103
1.1552507470228608e-22,0.09977366400000001,0.80000000000000004,0.0,0.28934362560000004,0.099999999999999978,0.10000000000000001,5.1995482096937912e-112,2.1933046502679399e-61,8.5083629043457712e-43,1.769909499769933e-71,2.8200185916370369e-58,5.6939245614807672e-47,5.9786669051849368e-28,3.8875880097565633e-112,5.9786669051724529e-28,4.5995210123239609e-71,3.4004633160345547e-68,4.1796562364471649e-72,2.9007623067636197e-102,5.694448548438432e-47,7.1487065657009029e-88,3.6346183203583789e-17,1.0601649223343268e-17,2.4026341729394342e-22,2.596449647539887e-35,2.4026341738002469e-22,4.3053188028232427e-32,2.7567663704748182e-37,8.3128174176179659e-43,7.1456922275208561e-51,2.0531617789424624e-70,3.7780834446246682e-101
2.378457420341184e-22,0.09977366400000001,0.80000000000000004,0.0,0.28934362559999999,0.099999999999999936,0.10000000000000001,1.4901621951013576e-109,3.6388649486963266e-60,7.0622452849998955e-42,1.4877155796067083e-70,2.412585275910137e-57,2.3771014192934774e-46,1.2309020098936867e-27,1.3857359590026341e-110,1.2309020098884751e-27,3.9349870626135251e-70,5.8734547419823693e-67,3.5132529099204793e-71,4.8925596147058884e-101,2.3775418619039715e-46,1.228680008405753e-86,7.4830377183848542e-17,2.1826924871589078e-17,4.9465997669060268e-22,1.0839666166218856e-34,4.9465997704997613e-22,1.7973741863046894e-31,2.3172141929405229e-36,7.0009259184971366e-42,6.0063848772428664e-50,7.1369191676704637e-69,5.4118095221044108e-99
4.82487076697783e-22,0.09977366400000001,0.80000000000000004,0.0,0.28934362559999988,0.099999999999999853,0.099999999999999992,4.0446719696011138e-107,5.927431167755482e-59,5.7536578151790555e-41,1.2197191161554843e-69,1.9947721595763056e-56,9.7112349269437886e-46,2.4969726486523147e-27,4.6566482865866854e-109,2.4969726486310232e-27,3.2535233985852964e-69,9.7588328955431149e-66,2.8803769973631121e-70,8.0360438586483102e-100,9.7148459415687602e-46,2.0364470068209509e-85,1.517987651443766e-16,4.427747616808069e-17,1.003453095202907e-21,4.4283573183960415e-34,1.0034530966710743e-21,7.3427647060477066e-31,1.8997691567019574e-35,5.7619237469877168e-41,4.9243972124527001e-49,2.3859161953874809e-67,7.3430633373021974e-97
9.717697460251123e-22,0.09977366400000001,0.80000000000000004,0.0,0.28934362559999965,0.0999999999999997,0.099999999999999964,1.0719690805323311e-104,9.5686702449347362e-58,4.644714098225958e-40,9.8776016362505578e-69,1.622115589599982e-55,3.9254364267876106e-45,5.0291139262025393e-27,1.5265251659946533e-107,5.0291139261164758e-27,2.6457111946279704e-68,1.5909360611529095e-64,2.3326039712975439e-69,1.3026773391710123e-98,3.9283607200526623e-45,3.3158260362328085e-84,3.0573554106542723e-16,8.917857876106381e-17,2.0210393311034576e-21,1.7900128313550863e-33,2.0210393370381009e-21,2.9679858399870648e-30,1.5384450034290692e-34,4.7020166849563416e-40,3.9879045356154027e-48,7.8469392672513597e-66,9.7298802351106233e-95
1.950335084679771e-21,0.09977366400000001,0.80000000000000004,0.0,0.28934362559999927,0.099999999999999395,0.099999999999999922,2.8231857194997664e-102,1.5377919724325761e-56,3.7324148064442952e-39,7.9503531290096971e-68,1.3082949845883335e-54,1.5784007225381687e-44,1.0093396481434862e-26,4.9439079591852543e-106,1.00933964810888e-26,2.1338619260154675e-67,2.5693659849913648e-63,1.8774826080854734e-68,2.0979216955187697e-97,1.5807544481654447e-44,5.3517565910727782e-83,6.1360909290750631e-16,1.7898078394702975e-16,4.0562117984083295e-21,7.1975628665911083e-33,4.0562118222718894e-21,1.1933520896463099e-29,1.2382143164205746e-33,3.8423171684603026e-39,3.2098125090732403e-47,2.5740709557518968e-64,1.2812216578766735e-92
3.9074657619890876e-21,0.09977366400000001,0.80000000000000004,0.0,0.28934362559999849,0.099999999999998784,0.099999999999999839,7.4903906952370643e-100,2.4659196658661966e-55,2.9923840903930998e-38,6.3796576912781305e-67,1.0508936739763015e-53,6.3300928545439729e-44,2.0221961592426999e-26,1.5915598012793638e-104,2.0221961591039141e-26,1.7140339434906868e-66,4.130180768801576e-62,1.5065615533058344e-67,3.3676289414731591e-96,6.3489800203749938e-44,8.6001291706823793e-82,1.2293561965915748e-15,3.5858519431896056e-16,8.1265567150331547e-21,2.8865446278383019e-32,8.1265568107416686e-21,4.7853786922233461e-29,9.9349262714674331e-33,3.1758460954576637e-38,2.5756723899254752e-46,8.522684404356907e-63,1.6996968888284548e-90
