Time (s),Volume (m^3),Ar,Ne,N2,X(1),CH4(2),O2(3),CO2(4),H2O(5),H2(6),CO(7),C2H6(8),CH2O(9),CH3(10),C3H8(11),H(12),C2H5(13),CH3OH(14),HCO(15),CH3CHO(16),OH(17),C2H4(18),CH4X(48),OX(20),HX(19),HOX(22),CH3OO(77),CH3X(21),CH2X(27),CHX(28),CX(26),OCX(25),H2OX(23),H2X(49),C2H4(47),COX(50),CHOX(53),HOCOX(206)
4.4342263999166e-08,0.16628943999999996,0.8585084662769803,0.0,0.0,0.44427601355087953,0.1108473963788166,0.022516246562625367,0.0,6.7591214168653e-06,0.00010641100823986041,2.6800991289629471e-05,1.880996043724119e-07,4.3544825944451098e-17,0.00038669682687250456,2.2742256586428704e-15,0.00023998130993943491,7.0096582166213882e-12,2.1594493867231642e-08,1.1303064282645794e-12,1.1225832010111413e-14,1.6242185471905163e-05,2.2251927935077395e-10,0.0073954827718659549,0.00056010289467983893,6.003262597894746e-05,4.8513550320675519e-07,2.1658579660868423e-09,5.6485225899524016e-10,2.6926555325188633e-13,6.2636748161076488e-09,1.2955493631628858e-05,2.2553445220766234e-07,3.8665263022352352e-10,1.9714935506586916e-06,3.5022689816380833e-10,8.3280127230757539e-11,6.9737286256335467e-13,3.1295678836077246e-14
4.449952026481408e-08,0.16628943999999996,0.8585084662769803,0.0,0.0,0.44426920570622724,0.11084074572134535,0.022515191602232087,0.0,6.8377844137697701e-06,0.00010716669135373057,2.7054112347408051e-05,1.9003023369155972e-07,4.4244388394195663e-17,0.00038803527120971924,2.3143612480710771e-15,0.00024046975817739377,7.0850125894076887e-12,2.1948376429429961e-08,1.1435065495259278e-12,1.138048854942495e-14,1.6382789354712477e-05,2.2572043086132557e-10,0.0074005183605453792,0.00056173648695891575,6.0135057697012206e-05,4.8738494139069563e-07,2.17325371521576e-09,5.6673227982010154e-10,2.7017746141688132e-13,6.2831441896071154e-09,1.2973418291596277e-05,2.2685185355435572e-07,3.9090436091397559e-10,1.9862076339412418e-06,3.5527221405902673e-10,8.4065504143216089e-11,7.0265402351193009e-13,3.1624926393632881e-14
4.4656776530462154e-08,0.16628943999999996,0.8585084662769803,0.0,0.0,0.44426244979177948,0.11083414339055757,0.022514136801096471,0.0,6.9169972666846314e-06,0.00010792421940179074,2.7308323833037792e-05,1.9197342270192428e-07,4.4951932271210227e-17,0.00038937337059994953,2.3550542199665045e-15,0.00024095642640385695,7.1608969410326555e-12,2.2306521055759999e-08,1.1567907389967385e-12,1.153656577450339e-14,1.6523943793735087e-05,2.2895589164396602e-10,0.0074055050369492654,0.00056336756489313883,6.023713693729031e-05,4.8963414993750966e-07,2.1806468453308737e-09,5.6861172606519666e-10,2.7108898870815936e-13,6.3025141177263639e-09,1.2991152671360412e-05,2.2817018605867977e-07,3.9518371890102273e-10,2.0009602584103697e-06,3.6037168060293423e-10,8.4854256411972455e-11,7.0794791163729821e-13,3.1955991025189786e-14
4.481403279611023e-08,0.16628943999999996,0.8585084662769803,0.0,0.0,0.44425574533587064,0.11082758892485028,0.022513082159063048,0.0,6.9967612721268303e-06,0.00010868358562360919,2.7563622907172542e-05,1.9392920326262988e-07,4.5667509493082472e-17,0.00039071112396776516,2.3963101810532706e-15,0.00024144132103164542,7.2373129407245827e-12,2.2668959888726426e-08,1.1701589513283823e-12,1.1694069309312083e-14,1.6665647860894513e-05,2.3222590215361531e-10,0.0074104432639305762,0.00056499613123433808,6.0338867344660433e-05,4.9188312471776279e-07,2.1880373508235445e-09,5.7049059633735038e-10,2.7200013538207975e-13,6.3217856003674963e-09,1.3008699335612879e-05,2.2948945168416558e-07,3.9949075994059458e-10,2.0157512766634285e-06,3.6552567786834059e-10,8.5646375241966386e-11,7.1325451849185785e-13,3.2288874269662913e-14
4.4971289061758306e-08,0.16628943999999996,0.8585084662769803,0.0,0.0,0.44424909187131134,0.11082108186699913,0.022512027675977767,0.0,7.0770777238311953e-06,0.00010944478330501313,2.7820006745072448e-05,1.9589760713948738e-07,4.6391172033259339e-17,0.0003920485302411086,2.4381347719092126e-15,0.00024192444845172478,7.3142622548444463e-12,2.3035725157103479e-08,1.1836111396563246e-12,1.1853004758018416e-14,1.6807900627959404e-05,2.3553070359787225e-10,0.0074153334999611312,0.00056662218871959358,6.0440252497574116e-05,4.9413186148778046e-07,2.1954252261050242e-09,5.723688892473776e-10,2.7291090170436916e-13,6.3409596365483565e-09,1.3026060833526747e-05,2.3080965267248134e-07,4.0382553963840924e-10,2.0305805424235817e-06,3.7073458711999125e-10,8.6441851883887556e-11,7.1857383664855401e-13,3.2623577707905491e-14
4.512854532740638e-08,0.16628943999999996,0.8585084662769803,0.0,0.0,0.4442424889353464,0.11081462176411656,0.022510973351687971,0.0,7.1579479127289132e-06,0.00011020780577737696,2.8077472536981348e-05,1.9787866600499517e-07,4.7122971920674482e-17,0.00039338558835130794,2.4805336670106075e-15,0.00024240581503322416,7.3917465468799409e-12,2.3406849175525811e-08,1.1971472556418496e-12,1.2013377705093386e-14,1.6950701166507165e-05,2.3887053793570032e-10,0.0074201761991731265,0.00056824574007096674,6.0541295909593061e-05,4.9638035588910382e-07,2.2028104656065911e-09,5.7424660340977715e-10,2.7382128795569829e-13,6.3600372244672132e-09,1.3043239698387926e-05,2.3213079153531912e-07,4.0818811340437257e-10,2.0454479105219085e-06,3.7599879081248888e-10,8.7240677635333838e-11,7.239058596518534e-13,3.2960102942638004e-14
4.528580159305446e-08,0.16628943999999996,0.8585084662769803,0.0,0.0,0.44423593606961309,0.11080820816761103,0.022509919186042372,0.0,7.2393731269259313e-06,0.00011097264641692568,2.8336017488489719e-05,1.9987241143834004e-07,4.7862961239388495e-17,0.00039472229723308875,2.5235125747762978e-15,0.00024288542712345718,7.4697674774395852e-12,2.3782364344078562e-08,1.2107672495131759e-12,1.2175193715415286e-14,1.7094048547886674e-05,2.4224564787611134e-10,0.0074249718114002368,0.00056986678799524114,6.0642001030889769e-05,4.9862860345159908e-07,2.210193063779407e-09,5.7612373744291919e-10,2.7473129443430149e-13,6.379019361155916e-09,1.3060238447241224e-05,2.3345287104636269e-07,4.1257853643754501e-10,2.0603532368798207e-06,3.8131867258821174e-10,8.8042843841929857e-11,7.2925058202898884e-13,3.329845159841299e-14
4.5443057858702534e-08,0.16628943999999996,0.8585084662769803,0.0,0.0,0.44422943282009875,0.11080184063314606,0.022508865178891047,0.0,7.3213546516819469e-06,0.0001117392986440523,2.8595638820883616e-05,2.0187887492540017e-07,4.8611192128245062e-17,0.00039605865582458628,2.567077237611231e-15,0.00024336329104794464,7.5483267042469304e-12,2.4162303147886611e-08,1.2244710701059556e-12,1.2338458334375341e-14,1.7237941843181948e-05,2.4565627687684547e-10,0.007429720782218343,0.00057148533518367036,6.0742371249710832e-05,5.008765996001424e-07,2.2175730150946833e-09,5.7800028996928225e-10,2.7564092144416931e-13,6.3979070419371056e-09,1.3077059580550697e-05,2.34775894233345e-07,4.1699686379494147e-10,2.075296378491792e-06,3.8669461727522688e-10,8.8848341898389012e-11,7.3460799927245769e-13,3.3638625346239411e-14
4.560031412435061e-08,0.16628943999999996,0.8585084662769803,0.0,0.0,0.4442229787371007,0.11079551872059988,0.022507811330085406,0.0,7.4038937693897183e-06,0.00011250775592264976,2.8856333771479574e-05,2.0389808785874827e-07,4.9367716780532366e-17,0.00039739466306735647,2.611233431949421e-15,0.00024383941311043931,7.6274258821348044e-12,2.4546698156703095e-08,1.2382586649031587e-12,1.2503177087985252e-14,1.7382380123176924e-05,2.4910266914304988e-10,0.0074344235529858662,0.00057310138431174759,6.0842409893813977e-05,5.0312433965384515e-07,2.2249503140438765e-09,5.798762596150333e-10,2.7655016930184848e-13,6.4167012606027494e-09,1.3093705581873088e-05,2.3609986437018959e-07,4.2144315034216312e-10,2.0902771934083896e-06,3.9212701088519988e-10,8.9657163249538639e-11,7.3997810777683168e-13,3.3980625878506237e-14
4.5757570389998685e-08,0.16628943999999996,0.8585084662769803,0.0,0.0,0.44421657337518466,0.11078924199402559,0.022506757639478164,0.0,7.4869917595542568e-06,0.00011327801175945708,2.9118099593945807e-05,2.0593008153765543e-07,5.0132587443655292e-17,0.00039873031790638749,2.6559869682963114e-15,0.00024431379959295258,7.7070666630396524e-12,2.4935582024497078e-08,1.2521299800743381e-12,1.2669355482986588e-14,1.7527362458321292e-05,2.5258506962595411e-10,0.0074390805608837247,0.00057471493803898301,6.094212023187149e-05,5.0537181882786608e-07,2.2323249551385183e-09,5.8175164501019094e-10,2.7745903834342515e-13,6.4354030091469447e-09,1.3110178917545479e-05,2.374247849692362e-07,4.2591745071223035e-10,2.1052955407196179e-06,3.976162406113005e-10,9.0469299391311671e-11,7.4536090485636575e-13,3.4324454901122462e-14
