Time (s),Volume (m^3),Ar,Ne,N2,X(1),CH4(2),O2(3),CO2(4),H2O(5),H2(6),CO(7),C2H6(8),CH2O(9),CH3(10),C3H8(11),H(12),C2H5(13),CH3OH(14),HCO(15),CH3CHO(16),OH(17),C2H4(18),CH4X(48),OX(20),CH3X(21),HX(19),CH2X(27),CHX(28),CX(26),HOX(22),OCX(25),H2OX(23),CO2X(24),H2X(49)
0.0,0.11640260799999998,0.8585084662769803,0.0,0.0,0.33756756319999998,0.11866996602996532,0.022821567693054285,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
7.114244592107898e-24,0.11640260799999998,0.8585084662769803,0.0,0.0,0.33756756319999998,0.11866996602996532,0.022821567693054285,-3.6931449660762508e-120,8.3688163677550134e-66,7.8589734439598224e-42,6.5321017149146555e-91,2.721200914713989e-60,3.06406116083084e-140,7.2341660732108041e-25,-5.6166102462524204e-121,7.2341660732107995e-25,8.7130465833298638e-83,2.1841467710376752e-72,1.3923452974542364e-118,8.4131944014963005e-120,1.4231879061816886e-53,5.5538464702109694e-98,2.8689670379046558e-18,1.3794248471136902e-19,5.317048671828295e-23,5.3170486720210055e-23,9.6357993044795617e-34,2.5220025751962966e-40,3.5218081568448248e-45,6.2640575050921568e-38,1.0985796386929822e-75,2.254881483332758e-54,-4.2111383634570837e-108,5.3598631476215506e-58
1.9919884857902116e-23,0.11640260799999998,0.8585084662769803,0.0,0.0,0.33756756319999998,0.11866996602996532,0.022821567693054285,6.6909423556083108e-118,1.8721488692576311e-64,4.7488737839345084e-41,7.2184366115951631e-89,4.1122788221448434e-59,1.1056451001893968e-137,2.0255665004990264e-24,1.0841096936734858e-119,2.0255665004990235e-24,2.457218545145834e-81,6.8673069428763762e-71,2.783476359157991e-116,1.6819051828868479e-117,1.6896086822167892e-52,2.8748308836465019e-96,8.0331077061330364e-18,3.8623895719183324e-19,1.4887736280807049e-22,1.4887736281971016e-22,5.8200213089520747e-33,2.9941207625915983e-39,4.1812584559865097e-44,3.7834907330705002e-37,6.6834598726921668e-74,2.6769952970005207e-53,4.2619513459114504e-106,6.3657508232810926e-57
4.5531165389490546e-23,0.11640260799999998,0.8585084662769803,0.0,0.0,0.33756756319999998,0.11866996602996531,0.022821567693054285,2.8247695377278803e-115,3.6991197555045123e-63,2.2884702116294e-40,6.5312519844170215e-87,4.4238019024895337e-58,4.003614764414358e-135,4.6298662868549242e-24,1.1447148906694623e-117,4.629866286854911e-24,5.3449870589405709e-80,1.5320584021117117e-69,5.0396257892003209e-114,3.0451750404771037e-115,1.6588678234388306e-51,1.2552636730799574e-94,1.8361389042589777e-17,8.8283190215276172e-19,3.4029111497515836e-22,3.4029111503119836e-22,2.8020882313133918e-32,2.9396440481373683e-38,4.1055398051237307e-43,1.8215879224730554e-36,3.0174906774496117e-72,2.6282898569350625e-52,8.9259357488429858e-104,6.2552724937831556e-56
9.67537264526674e-23,0.11640260799999998,0.8585084662769803,0.0,0.0,0.33756756319999998,0.1186699660299653,0.022821567693054285,9.0874160025837704e-113,6.582442405271355e-62,1.0012730494465389e-39,4.9437906287643806e-85,4.0662361016802949e-57,1.2141688846185109e-132,9.8384658595667366e-24,9.0480178938291317e-116,9.8384658595666793e-24,9.9087052021706431e-79,2.8693758307605597e-68,7.6376844424078172e-112,4.6150422678009504e-113,1.467249803743329e-50,4.673031922028869e-93,3.9017951715503187e-17,1.8760177920746187e-18,7.231186192593852e-22,7.2311861950412697e-22,1.2237442316942888e-31,2.6000792525547589e-37,3.6319357930768379e-42,7.955353031387023e-36,1.1395423522196193e-70,2.3246926139777797e-51,1.4346930277400213e-101,5.5422181134287071e-55
1.9919884857902113e-22,0.11640260799999998,0.8585084662769803,0.0,0.0,0.33756756319999992,0.11866996602996525,0.022821567693054285,2.600375294996659e-110,1.1102297163115635e-60,4.1954784609645513e-39,3.435740138588745e-83,3.4787505928390297e-56,3.3782167816336716e-130,2.0255665004990447e-23,6.4129146576408977e-114,2.0255665004990203e-23,1.7030532552061122e-77,4.9561331834926516e-67,1.0622110883771703e-109,6.4183707865279298e-111,1.2333118684656157e-49,1.6099303499041535e-91,8.0331077061329717e-17,3.8623895719183326e-18,1.4887736276280434e-21,1.488773628649793e-21,5.1088802715047676e-31,2.1855188747692798e-36,3.0539246226888153e-41,3.3212032891278451e-35,3.954957596373281e-69,1.9540442152091772e-50,2.0519006418628004e-99,4.6745505529875354e-54
4.0408909283172856e-22,0.11640260799999998,0.8585084662769803,0.0,0.0,0.33756756319999981,0.11866996602996517,0.022821567693054282,7.036320406258436e-108,1.8235593577593669e-59,1.726542613687861e-38,2.2914640396762734e-81,2.8762982607322302e-55,9.0165381520495075e-128,4.1090063295838187e-23,4.3155975741685553e-112,4.1090063295837164e-23,2.8226858727143945e-76,8.2346894070459841e-66,1.4173158274281647e-107,8.5640778952369101e-109,1.0111435833107283e-48,5.3427718541196371e-90,1.6295732775298158e-16,7.8351331316057558e-18,3.0200836435661769e-21,3.0200836477403667e-21,2.0871352992456853e-30,1.7918131956615063e-35,2.505536359698058e-40,1.3568199117720067e-34,1.3180691551659172e-67,1.602043505881233e-49,2.7755451945711844e-97,3.8586883656546697e-53
8.138695813371434e-22,0.11640260799999998,0.8585084662769803,0.0,0.0,0.33756756319999964,0.118669966029965,0.022821567693054278,1.8534549642249567e-105,2.9560712909630561e-58,7.0804446218303985e-38,1.4984483709393711e-79,2.3389579742373332e-54,2.3589965255872508e-125,8.2758859877534926e-23,2.8316214158130426e-110,8.2758859877530811e-23,4.5960122043825758e-75,1.3424622053404493e-64,1.8539209103405714e-105,1.1202247784509748e-106,8.1885028939721346e-48,1.7408644201127527e-88,3.2820982913628068e-16,1.5780620250980593e-17,6.0827036722457168e-21,6.0827036891185318e-21,8.4364619011694407e-30,1.4510450855021044e-34,2.0318737308023061e-39,5.4844830199668576e-34,4.3082933359059687e-66,1.2973763666411909e-48,3.6551975092302075e-95,3.1673165069928124e-52
1.6334305583479732e-21,0.11640260799999998,0.8585084662769803,0.0,0.0,0.33756756319999931,0.11866996602996467,0.022821567693054271,4.8226352157629294e-103,4.760664081597404e-57,2.9286264150490886e-37,9.7132889373346047e-78,1.8864543358943338e-53,6.1172524585886031e-123,1.660964530409335e-22,1.8348485323357908e-108,1.6609645304091695e-22,7.4179822089542789e-74,2.1680800448186684e-63,2.4036733030389589e-103,1.4524106062691609e-104,6.5908195121480431e-47,5.6211457074580567e-87,6.5871483190285973e-16,3.167159448973023e-17,1.2207943716817881e-20,1.2207943784663311e-20,3.3922057757183403e-29,1.16790849491722e-33,1.6399769637158872e-38,2.2052865004908833e-33,1.3961769098367183e-64,1.0442413687370711e-47,4.7551341749286738e-93,2.6176665650329874e-51
3.2725525123696327e-21,0.11640260799999998,0.8585084662769803,0.0,0.0,0.33756756319999864,0.11866996602996401,0.022821567693054254,1.2497150750841843e-100,7.6419220971127255e-56,1.2399663049436272e-36,6.2816305835655941e-76,1.5153027045066129e-52,1.5824669453503651e-120,3.3277163936775097e-22,1.1815910851515951e-106,3.3277163936768468e-22,1.1920498208760417e-72,3.4851253421398893e-62,3.1089920693863041e-101,1.8785968337152773e-102,5.288717582265887e-46,1.8068670501384431e-85,1.3197248374359421e-15,6.3453542967229351e-17,2.4458423754814552e-20,2.4458424026909754e-20,1.3603793563374622e-28,9.3714279972346573e-33,1.3232772131355575e-37,8.8441852038175181e-33,4.5144054741494772e-63,8.3793793385959032e-47,6.1610184676966629e-91,2.2101761559052214e-50
