Time (s),Volume (m^3),N2,Ar,He,Ne,X(1),CH4(2),O2(3),CO2(4),H2O(5),H2(6),CO(7),C2H6(8),CH2O(9),CH3(10),C3H8(11),H(12),C2H5(13),CH3OH(14),HCO(15),CH3CHO(16),OH(17),C2H4(18),CH4X(33),CO2X(34),CH3X(22),HX(19),OCX(21),OX(20),CH2X(134),CHX(26),COX(37),H2X(36),C2H6X(39),CX(24),C2H3X(136),HOX(23),C2H5X(38),C2H4X(51),C2H3X(50),CH2(T)(29),C3H8X(43),C3H6(150),C3H6X(167),C3H5X(165),HOCXO(25),C3H5X(166),C3H5X(153),allyl(170),C4H8(212),C4H8X(300),H2OX(35),C4H7X(299),C4H7X(215),C4H7(303),C4H7X(360),C4H8(158),C4H8X(467)
1.036073184236261e-20,0.08314471999999999,0.80000000000000004,0.0,0.0,0.0,0.24111968799999522,0.099999999999997036,8.8593550995666415e-88,0.099999999999998215,4.1302216547191728e-82,2.9474616724460477e-57,8.8276388806784976e-30,1.5697528649641934e-52,1.3229958192664597e-78,1.3225388618688383e-33,9.6125726351839134e-102,7.7823630624453564e-44,2.0880789664786076e-80,2.2166097317118722e-80,4.2117964779337927e-60,1.5994856231187649e-61,2.2871984950875987e-70,1.1010877441545512e-118,2.9756535359958488e-15,1.7965720555772927e-15,1.3005174754903083e-23,1.3005174756226389e-23,2.004278574157213e-26,2.0051613380452806e-26,3.8135686202920893e-37,1.2568285625473448e-47,1.1367393275981847e-43,1.320526639913942e-70,1.8209684127500134e-66,5.9892087526887402e-48,7.7364022616940731e-77,2.0888911041193955e-49,1.5872691506667696e-72,1.2496694693931323e-132,3.261391622049039e-135,8.2842854455059827e-63,8.7016676067381362e-116,3.2314280097800393e-168,2.9740347176611776e-182,3.8808229493334228e-185,5.5287824210028032e-46,1.9404114746667114e-185,8.4891816388317273e-186,1.8216247710776038e-193,3.4271978587247314e-218,2.7292989435582102e-232,5.9906295852019369e-96,3.5614668224331134e-235,1.7650043391708166e-235,5.823021191024228e-239,6.2914350681515692e-231,4.4628222829006831e-214,3.5540335356102898e-228
2.0730465189366717e-20,0.08314471999999999,0.80000000000000004,0.0,0.0,0.0,0.24111968799999045,0.099999999999994052,7.0946693328000901e-87,0.099999999999996411,6.6161633073795911e-81,2.3603432839719018e-56,3.5320226009355978e-29,1.2570754173252879e-51,2.117794876974026e-77,5.2936020827577038e-33,6.1615893331326428e-100,3.1149733673244193e-43,6.6893902137044703e-79,3.55077929670155e-79,3.3708103611422756e-59,1.2801099813711355e-60,1.831187500302248e-69,7.0542589736762472e-117,5.9538923483986161e-15,3.5947049903142701e-15,2.6021648529532938e-23,2.6021648534829592e-23,4.0085327571715267e-26,4.0120647797724618e-26,1.5264212925982257e-36,1.0062270554967878e-46,9.0976207500253053e-43,2.1151216790155646e-69,2.9167141242546713e-65,2.3963396058848853e-47,1.2388122689597197e-75,8.3611940737700302e-49,2.5424031037403078e-71,1.6012464890607787e-130,4.1789385212107746e-133,6.6324655560721917e-62,1.1155548674213524e-113,1.6569422894526806e-165,3.0499277766726714e-179,3.9798559309159372e-182,2.2129537854637216e-45,1.9899279654579686e-182,8.7058141183313932e-183,3.7362230653219021e-190,1.4064733642275233e-214,2.240131630523447e-228,1.9193401015156057e-94,2.923151565718067e-231,1.4486660005222142e-231,9.558805247835972e-235,5.163865417662963e-227,1.8314906070360941e-210,2.9170691326201971e-224
4.146993188337493e-20,0.08314471999999999,0.80000000000000004,0.0,0.0,0.0,0.2411196879999809,0.099999999999988098,5.6786109721205796e-86,0.099999999999992817,1.0592454121990374e-79,1.8892246684468792e-55,1.4122030868106665e-28,1.0061698325941015e-50,3.3875414479771991e-76,2.1181303563356031e-32,3.946473577923226e-98,1.2463950910001737e-42,2.1418115747512952e-77,5.6847955437426919e-78,2.6957735298934118e-58,1.0237557837466847e-59,1.4655673420057192e-68,4.5170649609818395e-115,1.1910369972182945e-14,7.190970859415914e-15,5.2054596070841162e-23,5.2054596092034685e-23,8.0117496323582556e-26,8.025871663226364e-26,6.1076734247313602e-36,8.0528745716061075e-46,7.2757356758926561e-42,3.3860189668837241e-68,4.6692757720672119e-64,9.58124726489938e-47,1.9818046714924333e-74,3.3457154538599129e-48,4.0700641337244557e-70,2.0506658719210437e-128,5.351834752116598e-131,5.3079881856750566e-61,1.4290257348586717e-111,8.4898299918994855e-163,3.1254422314403074e-176,4.078394871291291e-179,8.8546974458264002e-45,2.0391974356456455e-179,8.9213652134649263e-180,7.6574624919711662e-187,5.7664403535727197e-211,1.8368761568188439e-224,6.1458279401143761e-93,2.3969428139480802e-227,1.1878856326947365e-227,1.5676219497769222e-230,4.2343096709789919e-223,7.5090043960739153e-207,2.3919628549942701e-220
8.294886527139136e-20,0.08314471999999999,0.80000000000000004,0.0,0.0,0.0,0.24111968799996181,0.099999999999976191,4.5440392609840659e-85,0.099999999999985628,1.6954296474500234e-78,1.5117598438413838e-54,5.6412203550429086e-28,8.0513971488760203e-50,5.4137919513079223e-75,8.4739006660416055e-32,2.5267214822887033e-96,4.9863919677415644e-42,6.8557280955090465e-76,9.099099947584805e-77,2.1539952857163764e-57,8.1800830353966079e-59,1.1727738533958557e-67,2.8916777423360845e-113,2.3823325215666778e-14,1.4383502596129967e-14,1.041204911216517e-22,1.0412049120643957e-22,1.599707322658188e-25,1.6053485430132313e-25,2.4434670765263877e-35,6.4435231675958094e-45,5.813507763184938e-41,5.4190901841647969e-67,7.472868346579242e-63,3.8273480352977786e-46,3.1671848975502058e-73,1.3386230435243805e-47,6.5138781990522903e-69,2.6255442309176421e-126,6.8521542453465307e-129,4.2471970161472602e-60,1.8298671197892916e-109,4.3484137883789245e-160,3.2016473814210584e-173,4.1778351012536695e-176,3.5424554001198041e-44,2.0889175506268348e-176,9.1388871932799936e-177,1.5688338458310751e-183,2.3630722487901161e-207,1.5054942240428229e-220,1.9674204235259231e-91,1.9645219677409268e-223,9.7358493709664987e-224,2.5696335979961282e-226,3.4704234905726664e-219,3.0771751141489913e-203,1.9604433856121215e-216
1.659067320474242e-19,0.08314471999999999,0.80000000000000004,0.0,0.0,0.0,0.24111968799992359,0.099999999999952363,3.635691658289177e-84,0.099999999999971237,2.7135471720123511e-77,1.2095599372216807e-53,2.2498906387853393e-27,6.4419332065609912e-49,8.6394333332788853e-74,3.3898361324263735e-31,1.617414776108378e-94,1.9947191194039312e-41,2.1941418343999217e-74,1.4563181208652497e-75,1.7185261570539664e-56,6.5263312117821866e-58,9.3846387694895847e-67,1.8509349266796261e-111,4.7649235686295163e-14,2.8768566063601127e-14,2.0825228109604909e-22,2.0825228143522818e-22,3.1883723900058234e-25,3.2108712963936819e-25,9.7746637689680584e-35,5.1553079870140495e-44,4.6382019583590339e-40,8.671712323818337e-66,1.1958211259038985e-61,1.5264630654422629e-45,5.0534933706246935e-72,5.3558800576307259e-47,1.0423624956738311e-67,3.3611740992818601e-124,8.7720035749242342e-127,3.3980802327631158e-59,2.342686906659397e-107,2.2268257684737015e-157,3.2791323293883405e-170,4.2789453422543029e-173,1.4170973557135261e-43,2.1394726711271515e-173,9.3600613030283311e-174,3.213604003773254e-180,9.6815752203522526e-204,1.2336106937913864e-216,6.297753891713422e-90,1.6097406880307632e-219,7.9776109637697836e-220,4.2111477089217801e-222,2.8436866906658484e-215,1.2607283147619156e-199,1.6063996772632012e-212
3.3182246559948994e-19,0.08314471999999999,0.80000000000000004,0.0,0.0,0.0,0.24111968799984718,0.099999999999904707,2.9087374376673879e-83,0.099999999999942468,4.3434835496892705e-76,9.6770877833887406e-53,8.9461314405493796e-27,5.1538727683892394e-48,1.3749144511632545e-72,1.3559896267166678e-30,1.0352454715383097e-92,7.979201153782475e-41,7.0217469519948567e-73,2.3310800813290342e-74,1.3672145731600163e-55,5.1921788361452745e-57,7.5105588958079736e-66,1.1847311999948787e-109,9.5301056562194782e-14,5.7538692974715672e-14,4.1651586053594926e-22,4.1651586189272078e-22,6.3324554887460912e-25,6.4219168031516227e-25,3.9100246001821457e-34,4.1244421756873401e-43,3.6900324625196665e-39,1.3875674187016738e-64,1.9134435580821707e-60,6.0696013340346719e-45,8.0393973442703006e-71,2.1432009055208851e-46,1.6678933212853852e-66,4.3027863330818412e-122,1.1229426385149372e-124,2.718593238383483e-58,2.9989312720186304e-105,1.1402939800189372e-154,3.3583005147419449e-167,4.3822520435475433e-170,5.6686190471593813e-43,2.1911260217737716e-170,9.5860383139686492e-171,6.5823782500233356e-177,3.9662347800378008e-200,1.0107424826990512e-212,2.0161143673295208e-88,1.31891958160412e-215,6.5363483260506053e-216,6.900694809919385e-218,2.3299365448448641e-211,5.1648048778631733e-196,1.3161822217776107e-208
6.636539327036213e-19,0.08314471999999999,0.80000000000000004,0.0,0.0,0.0,0.24111968799969433,0.099999999999809408,2.3270635967918454e-82,0.099999999999884931,6.9546049786203685e-75,7.7419135483462609e-52,3.5361996474954404e-26,4.1232286811412456e-47,2.1764067952336419e-71,5.4240688449605396e-30,6.6258889674118655e-91,3.1917453978959603e-40,2.2470372127112246e-71,3.7324293910355348e-73,1.0817195407148024e-54,4.1079735516298084e-56,6.0125761655666005e-65,7.5839685739892881e-108,1.9060469805256541e-13,1.1507894670163367e-13,8.3304301738017078e-22,8.3304302280736755e-22,1.2490387851905831e-24,1.284400781665567e-24,1.5640416546444348e-33,3.2996320481822211e-42,2.9194980031066949e-38,2.2201826234375305e-63,3.0616134860462897e-59,2.3991735691036057e-44,1.2716243671899771e-69,8.5790718085779565e-46,2.6687191253681899e-65,5.5087885201903623e-120,1.4376855003827887e-122,2.1749262087019873e-57,3.8388177155661407e-103,5.8396786838302477e-152,3.4397084308088573e-164,4.4884813752389012e-167,2.2674929243556095e-42,2.2442406876194506e-167,9.8184049226615442e-168,1.3483870999830221e-173,1.6249738114224717e-196,8.2820616426033358e-209,6.4561741338243629e-87,1.0807276305743783e-211,5.3559066656148523e-212,1.1308900525363302e-213,1.9091570828619731e-207,2.1160290511174741e-192,1.0784840295203336e-204
1.3273168669118842e-18,0.08314471999999999,0.80000000000000004,0.0,0.0,0.0,0.24111968799938863,0.099999999999618797,1.8616803365396728e-81,0.099999999999769856,1.1142864448820945e-73,6.1936281687848062e-51,1.3817323165953768e-25,3.2986351021874781e-46,3.4093811025373038e-70,2.1696495967091201e-29,4.2406679773474114e-89,1.276711146545465e-39,7.190639652287593e-70,5.9802060611035685e-72,8.466678090072333e-54,3.2153333978969685e-55,4.8164963759168685e-64,4.8575188470273799e-106,3.8121197998759221e-13,2.3015945377422519e-13,1.6660973229262987e-21,1.6660973446353067e-21,2.4306457527018751e-24,2.5688189843616413e-24,6.2562302121762804e-33,2.6397369477937915e-41,2.285107071817629e-37,3.5523519800852932e-62,4.8986645627957298e-58,9.3745149709313546e-44,1.9890173644734548e-68,3.436538691294072e-45,4.2700197164587203e-64,7.0567084983423832e-118,1.8416621862345356e-120,1.7399616076313237e-56,4.9138023869804209e-101,2.9922474278586798e-149,3.5250066910904267e-161,4.5997872277816312e-164,9.0700573477096502e-42,2.2998936138908156e-164,1.0061868990125877e-164,2.7636445751356391e-170,6.6611246332086106e-193,6.7899975664282455e-205,2.0688091241413576e-85,8.8602793712290317e-208,4.3910047258676752e-208,1.8543025557861999e-209,1.5652074071018381e-203,8.6740545150567396e-189,8.8418716511911464e-201
2.6546427353284098e-18,0.08314471999999999,0.80000000000000004,0.0,0.0,0.0,0.24111968799877725,0.099999999999237588,1.4893560529537301e-80,0.099999999999539693,1.7877688823827956e-72,4.9549414673230798e-50,5.2812060609661755e-25,2.6389288966687729e-45,5.235581649303427e-69,8.6786424317601636e-29,2.7140557312370878e-87,5.1068705610307086e-39,2.3010210800753556e-68,9.5946905572427554e-71,6.4919707931341325e-53,2.4654120881023715e-54,3.8634253770136735e-63,3.1183160625987838e-104,7.6242653967478832e-13,4.6032046639443061e-13,3.3322059014492955e-21,3.3322059882857693e-21,4.6095347836364833e-24,5.1376553897348505e-24,2.5025047747580004e-32,2.1118020592607645e-40,1.7521450733907829e-36,5.6838109265058764e-61,7.8379295264460527e-57,3.5830923753364712e-43,3.0454365220713876e-67,1.3785225271085638e-44,6.8320780892121447e-63,9.0600395372609519e-116,2.3644922126080005e-118,1.3919775315416077e-55,6.2897330927943226e-99,1.5366854089850251e-146,3.6205658504937947e-158,4.7244825534383682e-161,3.6280361000186778e-41,2.3622412767191841e-161,1.0334607096008259e-161,5.6771062173310299e-167,2.7366880044683719e-189,5.5792679969904632e-201,6.6381376164431962e-84,7.2803963184800193e-204,3.6080371103194197e-204,3.047305353189322e-205,1.2861076925124309e-199,3.5636761159064165e-185,7.2652432728338687e-197
5.309294472161461e-18,0.08314471999999999,0.80000000000000004,0.0,0.0,0.0,0.24111968799755451,0.099999999998475156,1.1914895558531376e-79,0.099999999999079367,2.8761053369526821e-71,3.963968746765181e-49,1.9386216568969908e-24,2.1111513662939201e-44,7.7520794474352175e-68,3.4714657235303873e-28,1.7370002626232529e-85,2.042753419360881e-38,7.3632751206700127e-67,1.5435651287965348e-69,4.7937453125584446e-52,1.8204884183035657e-53,3.1070781116700649e-62,2.0200033131790708e-102,1.5248556423177504e-12,9.206424855349307e-13,6.6644229282182585e-21,6.6644232755650308e-21,8.3367065434956003e-24,1.0275328200405511e-23,1.0010044247752686e-31,1.689446611424228e-39,1.2938039041154232e-35,9.0941354712793908e-60,1.2540739702637848e-55,1.3152791989959581e-42,4.4841671301048312e-66,5.5453045500959369e-44,1.0931334176321182e-61,1.1737119619829186e-113,3.0631575123137396e-116,1.1135853060005569e-54,8.0508800952961232e-97,7.9628688027747886e-144,3.7522110489412238e-155,4.8962666305660809e-158,1.4512138968539772e-40,2.4481333152830405e-158,1.0710318494588687e-158,1.1766940139584828e-163,1.1344774706010247e-185,4.6256985987532613e-197,2.1356613277752552e-82,6.03608202083933e-200,2.991369607088835e-200,5.0528981850178274e-201,1.0662821732540458e-195,1.4772858692368173e-181,6.0234595754205454e-193
