Time (s),Volume (m^3),Ar,Ne,N2,X(1),CH4(2),O2(3),CO2(4),H2O(5),H2(6),CO(7),C2H6(8),CH2O(9),CH3(10),C3H8(11),H(12),C2H5(13),CH3OH(14),HCO(15),CH3CHO(16),OH(17),C2H4(18),CH4X(48),OX(20),CH3X(21),HOX(22),HX(19),H2X(49),C2H6X(52),CH3OO(77),H2OX(23)
0.0,0.11640260799999998,0.8585084662769803,0.0,0.0,0.33756756319999998,0.11866996602996532,0.022821567693054285,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
6.783166069317649e-24,0.11640260799999998,0.8585084662769803,0.0,0.0,0.33756756319999998,0.11866996602996532,0.022821567693054285,0.0,6.9154165316774992e-66,7.1413221617792034e-42,0.0,3.2829780868212436e-57,0.0,6.8975089818612037e-25,-5.8734731225473754e-118,6.8975089817811177e-25,1.0022613058016015e-79,1.6319395716738441e-71,0.0,0.0,5.2038633784570696e-57,6.0912767593429216e-95,2.7354527404208306e-18,1.315229986398724e-19,5.0696069938773164e-23,5.694597713641924e-38,5.0696069938781116e-23,4.6437642392514889e-58,5.527542409869991e-74,3.4973530304628349e-42,1.9544955733153153e-54
1.8992864994089415e-23,0.11640260799999998,0.8585084662769803,0.0,0.0,0.33756756319999998,0.11866996602996532,0.022821567693054285,0.0,1.5469513924071773e-64,4.3133585857146467e-41,0.0,4.9612364847920325e-56,0.0,1.9313025149470851e-24,1.1336826324576859e-116,1.9313025148987128e-24,2.8265372441627238e-78,5.1310791072445074e-70,0.0,0.0,6.1780265853797262e-56,3.1530202793992113e-93,7.6592676731783251e-18,3.6826439619164279e-19,1.4194899582853912e-22,3.439537008385777e-37,1.4194899582858713e-22,5.5130769048393581e-57,1.5588554002581806e-72,2.1124012304231766e-41,2.3203771380507307e-53
4.3412262843632953e-23,0.11640260799999998,0.8585084662769803,0.0,0.0,0.33756756319999998,0.11866996602996531,0.022821567693054285,0.0,3.0565155857473074e-63,2.0766964846454042e-40,0.0,5.3370718161659312e-55,0.0,4.414405748572805e-24,1.1970594423666541e-114,4.4144057483399146e-24,6.1483358990128645e-77,1.1447155155191857e-68,0.0,0.0,6.0656230996035866e-55,1.3767320505817337e-91,1.7506897538693299e-17,8.4174719129518352e-19,3.2445484760796792e-22,1.6559889991461531e-36,3.2445484760819916e-22,5.4127715972715027e-56,3.3908509921709593e-71,1.0170302612940281e-40,2.2781600198297758e-52
9.225105854272003e-23,0.11640260799999998,0.8585084662769803,0.0,0.0,0.33756756319999998,0.1186699660299653,0.022821567693054285,0.0,5.4389063856054469e-62,9.0694791454597082e-40,0.0,4.9056884955520938e-54,0.0,9.3806122162394066e-24,9.4617580087576319e-113,9.380612215222313e-24,1.139797856288952e-75,2.1439254450850463e-67,0.0,0.0,5.3649748745695519e-54,5.1252282364304003e-90,3.7202157269723175e-17,1.788712781502265e-18,6.8946655116641334e-22,7.2321389311890824e-36,6.8946655116742313e-22,4.787535180098644e-55,6.2860662711875656e-70,4.441638349053966e-40,2.0150067133693887e-51
1.8992864994089416e-22,0.11640260799999998,0.8585084662769803,0.0,0.0,0.33756756319999992,0.11866996602996525,0.022821567693054285,0.0,9.1735105911733456e-61,3.786329010175441e-39,0.0,4.1969197904236233e-53,0.0,1.9313025153233254e-23,6.7061590017600178e-111,1.9313025148987092e-23,1.9590212953445646e-74,3.7030979551938595e-66,0.0,0.0,4.5095845349748787e-53,1.765718836981885e-88,7.6592676731782674e-17,3.6826439619164279e-18,1.4194899582816547e-21,3.0192755591504051e-35,1.4194899582858707e-21,4.0242117895073793e-54,1.0804141823268392e-68,1.8542965770809436e-39,1.6937345140806983e-50
3.852838327372424e-22,0.11640260799999998,0.8585084662769803,0.0,0.0,0.33756756319999986,0.11866996602996517,0.022821567693054282,0.0,1.5067518153824441e-59,1.5468389455301116e-38,0.0,3.470094443173811e-52,0.0,3.9177851033863536e-23,4.5129375778973083e-109,3.9177851016516583e-23,3.2469341291920234e-73,6.1527523227150713e-65,0.0,0.0,3.6972296772210299e-52,5.8597770461688384e-87,1.5537371565590059e-16,7.4705063227447507e-18,2.8795367725055406e-21,1.2334725173319471e-34,2.8795367725227638e-21,3.2992919576735506e-53,1.790707273369788e-67,7.575406560893892e-39,1.3886258172754699e-49
7.759941983299389e-22,0.11640260799999998,0.8585084662769803,0.0,0.0,0.3375675631999997,0.11866996602996502,0.022821567693054278,0.0,2.4425094044295195e-58,6.2525703361021876e-38,0.0,2.8218231712871248e-51,0.0,7.8907502821694444e-23,2.9611034147392442e-107,7.8907502751575313e-23,5.2867905165920819e-72,1.0030538135549093e-63,0.0,0.0,2.9941121547022855e-51,1.9093230369008752e-85,3.129357935041321e-16,1.5046231044401385e-17,5.7996304009269245e-21,4.9858926038997988e-34,5.7996304009965454e-21,2.6718521672443378e-52,2.9157025840860205e-66,3.0621004534108134e-38,1.1245450784412585e-48
1.5574149295153322e-21,0.11640260799999998,0.8585084662769803,0.0,0.0,0.33756756319999937,0.1186699660299647,0.022821567693054271,0.0,3.9335853580226154e-57,2.5141310323436057e-37,0.0,2.275902615156569e-50,0.0,1.5836680650363769e-22,1.9187509463825244e-105,1.5836680622169173e-22,8.5329012083284487e-71,1.6199342571124061e-62,0.0,0.0,2.4099214689861902e-50,6.1650883867507209e-84,6.2805994920057802e-16,3.0197680487714624e-17,1.1639817657664136e-20,2.004805063910556e-33,1.1639817657944079e-20,2.1505390700830817e-51,4.7059557258385859e-65,1.2312571256481758e-37,9.051315337446217e-48
3.1202563918861183e-21,0.11640260799999998,0.8585084662769803,0.0,0.0,0.3375675631999987,0.11866996602996407,0.022821567693054257,0.0,6.3142732553096056e-56,1.0082789912287839e-36,0.0,1.828128749305214e-49,0.0,3.1728541429264968e-22,1.2356218984313505e-103,3.1728541316192046e-22,1.3712143169274999e-69,2.6039959419338548e-61,0.0,0.0,1.9338094450111074e-49,1.9817125727703836e-82,1.2583082605934009e-15,6.050057937434096e-17,2.3320192170716359e-20,8.0401615814885106e-33,2.3320192171839043e-20,1.7256721675212537e-50,7.5623445162991369e-64,4.9378917745878058e-37,7.2631076601343156e-47
6.2459393166276904e-21,0.11640260799999998,0.8585084662769803,0.0,0.0,0.33756756319999737,0.11866996602996281,0.022821567693054226,0.0,1.0119293643640337e-54,4.038375120209869e-36,0.0,1.4654714693850822e-48,0.0,6.3512263157117624e-22,7.9324565406852513e-102,6.351226270423611e-22,2.1987138965195808e-68,4.1760972785066561e-60,0.0,0.0,1.5493995751866809e-48,6.355729948795312e-81,2.5188048833787719e-15,1.2110637714759305e-16,4.6680941195131952e-20,3.2202556384488265e-32,4.6680941199628553e-20,1.382637693763436e-49,1.2126063572243478e-62,1.9777323065402455e-36,5.8193199657762227e-46
