Time (s),Volume (m^3),Ar,Ne,N2,X(1),CH4(2),O2(3),CO2(4),H2O(5),H2(6),CO(7),C2H6(8),CH2O(9),CH3(10),C3H8(11),H(12),C2H5(13),CH3OH(14),HCO(15),CH3CHO(16),OH(17),C2H4(18),CH4X(48),OX(20),CH3X(21),HOX(22),HX(19),H2X(49),CH3OO(77)
6.034150651405923e-21,0.11640260799999998,0.8585084662769803,0.0,0.0,0.33756756319999748,0.1186699660299629,0.02282156769305423,0.0,9.4770749011316543e-61,3.769148873618341e-36,0.0,1.321394556782214e-48,0.0,6.1358655383000307e-22,6.4493801171277209e-102,6.1358654960310923e-22,1.9153244841370238e-68,3.6378391877013925e-60,0.0,0.0,1.3970692590850694e-48,5.3488151157014856e-81,2.4333967010122595e-15,1.1699987584079189e-16,4.5098073715172108e-20,3.0055721013623203e-32,4.5098073719368938e-20,1.2467041775806403e-49,1.8458826348730949e-36
1.2073543831614112e-20,0.11640260799999998,0.8585084662769803,0.0,0.0,0.33756756319999492,0.11866996602996045,0.022821567693054171,0.0,1.5180865953853321e-59,1.5086418179935842e-35,0.0,1.0581873433836489e-47,0.0,1.2277062060896296e-21,4.1339828537406438e-100,1.2277061891710385e-21,3.0678478201845467e-67,5.8273071839394622e-59,0.0,0.0,1.1185031813602592e-47,1.7135419338408178e-79,4.8689075607555671e-15,2.3410140231219854e-16,9.023532906721936e-20,1.2030101517856603e-31,9.023532908401761e-20,9.9812139157575461e-49,7.3883410920076269e-36
2.415233019203049e-20,0.11640260799999998,0.8585084662769803,0.0,0.0,0.33756756319998982,0.11866996602995558,0.022821567693054053,0.0,2.4303374049974613e-58,6.0365323689545819e-35,0.0,8.4697876317199495e-47,0.0,2.4559455360030503e-21,2.6477923509029711e-98,2.4559454683066481e-21,4.9112209460039437e-66,9.3290845170347151e-58,0.0,0.0,8.9513975389210969e-47,5.4864098199173012e-78,9.7399292802380765e-15,4.6830445525500335e-16,1.8050983974609377e-19,4.8135918877527854e-31,1.8050983981330871e-19,7.9880046272602967e-48,2.9562988476375595e-35
4.830990291286324e-20,0.11640260799999998,0.8585084662769803,0.0,0.0,0.3375675631999796,0.11866996602994584,0.022821567693053817,0.0,3.8896408794820758e-57,2.4150060229724511e-34,0.0,6.7775460747244895e-46,0.0,4.9124242974065636e-21,1.6952412863610269e-96,4.9124240265768736e-21,7.8600856640369666e-65,1.493078029516908e-56,0.0,0.0,7.1624344191452702e-46,1.7561433928179505e-76,1.9481972719186654e-14,9.3671056114057896e-16,3.6105886100296227e-19,1.9257376253071243e-30,3.6105886127186586e-19,6.3916173589708467e-47,1.1827120695524471e-34
9.662504835452874e-20,0.11640260799999998,0.8585084662769803,0.0,0.0,0.33756756319995918,0.11866996602992635,0.022821567693053348,0.0,6.2242474424587527e-56,9.6608102987119676e-34,0.0,5.4227233256690165e-45,0.0,9.8253822265202739e-21,1.0851638383454888e-94,9.8253811431133471e-21,1.2577843013069203e-63,2.3892418630729372e-55,0.0,0.0,5.7304217692289576e-45,5.6204465723467413e-75,3.8966059597018093e-14,1.8735227729115949e-15,7.2215690311317819e-19,7.7034768434017621e-30,7.2215690418888007e-19,5.1137794018713975e-46,4.7312335339141634e-34
1.9325533923785973e-19,0.11640260799999998,0.8585084662769803,0.0,0.0,0.33756756319991832,0.11866996602988739,0.022821567693052412,0.0,9.9592650043967591e-55,3.8644813664903954e-33,0.0,4.3384532546021074e-44,0.0,1.9651299709974428e-20,6.9457191498063516e-93,1.965129537617039e-20,2.012591363789795e-62,3.8229681507363672e-54,0.0,0.0,4.5844433169747302e-44,1.7986689436414228e-73,7.7934233352418034e-14,3.7471471964530848e-15,1.4443529857195251e-18,3.0814356585265631e-29,1.4443529900225087e-18,4.0912177376924312e-45,1.8925706012806973e-33
3.8651592100452177e-19,0.11640260799999998,0.8585084662769803,0.0,0.0,0.33756756319983661,0.11866996602980945,0.022821567693050538,0.0,1.5934595868374057e-53,1.5458239965910642e-32,0.0,3.4708724301801953e-43,0.0,3.9303141177789645e-20,4.4454753422403054e-91,3.9303123842220836e-20,3.2202553582879014e-61,6.1166621156632456e-53,0.0,0.0,3.6674629418535348e-43,5.755942269223684e-72,1.5587058086216622e-13,7.4943960435338969e-15,2.8887451444758799e-18,1.2325349708218622e-28,2.8887451616881716e-18,3.2730518786179723e-44,7.5704378539526385e-33
7.730370845378459e-19,0.11640260799999998,0.8585084662769803,0.0,0.0,0.33756756319967324,0.11866996602965357,0.022821567693046791,0.0,2.5493240205904481e-52,6.1833588871851904e-32,0.0,2.7767418522451303e-42,0.0,7.8606850117047494e-20,2.8451736723238242e-89,7.8606780774067222e-20,5.1524958741229551e-60,9.7858479873428639e-52,0.0,0.0,2.9337191851693535e-42,1.8419337760377754e-70,3.1174327587745583e-13,1.4988893737686847e-14,5.7775294361632352e-18,4.929675146290328e-28,5.7775295050131545e-18,2.6184725785530393e-43,3.0282070881475003e-32
1.5460794116044938e-18,0.11640260799999998,0.8585084662769803,0.0,0.0,0.3375675631993465,0.11866996602934182,0.022821567693039297,0.0,4.0781317677084026e-51,2.4733561353112442e-31,0.0,2.2214110081003558e-41,0.0,1.5721437201007095e-19,1.8209341740124845e-87,1.5721409463674191e-19,8.2440631065575707e-59,1.5654334504896377e-50,0.0,0.0,2.3465318196423798e-41,5.8942395898028159e-69,6.2348866589120821e-13,2.9977889125958087e-14,1.1555097916236532e-17,1.971468294720953e-27,1.1555098191638017e-17,2.0947904929618983e-42,1.2112899098207206e-31
3.09216406573779e-18,0.11640260799999998,0.8585084662769803,0.0,0.0,0.33756756319869302,0.11866996602871832,0.022821567693024309,0.0,6.5224064671057397e-50,9.8934497039112405e-31,0.0,1.7771357577164491e-40,0.0,3.1442983185413399e-19,1.1654062609144431e-85,3.1442872235801894e-19,1.3190556310386315e-57,2.5036928379055201e-49,0.0,0.0,1.8764995085618418e-40,1.8861648497632536e-67,1.2469794458514048e-12,5.9955879902361841e-14,2.3110234463177472e-17,7.8826008045818429e-27,2.3110235564789488e-17,1.6758373660707319e-41,4.8451792702016227e-31
