Time (s),Volume (m^3),N2,Ar,He,Ne,X(1),CH4(2),O2(3),CO2(4),H2O(5),H2(6),CO(7),C2H6(8),CH2O(9),CH3(10),C3H8(11),H(12),C2H5(13),CH3OH(14),HCO(15),CH3CHO(16),OH(17),C2H4(18),CH4X(28),CO2X(29),HX(19),CH3X(22),OX(20),OCX(21),CH2X(58),CHX(26),COX(32),H2X(31),C2H6X(34),CX(24),HOX(23),C2H5X(33),C3H8X(38),CH2(48),HOCXO(25),H2OX(30),CH4OX(41),CXHO(27),C2H4OX(44)
3.955042163966547e-21,0.08314471999999999,0.80000000000000004,0.0,0.0,0.0,0.24111968799999228,0.09999999999999433,4.926654650339276e-89,0.099999999999997952,8.7594149902963231e-84,1.6393725337158599e-58,1.2863808943023736e-30,1.7458651660936072e-53,3.7576192706897057e-90,1.9267793702436249e-34,1.2674230095849354e-103,1.1337955837616684e-44,4.0753087820942624e-82,9.4079840895716158e-82,3.0421454048415901e-71,1.1352930299279538e-87,1.271562182238437e-71,0.0,5.6795385589960059e-15,2.0574371594079464e-15,4.964433082722457e-24,4.9644330825296671e-24,7.6542651123265441e-27,7.6529787314322417e-27,5.5558422657889662e-38,6.987279207412416e-49,1.2642365053609765e-44,5.6054425761152511e-72,6.1826589155462212e-67,8.7275292878822972e-49,3.0431719671427223e-50,8.2452475070861077e-74,4.3778598538477386e-117,1.2151729260400913e-77,8.0547001670416309e-47,1.4544022228121058e-97,2.3425962635448692e-95,1.4142774998367158e-59,2.7681332756883046e-101
7.911801671469337e-21,0.08314471999999999,0.80000000000000004,0.0,0.0,0.0,0.24111968799998454,0.099999999999988654,3.9433205186780632e-88,0.099999999999995898,1.4023235635641785e-82,1.312157845423015e-57,5.1464576261549347e-30,1.3973997408826953e-52,1.2029461758402769e-88,7.7096272270703839e-34,8.1177811117450763e-102,4.5366591721846868e-44,1.304831818343324e-80,1.5061652597520739e-80,4.8693353172090266e-70,3.6350936666098031e-86,1.0176442554077175e-70,0.0,1.1361543264643134e-14,4.115767691281573e-15,9.9310218029095843e-24,9.931021802138175e-24,1.531185383086687e-26,1.5306707373240715e-26,2.2230605881813792e-37,5.5919469424841069e-48,1.0116373857887631e-43,8.973542557412967e-71,9.8976239216917619e-66,3.491645426331626e-48,1.217675506285158e-49,1.3199572026245973e-72,5.6080291555149552e-115,9.7213841963786768e-77,3.2229292260844377e-46,4.6568892836131176e-96,7.500873641048669e-94,1.1318176094542856e-58,1.7726801763796071e-99
1.5825320686474918e-20,0.08314471999999999,0.80000000000000004,0.0,0.0,0.0,0.24111968799996905,0.099999999999977288,3.1554553293914395e-87,0.099999999999991776,2.2443992823095184e-81,1.0499902680129884e-56,2.0583250785501713e-29,1.1182029049205385e-51,3.8493762237040192e-87,3.084352911398621e-33,5.1973884120617679e-100,1.8149590783780877e-43,4.1766349604940904e-79,2.4106045770645333e-79,7.7906845925261946e-69,1.1633056082183335e-84,8.1428291197482789e-70,0.0,2.2725552672261218e-14,8.2324287545455126e-15,1.9864199243281769e-23,1.9864199240195635e-23,3.0627031267944921e-26,3.0606448017159422e-26,8.8936899220294822e-37,4.4744071658577537e-47,8.0924598209543598e-43,1.4361536737587549e-69,1.5840495220349593e-64,1.3964831479226728e-47,4.8715775646460895e-49,2.1125057538731196e-71,7.1810744156627575e-113,7.7771098558298155e-76,1.2893815437678333e-45,1.4906711382175097e-94,2.4010394143434549e-92,9.0539927309661754e-58,1.1345986774382939e-97
3.1652358716486077e-20,0.08314471999999999,0.80000000000000004,0.0,0.0,0.0,0.2411196879999381,0.099999999999954556,2.5246838683101383e-86,0.099999999999983546,3.5916726340631642e-80,8.4009782393900283e-56,8.2292291295446223e-29,8.9467558245403708e-51,1.2312392921494062e-85,1.233841575700615e-32,3.3269713991901429e-98,7.2604271745957504e-43,1.3367108990424144e-77,3.8576545447582394e-78,1.2459220617602582e-67,3.7209759394004768e-83,6.5150881247105712e-69,0.0,4.5453571472792682e-14,1.6465750879140135e-14,3.9730554124017853e-23,3.9730554111672318e-23,6.1257386142090634e-26,6.1175093850795195e-26,3.557765502800577e-36,3.5798656132806027e-46,6.4711028816964218e-42,2.2981554129928766e-68,2.53482303860036e-63,5.5831704717402512e-47,1.9488557352225399e-48,3.3804686048375015e-70,9.1935656647737222e-111,6.2216958805335764e-75,5.1579458443381033e-45,4.771009880802794e-93,7.6847283305235392e-91,7.2395685352549117e-57,7.258363745566414e-96
6.33064347765084e-20,0.08314471999999999,0.80000000000000004,0.0,0.0,0.0,0.24111968799987618,0.099999999999909106,2.0198749443693435e-85,0.099999999999967074,5.7474662586154707e-79,6.721205055338323e-55,3.2880385335629496e-28,7.1578577182356614e-50,3.9355362983722853e-84,4.9355671312474207e-32,2.1294673557707895e-96,2.9042890462611677e-42,4.2777751120160991e-76,6.1731010870228424e-77,1.9911933107056809e-66,1.189355293574661e-81,5.212648016125636e-68,0.0,9.0909609015036801e-14,3.293239512059635e-14,7.9463263885456879e-23,7.9463263836072751e-23,1.225180958903405e-25,1.2218929203698419e-25,1.4231641095873888e-35,2.8640284493860203e-45,5.1715689853736147e-41,3.6772963042775483e-67,4.0559919199421286e-62,2.2307897084340443e-46,7.7962690922441519e-48,5.4091171502347262e-69,1.1768909687950789e-108,4.9773822948036757e-74,2.0632622207429871e-44,1.5269351172847212e-91,2.4594566304880398e-89,5.7847648048681163e-56,4.6401107501564435e-94
1.2661458689655303e-19,0.08314471999999999,0.80000000000000004,0.0,0.0,0.0,0.24111968799975234,0.099999999999818193,1.6159510969426679e-84,0.099999999999934142,9.1974836116717599e-78,5.3771330349340047e-54,1.3122221997388841e-27,5.726467398566792e-49,1.2564112112112945e-82,1.9742670181126665e-31,1.3629248409136889e-94,1.1617392542086123e-41,1.368935994248791e-74,9.8786176110066845e-76,3.1783074415732423e-65,3.7967484525522492e-80,4.1707455365659079e-67,0.0,1.8182168386424984e-13,6.5865683572576616e-14,1.5892868340820242e-22,1.5892868321066184e-22,2.4503951538667407e-25,2.4372729318693474e-25,5.6927722542060924e-35,2.2912771432854664e-44,4.1284863163661668e-40,5.8838722020049409e-66,6.4898071132263095e-61,8.9028511937311975e-46,3.1189942453262441e-47,8.6548808361923684e-68,1.5064936732269359e-106,3.9819877311669643e-73,8.2532162212980829e-44,4.8870050302073845e-90,7.8715737869841949e-88,4.6163860309782794e-55,2.9625610761157623e-92
2.532308911366423e-19,0.08314471999999999,0.80000000000000004,0.0,0.0,0.0,0.24111968799950464,0.099999999999636366,1.2927813344418763e-83,0.099999999999868278,1.4720101618375599e-76,4.3017740252238017e-53,5.2249368859492782e-27,4.5812464015606078e-48,4.0014774899844498e-81,7.8971483980703173e-31,8.7229282871868849e-93,4.6470042886539309e-41,4.3806713977862151e-73,1.5810225855382511e-74,5.0608672873614571e-64,1.2090328037771534e-78,3.3374810622705536e-66,0.0,3.636458326215751e-13,1.3173226035280859e-13,3.1785952245316342e-22,3.1785952166299311e-22,4.9008235437867622e-25,4.8485741749272362e-25,2.2771320625482212e-34,1.8330434665410871e-43,3.2887286875172938e-39,9.4143539968199004e-65,1.0383867375554533e-59,3.5448901566754716e-45,1.2479489214921421e-46,1.3848042392531714e-66,1.9283585372707582e-104,3.1858522597960219e-72,3.301319611940601e-43,1.5642746866554045e-88,2.5196018497265593e-86,3.6747742724402512e-54,1.8868637709175534e-90
5.064634996168209e-19,0.08314471999999999,0.80000000000000004,0.0,0.0,0.0,0.24111968799900926,0.099999999999272712,1.0342332503657727e-82,0.09999999999973655,2.3564737678021109e-75,3.4414462592674365e-52,2.0710250377754997e-26,3.6650261017680997e-47,1.2684110501485214e-79,3.158875419365319e-30,5.5827397424094099e-91,1.8588111698598833e-40,1.4018267100131542e-71,2.5309873026867588e-73,8.0200378575231444e-63,3.8313353287419123e-77,2.6713527555043749e-65,0.0,7.2729412637182218e-13,2.6346541341835831e-13,6.3572120054096501e-22,6.3572119738026778e-22,9.8016803236002151e-25,9.5945778198224037e-25,9.1085745520369702e-34,1.466443471034603e-42,2.6087165187932764e-38,1.5063093106668067e-63,1.6614328463905198e-58,1.4050995123758865e-44,4.9945293443527577e-46,2.2157048941475337e-65,2.4683281731940633e-102,2.5495204631185473e-71,1.320534193856307e-42,5.0083114500949265e-87,8.0669677438928764e-85,2.9108013443424403e-53,1.195958642728117e-88
1.012928716577178e-18,0.08314471999999999,0.80000000000000004,0.0,0.0,0.0,0.2411196879980185,0.099999999998545419,8.2738987342160158e-82,0.09999999999947308,3.7743313336075621e-74,2.7531678230456636e-51,8.1362317678533249e-26,2.9320324532113882e-46,3.9836232525775853e-78,1.2635533757341223e-29,3.5729727243865031e-89,7.435263588216939e-40,4.4858623277779806e-70,4.0538482984597348e-72,1.2590697626665794e-61,1.2025802131783693e-75,2.1392518490219842e-64,0.0,1.4545906988147035e-12,5.2693171756980051e-13,1.2714445567080862e-21,1.2714445440652657e-21,1.9603393883120744e-24,1.8789770706333358e-24,3.6434390651292889e-33,1.1731582511256839e-41,2.0521910155745206e-37,2.4101050122095098e-62,2.6583037645165292e-57,5.5200758470200677e-44,1.9999834371380361e-45,3.5451406135527081e-64,3.1594772386153211e-100,2.0423000925344518e-70,5.2821472685444585e-42,1.6043221539901347e-85,2.5841081399127511e-83,2.2833889449139751e-52,7.508900193682387e-87
2.025859150497892e-18,0.08314471999999999,0.80000000000000004,0.0,0.0,0.0,0.24111968799603697,0.099999999997090833,6.6191320797793871e-81,0.099999999998946154,6.0516039853410067e-73,2.2025385846257784e-50,3.1419226301351691e-25,2.3456305585685185e-45,1.2289324797460337e-76,5.0542198865468733e-29,2.286706506688705e-87,2.9741092169974302e-39,1.4354772818934e-68,6.4997727132420428e-71,1.9410851323358963e-60,3.7056485077443609e-74,1.7148653040551984e-63,0.0,2.9091837834700178e-12,1.053864317954057e-12,2.5428912690084023e-21,2.5428912184370563e-21,3.9206821001736307e-24,3.6064898371585241e-24,1.45737746205673e-32,9.3852798288717512e-41,1.5887064373291443e-36,3.8561760417700288e-61,4.2532948545203985e-56,2.131656486528986e-43,8.0172768645546793e-45,5.6722297476991467e-63,4.044137890974099e-98,2.171379869869629e-70,2.1128592419911919e-41,5.1444350600326824e-84,8.2862300684798315e-82,1.757937643709927e-51,4.6289913155288083e-85
