Time (s),Volume (m^3),Ar,Ne,N2,X(1),CH4(2),O2(3),CO2(4),H2O(5),H2(6),CO(7),C2H6(8),CH2O(9),CH3(10),C3H8(11),H(12),C2H5(13),CH3OH(14),HCO(15),CH3CHO(16),OH(17),C2H4(18),CH4X(48),OX(20),HX(19),HOX(22),CH3OO(77),CH3X(21),H2X(49),C2H4(47),C2H6X(52),C2H4X(205),H2OX(23),C2H4X(65),CH2X(27),CHX(28),CX(26),OCX(25),COX(50)
5.883606884761695e-21,0.16628943999999996,0.8585084662769803,0.0,0.0,0.45230727679999699,0.11866996602996244,0.022821567693054243,0.0,2.0236611094703475e-54,1.7249138672521959e-30,7.4158710468421197e-74,8.5595721229403628e-46,5.5464649627342347e-112,5.1927496547953535e-17,9.8168027242467654e-90,5.1927496547737523e-17,6.1537836264099124e-61,2.2586746025263302e-59,7.813578388956527e-95,9.0598263170497459e-96,1.6531627107225218e-45,1.3924347630929588e-71,2.8359031411076443e-15,8.3966051670989558e-17,3.361442607152779e-19,5.2320991536986004e-32,1.9373571586376888e-31,3.3614426049493038e-19,6.6491482419843124e-44,1.0965654418156217e-81,7.9742784339659072e-60,9.9948268823812598e-96,1.0280420311540293e-45,1.2792071803932385e-85,3.8203568751027543e-30,8.1221073787453085e-38,3.773265271328138e-44,2.1230630846865282e-69,1.3760446912893544e-88
1.17723255044363e-20,0.16628943999999996,0.8585084662769803,0.0,0.0,0.45230727679999405,0.11866996602995955,0.022821567693054202,0.0,3.2404937945851228e-53,6.9041507242793878e-30,7.4239752244006936e-72,6.8545998166553528e-45,2.2189761627491275e-109,1.0390010821061789e-16,6.2924642704519209e-88,1.0390010820975327e-16,9.8567484741494374e-60,3.6180842899768077e-58,1.5634673189877235e-92,1.8128367895784127e-93,1.3235350998468631e-44,4.460792353427398e-70,5.6742701424581669e-15,1.6800505386471499e-16,6.7258056684938368e-19,2.0942027409638609e-31,7.7544775286753634e-31,6.7258056596741937e-19,5.3233615603637024e-43,7.0260227541146441e-80,1.2772704007764162e-58,1.2808084796530523e-93,8.230585536677423e-45,8.1962627401458318e-84,1.5291383304277733e-29,6.5026226431702249e-37,4.7373730438537474e-43,1.0639973872660172e-67,2.7534130917292629e-86
2.354976274378551e-20,0.16628943999999996,0.8585084662769803,0.0,0.0,0.45230727679998822,0.11866996602995376,0.022821567693054119,0.0,5.1868984309490862e-52,2.7625595969885237e-29,8.1760939347057285e-70,5.486458057555812e-44,9.7684123843298137e-107,2.0784533153720921e-16,4.03028730392779e-86,2.0784533153374959e-16,1.5779358173924336e-58,5.7922992182999926e-57,3.4421469472040498e-90,3.9911615322332022e-91,1.0592299091626159e-43,1.4282542195941153e-68,1.1351004145155153e-14,3.360830582521605e-16,1.3454531791602443e-18,8.3795352288385619e-31,3.1028010754679759e-30,1.3454531756312375e-18,4.2603071265275386e-42,4.4992174351196697e-78,2.0447419544530159e-57,1.640376666177512e-91,6.5869672341633709e-44,5.2485975615360804e-82,6.1185448497490007e-29,5.2040714350629248e-36,6.5387257754219771e-42,5.8643312154869342e-66,6.0619447180196773e-84
4.710463722248394e-20,0.16628943999999996,0.8585084662769803,0.0,0.0,0.45230727679997651,0.1186699660299422,0.022821567693053952,0.0,8.3007197712906881e-51,1.1052037258725516e-28,9.6146611066870742e-68,4.3902779988753606e-43,4.5928581362980828e-104,4.1573577819544227e-16,2.5803795774445203e-84,4.1573577818160161e-16,2.5253823518819397e-57,9.2703653811330713e-56,8.0932218114851751e-88,9.3840722244799911e-89,8.4754418917878554e-43,4.5716949585822513e-67,2.2704472150532899e-14,6.7223906702703038e-16,2.6911984039525594e-18,3.352356885313301e-30,1.2413224696789267e-29,2.6911983898342341e-18,3.4088929908036344e-41,2.880319534964364e-76,3.2724748303525404e-56,2.1002850847109247e-89,5.2705703561234748e-43,3.3600590316702066e-80,2.4478161420786142e-28,4.1640430927723517e-35,9.6286217823010797e-41,3.4500796216801307e-64,1.4252925235512414e-81
9.421438617988079e-20,0.16628943999999996,0.8585084662769803,0.0,0.0,0.45230727679995314,0.11866996602991908,0.022821567693053615,0.0,1.3282482181825324e-49,4.4211747032624655e-28,1.1759686362286545e-65,3.5126670740525978e-42,2.2464523007322212e-101,8.3151667153211023e-16,1.6517616258840221e-82,8.3151667147674254e-16,4.0411598752549886e-56,1.4834715919210968e-54,1.9794360171941278e-85,2.2951515446953733e-86,6.7809865615846513e-42,1.4631474499092553e-65,4.541140816122349e-14,1.3445510845766859e-15,5.3826888542195677e-18,1.3410496111073298e-29,4.965693969790384e-29,5.3826887977416705e-18,2.7273733361053666e-40,1.8436670623709494e-74,5.2366699915352132e-55,2.6887508568133479e-87,4.2168498880368306e-42,2.1507435283885828e-78,9.792059748004067e-28,3.3315432020218882e-34,1.4738909877239488e-39,2.1105927947419534e-62,3.4859730866624217e-79
1.884338840946745e-19,0.16628943999999996,0.8585084662769803,0.0,0.0,0.45230727679990634,0.11866996602987283,0.022821567693052942,0.0,2.1252986569384993e-48,1.7685418438181873e-27,1.4696173548943799e-63,2.8103115393331257e-41,1.1228159813113986e-98,1.6630784582862528e-15,1.0572294343557942e-80,1.6630784580647736e-15,6.4662943180140051e-55,2.3737191942538556e-53,4.9469998951492261e-83,5.736035084693409e-84,5.4250295735313185e-41,4.6823999589449867e-64,9.0825280182345003e-14,2.6891751196756596e-15,1.0765669757483095e-17,5.3643984898774323e-29,1.9863583956594369e-28,1.0765669531562311e-17,2.1820022517512792e-39,1.1800309433254461e-72,8.3792402348202642e-54,3.4418481164558026e-85,3.373629252846924e-41,1.376573180863486e-76,3.9169819156813584e-27,2.6653489653643619e-33,2.3048597404713413e-38,1.3190437708437708e-60,8.7121322287895235e-77
3.7687287992426193e-19,0.16628943999999996,0.8585084662769803,0.0,0.0,0.45230727679981281,0.11866996602978033,0.022821567693051596,0.0,3.400543243568071e-47,7.0743113028335091e-27,1.8567731189740234e-61,2.2483203844785631e-40,5.6740686781256352e-96,3.3262020321177657e-15,6.7665947717371671e-79,3.3262020312318315e-15,1.0346421724464221e-53,3.7980636449795674e-52,1.2499925584728745e-80,1.4493635157324082e-81,4.3400991374988612e-40,1.4984204835519001e-62,1.8165302422354942e-13,5.3784231898722548e-15,2.1531631574928205e-17,2.1457884649090297e-28,7.945595094206483e-28,2.153163067122668e-17,1.7456432355738957e-38,7.5524668918793425e-71,1.3407238982656964e-52,4.4057236700529154e-83,2.698950169268572e-40,8.8103730898008503e-75,1.5668235500304467e-26,2.1323103847390194e-32,3.6450560812448473e-37,8.333392802091931e-59,2.2013544502706413e-74
7.537508715834368e-19,0.16628943999999996,0.8585084662769803,0.0,0.0,0.45230727679962573,0.11866996602959533,0.022821567693048907,0.0,5.4408708930145006e-46,2.8297533068794776e-26,2.357175842684133e-59,1.7986847673085772e-39,2.8812125468413525e-93,6.6524491810736977e-15,4.3307250937379837e-77,6.6524491775299294e-15,1.6554555381663097e-52,6.0769320573744298e-51,3.1736737840945684e-78,3.6798674909431395e-79,3.4720764566769086e-39,4.795029515569023e-61,3.63308512301804e-13,1.0756919330260039e-14,4.3063555253490694e-17,8.5831244730031768e-28,3.1782702548476192e-27,4.3063551638647848e-17,1.3965311622209664e-37,4.8336648064060745e-69,2.1451946038895288e-51,5.6394274255148793e-81,2.1591580883008593e-39,5.6387277015351435e-73,6.267349207375438e-26,1.7058375130657537e-31,5.7978367896873569e-36,5.2898278901269991e-57,5.5891377744778418e-72
1.5075068549017865e-18,0.16628943999999996,0.8585084662769803,0.0,0.0,0.45230727679925159,0.11866996602922532,0.02282156769304353,0.0,8.7052328411652549e-45,1.1319070799087862e-25,2.9947579153623346e-57,1.4389591947625727e-38,1.4642087197697441e-90,1.3304943484157206e-14,2.7716974703144972e-75,1.3304943469982052e-14,2.6487512998709129e-51,9.7229230840242503e-50,8.064188385654063e-76,9.3504079258896579e-77,2.7776071538482484e-38,1.5344228620371063e-59,7.2661948844169585e-13,2.1513911611013998e-14,8.6127402785305283e-17,3.4331738948013487e-27,1.271314477051639e-26,8.6127388325860573e-17,1.1172315591200289e-36,3.0935729443229612e-67,3.432340451690207e-50,7.2185317093372719e-79,1.7272924464868719e-38,3.6088031870047497e-71,2.5069454358172915e-25,1.364628446799533e-30,9.2488924537566876e-35,3.3603456950791056e-55,1.4201792419477051e-69
3.0150188215384854e-18,0.16628943999999996,0.8585084662769803,0.0,0.0,0.4523072767985033,0.1186699660284853,0.022821567693032774,0.0,1.3927725877408703e-43,4.5276398338320258e-25,3.7938504727183296e-55,1.1511719032954034e-37,7.4197428145887867e-88,2.6609932111010746e-14,1.7738970584369358e-73,2.6609932054310015e-14,4.2380199950878941e-50,1.555592677757507e-48,2.0432150556439884e-73,2.3691031397127851e-74,2.2219795333357745e-37,4.9101745108012258e-58,1.4532414406550104e-12,4.3027896172435427e-14,1.722550985476967e-16,1.373198370302936e-26,5.0852701116671026e-26,1.7225504070977276e-16,8.9378789871299169e-36,1.9798954094205782e-65,5.4917679651860885e-49,9.2397616336046012e-77,1.3817672235064199e-37,2.309625549066724e-69,1.0027751260310862e-24,1.0916265455379245e-29,1.4775331265965393e-33,2.1284453779202731e-53,3.5982928494064713e-67
