Time (s),Volume (m^3),N2,Ne,X(1),CH4(2),O2(3),CO2(4),H2O(5),H2(6),CO(7),C2H6(8),CH2O(9),CH3(10),C3H8(11),H(12),C2H5(13),CH3OH(14),HCO(15),CH3CHO(16),OH(17),C2H4(18),CH4X(56),OX(20),CH3X(21),HOX(22),HX(19),CH2X(27),CHX(28),CX(26),H2OX(23),OCX(25),CO2X(24)
0.0,0.09977366400000001,0.80000000000000004,0.0,0.28934362560000004,0.10000000000000001,0.10000000000000001,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
8.494490786932799e-24,0.09977366400000001,0.80000000000000004,0.0,0.28934362560000004,0.10000000000000001,0.10000000000000001,-1.4430495476005807e-121,3.3910073081060961e-65,1.7207494821781947e-46,1.7167579472644465e-74,5.2420957503017751e-60,4.483403326309133e-49,4.3960768023844e-29,-3.5611475355375513e-114,4.3960768023791731e-29,3.0780825791703866e-74,1.3641878136604851e-71,4.0541383265809465e-75,3.6882351453859443e-106,4.4834541513646481e-49,6.2860870296774626e-92,2.6725134708517623e-18,7.7953303112818144e-19,1.7666427745301395e-23,2.0444485413903583e-37,1.7666427745429833e-23,6.4322324349686998e-35,9.6266580343093905e-42,5.5045621869852636e-48,6.9311052104557908e-54,1.3517004259709784e-77,-7.5730423696800451e-110
2.378457420341184e-23,0.09977366400000001,0.80000000000000004,0.0,0.28934362560000004,0.10000000000000001,0.10000000000000001,2.6173692125208871e-119,6.8579339698277602e-64,1.0713925499694721e-45,2.0381350349944986e-73,7.9218550977999285e-59,2.7079756090938324e-48,1.2309015046693291e-28,-3.3621300575438485e-114,1.230901504666172e-28,4.6515983944676091e-73,4.2892247839159754e-70,4.8130730213219726e-74,8.2504344908326515e-105,2.7080359485997382e-48,1.7727771200649916e-90,7.4830377183849315e-18,2.1826924871589081e-18,4.9465997686636163e-23,1.2348469189981074e-36,4.9465997687411936e-23,3.8850678292806129e-34,1.1428766898158356e-40,6.5427077189167244e-47,8.2286081058146134e-53,8.2325726064950259e-76,7.6730755250271908e-108
5.436474103636992e-23,0.09977366400000001,0.80000000000000004,0.0,0.28934362560000004,0.099999999999999992,0.10000000000000001,1.1076249119403863e-116,1.2732121517177532e-62,5.4848372969886395e-45,2.0010530633380964e-72,8.5219702191524367e-58,1.3037736872953698e-47,2.8134891535378968e-28,6.4250206229533499e-114,2.813489153522696e-28,5.0039772881165942e-72,9.5690245448350325e-69,4.7255036334784741e-73,1.6301468236808053e-103,1.3038329289800759e-47,3.8561774590690203e-89,1.7104086213451246e-17,4.9890113992203615e-18,1.1306513756847471e-22,5.9452563583381209e-36,1.1306513757220977e-22,1.8704923499284179e-33,1.122082789225369e-39,6.4399612991218659e-46,8.0788962331879051e-52,3.7258645962671071e-74,1.6108380712468777e-105
1.1552507470228608e-22,0.09977366400000001,0.80000000000000004,0.0,0.28934362560000004,0.099999999999999978,0.10000000000000001,3.5804148232576255e-114,2.1933043738578997e-61,2.6822792863463591e-44,1.7699087733257336e-71,7.8331588373242835e-57,5.6939222244608924e-47,5.9786644513021857e-28,3.8875832087618142e-112,5.9786644512357987e-28,4.5995172371607042e-71,1.7921723947813311e-67,4.1796544492049079e-72,2.9007591743447923e-102,5.6944462104532101e-47,7.1487031182504035e-88,3.6346183203583789e-17,1.0601649223343268e-17,2.4026341732882796e-22,2.5964496475398763e-35,2.4026341734513992e-22,8.1689264900902922e-33,9.9246894707287043e-39,5.7250549936447546e-45,7.1456922275208276e-51,1.4138617433522829e-72,2.6016231754392091e-103
2.378457420341184e-22,0.09977366400000001,0.80000000000000004,0.0,0.28934362559999999,0.099999999999999936,0.10000000000000001,1.0343456258460871e-111,3.6388645072953657e-60,1.3595755609646561e-43,1.4877149689975826e-70,6.7014323012274469e-56,2.3771004436525656e-46,1.2309015046939381e-27,1.3857342527618598e-110,1.2309015046662226e-27,3.9349838329819696e-70,3.0955321300632166e-66,3.5132514076617198e-71,4.8925543314586925e-101,2.3775408854516275e-46,1.2286794159066271e-86,7.4830377183848542e-17,2.1826924871589078e-17,4.9465997683623862e-22,1.0839666166218762e-34,4.9465997690433774e-22,3.4103618049414444e-32,8.3422898712666636e-38,4.8610095351313531e-44,6.006384877242817e-50,4.9542621594991897e-71,3.7565260421966822e-101
4.82487076697783e-22,0.09977366400000001,0.80000000000000004,0.0,0.28934362559999988,0.099999999999999853,0.099999999999999992,2.8518357207095165e-109,5.9274304630254125e-59,7.5137862742068866e-43,1.2197186155590886e-69,5.5408738189284312e-55,9.7112309412866142e-46,2.4969716238648237e-27,4.6566425537215213e-109,2.496971623751597e-27,3.2535207284587269e-69,5.1432729312862956e-65,2.8803757657633332e-70,8.0360351810128148e-100,9.714841949258974e-46,2.0364460249147835e-85,1.517987651443766e-16,4.427747616808069e-17,1.0034530957978776e-21,4.4283573183959628e-34,1.0034530960760849e-21,1.3932406431990178e-31,6.839497453781909e-37,4.0653043765039408e-43,4.924397212452618e-49,1.6825628552848779e-69,5.1777745193393024e-99
9.717697460251123e-22,0.09977366400000001,0.80000000000000004,0.0,0.28934362559999965,0.0999999999999997,0.099999999999999964,7.7908137560774006e-107,9.5686691189260852e-58,4.6213469848532117e-42,9.8775975825690789e-69,4.5057465678767754e-54,3.9254348158459988e-45,5.029111862380382e-27,1.5265232869013316e-107,5.0291118619227012e-27,2.6457090236542882e-68,8.3848329717123413e-64,2.3326029739852965e-69,1.3026759325244183e-98,3.9283591037235933e-45,3.3158244378515949e-84,3.0573554106542723e-16,8.917857876106381e-17,2.0210393335084239e-21,1.790012831355023e-33,2.0210393346329861e-21,5.6316736977079058e-31,5.5387767688522689e-36,3.4216905068691779e-42,3.9879045356152708e-48,5.7049042099027731e-68,7.0722373294266033e-97
1.950335084679771e-21,0.09977366400000001,0.80000000000000004,0.0,0.28934362559999927,0.099999999999999395,0.099999999999999922,2.171599616010417e-104,1.5377917924102007e-56,3.1321803943156236e-41,7.9503498666285539e-68,3.63404783698089e-53,1.5784000748859503e-44,1.0093392340106647e-26,4.9439018749181745e-106,1.0093392338266332e-26,2.1338601755814924e-67,1.3541527641993208e-62,1.8774818054731839e-68,2.0979194302539764e-97,1.580753796176932e-44,5.3517540125770605e-83,6.1360909290750631e-16,1.7898078394702975e-16,4.056211808078593e-21,7.1975628665905965e-33,4.0562118126004297e-21,2.2644489149864335e-30,4.4580482041526065e-35,2.9625408845334996e-41,3.2098125090730279e-47,1.9812321165249072e-66,9.8572449247887078e-95
3.9074657619890876e-21,0.09977366400000001,0.80000000000000004,0.0,0.28934362559999849,0.099999999999998784,0.099999999999999839,6.3699575317442223e-102,2.4659193779468929e-55,2.2779460361174106e-40,6.3796550735544064e-67,2.9190648476246881e-52,6.3300902579735522e-44,2.0221953298339764e-26,1.5915578435732547e-104,2.0221953290959281e-26,1.7140325383080619e-66,2.1767610175015037e-61,1.5065609094387573e-67,3.3676253052962525e-96,6.3489773890085374e-44,8.6001250312900439e-82,1.2293561965915748e-15,3.5858519431896056e-16,8.1265567538152374e-21,2.8865446278378908e-32,8.1265567719500014e-21,9.0812740081266181e-30,3.577236803248629e-34,2.7118067136342787e-40,2.5756723899251329e-46,7.2557178879356496e-65,1.4459727586091515e-92
