Time (s),Volume (m^3),Ar,Ne,N2,X(1),CH4(2),O2(3),CO2(4),H2O(5),H2(6),CO(7),C2H6(8),CH2O(9),CH3(10),C3H8(11),H(12),C2H5(13),CH3OH(14),HCO(15),CH3CHO(16),OH(17),C2H4(18),CH4X(48),OX(20),HX(19),HOX(22),CH3OO(77),CH3X(21),CH2X(27),CHX(28),CX(26),OCX(25),H2OX(23),H2X(49),C2H4(47),COX(50),CHOX(53)
0.0,0.16628943999999996,0.8585084662769803,0.0,0.0,0.45230727679999988,0.11866996602996532,0.022821567693054285,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
6.2192467651223754e-24,0.16628943999999996,0.8585084662769803,0.0,0.0,0.45230727679999988,0.11866996602996532,0.022821567693054285,0.0,1.2458549835497487e-65,2.8897367842365137e-36,1.794598846930915e-88,1.7261728919512723e-54,5.9381984187798365e-132,5.4889784659455013e-20,-6.0325991303521248e-106,5.4889784659455013e-20,2.4578509175629188e-72,4.5981693644900236e-71,3.9715569460417556e-112,4.6050112189256083e-113,1.1793553152998291e-51,1.1380943779493257e-85,2.9976818271489012e-18,8.8756031030454665e-20,3.5532015428380315e-22,8.765302931988039e-38,3.2456416223579106e-37,3.5532015427871829e-22,2.539965274623118e-33,3.9616391099612219e-41,3.1543340782375068e-45,3.8741854292198643e-76,3.1838388986568746e-54,2.0592360972209807e-52,1.8636366248460895e-98,6.9942855669346706e-106,-3.5605407858656873e-108
1.7413890942342651e-23,0.16628943999999996,0.8585084662769803,0.0,0.0,0.45230727679999988,0.11866996602996532,0.022821567693054285,0.0,2.7871419595893596e-64,1.7454010195184491e-35,1.9830928811505022e-86,2.6085924756460454e-53,2.1426863176073261e-129,1.5369139704647403e-19,1.16460220756409e-104,1.5369139704647396e-19,6.9315328470808873e-71,1.4457380185709917e-69,7.9393859478650943e-110,9.2056998950234308e-111,1.4001306303218489e-50,5.8911042742851464e-84,8.3935091160169208e-18,2.4851688688527303e-19,9.9489643200289597e-22,5.2942429709120716e-37,1.9603675399022067e-36,9.9489643197218397e-22,1.5341390027556586e-32,4.7032578842719806e-40,3.7448471045350432e-44,2.3568694817917254e-74,3.7798535404667212e-53,2.4447250969803637e-51,1.7550459486442274e-96,1.3982005873213207e-103,3.6033805199086247e-106
3.9803179296783205e-23,0.16628943999999996,0.8585084662769803,0.0,0.0,0.45230727679999988,0.11866996602996531,0.022821567693054285,0.0,5.5071122235085644e-63,8.4033545961537036e-35,1.7941752580436272e-84,2.8062047485091334e-52,7.7582504701330497e-127,3.51294621820512e-19,1.229696943425859e-102,3.5129462182051176e-19,1.5077597979296123e-69,3.2253619894141143e-68,1.4373624124095686e-107,1.6666184382405388e-108,1.3746565555069442e-49,2.5722866805462716e-82,1.9185163693752944e-17,5.6803859859490978e-19,2.2740489874740705e-21,2.5489500926090624e-36,9.4383258377872333e-36,2.274048987326205e-21,7.3862186718534695e-32,4.6176863386414637e-39,3.6767590308311998e-43,1.0640166430642066e-72,3.711082620216415e-52,2.4002456022355814e-50,1.5339192191654383e-94,2.5313304862816773e-101,7.5461248610413432e-104
8.458175600566431e-23,0.16628943999999996,0.8585084662769803,0.0,0.0,0.45230727679999988,0.11866996602996528,0.022821567693054285,0.0,9.7997667133527149e-62,3.6699657444940914e-34,1.3578922096966785e-82,2.5793856303912541e-51,2.3524899753133979e-124,7.4650107136858807e-19,9.7197294846758853e-101,7.4650107136858682e-19,2.7951325589829453e-68,6.0407460482298246e-67,2.178044517805519e-105,2.5254376497803407e-106,1.2158681558477849e-48,9.5759783625634006e-81,4.0768472849224944e-17,1.2070820220141834e-18,4.8323540985483777e-21,1.113193472348986e-35,4.1219648603639894e-35,4.8323540979026082e-21,3.2257555404624704e-31,4.0842910201540378e-38,3.2521334426901575e-42,4.0176237604067039e-71,3.2824105508374127e-51,2.1229900621520356e-49,1.14435133085918e-92,3.8357413835004181e-99,1.2127346147442575e-101
1.741389094234265e-22,0.16628943999999996,0.8585084662769803,0.0,0.0,0.45230727679999982,0.11866996602996524,0.022821567693054285,0.0,1.6528864874272113e-60,1.5321384686645434e-33,9.4340706129902278e-81,2.2067187121993068e-50,6.5435062854371199e-122,1.5369139704647403e-18,6.8890000406132742e-99,1.5369139704647349e-18,4.8041187094369955e-67,1.0433886570130922e-65,3.0282376364863887e-103,3.511234631396818e-104,1.0220104465288812e-47,3.2990697384268547e-79,8.3935091160168672e-17,2.4851688688527302e-18,9.9489643212248174e-21,4.6473636144185973e-35,1.7208391881466639e-34,9.948964318528854e-21,1.3466892661272154e-30,3.4330922742559996e-37,2.733751586204421e-41,1.39396930883276e-69,2.7590638479325408e-50,1.7845010819435552e-48,7.8936711337711408e-91,5.333011481744631e-97,1.7339485112422146e-99
3.532532162589509e-22,0.16628943999999996,0.8585084662769803,0.0,0.0,0.45230727679999971,0.11866996602996516,0.022821567693054285,0.0,2.7148812044871143e-59,6.2592856814021209e-33,6.2883856398126965e-79,1.8245577050016913e-49,1.7454669160472256e-119,3.1177397686570456e-18,4.6359812143119104e-97,3.1177397686570229e-18,7.9624744434889545e-66,1.7336058585797228e-64,4.0382579373302449e-101,4.6823508661090571e-102,8.3790591131282617e-47,1.0948409634700343e-77,1.7026832778205523e-16,5.0413425625298211e-18,2.0182184768689003e-20,1.8985996761774988e-34,7.0301895794592957e-34,2.0182184757675113e-20,5.5016636531319009e-30,2.8146557678781297e-36,2.2415201584802839e-40,4.642959365853632e-68,2.2620472379569073e-49,1.4630418265204647e-47,5.2422263131509783e-89,7.1117522898599712e-95,2.3440910392732934e-97
7.114818299299997e-22,0.16628943999999996,0.8585084662769803,0.0,0.0,0.45230727679999955,0.11866996602996498,0.022821567693054282,0.0,4.4009476217524833e-58,2.5301034406903938e-32,4.1073632183799765e-77,1.4837000242189524e-48,4.5613905558258525e-117,6.279391365041658e-18,3.0418368442570823e-95,6.2793913650415671e-18,1.2964825494410692e-64,2.8262150882134828e-63,5.2761338015117935e-99,6.1176651066688876e-100,6.7855793112340045e-46,3.5673798795317778e-76,3.4293480102582457e-16,1.0153689949884001e-17,4.0648625672062617e-20,7.6744434506503322e-34,2.8417150309806989e-33,4.064862562754267e-20,2.2238592703643671e-29,2.2793800863687247e-35,1.8156062854132256e-39,1.5158392887658949e-66,1.8318645005173687e-48,1.1848092427664605e-46,3.4171877500327801e-87,9.2917681894166742e-93,3.0834024865783502e-95
1.4279390572720972e-21,0.16628943999999996,0.8585084662769803,0.0,0.0,0.45230727679999921,0.11866996602996463,0.022821567693054278,0.0,7.0875970478446161e-57,1.0173435388038495e-31,2.6563201517743773e-75,1.1966578202557585e-47,1.1801169041468844e-114,1.2602694557810889e-17,1.9710650060838349e-93,1.2602694557810522e-17,2.0925280618138522e-63,4.5643449140904041e-62,6.8249072340131336e-97,7.9134643683329584e-98,5.4616245611678333e-45,1.1518853458293917e-74,6.8826774751334837e-16,2.0378384724592344e-17,8.1581507512590831e-20,3.085859957731972e-33,1.1426411155622442e-32,8.1581507333578038e-20,8.942031131183702e-29,1.834641577109437e-34,1.4619456971555187e-38,4.9008698888021318e-65,1.4744439181186543e-47,9.5363761860845279e-46,2.2070966499522657e-85,1.2019303966208739e-90,4.0019433248283821e-93
2.8608535119562925e-21,0.16628943999999996,0.8585084662769803,0.0,0.0,0.45230727679999849,0.11866996602996392,0.022821567693054268,0.0,1.1377168191941022e-55,4.0800031949608384e-31,1.7099425238557156e-73,9.6122063827105969e-47,3.0388547886584572e-112,2.5249300943349388e-17,1.2693106869567034e-91,2.5249300943347915e-17,3.362636419877644e-62,7.3370511342968536e-61,8.7870627575938447e-95,1.0188579221238766e-95,4.3826097483194255e-44,3.7026325156381889e-73,1.3789336404883359e-15,4.0827774274008945e-17,1.6344727132877167e-19,1.2375678612329327e-32,4.5825019315060574e-32,1.6344727061084965e-19,3.5861470576792636e-28,1.4721814063055522e-33,1.17406270250344e-37,1.5772935687856348e-63,1.1831483862413081e-46,7.6523423357415949e-45,1.4190054696684647e-83,1.5474844508868726e-88,5.1611652555399994e-91
