Time (s),Volume (m^3),Ar,Ne,N2,X(1),CH4(2),O2(3),CO2(4),H2O(5),H2(6),CO(7),C2H6(8),CH2O(9),CH3(10),C3H8(11),H(12),C2H5(13),CH3OH(14),HCO(15),CH3CHO(16),OH(17),C2H4(18),CH4X(48),OX(20),CH3X(21),HX(19),CH2X(27),CHX(28),CX(26),HOX(22),OCX(25),H2OX(23),CO2X(24),COX(50),CHOX(53),H2X(49)
0.0,0.11640260799999998,0.8585084662769803,0.0,0.0,0.33756756319999998,0.11866996602996532,0.022821567693054285,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
7.326656734914361e-24,0.11640260799999998,0.8585084662769803,0.0,0.0,0.33756756319999998,0.11866996602996532,0.022821567693054285,-6.5089554735534503e-122,9.4139587188074249e-66,8.3315960907359288e-42,1.8752476604905673e-91,5.1339092296104366e-59,9.3294788132399182e-141,7.4501611959771282e-25,-1.1574174399010692e-119,7.4501611959771098e-25,1.6929126907716814e-81,1.0212048080477527e-71,4.1165164249499813e-119,2.4873887740663058e-120,1.5545120232302859e-53,1.1113102597458525e-96,2.9546266505694328e-18,1.4206107501034383e-19,5.4758013950019199e-23,5.4758013950510897e-23,2.4587811592641388e-34,1.594529794550833e-41,5.3579128938852326e-47,6.6436973538853327e-38,1.7726198261925257e-77,2.4629459258939329e-54,-7.2067203991977581e-110,3.6438471700102577e-109,-5.8048446553028277e-111,5.8518493830951727e-58
2.051463885776021e-23,0.11640260799999998,0.8585084662769803,0.0,0.0,0.33756756319999998,0.11866996602996532,0.022821567693054285,1.1793962269742296e-119,2.1059527891585891e-64,5.0323152800434848e-41,2.0725497009745797e-89,7.7583636276715877e-58,3.3669089835634934e-138,2.0860451348736017e-24,2.2340462357151147e-118,2.0860451348735907e-24,4.7742846539379851e-80,3.21083132184172e-70,8.2305009613646314e-117,4.9732476643489521e-118,1.8455166739766204e-52,5.7524619617181818e-95,8.2729546215944087e-18,3.9777101002896271e-19,1.5332243905925734e-22,1.5332243906222715e-22,1.4851037271958236e-33,1.8930256624325173e-40,6.3620127906169779e-46,4.0127932017411001e-37,1.0785543322565362e-75,2.9240094032076318e-53,7.2946395031225531e-108,7.285453169364873e-107,5.8756614313002795e-109,6.9473550847539126e-57
4.6890603103451914e-23,0.11640260799999998,0.8585084662769803,0.0,0.0,0.33756756319999998,0.11866996602996531,0.022821567693054285,4.9805357719637974e-117,4.1610855283196307e-63,2.4228750050386469e-40,1.8757706706437108e-87,8.3460935560984171e-57,1.2195197441969822e-135,4.7681031654254033e-24,2.3589357143139562e-116,4.768103165425349e-24,1.0385111956325313e-78,7.1631880522395209e-69,1.4905897315596834e-114,9.00682951820498e-116,1.8119392142698554e-51,2.5117500207798529e-93,1.8909610563644344e-17,9.0919088006620048e-19,3.5045128927454788e-22,3.5045128928884626e-22,7.1501342161445446e-33,1.8585835885879728e-39,6.2485889379870032e-45,1.9319871905013925e-36,4.8708971480096875e-74,2.8708097711796668e-52,1.5281651864864338e-105,1.3194362937010308e-104,1.2309012998088119e-106,6.8210380820652749e-56
9.964253159483531e-23,0.11640260799999998,0.8585084662769803,0.0,0.0,0.33756756319999998,0.11866996602996528,0.022821567693054285,1.6031629539741006e-114,7.4044928643120932e-62,1.058161127425797e-39,1.4206500406355356e-85,7.6714978830428361e-56,3.700479346355289e-133,1.01322192265291e-23,1.8645422242387735e-114,1.0132219226528862e-23,1.9252247338334142e-77,1.3415858456218174e-67,2.2602909374184455e-112,1.3657718621758427e-113,1.6026397154540252e-50,9.3506155561930844e-92,4.0182922447744138e-17,1.9320306201406762e-18,7.4470898969238586e-22,7.4470898975483075e-22,3.1226506307703904e-32,1.6438957231152938e-38,5.5309457799749704e-44,8.4374956393469185e-36,1.8405140392821721e-72,2.5391987316707731e-51,2.4576510781726343e-103,2.0007583803078093e-102,1.9795804358883496e-104,6.0332797663058679e-55
2.0514638857760212e-22,0.11640260799999998,0.8585084662769803,0.0,0.0,0.33756756319999992,0.11866996602996524,0.022821567693054285,4.5926284179736471e-112,1.2488811152572588e-60,4.4178480622121201e-39,9.8840373944954272e-84,6.563127951199612e-55,1.03074347134218e-130,2.0860451348736858e-23,1.3215214981015698e-112,2.0860451348735867e-23,3.3089694201567869e-76,2.3172559193647859e-66,3.147013435294221e-110,1.9015704254461235e-111,1.3471152471109259e-49,3.2214288344014326e-90,8.2729546215943406e-17,3.9777101002896277e-18,1.5332243904770896e-21,1.5332243907377843e-21,1.3036444732969329e-31,1.3817927123087521e-37,4.6560571761692631e-43,3.5224883369512926e-35,6.3950121278700186e-71,2.1343495320836922e-50,3.5188968115758013e-101,2.7856650658561739e-100,2.8343890404506519e-102,5.0715855461664085e-54
4.161541025431357e-22,0.11640260799999998,0.8585084662769803,0.0,0.0,0.33756756319999981,0.11866996602996516,0.022821567693054282,1.245501746801652e-109,2.0512951608098554e-59,1.8050260292221808e-38,6.6069134867275677e-82,5.4265211076292089e-54,2.757202983719834e-128,4.2316915593153848e-23,8.893233854741337e-111,4.2316915593149798e-23,5.4843741447209665e-75,3.8501553671529986e-65,4.2084494841704684e-108,2.5429389608436757e-109,1.1044464688319278e-48,1.0690747780188252e-88,1.678227937523407e-16,8.069069060587526e-18,3.110255191842607e-21,3.1102551929076319e-21,5.3258073580364975e-31,1.1328760100197374e-36,3.8287372880970343e-42,1.4390514215743346e-34,2.136077008706482e-69,1.7498686982275935e-49,4.7706094091259324e-99,3.7252242319269881e-98,3.8426142448475115e-100,4.158402827712852e-53
8.381695304742029e-22,0.11640260799999998,0.8585084662769803,0.0,0.0,0.33756756319999964,0.11866996602996499,0.022821567693054278,3.2954689874884691e-107,3.3252412148470186e-58,7.2977475249084918e-38,4.3397024552422976e-80,4.4127568419222974e-53,7.2456540842471918e-126,8.5229844081993736e-23,5.8351760167050887e-109,8.5229844081977349e-23,8.9298815606879876e-74,6.2767249763084361e-64,5.5293207305378802e-106,3.3410701878318865e-107,8.9440938512847905e-48,3.4834245145417569e-87,3.3800928882513025e-16,1.6251786981183313e-17,6.2643167937580846e-21,6.264316798063091e-21,2.1527718910788191e-30,9.1743051837877023e-36,3.1191080363553063e-41,5.8168759302513879e-34,7.013450618252139e-68,1.4170890400046555e-48,6.3106866988259587e-97,4.8944295616558075e-96,5.0831104548528074e-98,3.3682474420522431e-52
1.6822003863363374e-21,0.11640260799999998,0.8585084662769803,0.0,0.0,0.33756756319999931,0.11866996602996464,0.022821567693054271,8.6506993985507765e-105,5.3552011625793421e-57,2.9356336297908153e-37,2.8379748181743136e-78,3.5590482538148422e-52,1.8954345787477618e-123,1.7105570105969721e-22,3.781107216687449e-107,1.7105570105963124e-22,1.4412864832545954e-72,1.013692759887404e-62,7.2321162397902642e-104,4.3699776386749739e-105,7.198984849449013e-47,1.1247766665445898e-85,6.7838227897068934e-16,3.2617222822374845e-17,1.2572439994326809e-20,1.2572440011637084e-20,8.6561641359790711e-30,7.3842492367066585e-35,2.5403059869285703e-40,2.3389402277800852e-33,2.2930878581683535e-66,1.1405965429860667e-47,8.2826158224632758e-95,6.4017056012511475e-94,6.6714531952853304e-96,2.7121291010729155e-51
3.370262098060606e-21,0.11640260799999998,0.8585084662769803,0.0,0.0,0.33756756319999859,0.11866996602996396,0.022821567693054254,2.2807642041783094e-102,8.5962860215751328e-56,1.1783161265455602e-36,1.8672510401790993e-76,2.8588211031314656e-51,4.988075643963579e-121,3.4270741501519878e-22,2.4349271982222903e-105,3.427074150149342e-22,2.3161086833258826e-71,1.6294815042474607e-61,9.5163304626687626e-102,5.7502050432297735e-103,5.7767319644194167e-46,3.6154940840809382e-84,1.3591282592617271e-15,6.5348094504757748e-17,2.5188686382415327e-20,2.5188686451837569e-20,3.4714793334420395e-29,5.9253472695598084e-34,2.0862225799393378e-39,9.3801964281847682e-33,7.5444194862590614e-65,9.1525689289149672e-47,1.0918775097953003e-92,8.4236403174832702e-92,8.7948177357113714e-94,2.1780308459332342e-50
6.746385521509144e-21,0.11640260799999998,0.8585084662769803,0.0,0.0,0.33756756319999714,0.1186699660299626,0.022821567693054223,6.1213419604341524e-100,1.3776473741691828e-54,4.7273867042042121e-36,1.2516867272409048e-74,2.2916989593318266e-50,1.3371943507759754e-118,6.8601084292658053e-22,1.5631767380269608e-103,6.8601084292552071e-22,3.7138325298747989e-70,2.613244789785718e-60,1.2756493641689123e-99,7.7080608106004479e-101,4.6284152391430055e-45,1.1595578638023003e-82,2.7206202198434821e-15,1.3080983786952289e-16,5.0421179106396645e-20,5.0421179384450109e-20,1.3903787038241875e-28,4.7474119010102659e-33,1.7480905266202403e-38,3.7569712543106419e-32,2.5293712846677007e-63,7.3331928379278724e-46,1.4653432698145289e-90,1.129175938780819e-89,1.1802996848931281e-91,1.7478281014922906e-49
1.349863236840622e-20,0.11640260799999998,0.8585084662769803,0.0,0.0,0.33756756319999431,0.11866996602995988,0.022821567693054157,1.7045022906520253e-97,2.2060308746354051e-53,1.8985714340468451e-35,8.7083271086361039e-73,1.8352178076562671e-49,3.7197696590706678e-116,1.3726176987508579e-21,1.0019793613586053e-101,1.3726176987466161e-21,5.948586294812771e-69,4.1860575354115728e-59,1.7745233051973798e-97,1.0722486810381975e-98,3.7055464632733857e-44,3.714749850099963e-81,5.4436041410057081e-15,2.6173332459905056e-16,1.0088616434557643e-19,1.0088616545853392e-19,5.5649481836122564e-28,3.8006937704789246e-32,1.522140736370293e-37,1.5037675955366406e-31,8.8036269911004502e-62,5.8710131502965093e-45,2.0404173878638478e-88,1.5707678486979334e-87,1.6435083749344707e-89,1.4037331678050336e-48
2.700312606220037e-20,0.11640260799999998,0.8585084662769803,0.0,0.0,0.3375675631999886,0.11866996602995444,0.022821567693054025,5.0578598694125029e-95,3.5310861634903448e-52,7.6478485677068118e-35,6.4572715199995095e-71,1.4689180541931994e-48,1.102556228514912e-113,2.7458314104054695e-21,6.4176203244525418e-100,2.7458314103884961e-21,9.5229043424811415e-68,6.7015872752541498e-58,2.6304644436751926e-95,1.5894477099501843e-96,2.9655633575907279e-43,1.1893867001740641e-79,1.0889571983325026e-14,5.2358029805809519e-16,2.0181613398880465e-19,2.0181613844223632e-19,2.226552056010263e-27,3.0415142605365375e-31,1.414400025421556e-36,6.0170291209175739e-31,3.26690702643264e-60,4.6985948166094483e-44,3.0279915320931831e-86,2.328427536200796e-85,2.4389760681735891e-87,1.1304678756670614e-47
