Time (s),Volume (m^3),Ar,Ne,N2,X(1),CH4(2),O2(3),CO2(4),H2O(5),H2(6),CO(7),C2H6(8),CH2O(9),CH3(10),C3H8(11),H(12),C2H5(13),CH3OH(14),HCO(15),CH3CHO(16),OH(17),C2H4(18),CH4X(48),OX(20),CH3X(21),HX(19),CH2X(27),CHX(28),CX(26),HOX(22),OCX(25),H2OX(23),CO2X(24),COX(50),CHOX(53),H2X(49)
1.4868268025534741e-06,0.11640260799999998,0.8585084662769803,0.0,0.0,0.31550700057709014,0.11231631027981126,0.013167726304033147,0.00011613005513761769,0.001741927700629548,1.649312497526929e-06,0.00074600257830625732,1.8584361805021243e-09,5.8063703724182661e-18,4.6865307033964275e-06,3.0752895025980597e-18,1.2139703259116586e-08,1.291986238265759e-14,9.5072908327221818e-09,1.1674503166118625e-14,7.3889507722651764e-16,5.9866258460061397e-06,3.7897653836132916e-13,0.0054757100773724192,0.016569325834328276,1.6686127902931875e-09,3.1497157830714852e-06,1.1513611535053965e-13,8.8719410647506424e-11,1.827187959748529e-07,1.1611091703681176e-06,1.0926198546886368e-05,7.8476770612335372e-08,2.0279819943300029e-09,5.7997111899509026e-10,9.3084931502552642e-13,2.4125811793743464e-08
1.4918246642014674e-06,0.11640260799999998,0.8585084662769803,0.0,0.0,0.31548033730952202,0.11231215822121468,0.013146257322324554,0.0001173275040472536,0.0017515599404591992,1.6453530129535858e-06,0.00074956939154075604,1.8756313324957197e-09,5.8433713994229803e-18,4.6960758089577699e-06,3.1297471404412773e-18,1.213540166041553e-08,1.3056195446514385e-14,9.5834807787551596e-09,1.1726321610543623e-14,7.453183705169404e-16,5.993640404085459e-06,3.8479273027109897e-13,0.0054750392334960317,0.016596612327592519,1.6712650017673971e-09,3.1469994674227351e-06,1.1531839416627881e-13,8.8667693001158527e-11,1.8269503670869482e-07,1.1621048196638998e-06,1.0975188812712821e-05,7.889105652169943e-08,2.0407786007455731e-09,5.8269485778567505e-10,9.3429553076286576e-13,2.4065741563679762e-08
1.4968225258494606e-06,0.11640260799999998,0.8585084662769803,0.0,0.0,0.31545380816031915,0.11230799700874625,0.013124841843589578,0.00011853227115501018,0.0017612066806799555,1.6414268396776779e-06,0.00075313617154723915,1.8928959814011453e-09,5.8804798144094289e-18,4.7055681684884314e-06,3.1848894180966379e-18,1.2131131692877811e-08,1.3193226067117461e-14,9.6599103481626471e-09,1.1778131021595593e-14,7.5177204861378296e-16,6.0006159461311713e-06,3.9067013052878162e-13,0.005474370321539245,0.016623762765994879,1.6739032542294526e-09,3.1443030436815031e-06,1.1549971116410871e-13,8.8616370859443964e-11,1.8267135200886967e-07,1.1630947391603976e-06,1.1024168351122954e-05,7.930589938592257e-08,2.0535913364146881e-09,5.8541835097951163e-10,9.3773975008184974e-13,2.4006179615877435e-08
1.5018203874974539e-06,0.11640260799999998,0.8585084662769803,0.0,0.0,0.31542741269268598,0.11230382668719908,0.013103479702012442,0.00011974436288255756,0.0017708678426841878,1.6375336787966156e-06,0.0007567028729476,1.9102298781254319e-09,5.9176955422898536e-18,4.7150080665786607e-06,3.240720967341126e-18,1.2126893073731563e-08,1.3330952372063317e-14,9.7365785478155734e-09,1.1829930846594181e-14,7.5825610759080038e-16,6.0075527121777544e-06,3.9660905109499338e-13,0.0054737033359253812,0.016650777592584487,1.6765275950643668e-09,3.1416263541617458e-06,1.1568006963524015e-13,8.8565440629414112e-11,1.8264774166054731e-07,1.1640789608119269e-06,1.1073136619458228e-05,7.972129619439936e-08,2.0664199397271327e-09,5.8814156603489191e-10,9.4118195673205036e-13,2.3947121339823975e-08
1.5068182491454471e-06,0.11640260799999998,0.8585084662769803,0.0,0.0,0.31540115047098966,0.11229964730120841,0.013082170732231094,0.00012096378548779726,0.0017805433481564172,1.6336732340691001e-06,0.00076026945067104665,1.9276327733425186e-09,5.9550185081939619e-18,4.7243957863568734e-06,3.2972464136915585e-18,1.2122685523621546e-08,1.3469372473909102e-14,9.813484386289151e-09,1.1881720536807218e-14,7.6477054312386828e-16,6.014450939995809e-06,4.0260980308860413e-13,0.0054730382710894872,0.016677657249229628,1.6791380715134468e-09,3.1389692429290774e-06,1.1585947286314456e-13,8.8514898808082146e-11,1.8262420544898131e-07,1.1650575163203516e-06,1.1122093079121956e-05,8.0137243948839802e-08,2.0792641496557152e-09,5.9086447064726937e-10,9.4462213679896957e-13,2.3888562167061952e-08
1.5118161107934404e-06,0.11640260799999998,0.8585084662769803,0.0,0.0,0.3153750210607596,0.11229545889525219,0.013060914769336679,0.00012219054506546427,0.0017902331190722581,1.6298452119032256e-06,0.000763835859952884,1.9451044175129604e-09,5.9924486374628461e-18,4.7337316094844273e-06,3.3544703762008853e-18,1.2118508766555807e-08,1.3608484470448776e-14,9.8906268738901573e-09,1.1933499547437525e-14,7.7131535049376858e-16,6.0213108651231495e-06,4.0867269677979154e-13,0.0054723751214783463,0.01670440217661958,1.6817347306856249e-09,3.1363315557750429e-06,1.1603792412047622e-13,8.8464741885065485e-11,1.8260074316001125e-07,1.1660304371387475e-06,1.1171037195662259e-05,8.0553739664596596e-08,2.0921237062073701e-09,5.9358703274858182e-10,9.4806027583204864e-13,2.3830497570975164e-08
1.5168139724414337e-06,0.11640260799999998,0.8585084662769803,0.0,0.0,0.31534902402868448,0.11229126151365147,0.013039711648873074,0.00012342464754775884,0.0017999370776973821,1.6260493213419511e-06,0.00076740205633337507,1.9626445609013851e-09,6.0299858556798389e-18,4.7430158161530579e-06,3.4123974672661198e-18,1.2114362529856624e-08,1.3748286444990417e-14,9.968005022679764e-09,1.1985267337599569e-14,7.778905245889239e-16,6.028132720893331e-06,4.1479804158380849e-13,0.0054717138815504876,0.016731012814266564,1.684317619584047e-09,3.1337131401899217e-06,1.1621542666774557e-13,8.8414966315552142e-11,1.8257735458005975e-07,1.166997754475225e-06,1.1219968438756711e-05,8.0970780370622456e-08,2.1049983508126764e-09,5.9630922050610169e-10,9.5149635519341798e-13,2.3772923066534292e-08
1.521811834089427e-06,0.11640260799999998,0.8585084662769803,0.0,0.0,0.31532315894261109,0.11228705520057108,0.013018561206836393,0.00012466609870495342,0.0018096551465864687,1.6222852740507909e-06,0.00077096799565678652,1.9802529535957233e-09,6.0676300886618921e-18,4.752248685080288e-06,3.471032292427871e-18,1.2110246544108802e-08,1.3888776466624908e-14,1.004561784649988e-08,1.2037023370306311e-14,7.8449605990816855e-16,6.0349167384660002e-06,4.2098614605420318e-13,0.0054710545457761885,0.016757489600507595,1.6868867850653127e-09,3.1311138453423823e-06,1.1639198376099528e-13,8.8365568751379308e-11,1.8255403949595882e-07,1.1679594992929762e-06,1.1268886282031088e-05,8.1388363106362768e-08,2.1178878251208421e-09,5.9903100232051909e-10,9.5493036066905233e-13,2.3715834210078195e-08
1.5268096957374202e-06,0.11640260799999998,0.8585084662769803,0.0,0.0,0.31529742537154232,0.11228284000002001,0.012997463279674474,0.0001259149041460295,0.0018193872485821807,1.6185527843022867e-06,0.00077453363407018513,1.9979293455236738e-09,6.1053812623973915e-18,4.7614304935079795e-06,3.5303794501839932e-18,1.2106160543112565e-08,1.4029952590498038e-14,1.0123464360994053e-08,1.2088767112462013e-14,7.9113195056345637e-16,6.0416631468543065e-06,4.2723731787691735e-13,0.0054703971086374837,0.016783832972506421,1.6894422738062713e-09,3.1285335220570431e-06,1.1656759865006308e-13,8.8316545957912348e-11,1.8253079769505167e-07,1.1689157023132592e-06,1.1317790203110088e-05,8.1806484923580433e-08,2.1307918709298309e-09,6.0175234682558546e-10,9.5836228531500047e-13,2.3659226599047481e-08
1.531307771220614e-06,0.11640260799999998,0.8585084662769803,0.0,0.0,0.31527437724762003,0.11227903875698489,0.012978519910634439,0.00012704512146205244,0.0018281580751451846,1.6152202911644009e-06,0.0007777424153626541,2.013896030804255e-09,6.1394486921247709e-18,4.7696506923141761e-06,3.584404731361264e-18,1.2102508561716306e-08,1.4157596100945456e-14,1.0193725217465973e-08,1.2135325534492599e-14,7.9713020078947125e-16,6.0477029461239336e-06,4.3291754870172588e-13,0.0054698070339949762,0.016807428298500154,1.6917305586035433e-09,3.1262273298011222e-06,1.1672484913128126e-13,8.8272742841262227e-11,1.8250994255602584e-07,1.1697715719973986e-06,1.1361791400264827e-05,8.2183253052060571e-08,2.1424177601256968e-09,6.0420115724483006e-10,9.6144921802797721e-13,2.3608687608183344e-08
