Time (s),Volume (m^3),Ar,Ne,N2,X(1),CH4(2),O2(3),CO2(4),H2O(5),H2(6),CO(7),C2H6(8),CH2O(9),CH3(10),C3H8(11),H(12),C2H5(13),CH3OH(14),HCO(15),CH3CHO(16),OH(17),C2H4(18),CH4X(55),OX(20),CH3X(21),HOX(22),H2OX(23),CH2X(27),HX(19),CHX(28),CX(26),OCX(25),CO2X(24)
0.0,0.11640260799999998,0.8585084662769803,0.0,0.0,0.33756756319999998,0.11866996602996532,0.022821567693054285,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
7.005623792274171e-24,0.11640260799999998,0.8585084662769803,0.0,0.0,0.33756756319999998,0.11866996602996532,0.022821567693054285,-4.5481576173875052e-122,1.4378568478753094e-63,1.2302578696896525e-43,1.8858440089895393e-70,4.48813248750586e-59,6.8015880813298089e-47,1.4816818228570999e-26,-9.6964116616131197e-109,1.4816818228569352e-26,4.736965652212878e-69,8.5364250813785625e-72,5.3081256730559113e-71,3.8883083588615946e-100,6.8015894403199383e-47,4.1410515307978964e-86,2.8251634421301292e-18,1.3583636890013839e-19,5.2358675890729423e-23,6.074237580696319e-38,2.1531673116330108e-54,2.2480280986110937e-34,5.2358675891178991e-23,1.3939763270861154e-41,4.6839769714331509e-47,1.4168263993633085e-77,-5.2664824764227559e-110
1.961574661836768e-23,0.11640260799999998,0.8585084662769803,0.0,0.0,0.33756756319999998,0.11866996602996532,0.022821567693054285,8.2410141360144213e-120,1.7152852577132027e-62,7.4334887176318472e-43,2.2388740074726036e-69,6.7824658150288835e-58,4.1081592011236498e-46,4.1487091040004178e-26,5.730327935372149e-108,4.1487091039994208e-26,7.158502493633742e-68,2.6839886310954303e-70,6.3018067990526041e-70,8.6979902664427222e-99,4.1081608145167302e-46,1.1678427885110167e-84,7.9104576379643625e-18,3.8034183292038749e-19,1.4660429249331425e-22,3.668839498735645e-37,2.5562402323593047e-53,1.3578088902585104e-33,1.466042924960295e-22,1.65492860385135e-40,5.5617358026149604e-46,8.6206464240562417e-76,5.3306914005610136e-108
4.48359922705547e-23,0.11640260799999998,0.8585084662769803,0.0,0.0,0.33756756319999998,0.11866996602996531,0.022821567693054285,3.4800870515266866e-117,1.7015767501175169e-61,3.5816866616292187e-42,2.1981397768788934e-68,7.2962672220499249e-57,1.977901814051374e-45,9.4827636662891978e-26,3.3521700324323314e-106,9.4827636662844028e-26,7.700790321504363e-67,5.9878309900872209e-69,6.1871512845159041e-69,1.7185763029786892e-97,1.9779033980902684e-45,2.5403131537873093e-83,1.8081046029632814e-17,8.6935276096088575e-19,3.3509552569557119e-22,1.7663882884590914e-36,2.509731818404077e-52,6.5372644912223428e-33,3.3509552570864405e-22,1.6248185226892195e-39,5.4624904181726462e-45,3.893137870594678e-74,1.1167169125781995e-105
9.527648357492874e-23,0.11640260799999998,0.8585084662769803,0.0,0.0,0.33756756319999998,0.1186699660299653,0.022821567693054285,1.1201541278633546e-114,1.5361554504536123e-60,1.5666608292885223e-41,1.9442297395092949e-67,6.7065266129530256e-56,8.6380168632957337e-45,2.0150872790875349e-25,1.3206555360201342e-104,2.0150872790854399e-25,7.0783530348099459e-66,1.1214544758099722e-67,5.4724652438977822e-68,3.0581147079763666e-96,8.6380308739403658e-45,4.7093124620294192e-82,3.8422222812969647e-17,1.847374617041882e-18,7.1207799208843424e-22,7.7142817274078704e-36,2.2198293715269091e-51,2.8549944250463793e-32,7.1207799214552668e-22,1.4371332374318889e-38,4.8349713036443936e-44,1.4710110977208974e-72,1.7958872222186073e-103
1.961574661836768e-22,0.11640260799999998,0.8585084662769803,0.0,0.0,0.33756756319999992,0.11866996602996525,0.022821567693054285,3.2087332308222458e-112,1.3436005461075914e-59,6.5609272199928651e-41,1.6342422446888019e-66,5.7375747135880979e-55,3.6062020007272509e-44,4.1487091040081984e-25,4.6662953576336793e-103,4.1487091039994538e-25,6.0556800462322315e-65,1.9370337208418861e-66,4.5999367782668457e-67,5.1579574384626824e-95,3.6062137775182676e-44,8.0941048877113841e-81,7.9104576379643036e-17,3.8034183292038752e-18,1.4660429248275574e-21,3.2205607652163777e-35,1.8659003414494522e-50,1.1919033637134025e-31,1.4660429250659071e-21,1.2079964987737601e-37,4.0699060298670778e-43,5.110815609614136e-71,2.5712097237060324e-101
3.9791943140117295e-22,0.11640260799999998,0.8585084662769803,0.0,0.0,0.33756756319999981,0.11866996602996517,0.022821567693054282,8.7008414689880117e-110,1.1874460256571314e-58,2.6970457210166396e-40,1.3398505289557868e-65,4.7439377262809494e-54,1.4732511847735991e-43,8.4159527538632608e-25,1.567681301368251e-101,8.415952753827535e-25,5.0069533676162323e-64,3.2184104976765046e-65,3.7713060873038757e-66,8.4719605811106304e-94,1.4732608400983983e-43,1.3415385257871494e-79,1.6046928351298862e-16,7.715505753527857e-18,2.9739727901193896e-21,1.3157041568708836e-34,1.5297778327519704e-49,4.8693091800836912e-31,2.9739727910931266e-21,9.9038756088076007e-37,3.346301299915404e-42,1.706907683388451e-69,3.4853735776157126e-99
8.014433618361652e-22,0.11640260799999998,0.8585084662769803,0.0,0.0,0.33756756319999964,0.118669966029965,0.022821567693054278,2.3015706466213245e-107,1.1007254389565466e-57,1.1036845443646351e-39,1.0850456963229268e-64,3.85769137250079e-53,5.9551168414752292e-43,1.6950440053628338e-24,5.1390768901589079e-100,1.6950440053483925e-24,4.0715713252030785e-63,5.2468213951285372e-64,3.0541014472223865e-65,1.3733413183737149e-92,5.9551950327987596e-43,2.1843477180965164e-78,3.2319869777967529e-16,1.5539680602175811e-17,5.9898325199574008e-21,5.3182865648242426e-34,1.2388537509391675e-48,1.968248606758662e-30,5.9898325238934058e-21,8.0203998095257247e-36,2.7253837945777772e-41,5.602919719370879e-68,4.6093750669295738e-97
1.6084912227061498e-21,0.11640260799999998,0.8585084662769803,0.0,0.0,0.33756756319999931,0.11866996602996469,0.022821567693054271,6.0386844509023981e-105,1.1098817628722461e-56,4.5463973401270135e-39,8.7333917324884535e-64,3.1113678444746574e-52,2.3945262904194238e-42,3.4019414653378277e-24,1.6643759308934592e-98,3.401941465279759e-24,3.2838697766330968e-62,8.4736305650286198e-63,2.458206545562395e-64,2.2117238555486983e-91,2.3945892255990872e-42,3.5255460236930693e-77,6.4865752631303021e-16,3.1188030299471677e-17,1.2021551976650815e-20,2.138459636845728e-33,9.9713727628715056e-48,7.9142087734774842e-30,1.2021551992477345e-20,6.4554906807891887e-35,2.2185166945462716e-40,1.8309907595963564e-66,6.0466742287771254e-95
3.222586944446119e-21,0.11640260799999998,0.8585084662769803,0.0,0.0,0.33756756319999864,0.11866996602996403,0.022821567693054254,1.5905737486371725e-102,1.2499775591606137e-55,1.9103589044336998e-38,7.0079968556184836e-63,2.499219853048126e-51,9.6031214027825053e-42,6.81573638537573e-24,5.3580160254212709e-97,6.8157363851428499e-24,2.6377827891811668e-61,1.3621113641507108e-61,1.9725559404002032e-63,3.5503066113008098e-90,9.6036264179640234e-42,5.6654578144263188e-76,1.2995751833796667e-15,6.2484729694063279e-17,2.4084990878107189e-20,8.5761795916283473e-33,8.0013986621205454e-47,3.1739257764730343e-29,2.4084990941578916e-20,5.180084846135617e-34,1.820165995846032e-39,6.0182647575441511e-65,7.9635097478317196e-93
