Time (s),Volume (m^3),N2,Ar,He,Ne,X(1),CH4(2),O2(3),CO2(4),H2O(5),H2(6),CO(7),C2H6(8),CH2O(9),CH3(10),C3H8(11),H(12),C2H5(13),CH3OH(14),HCO(15),CH3CHO(16),OH(17),C2H4(18),CH4X(45),OX(20),CH3X(21),HX(19),CH2X(27),CHX(28),CX(26),HOX(22),OCX(25),H2OX(23),CO2X(24),CHOX(50)
1.2265553201345631e-18,0.066515776,0.80000000000000004,0.0,0.0,0.0,0.19289575039954632,0.099999999999684563,0.099999999999931088,2.0584259630265488e-79,9.5581962719776789e-49,2.3174380312123044e-31,2.3832550142666134e-64,3.4416905806155032e-42,1.4275088327194979e-106,4.2955398661985037e-32,1.6175108612750343e-112,4.0529720495801038e-32,1.4429024890475931e-71,4.2545938404304956e-54,4.039203866064551e-96,5.2991788384631732e-99,6.6341946785260928e-47,1.9457424714078617e-86,3.1508234155599627e-13,1.3785735532914739e-13,3.6235955759412927e-16,3.623599389797548e-16,9.8670366726122223e-23,6.1343586301755489e-23,3.6486509975982964e-27,4.7903994679405387e-28,1.7491060029868954e-46,9.9430077031966699e-40,1.7334576119375643e-71,1.4294928274710349e-70
2.453118958436161e-18,0.066515776,0.80000000000000004,0.0,0.0,0.0,0.19289575039909265,0.099999999999369121,0.099999999999862157,7.7899426297532276e-77,1.5293257931901555e-47,1.3532112684974239e-30,2.2554285668452564e-62,2.7533719794164947e-41,1.0803115439253804e-103,9.0764899009466964e-32,1.0761191997896768e-110,8.1062140671555365e-32,2.3086617115468051e-70,6.8074104544533086e-53,1.4957861286237034e-93,1.0035400503983424e-96,5.3073879741997481e-46,6.2264255617642966e-85,6.3016681987721636e-13,2.7571564556866747e-13,7.2472125257297737e-16,7.2472289098346396e-16,2.8185124647255195e-22,3.5817915545574472e-22,4.3018091476066418e-26,1.9161698186242662e-27,8.2673545021907388e-45,7.9544544683596551e-39,3.2791665518548715e-69,2.7041526106049e-68
4.906246235039357e-18,0.066515776,0.80000000000000004,0.0,0.0,0.0,0.19289575039818532,0.099999999998738223,0.099999999999724296,2.616981085985515e-74,2.4469355416710274e-46,6.9940371319364883e-30,1.894888619813133e-60,2.2027026659022674e-40,7.2572161177645047e-101,2.009453581537321e-31,7.4107229652144063e-109,1.6213425552383463e-31,3.6938685016825376e-69,1.0891901329899788e-51,4.9698041973743315e-91,1.687374225840893e-94,4.2459241573239011e-45,1.9924617779728771e-83,1.2603357764052046e-12,5.5143222604473101e-13,1.4494436824089582e-15,1.4494506549145975e-15,7.088363308988839e-22,1.8510120001546569e-21,4.499219551903097e-25,7.6647010499150135e-27,3.4682020337587133e-43,6.363584222800566e-38,5.5062283892006836e-67,4.5406534197285855e-66
9.81250078824575e-18,0.066515776,0.80000000000000004,0.0,0.0,0.0,0.19289575039637066,0.099999999997476441,0.099999999999448586,7.9264638988349189e-72,3.9151173910968329e-45,3.2607544820293383e-29,1.4353179797344011e-58,1.7621598078787156e-39,4.3954178858388481e-98,4.7955195590944004e-31,5.4129787188940957e-107,3.2430758338479817e-31,5.9101832689600817e-68,1.7427066145920484e-50,1.496890439237378e-88,2.5579553576055162e-92,3.3967462537786621e-44,6.3758716300655041e-82,2.520673689003375e-12,1.1028653869849507e-12,2.8988847016042727e-15,2.8989138201092009e-15,1.6093196682907005e-21,8.6276277806920204e-21,4.2430795541791154e-24,3.0658861451496373e-26,1.311799415674117e-41,5.0908777588632899e-37,8.3360745150895997e-65,6.8741103712045699e-64
1.9625009894658534e-17,0.066515776,0.80000000000000004,0.0,0.0,0.0,0.19289575039274132,0.099999999994952862,0.099999999998897152,2.2309393713757697e-69,6.2642336230324661e-44,1.4178998562156532e-28,1.0102066490669585e-56,1.4097199439449018e-38,2.4738051463239756e-95,1.2697466346558817e-30,4.3220327225137924e-105,6.4877063296611804e-31,9.4562429018612575e-67,2.7883287723186127e-49,4.201091332789671e-86,3.6026230772248701e-90,2.717402041015519e-43,2.0402683415510388e-80,5.0413495123684882e-12,2.2057317088177622e-12,5.7977513781696287e-15,5.7978708789984491e-15,3.4300150515049149e-21,3.7497434417740301e-20,3.721464311145817e-23,1.2263566991988698e-25,4.6116510348640755e-40,4.0727097536198174e-36,1.1728171786001543e-62,9.6708586616218334e-62
3.92500281074841e-17,0.066515776,0.80000000000000004,0.0,0.0,0.0,0.19289575038548262,0.099999999989905719,0.099999999997794284,6.0034924451386072e-67,1.0022937126154151e-42,5.9225571772871056e-28,6.7973735988459409e-55,1.1277616385371974e-37,1.3312123654427743e-92,3.7820520481241836e-30,4.8318859646149607e-103,1.298162317450832e-30,1.5129803545947073e-65,4.4613043318615313e-48,1.1288370644729824e-83,4.8503930966062386e-88,2.173927275049296e-42,6.5287802583349709e-79,1.0082701151773804e-11,4.4114643522928707e-12,1.1595423284650347e-14,1.1595908093659402e-14,7.0757896312800803e-21,1.5646954443136187e-19,3.1238210299882768e-22,4.9054400481887896e-25,1.5504913069837252e-38,3.2581762525357671e-35,1.5777763159796891e-60,1.3008971017785804e-59
7.850006453313524e-17,0.066515776,0.80000000000000004,0.0,0.0,0.0,0.19289575037096526,0.099999999979811419,0.099999999995588548,1.5748963173364219e-64,1.6037161189618074e-41,2.4216363017290436e-27,4.4583463407566019e-53,9.0218573566445107e-37,6.9829317261767373e-90,1.2534248084919285e-29,5.1266884685369861e-101,2.5988081069245448e-30,2.4207074140700243e-64,7.1380238710067108e-47,2.9586591273026252e-81,6.3670603002030164e-86,1.7391498806094718e-41,2.0891577701716957e-77,2.0165404401284795e-11,8.8229296384810314e-12,2.3190521316221995e-14,2.3192475773514575e-14,1.43676939331837e-20,6.3849723238458683e-19,2.5581036931739666e-21,1.9621856853615395e-24,5.0827925495290974e-37,2.6065530721465257e-34,2.0692912423387822e-58,1.7058472506822363e-57
1.570001373844375e-16,0.066515776,0.80000000000000004,0.0,0.0,0.0,0.19289575034193054,0.099999999959622818,0.099999999991177077,4.0709346461743296e-62,2.566092412561497e-40,9.7940480943646721e-27,2.8812654873787744e-51,7.2171060269466736e-36,3.6088125552355238e-87,4.4948348912395445e-29,5.878570237541399e-99,5.2075500037799575e-30,3.8729346437162458e-63,1.1420632806005691e-45,7.6423413337657538e-79,8.2468087762822761e-84,1.3913324159358617e-40,6.6849698976355171e-76,4.0330810783108223e-11,1.7645860207809128e-11,4.6379734295482832e-14,4.6387590873677005e-14,2.8950914098288554e-20,2.5720271487869403e-18,2.0650757045856544e-20,7.8488182084497376e-24,1.6420321877184309e-35,2.0852611921914997e-33,2.674293644149541e-56,2.2037865594227804e-55
2.355002102357398e-16,0.066515776,0.80000000000000004,0.0,0.0,0.0,0.19289575031289583,0.099999999939434217,0.099999999986765606,3.0931468096165783e-61,9.7394261779143673e-40,2.0879958517204367e-26,1.6165692246411383e-50,2.1425141773337091e-35,3.1050671667373326e-86,9.2271526434992793e-29,3.28456926569938e-98,7.8237428565454408e-30,1.4651738997748398e-62,4.3541006264790905e-45,5.8057971616838341e-78,5.4202793278745146e-83,3.9783660921944516e-40,3.1184597038140634e-75,6.0496217047733108e-11,2.6468790774089e-11,6.9567964232533262e-14,6.9584692286654552e-14,4.3533516483959473e-20,5.4682182182879286e-18,5.9116355937948377e-20,1.6678878223000611e-23,7.6897784647739107e-35,5.9625811100925223e-33,1.7713850733139345e-55,1.4595406674696233e-54
3.1400028308704206e-16,0.066515776,0.80000000000000004,0.0,0.0,0.0,0.19289575028386111,0.099999999919245616,0.099999999982354135,1.5226664494986545e-60,2.6015970274374959e-39,3.5679215475005682e-26,5.9035843946141769e-50,4.668277193957145e-35,1.8291210392678787e-85,1.5450314862076335e-28,1.6480348199005466e-97,1.0447387305393298e-29,3.8137439618299921e-62,1.1714898478677329e-44,2.8577257517178878e-77,2.2234087258551662e-82,8.3915784202771893e-40,9.49553924969911e-75,8.0661623195159432e-11,3.5291721337320648e-11,9.2755211169049545e-14,9.2783786770110322e-14,5.8115500687148315e-20,9.3203046322189223e-18,1.246790425585013e-19,2.8452444076971911e-23,2.4815671415082015e-34,1.2576888500505458e-32,8.0017517726087328e-55,6.5927502760346079e-54
