Time (s),Volume (m^3),N2,Ar,He,Ne,X(1),CH4(2),O2(3),CO2(4),H2O(5),H2(6),CO(7),C2H6(8),CH2O(9),CH3(10),C3H8(11),H(12),C2H5(13),CH3OH(14),HCO(15),CH3CHO(16),OH(17),C2H4(18),CH4X(28),CO2X(29),HX(19),CH3X(22),CH2X(58),CHX(26),C2H6X(34),H2X(31),CX(24),C2H5X(33),HOCXO(25),C3H8X(38),C3H7X(36),C3H7(49),C3H7X(37),C3H7(50),CH2O2(65),CH2O2X(92),CHO2X(91)
3.8619693110822805e-21,0.08314471999999999,0.80000000000000004,0.0,0.0,0.0,0.24111968799999245,0.099999999999994468,0.0,0.099999999999998007,0.0,4.3297373487086215e-55,0.0,4.7405394180664354e-50,0.0,1.8371617251751137e-34,9.1461323586131079e-97,5.8381082367919684e-43,1.0327014009364855e-78,0.0,0.0,0.0,0.0,0.0,5.5458836357913058e-15,2.0090200912427782e-15,2.617877629003486e-22,2.6178776289985583e-22,1.5449316439152811e-34,1.0245829862566009e-43,1.6392683384915053e-63,1.4456104906802445e-68,1.9908996171329116e-63,1.1555325905783569e-68,2.2397974281682748e-43,3.0848599737493389e-110,1.9475361738231643e-115,1.3917043683182752e-125,1.3829076594923066e-115,9.9099729830390997e-126,4.0743911628278707e-74,6.8881131914941691e-88,1.7976621182642753e-91
7.725615551956608e-21,0.08314471999999999,0.80000000000000004,0.0,0.0,0.0,0.2411196879999849,0.099999999999988917,0.0,0.099999999999995995,0.0,3.4655445110540958e-54,0.0,3.7943528993918207e-49,0.0,7.3510399146564081e-34,5.858047295977535e-95,2.3360037435310636e-42,3.3064991876652935e-77,0.0,0.0,0.0,0.0,0.0,1.1094175383152545e-14,4.0189125314814532e-15,5.2368919829896782e-22,5.2368919829699628e-22,6.1817389382100634e-34,8.1997778018279201e-43,2.6242530509754811e-62,2.314232135603783e-67,3.1867359528231773e-62,1.8498563299646069e-67,8.9621071739215336e-43,3.9516957795392764e-108,2.4947876222154926e-113,3.5655486272450515e-123,1.7715048545064108e-113,2.5389430844047836e-123,6.5228172036661542e-73,2.2055208604460097e-86,5.7559758265129183e-90
1.5452908033705263e-20,0.08314471999999999,0.80000000000000004,0.0,0.0,0.0,0.24111968799996977,0.099999999999977815,0.0,0.09999999999999197,0.0,2.7731376331006766e-53,0.0,3.0362510531941096e-48,0.0,2.9408946368283516e-33,3.7505981493588804e-93,9.3455360884194924e-42,1.0583765833800268e-75,0.0,0.0,0.0,0.0,0.0,2.2190758874369834e-14,8.0386974114979687e-15,1.04749206909701e-21,1.0474920690891229e-21,2.4730981026632019e-33,6.5610680662650616e-42,4.1999441730342503e-61,3.7037759830524949e-66,5.0998150308965596e-61,2.9605737047846804e-66,3.5854264389347637e-42,5.0601395068061372e-106,3.1945711697291792e-111,9.1313714993818232e-121,2.2684117727978025e-111,6.5022426769989432e-121,1.0439541577268827e-71,7.0597869083743438e-85,1.842465583415643e-88
3.090749299720257e-20,0.08314471999999999,0.80000000000000004,0.0,0.0,0.0,0.24111968799993955,0.099999999999955624,0.0,0.099999999999983935,0.0,2.2187909504740647e-52,0.0,2.4293083735528379e-47,0.0,1.1764535957383081e-32,2.4008462409373939e-91,3.738518679897564e-41,3.387280087754607e-74,0.0,0.0,0.0,0.0,0.0,4.4383925842783653e-14,1.6078267169687665e-14,2.0950978106963091e-21,2.0950978106647584e-21,9.8931975030232567e-33,5.2493528264046429e-41,6.7208222379004195e-60,5.9268453386083077e-65,8.1605341432990418e-60,4.737560879444986e-65,1.4342872929547503e-41,6.478238955449892e-104,4.0898468059635935e-109,2.3380877858478187e-118,2.9041339558476632e-109,1.6649003928506774e-118,1.6705694108205761e-70,2.2594710874799427e-83,5.8967753137876551e-87
6.181666292419718e-20,0.08314471999999999,0.80000000000000004,0.0,0.0,0.0,0.2411196879998791,0.099999999999911243,0.0,0.099999999999967851,0.0,1.7751451048433824e-51,0.0,1.9435697187199602e-46,0.0,4.7060058717517816e-32,1.5366899061289969e-89,1.4954683230352921e-40,1.0840056366157839e-72,0.0,0.0,0.0,0.0,0.0,8.8770259723528235e-14,3.2157406678693689e-14,4.1903092939077684e-21,4.1903092937815598e-21,3.9574400096387688e-32,4.1996816055001096e-40,1.0754044875113766e-58,9.4835955949575597e-64,1.3057518698726038e-58,7.5806118007969621e-64,5.7373825764560587e-41,8.2929525933243972e-102,5.235513218242155e-107,5.9860893461811416e-116,3.7176543088284175e-107,4.2625626721542767e-116,2.673105262659594e-69,7.2308503222793026e-82,1.8871097723035329e-85
1.2363500277818641e-19,0.08314471999999999,0.80000000000000004,0.0,0.0,0.0,0.24111968799975816,0.099999999999822467,0.0,0.099999999999935696,0.0,1.4201610230473646e-50,0.0,1.5549049843804387e-45,0.0,1.882440647115527e-31,9.8352900126351057e-88,5.9819949964899366e-40,3.4689396514836501e-71,0.0,0.0,0.0,0.0,0.0,1.7754292726068524e-13,6.4315685667212304e-14,8.3807322603821282e-21,8.3807322598772833e-21,1.5830081934922725e-31,3.3598249992746406e-39,1.7207055236380248e-57,1.5174267396200012e-62,2.0892561039587452e-57,1.2129390396728448e-62,2.294999681591574e-40,1.0615495631966695e-99,6.701782880681228e-105,1.5325137044903802e-113,4.7588297398100939e-105,1.0912695062190631e-113,4.2771237354567677e-68,2.3139589308865665e-80,6.0389778793064641e-84
2.472716824861649e-19,0.08314471999999999,0.80000000000000004,0.0,0.0,0.0,0.2411196879995163,0.099999999999644928,0.0,0.099999999999871386,0.0,1.136146794406206e-49,0.0,1.2439436714890613e-44,0.0,7.5298391857599852e-31,6.2947374739215748e-86,2.3928223397060919e-39,1.1100801445844954e-69,0.0,0.0,0.0,0.0,0.0,3.5508826143767059e-13,1.286322435262758e-13,1.6761578193536611e-20,1.676157819151721e-20,6.3320970528361562e-31,2.6878918457865322e-38,2.7531755070982665e-56,2.4279239343553604e-61,3.3428522085708834e-56,1.9407353807662569e-61,9.1800917832199651e-40,1.3588164795716064e-97,8.5784906737687435e-103,3.9233308551986403e-111,6.0914506696636827e-103,2.79371835789366e-111,6.8435220540346321e-67,7.4048073089942616e-79,1.9325091301398558e-82
4.945450419021219e-19,0.08314471999999999,0.80000000000000004,0.0,0.0,0.0,0.24111968799903258,0.099999999999289838,0.0,0.099999999999742753,0.0,9.0892462600709888e-49,0.0,9.9516281072130611e-44,0.0,3.0119509936609086e-30,4.0286805621999232e-84,9.5713380414508841e-39,3.5522875764102177e-68,0.0,0.0,0.0,0.0,0.0,7.101789262023265e-13,2.5726535877250779e-13,3.3523270060668631e-20,3.3523270052590974e-20,2.5328515961813711e-30,2.150326151246878e-37,4.4051181264734868e-55,3.8847111990379572e-60,5.3485973336708458e-55,3.1052029287854786e-60,3.6720551279451804e-39,1.7393062228657843e-95,1.098060147078718e-100,1.0043849497693769e-108,7.7971518996217861e-101,7.1520065184186464e-109,1.0949733981629147e-65,2.3695604096733229e-77,6.1840868355605642e-81
9.890917607340357e-19,0.08314471999999999,0.80000000000000004,0.0,0.0,0.0,0.24111968799806513,0.099999999998579656,0.0,0.099999999999485487,0.0,7.2714257707342625e-48,0.0,7.9613339780284356e-43,0.0,1.2047834612058914e-29,2.5783710810190999e-82,3.8285449532790178e-38,1.136736992220268e-66,0.0,0.0,0.0,0.0,0.0,1.4203602413743792e-12,5.1453158737739172e-13,6.7046653798224863e-20,6.7046653765914174e-20,1.0131431288605996e-29,1.7202658884387994e-36,7.0482187885417134e-54,6.2155641874514657e-59,8.5577822808351316e-54,4.9683456953756603e-59,1.4688255766805313e-38,2.2263254468620405e-93,1.4055255036971409e-98,2.5712411110400334e-106,9.9804150936251034e-99,1.8309248413373466e-106,1.7519651510553836e-64,7.5826278162692125e-76,1.9789168045413194e-79
1.9781851983978632e-18,0.08314471999999999,0.80000000000000004,0.0,0.0,0.0,0.24111968799613023,0.099999999997159292,0.0,0.099999999998970954,0.0,5.8171521227031096e-47,0.0,6.3690797761781555e-42,0.0,4.8191399712200591e-29,1.6501624274019433e-80,1.5314199287748633e-37,3.6375662566513175e-65,0.0,0.0,0.0,0.0,0.0,2.8407228142894522e-12,1.0290640370368396e-12,1.3409342128650619e-19,1.3409342115726321e-19,4.0525769792078725e-29,1.37621453385453e-35,1.1277173679333401e-52,9.9449235411394525e-58,1.3692471308996092e-52,7.9493697715353111e-58,5.8753080982376096e-38,2.8497050944867464e-91,1.799078035984731e-96,6.582397048906813e-104,1.2824666146162818e-96,4.705344309292359e-104,2.8031498316860545e-63,2.4264459049356982e-74,6.3325469097832253e-78
3.956372073725519e-18,0.08314471999999999,0.80000000000000004,0.0,0.0,0.0,0.24111968799226044,0.099999999994318564,0.0,0.099999999997941888,0.0,4.6537263022495837e-46,0.0,5.0952688533745888e-41,0.0,1.9276572128932996e-28,1.0561054932434401e-78,6.1256836109989854e-37,1.1640224203607149e-63,0.0,0.0,0.0,0.0,0.0,5.6814477304034827e-12,2.0581289061544564e-12,2.6818695631574427e-19,2.681869557987719e-19,1.6210312708239557e-28,1.1009720941235455e-34,1.804349610481984e-51,1.5911893781944029e-56,2.1907964772695147e-51,1.2719004486246215e-56,2.3501233900017156e-37,3.6476277057807356e-89,2.3028231870528762e-94,1.6850960703949622e-101,1.641609312965489e-94,1.2046243626181583e-101,4.4850423425944696e-62,7.7646315917389092e-73,2.0264162856402377e-76
7.912745824380829e-18,0.08314471999999999,0.80000000000000004,0.0,0.0,0.0,0.24111968798452085,0.099999999988637109,0.0,0.099999999995883757,0.0,3.7229828860536652e-45,0.0,4.0762170875536098e-40,0.0,7.7106312933867933e-28,6.7590795753271809e-77,2.4502742243563998e-36,3.72487342029957e-62,0.0,0.0,0.0,0.0,0.0,1.1362896643767238e-11,4.1162585235845829e-12,5.3637402658492198e-19,5.3637402451703174e-19,6.4841227326787896e-28,8.8077744259194109e-34,2.8869606177971475e-50,2.5459041162026027e-55,3.5052736020758108e-50,2.0350415938232917e-55,9.4004858006580467e-37,4.6689660911290123e-87,2.9476154092715046e-92,4.313848486199963e-99,2.1012616347444054e-92,3.0838414363680214e-99,7.1760638854391579e-61,2.4846807423204498e-71,6.4845288596994054e-75
1.582549332569145e-17,0.08314471999999999,0.80000000000000004,0.0,0.0,0.0,0.24111968796904171,0.099999999977274212,0.0,0.099999999991767494,0.0,2.9783870507339786e-44,0.0,3.2609744589929009e-39,0.0,3.0842530001193952e-27,4.3258116912717825e-75,9.8010984635529165e-36,1.1919595871415807e-60,0.0,0.0,0.0,0.0,0.0,2.2725790795038721e-11,8.2325172752244569e-12,1.0727481679660877e-18,1.0727481596945216e-18,2.5936459758346645e-27,7.0462118975546395e-33,4.6191372887982628e-49,4.073446904561554e-54,5.608431983463525e-49,3.2560667641531542e-54,3.7601863198072517e-36,5.9762765105217479e-85,3.7729478510088631e-90,1.1043452520745365e-96,2.6896149423523854e-90,7.8946342535639953e-97,1.1481680079471879e-59,7.9509626305440277e-70,2.0750453265399758e-73
2.3738240827002072e-17,0.08314471999999999,0.80000000000000004,0.0,0.0,0.0,0.24111968795356256,0.099999999965911315,0.0,0.099999999987651231,0.0,8.8419145597507632e-44,0.0,9.6810185762096233e-39,0.0,6.554037920683782e-27,2.4561724897480301e-74,2.0827335220869766e-35,5.5607491211232694e-60,0.0,0.0,0.0,0.0,0.0,3.4088681270855351e-11,1.2348775543644013e-11,1.6091223101900656e-18,1.6091222926129818e-18,5.5114927723479761e-27,2.0147748403199058e-32,1.7475134126493228e-48,1.5410455373581088e-53,2.0642742761100331e-48,1.2319162295075688e-53,7.9903836745971983e-36,3.9644147831043013e-84,2.5028176693981522e-89,8.4014989433240082e-96,1.780567035415774e-89,5.995418903966546e-96,4.3773864217150985e-59,3.7316694229610033e-69,9.7389257774342049e-73
3.165098832831269e-17,0.08314471999999999,0.80000000000000004,0.0,0.0,0.0,0.24111968793808342,0.099999999954548419,0.0,0.099999999983534968,0.0,1.9265752859573409e-43,0.0,2.1094430693366199e-38,0.0,1.1180417886133495e-26,9.4473181472253737e-74,3.5528984501743783e-35,1.6935919112329282e-59,0.0,0.0,0.0,0.0,0.0,4.5451568071218321e-11,1.6465033328843308e-11,2.1454964532568579e-18,2.1454964232724124e-18,9.4019503465640271e-27,4.2497409514996376e-32,4.5487672794373771e-48,4.0112795658697776e-53,5.2354438235430458e-48,3.2075833401051192e-53,1.3630635001896558e-35,1.6914281991749995e-83,1.0678338829399581e-88,3.9535001218771534e-95,7.6141356535415268e-89,2.8257344701730593e-95,1.1777668880499324e-58,1.1632727648088917e-68,3.0359140121206547e-72
4.7476483330933934e-17,0.08314471999999999,0.80000000000000004,0.0,0.0,0.0,0.24111968790712512,0.099999999931822667,0.0,0.099999999975302456,0.0,5.5920908228357782e-43,0.0,6.1230626939913899e-38,0.0,2.3147635560242386e-26,7.1963449807096339e-73,7.3558251247889286e-35,7.72148813524347e-59,0.0,0.0,0.0,0.0,0.0,6.8177333045883265e-11,2.4697547765153697e-11,3.2182447413684839e-18,3.2182446792894679e-18,1.9465516257502693e-26,1.1607348073436559e-31,1.6693332421971217e-47,1.4720480495820319e-52,1.8308584475817541e-47,1.1781884748395238e-52,2.8220430496599261e-35,1.4821355537569939e-82,9.3570308898934678e-88,3.9598843656005823e-94,6.7168027469279406e-88,2.8479122747393913e-94,4.7636686707618833e-58,5.7315627670931619e-68,1.495825671892255e-71
6.330197833355518e-17,0.08314471999999999,0.80000000000000004,0.0,0.0,0.0,0.24111968787616683,0.099999999909096915,0.0,0.099999999967069944,0.0,1.222902637334407e-42,0.0,1.3390447731079902e-37,0.0,3.9368065681362943e-26,2.7183835338303045e-72,1.2510332074973412e-34,2.3202437186739634e-58,0.0,0.0,0.0,0.0,0.0,9.0903084504604111e-11,3.2930060424491298e-11,4.2909930325794586e-18,4.2909929269992649e-18,3.3105699645067313e-26,2.428643140288466e-31,4.3287056725685857e-47,3.8170639974783967e-52,4.5748133957584483e-47,3.0564419939593758e-52,4.7995450480505657e-35,6.3618767182311776e-82,4.0163855273151487e-87,1.8862489912043527e-93,2.8869963132181631e-87,1.3588041335732955e-93,1.2903447997449551e-57,1.7984121235334986e-67,4.6935037555445345e-71
7.912747333617641e-17,0.08314471999999999,0.80000000000000004,0.0,0.0,0.0,0.24111968784520862,0.099999999886371177,0.0,0.099999999958837432,0.0,2.2943015255174155e-42,0.0,2.5122302493576298e-37,0.0,6.0145509105826125e-26,8.3171541081851228e-72,1.9112960752616931e-34,5.7910877499735013e-58,0.0,0.0,0.0,0.0,0.0,1.1362882148196423e-10,4.1162571179929885e-11,5.3637413271111802e-18,5.3637411658084306e-18,5.0577957704118956e-26,4.4212476766480446e-31,9.4646134531173843e-47,8.3458067892658457e-52,9.7059580324733443e-47,6.6846813522839163e-52,7.3326030416240435e-35,2.155611666224e-81,1.3608826480339495e-86,7.0440494093572975e-93,9.8013790175674053e-87,5.0823372243481743e-93,2.8987147583192678e-57,4.6232136543402409e-67,1.2065683578321576e-70
1.107784633414189e-16,0.08314471999999999,0.80000000000000004,0.0,0.0,0.0,0.24111968778329215,0.099999999840919743,0.0,0.099999999942372408,0.0,6.2775321325417287e-42,0.0,6.8739196626077517e-37,0.0,1.1565768073504901e-25,7.3623464937800331e-71,3.6753545905918048e-34,3.1781932291794584e-57,0.0,0.0,0.0,0.0,0.0,1.5908025108302123e-10,5.7627586859520668e-11,7.5092379263455595e-18,7.5092376161657782e-18,9.7259301575850894e-26,1.1673366186207074e-30,3.6405107381391819e-46,3.2100998271461235e-51,3.5559527594497354e-46,2.5714421753043759e-51,1.4100258253970362e-34,2.9736466059997854e-80,1.8773253741349201e-85,1.5521963576698953e-91,1.3509837111564035e-85,1.1201367334503949e-91,1.1240781034273346e-56,2.6082256095973454e-66,6.8069601348721196e-70
