Time (s),Volume (m^3),Ar,Ne,N2,X(1),CH4(2),O2(3),CO2(4),H2O(5),H2(6),CO(7),C2H6(8),CH2O(9),CH3(10),C3H8(11),H(12),C2H5(13),CH3OH(14),HCO(15),CH3CHO(16),OH(17),C2H4(18),CH4X(48),OX(20),HX(19),CH3X(21),CH3OO(77),CH2X(27),CHX(28),CX(26),H2X(49),C2H4(47),C2H6X(52)
5.399167965093974e-21,0.16628943999999996,0.8585084662769803,0.0,0.0,0.45230727679999722,0.11866996602996267,0.022821567693054247,0.0,2.4527865719655599e-64,1.4525590461121163e-30,0.0,6.6145701734187445e-46,0.0,4.7651938914270389e-17,5.8623157835117507e-90,4.7651938914241497e-17,4.363901962294149e-61,6.7682854350744184e-79,0.0,0.0,1.404486939817645e-50,9.0613063069958483e-72,2.602403201212217e-15,7.7052533457254435e-17,3.0846712905338005e-19,3.0846712897994661e-19,1.6314586599761414e-31,2.3641838864657532e-29,3.3895359127501497e-36,5.8184104402301067e-42,5.138254226708591e-44,6.5483773870824926e-82,5.6548899698817902e-60
1.0803026779853538e-20,0.16628943999999996,0.8585084662769803,0.0,0.0,0.45230727679999455,0.11866996602996002,0.022821567693054209,0.0,3.9276542617191418e-63,5.8140216625911285e-30,0.0,5.2970207911652499e-45,0.0,9.5345278296802712e-17,3.7576809524027492e-88,9.534527829668707e-17,6.9898271730458732e-60,2.1685252819604078e-77,0.0,0.0,1.1244435400441539e-49,2.9028725049550317e-70,5.2070673956476328e-15,1.5417201090534784e-16,6.1720225740292422e-19,6.172022571089991e-19,6.5300863405033403e-31,9.4628954286541772e-29,2.7136886922685449e-35,5.3156055239686792e-41,4.1137276599154117e-43,4.1957412454338986e-80,9.0576515958180721e-59
2.1610744409372666e-20,0.16628943999999996,0.8585084662769803,0.0,0.0,0.45230727679998917,0.11866996602995472,0.022821567693054132,0.0,6.2868046916851438e-62,2.3263659764434532e-29,0.0,4.2397635425837628e-44,0.0,1.907319570620113e-16,2.4067731153026709e-86,1.9073195706154856e-16,1.1189794162892449e-58,6.9435623585231074e-76,0.0,0.0,8.9989657338777688e-49,9.2944023748499243e-69,1.0416395784515047e-14,3.084109658015304e-16,1.2346725142606357e-18,1.2346725130845514e-18,2.6128851166366832e-30,3.7863896837330263e-28,2.1717740651878974e-34,5.3062412958475207e-40,3.2922323737581171e-42,2.6868048718866615e-78,1.4500109151602644e-57
4.322617966841092e-20,0.16628943999999996,0.8585084662769803,0.0,0.0,0.45230727679997845,0.1186699660299441,0.02282156769305398,0.0,1.0060934315385015e-60,9.3069787444464775e-29,0.0,3.3926698076171438e-43,0.0,3.8150531459300434e-16,1.5409293993961823e-84,3.8150531459115313e-16,1.7908528592001586e-57,2.222625239664276e-74,0.0,0.0,7.2005398447201913e-48,2.9750426710595824e-67,2.0835052562236213e-14,6.168888755938788e-16,2.4696130286105496e-18,2.4696130239054461e-18,1.045324185355349e-29,1.5148015586910094e-27,1.7377466056401301e-33,5.9295414536511083e-39,2.634286104227238e-41,1.7200450237353811e-76,2.3206469714003018e-56
8.645705018648743e-20,0.16628943999999996,0.8585084662769803,0.0,0.0,0.45230727679995697,0.11866996602992289,0.022821567693053671,0.0,1.6099132555949494e-59,3.7230944871631415e-28,0.0,2.7144794773641184e-42,0.0,7.6305202965729365e-16,9.8638513212067401e-83,7.6305202964988832e-16,2.865753264132016e-56,7.1134974245348955e-73,0.0,0.0,5.7609788373568229e-47,9.5214710031769338e-66,4.1672366117623885e-14,1.2338446951785087e-15,4.9394940598483474e-18,4.9394940410263927e-18,4.1816370300927265e-29,6.0596924212900561e-27,1.3903251015188394e-32,7.4383151502438754e-38,2.1076289868640638e-40,1.1009856088034978e-74,3.7135388314955455e-55
1.7291879122264045e-19,0.16628943999999996,0.8585084662769803,0.0,0.0,0.45230727679991406,0.11866996602988045,0.022821567693053053,0.0,2.5759922293129667e-58,1.4892983949584907e-27,0.0,2.1717210426281119e-41,0.0,1.5261454597950857e-15,6.31347392500775e-81,1.5261454597654628e-15,4.5855161948146083e-55,2.2764946572872704e-71,0.0,0.0,4.6090018663717183e-46,3.0470842466297306e-64,8.3346993228180577e-14,2.4677563343475004e-15,9.8792561324758533e-18,9.8792560571849193e-18,1.6727228618234538e-28,2.4239700341584497e-26,1.1123061892932984e-31,1.0261872119074818e-36,1.6861832351885022e-39,7.046809663362633e-73,5.9420651002550644e-54
3.458422732949465e-19,0.16628943999999996,0.8585084662769803,0.0,0.0,0.45230727679982824,0.11866996602979556,0.022821567693051818,0.0,4.1216923867444326e-57,5.9573147826473266e-27,0.0,1.7374318198165492e-40,0.0,3.0523323201075222e-15,4.040818225859122e-79,3.0523323199890289e-15,7.3370746936169315e-54,7.2850636871071256e-70,0.0,0.0,3.6872890142983832e-45,9.7510112201596917e-63,1.6669624744841935e-13,4.9355796126844097e-15,1.9758780318338813e-17,1.9758780017168498e-17,6.6910274663194305e-28,9.6960328702840365e-26,8.8985536088477088e-31,1.510723574570667e-35,1.3489786073314584e-38,4.5101187408374685e-71,9.5076265457346342e-53
6.916892374395587e-19,0.16628943999999996,0.8585084662769803,0.0,0.0,0.45230727679965654,0.11866996602962579,0.022821567693049351,0.0,6.5947916768979221e-56,2.3829501542127488e-26,0.0,1.3899674500604791e-39,0.0,6.1047060408798068e-15,2.5861860354863557e-77,6.1047060404058323e-15,1.1739518523798104e-52,2.3312653066889301e-68,0.0,0.0,2.9498662208175442e-44,3.120378237680031e-61,3.3339475588539851e-13,9.8712261693539071e-15,3.9517828852498844e-17,3.9517827647801795e-17,2.6764381241988211e-27,3.8784169746782388e-25,7.1187559805226883e-30,2.312174640545798e-34,1.0791956937832011e-37,2.8865273533316221e-69,1.5212460379494343e-51
1.3833831657287828e-18,0.16628943999999996,0.8585084662769803,0.0,0.0,0.45230727679931321,0.11866996602928624,0.022821567693044414,0.0,1.055173377300655e-54,9.531849102377277e-26,0.0,1.1119827571360017e-38,0.0,1.2209453483014023e-14,1.6551790175280422e-75,1.2209453481118112e-14,1.8783388802501277e-51,7.4601208675427256e-67,0.0,0.0,2.3599069811886356e-43,9.9852977024811917e-60,6.6679177274536328e-13,1.9742519282675482e-14,7.9035926570573984e-17,7.9035921751732909e-17,1.0705806241368466e-26,1.5513461794469156e-24,5.6947643621710332e-29,3.6153680488216984e-33,8.6336167834759009e-37,1.8473939158564514e-67,2.434014291317475e-50
2.7667710223072316e-18,0.16628943999999996,0.8585084662769803,0.0,0.0,0.45230727679862653,0.11866996602860716,0.022821567693034544,0.0,1.6882827718473129e-53,3.8127493404799469e-25,0.0,8.8958972349743066e-38,0.0,2.4418948369641037e-14,1.0593209514744637e-73,2.4418948362057379e-14,3.0053549261862636e-50,2.3872501810035079e-65,0.0,0.0,1.8879311878867293e-42,3.1953091790884993e-58,1.3335858064093193e-12,3.948510550924772e-14,1.5807212460589375e-16,1.5807210533025355e-16,4.2823328206773386e-26,6.205172501047577e-24,4.5553863064739146e-28,5.7169042893907763e-32,6.9069139220468997e-36,1.1823373247988451e-65,3.8944393639695873e-49
