Time (s),Volume (m^3),Ar,Ne,N2,X(1),CH4(2),O2(3),CO2(4),H2O(5),H2(6),CO(7),C2H6(8),CH2O(9),CH3(10),C3H8(11),H(12),C2H5(13),CH3OH(14),HCO(15),CH3CHO(16),OH(17),C2H4(18),CH4X(48),OX(20)
1.2164593309509711e-08,0.11640260799999998,0.8585084662769803,0.0,0.0,0.33426066249846581,0.11536307598029011,0.022821561752937067,0.0,1.0983967137745992e-24,1.1054369777285745e-11,0.0,9.625231530925898e-19,0.0,1.2283763949475328e-09,5.0006206870430994e-36,1.2062676573178844e-09,1.0919153663914891e-26,1.8867510701421348e-31,0.0,0.0,1.2107413176229557e-22,2.4563821519477715e-27,0.0033068888212988176,1.1880234465041026e-08
1.232431202715307e-08,0.11640260799999998,0.8585084662769803,0.0,0.0,0.33423323654744608,0.11533565001222118,0.022821561753424466,0.0,1.1565483385813077e-24,1.1342049286929949e-11,0.0,1.0008453767907631e-18,0.0,1.2444507168578307e-09,5.3961964200542622e-36,1.2217666202855339e-09,1.1476560165708968e-26,2.0130474233486183e-31,0.0,0.0,1.2585043294133715e-22,2.6166035442078487e-27,0.0033343147732934264,1.1879259675859472e-08
1.248403074479643e-08,0.11640260799999998,0.8585084662769803,0.0,0.0,0.33420611421594948,0.11530852766368652,0.022821561753906462,0.0,1.2169643763284596e-24,1.1633331748595359e-11,0.0,1.0401704941231929e-18,0.0,1.2605249090220207e-09,5.8172283194511896e-36,1.2372582476050381e-09,1.2054386131780912e-26,2.1459989010555659e-31,0.0,0.0,1.3074944690017291e-22,2.784947194324213e-27,0.0033614371057539088,1.1878295678099017e-08
1.264374946243979e-08,0.11640260799999998,0.8585084662769803,0.0,0.0,0.33417929214041125,0.11528170557112076,0.022821561754383126,0.0,1.2797020424596667e-24,1.1928214465881475e-11,0.0,1.0805114521319146e-18,0.0,1.2765990100661551e-09,6.2649861463148281e-36,1.2527425832952767e-09,1.2653086391874702e-26,2.2858637529136704e-31,0.0,0.0,1.3577267133600769e-22,2.9617085626900942e-27,0.003388259182245547,1.1877342352207386e-08
1.280346818008315e-08,0.11640260799999998,0.8585084662769803,0.0,0.0,0.33415276699457974,0.11525518040827246,0.022821561754854513,0.0,1.3448192326408847e-24,1.2226694774128087e-11,0.0,1.1218812000644694e-18,0.0,1.2926730581902475e-09,6.7407848777513019e-36,1.2682196708856106e-09,1.3273119179182603e-26,2.4329067484958121e-31,0.0,0.0,1.4092160210858032e-22,3.1471896428798022e-27,0.003414784329019799,1.1876399579960329e-08
1.2963186897726509e-08,0.11640260799999998,0.8585084662769803,0.0,0.0,0.33412653548910254,0.11522894888578883,0.022821561755320682,0.0,1.4123745219047397e-24,1.2528770039935316e-11,0.0,1.1642926894700975e-18,0.0,1.3087470911728765e-09,7.2459856736064257e-36,1.2836895534214421e-09,1.391494609127455e-26,2.5873992554969573e-31,0.0,0.0,1.4619773325461851e-22,3.3416990100730248e-27,0.0034410158354293775,1.1875467244449949e-08
1.3122905615369869e-08,0.11640260799999998,0.8585084662769803,0.0,0.0,0.33410059437111528,0.1152030077508055,0.022821561755781691,0.0,1.482427163807352e-24,1.2834437660690608e-11,0.0,1.2077588742945258e-18,0.0,1.3248211463757267e-09,7.7819968496823064e-36,1.2991522734697087e-09,1.4579032051648097e-26,2.7496193178584746e-31,0.0,0.0,1.5160255700207564e-22,3.5455518689244652e-27,0.0034669569543386803,1.1874545230058189e-08
1.3282624333013228e-08,0.11640260799999998,0.8585084662769803,0.0,0.0,0.33407494042383601,0.11517735378654041,0.022821561756237594,0.0,1.5550370895973457e-24,1.3143695064102714e-11,0.0,1.2522927109733687e-18,0.0,1.3408952607480949e-09,8.3502748573792072e-36,1.3146078731243144e-09,1.52658452718891e-26,2.9198517338181698e-31,0.0,0.0,1.5713756378415287e-22,3.7590701008876271e-27,0.0034926109025296367,1.1873633422449981e-08
1.3442343050656588e-08,0.11640260799999998,0.8585084662769803,0.0,0.0,0.33404957046616435,0.11515198381189283,0.022821561756688445,0.0,1.6302649073967409e-24,1.3456539707742385e-11,0.0,1.2979071585241586e-18,0.0,1.3569694708313389e-09,8.9523252696873432e-36,1.3300563940115026e-09,1.5975857214433726e-26,3.098388133887308e-31,0.0,0.0,1.6280424225310905e-22,3.9825823110014104e-27,0.003517980861103007,1.1872731708567029e-08
1.3602061768299947e-08,0.11640260799999998,0.8585084662769803,0.0,0.0,0.33402448135228391,0.11512689468104628,0.022821561757134314,0.0,1.7081719013934369e-24,1.3772969078589822e-11,0.0,1.3446151786370323e-18,0.0,1.3730438127632813e-09,9.5897037734549998e-36,1.34549787729516e-09,1.6709542555922245e-26,3.2855270587558535e-31,0.0,0.0,1.6860407929386294e-22,4.2164238741480763e-27,0.0035430699758752082,1.1871839976596184e-08
1.3761780485943307e-08,0.11640260799999998,0.8585084662769803,0.0,0.0,0.33399966997127017,0.11510208328307628,0.022821561757575243,0.0,1.788820031044988e-24,1.409298069258872e-11,0.0,1.3924297357640833e-18,0.0,1.3891183222825656e-09,1.0264017167860695e-35,1.3609323636820693e-09,1.7467379151135503e-26,3.4815740371271373e-31,0.0,0.0,1.7453856003738949e-22,4.46093698079096e-27,0.0035678813577706956,1.1870958115961991e-08
1.3921499203586666e-08,0.11640260799999998,0.8585084662769803,0.0,0.0,0.33397513324670308,0.11507754654156233,0.022821561758011297,0.0,1.8722719302933946e-24,1.4416572094206814e-11,0.0,1.4413637972074036e-18,0.0,1.4051930347329654e-09,1.0976924369018789e-35,1.3763598934270948e-09,1.8249847997504797e-26,3.686841663483153e-31,0.0,0.0,1.8060916787391443e-22,4.716470682200225e-27,0.0035924180832099554,1.1870086017329305e-08
1.4081217921230026e-08,0.11640260799999998,0.8585084662769803,0.0,0.0,0.33395086813628228,0.11505328141420416,0.022821561758442521,0.0,1.9585909067906289e-24,1.4743740856002851e-11,0.0,1.4914303332058361e-18,0.0,1.4212679850676481e-09,1.173013742064929e-35,1.3917805063383127e-09,1.9057433200186341e-26,3.9016496757816175e-31,0.0,0.0,1.8681738446590991e-22,4.9833809351747805e-27,0.003616683194493171,1.1869223572565406e-08
1.4240936638873386e-08,0.11640260799999998,0.8585084662769803,0.0,0.0,0.33392687163144885,0.11502928489244252,0.022821561758868968,0.0,2.04784094113463e-24,1.5074484578199894e-11,0.0,1.5426423170204451e-18,0.0,1.4373432078533906e-09,1.2525422510744106e-35,1.4071942417820788e-09,1.9890621937691374e-26,4.1263250330859504e-31,0.0,0.0,1.9316468976089334e-22,5.2620306462683919e-27,0.0036406797001795922,1.1868370674728689e-08
1.4400655356516745e-08,0.11640260799999998,0.8585084662769803,0.0,0.0,0.33390314075700922,0.11500555400108388,0.022821561759290697,0.0,2.1400866861154895e-24,1.5408800888264822e-11,0.0,1.5950127250187366e-18,0.0,1.4534187372747522e-09,1.3364600994163406e-35,1.4226011386880441e-09,2.0749904428063251e-26,4.3612019931292715e-31,0.0,0.0,1.9965256200403406e-22,5.5527897155278763e-27,0.0036644105754626744,1.1867527218084612e-08
1.4560374074160105e-08,0.11640260799999998,0.8585084662769803,0.0,0.0,0.33387967257076495,0.11498208579792969,0.022821561759707756,0.0,2.2353934659715887e-24,1.5746687440494037e-11,0.0,1.6485545367576326e-18,0.0,1.4694946071381996e-09,1.4249550421097073e-35,1.4380012355541099e-09,2.1635773895592943e-26,4.6066221898135075e-31,0.0,0.0,2.0628247775056934e-22,5.8560350797511273e-27,0.0036878787625410185,1.1866693098061483e-08
