Time (s),Volume (m^3),N2,Ne,X(1),CH4(2),O2(3),CO2(4),H2O(5),H2(6),CO(7),C2H6(8),CH2O(9),CH3(10),C3H8(11),H(12),C2H5(13),CH3OH(14),HCO(15),CH3CHO(16),OH(17),C2H4(18),CH4X(56),OX(20),CH3X(21),HOX(22),HX(19),H2OX(23),CH3OO(85)
0.0,0.09977366400000001,0.80000000000000004,0.0,0.28934362560000004,0.10000000000000001,0.10000000000000001,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
7.927538955643755e-24,0.09977366400000001,0.80000000000000004,0.0,0.28934362560000004,0.10000000000000001,0.10000000000000001,8.7166687242632071e-140,2.6099730417705832e-65,1.4508387475921369e-46,1.3954438057586383e-74,7.1361002787927865e-58,3.9049012917171814e-49,4.1026690638411611e-29,-2.7005085694702848e-114,4.102669045288558e-29,2.5019794199141788e-74,2.7195101516562398e-70,3.2953523364380078e-75,2.7978421816966961e-106,3.9049033037769302e-49,4.7685324647165797e-92,2.4941406355106638e-18,7.2750428795404182e-19,1.6487308971350426e-23,1.780648729552649e-37,1.6487308971350437e-23,5.6338541112252066e-54,9.7086741783984161e-46
2.2197109075802513e-23,0.09977366400000001,0.80000000000000004,0.0,0.28934362560000004,0.10000000000000001,0.10000000000000001,6.7261734470048141e-138,5.2469651560533305e-64,8.7630660355300924e-46,1.6566708928209711e-73,1.0784074741284502e-56,2.3585603904954936e-48,1.1487473438865719e-28,-2.5596130394825676e-114,1.1487473326807991e-28,3.7809937334424981e-73,8.5505753012777561e-69,3.9122423094625803e-74,6.2586610706764795e-105,2.3585627792128274e-48,1.3448032866076558e-90,6.983593779429855e-18,2.037012006271317e-18,4.6164465119781183e-23,1.0755118326218653e-36,4.6164465119781218e-23,6.6885116006659938e-53,5.8640392293571057e-45
5.073624931612003e-23,0.09977366400000001,0.80000000000000004,0.0,0.28934362560000004,0.099999999999999992,0.10000000000000001,7.3305186301087991e-136,9.702210314747044e-63,4.2190390781062073e-45,1.6265293205276463e-72,1.160101550119674e-55,1.1355453110788297e-47,2.6257082429356699e-28,4.3692541808909905e-114,2.6257081889846984e-28,4.067420185084661e-72,1.9075863148058688e-67,3.8410627318466087e-73,1.2366059704446723e-103,1.1355476563356726e-47,2.9252407228126924e-89,1.5962500067268217e-17,4.6560274429058686e-18,1.0551877741664258e-22,5.17812650512008e-36,1.0551877741664278e-22,6.5668203514843242e-52,2.8232824894849502e-44
1.0781452979675508e-22,0.09977366400000001,0.80000000000000004,0.0,0.28934362560000004,0.099999999999999978,0.10000000000000001,5.9968290672234446e-134,1.6676807356771431e-61,1.8425652095529154e-44,1.438646789109217e-71,1.0663331924565681e-54,4.9592248001047075e-47,5.579630137210613e-28,2.7504421837888774e-112,5.5796299015925449e-28,3.7386598274539071e-71,3.5726980507347128e-66,3.3973765466125068e-72,2.2004742897635497e-102,4.9592455436358911e-47,5.4229031818337627e-88,3.3920312642944866e-17,9.8940583161749694e-18,2.2422740201036494e-22,2.2614238860988726e-35,2.2422740201036588e-22,5.808278233333207e-51,1.2330016603435123e-43
2.2197109075802515e-22,0.09977366400000001,0.80000000000000004,0.0,0.28934362559999999,0.099999999999999936,0.10000000000000001,4.3159753935846487e-132,2.7636395092372801e-60,7.6923470407274142e-44,1.2092693532093291e-70,9.1227049631806147e-54,2.0703788085299468e-46,1.1487474310467486e-27,9.8102033598381384e-111,1.1487473326808433e-27,3.1985023664283001e-70,6.1709474140785818e-65,2.8556997938837082e-71,3.7114216425037707e-101,2.0703962447177934e-46,9.3205854720129463e-87,6.9835937794297869e-17,2.0370120062713171e-17,4.6164465119780799e-22,9.4409995601912141e-35,4.6164465119781184e-22,4.8822078289892295e-50,5.1475394065690598e-43
4.502842126805653e-22,0.09977366400000001,0.80000000000000004,0.0,0.28934362559999988,0.099999999999999867,0.099999999999999992,2.9255275905670493e-130,4.499119099525666e-59,3.1425747616742381e-43,9.9143214559991495e-70,7.542828879374246e-53,8.4581736102450881e-46,2.330316419580917e-27,3.2966949129903299e-109,2.330316017724098e-27,2.6445840128705286e-69,1.0253121418425429e-63,2.3412753877582667e-70,6.0960216022928663e-100,8.4583165626474976e-46,1.5448189138656914e-85,1.4166718809700267e-16,4.1322243555789559e-17,9.3647914957268723e-22,3.856956370860817e-34,9.3647914957270321e-22,4.0027289469010472e-49,2.1029379641520897e-42
9.069104565256456e-22,0.09977366400000001,0.80000000000000004,0.0,0.28934362559999971,0.099999999999999728,0.099999999999999964,1.9263236678245537e-128,7.2607918778470593e-58,1.2702789644668688e-42,8.0288756765604817e-69,6.1337031765750273e-52,3.4189295166932008e-45,4.6934550121804298e-27,1.0807113523595009e-107,4.6934533878109173e-27,2.1505325011234735e-68,1.6715175651940383e-62,1.896025774061171e-69,9.8819150412769846e-99,3.4190452832548686e-45,2.5153379258744652e-84,2.8532968870240743e-16,8.3226490541942267e-17,1.8861481463224188e-21,1.5590434311483375e-33,1.8861481463224839e-21,3.2415136759161429e-48,8.5004127471496955e-42
1.8201629442158064e-21,0.09977366400000001,0.80000000000000004,0.0,0.28934362559999932,0.099999999999999437,0.099999999999999922,1.2504255266455344e-126,1.1667165796976686e-56,5.1077358500423949e-42,6.4623394363651539e-68,4.9470538205648011e-51,1.374736930897476e-44,9.4197346595041599e-27,3.5000683410697775e-106,9.4197281279857935e-27,1.7344835208838252e-67,2.6995053280121455e-61,1.5260869174809885e-68,1.5914523810720004e-97,1.3748301098976157e-44,4.0597681576660185e-83,5.7265468991319748e-16,1.6703498451424742e-16,3.7854861398217721e-21,6.2688450563255119e-33,3.7854861398220347e-21,2.6090522067993261e-47,3.4179795969229446e-41
3.646667919596128e-21,0.09977366400000001,0.80000000000000004,0.0,0.2893436255999986,0.099999999999998868,0.099999999999999839,8.0597383055579484e-125,1.870743776424535e-55,2.0484305271980423e-41,5.1856232952709013e-67,3.9737426610048853e-50,5.5133132414446693e-44,1.8872303802650448e-26,1.1267560584666036e-104,1.8872277608340502e-26,1.3932333443509263e-66,4.3393759578238696e-60,1.2245893221524702e-67,2.5546348989743093e-96,5.5140609442362346e-44,6.5239468473607175e-82,1.1473046923347e-15,3.3465197245885678e-16,7.584162126820044e-21,2.5140872396306537e-32,7.5841621268210957e-21,2.0936000757330418e-46,1.3707635073417167e-40
7.29967787035677e-21,0.09977366400000001,0.80000000000000004,0.0,0.2893436255999971,0.099999999999997716,0.099999999999999672,5.1769528517767761e-123,2.9963899336471139e-54,8.2044066838047772e-41,4.15481360644122e-66,3.1854465934724127e-49,2.2082036548608281e-43,3.7777481482938302e-26,3.616440970252957e-103,3.7777376569069728e-26,1.1168519502218289e-65,6.95917782596932e-59,9.8116274327557343e-67,4.0940813265150226e-95,2.2088027269650041e-43,1.0461041296431776e-80,2.296604697177394e-15,6.6988594834807119e-16,1.5181514100814833e-20,1.0069462296610328e-31,1.5181514100819049e-20,1.6774277369342131e-45,5.490210431187433e-40
