Time (s),Volume (m^3),Ar,Ne,N2,X(1),CH4(2),O2(3),CO2(4),H2O(5),H2(6),CO(7),C2H6(8),CH2O(9),CH3(10),C3H8(11),H(12),C2H5(13),CH3OH(14),HCO(15),CH3CHO(16),OH(17),C2H4(18),CH4X(48),OX(20),CH3X(21),HOX(22),HX(19),H2OX(23),C2H6X(52),CH3OO(77),CH2X(27),CHX(28),CX(26),OCX(25),COX(50),C2H4(47),H2X(49),C2H4X(65),CH4OX(60)
7.02957277503603e-21,0.11640260799999998,0.8585084662769803,0.0,0.0,0.33756756319999703,0.11866996602996249,0.022821567693054219,0.0,1.6238816775706723e-54,5.1152734713494033e-36,1.4430065436605865e-75,2.0891559563527173e-48,1.6648328033980264e-119,7.1480669968713277e-22,1.6121099882654661e-101,7.1480669830696069e-22,3.5277149941578632e-68,5.0748176179347394e-59,1.5269295188063756e-100,9.2264145269753604e-102,3.9269522212575593e-46,1.1476818136597208e-80,2.8348213673306169e-15,1.3630073052640748e-16,5.2537665949981266e-20,4.0789973213484628e-32,5.2537665951564025e-20,8.2959558084002759e-46,1.9455594472905151e-62,2.5051264223876343e-36,1.2168939196422065e-31,3.4899770195394942e-39,1.1828260811226159e-45,1.8315068256093612e-70,1.351603930044111e-90,9.2958619441932651e-95,1.9710687051955606e-49,1.0539544354551394e-94,4.4308163360754474e-73
1.406525291130146e-20,0.11640260799999998,0.8585084662769803,0.0,0.0,0.33756756319999404,0.11866996602995966,0.02282156769305415,0.0,2.6003265801269644e-53,2.0474424672851922e-35,1.8418303423456194e-73,1.6730191450309661e-47,8.4997238211480674e-117,1.430234433153131e-21,1.0333450512873707e-99,1.4302344276288454e-21,5.6504748129982295e-67,8.1291574588145388e-58,3.8978539284368587e-98,2.3552636625416374e-99,3.1439495006990541e-45,3.6767038532842816e-79,5.6721056550480217e-15,2.7271988045378967e-16,1.0512097713243903e-19,1.6326619284641245e-31,1.0512097713877416e-19,6.6418088637295789e-45,3.1162763069801195e-61,1.0027034253853027e-35,4.8707468558113777e-31,2.7941026566841235e-38,1.8864945942885688e-44,1.1688784963165018e-68,3.4502932961623672e-88,5.9561367753363373e-93,1.5780534583128776e-48,6.7530010923071266e-93,1.4195662300679474e-71
2.813661318383231e-20,0.11640260799999998,0.8585084662769803,0.0,0.0,0.3375675631999881,0.11866996602995399,0.022821567693054014,0.0,4.1622160175507592e-52,8.1924367865038667e-35,2.3541664848882038e-71,1.3390933991287962e-46,4.3455901875126746e-114,2.8610899083766161e-21,6.6185158512716474e-98,2.8610898862722776e-21,9.0456671548123696e-66,1.301421610300018e-56,9.9641604719946955e-96,6.0208067100289083e-97,2.5161150607786058e-44,1.1772051638707865e-77,1.1346674230477256e-14,5.455581803085427e-16,2.1028759948856826e-19,6.5327742148067832e-31,2.1028759951391704e-19,5.3154655453937651e-44,4.9887485862878521e-60,4.0121197963849011e-35,1.9489330745770997e-30,2.2361296865558758e-37,3.0135617719543821e-43,7.470191004739785e-67,8.8200524267390956e-86,3.8141001486612744e-91,1.2629223693127764e-47,4.3243837261224287e-91,4.5453417832423591e-70
5.627933372889403e-20,0.11640260799999998,0.8585084662769803,0.0,0.0,0.33756756319997622,0.11866996602994263,0.02282156769305374,0.0,6.6609005265589734e-51,3.2775081740864515e-34,3.0110957293702375e-69,1.0715460186260712e-45,2.2232811017820347e-111,5.7228008919895399e-21,4.2374853050743774e-96,5.7228008035577921e-21,1.4476994527513792e-64,2.0828798434572907e-55,2.5489241808111529e-93,1.5401779059883626e-94,2.0132742541109469e-43,3.7681127355393863e-76,2.2695811381313422e-14,1.0912347800180029e-15,4.2062084416568139e-19,2.6135349628597772e-30,4.2062084426709301e-19,4.2531798383096912e-43,7.984163549897749e-59,1.6051091826265187e-34,7.797000471921104e-30,1.7892408972315183e-36,4.817827582750619e-42,4.7773984533240169e-65,2.2562507767653581e-83,2.4417195499793544e-89,1.010529777515961e-46,2.7683937550448072e-89,1.4549462527999582e-68
1.1256477481901744e-19,0.11640260799999998,0.8585084662769803,0.0,0.0,0.3375675631999524,0.11866996602991993,0.022821567693053196,0.0,1.0658524157640789e-49,1.3111099691528412e-33,3.852580462729674e-67,8.5734534761258206e-45,1.1378386882681983e-108,1.1446222991879206e-20,2.7125139852013705e-94,1.1446222638123425e-20,2.3166333348369406e-63,3.3330918350246212e-54,6.5224914295699453e-91,3.9411910588798013e-92,1.6107722053680249e-42,1.2059650945896817e-74,4.5394085682896545e-14,2.1825879794367393e-15,8.4128733337932684e-19,1.0454989795155755e-29,8.4128733378500665e-19,3.4028666222287813e-42,1.2776394572011618e-57,6.4209593589990216e-34,3.11905330424479e-29,1.4315244729682603e-35,7.705409887645468e-41,3.0562559720714337e-63,5.7735637379664268e-81,1.5629230919821386e-87,8.0850058304092336e-46,1.7720239413187024e-87,4.6565268442354137e-67
2.251356569992643e-19,0.11640260799999998,0.8585084662769803,0.0,0.0,0.33756756319990483,0.11866996602987454,0.022821567693052103,0.0,1.705450299429701e-48,5.2446532834295682e-33,4.9297799993801144e-65,6.8591969339679848e-44,5.8239309832061672e-106,2.2893067722313805e-20,1.7361764807784474e-92,2.2893066307233098e-20,3.7068647197361926e-62,5.333333572436967e-53,1.6692413758306445e-88,1.0086328599626506e-89,1.2886787340694353e-41,3.8593587517607426e-73,9.0790634285705979e-14,4.3652943782734757e-15,1.6826203112442943e-18,4.182165376266432e-29,1.6826203128670796e-18,2.7224220153516136e-41,2.0443617714525879e-56,2.5684883235281879e-33,1.2476715167433046e-28,1.145267293748669e-34,1.2326112065659877e-39,1.9554014521753907e-61,1.4775751577356164e-78,1.0003420092490402e-85,6.468311724871536e-45,1.1341755442520215e-85,1.4902002223330236e-65
4.502774213597579e-19,0.11640260799999998,0.8585084662769803,0.0,0.0,0.33756756319980968,0.11866996602978375,0.02282156769304992,0.0,2.7287888721027364e-47,2.0979039956419606e-32,6.3079035495852027e-63,5.4875312068536376e-43,2.9808067616160528e-103,4.5786759305804069e-20,1.1112065944447281e-90,4.5786753645366094e-20,5.931184658728717e-61,8.5336409137753186e-52,4.2717587075452394e-86,2.5811942260347353e-87,1.0309671289007517e-40,1.2350380725885466e-71,1.8158373148989753e-13,8.7307071759440101e-15,3.3652862647249346e-18,1.672899613474943e-28,3.3652862712162098e-18,2.1779884767435834e-40,3.2710897460061176e-55,1.0274162861761555e-32,4.9907830200168603e-28,9.1622493851100814e-34,1.9719577883661817e-38,1.2510172528452181e-59,3.7812651956076797e-76,6.4024167947211914e-84,5.1747722074457439e-44,7.2589750224191335e-84,4.7688181065929651e-64
9.005609500807454e-19,0.11640260799999998,0.8585084662769803,0.0,0.0,0.33756756319961934,0.11866996602960216,0.022821567693045556,0.0,4.3661144898029708e-46,8.3917013490411848e-32,8.0695272692901037e-61,4.390094419458206e-42,1.5253075399743556e-100,9.1574150963268843e-20,7.1118943146821328e-89,9.1574128321286665e-20,9.4900563194866148e-60,1.3654064428831933e-50,1.0929495813185925e-83,6.6041069740454561e-85,8.2478296484057965e-40,3.952191059388106e-70,3.6316992589257147e-13,1.7461532771273309e-14,6.73061816268904e-18,6.6916619462193655e-28,6.7306181886544098e-18,1.7424101291439961e-39,5.2338323110572991e-54,4.1097073818628708e-32,1.996329847720688e-27,7.329716196487432e-33,3.1549031410145478e-37,8.0019458608591495e-58,9.6745443644128863e-74,4.0976196757629e-82,4.139866897713453e-43,4.6458178771639025e-82,1.5260493944644257e-62
1.80112800752272e-18,0.11640260799999998,0.8585084662769803,0.0,0.0,0.3375675631992387,0.11866996602923897,0.022821567693036827,0.0,6.9858172729153864e-45,3.3566976139257171e-31,1.031795233799095e-58,3.5121032998383995e-41,7.8012484584460318e-98,1.8314896824013517e-19,4.5516679952910439e-87,1.8314887767174613e-19,1.5184218730935099e-58,2.1846672512564081e-49,2.7949651702285751e-81,1.6888472505421006e-82,6.598294444778896e-39,1.2647122093947145e-68,7.2634231467508297e-13,3.492318396188484e-14,1.3461281922628541e-17,2.6766747296399579e-27,1.3461282026490588e-17,1.3939342451746222e-38,8.374202629152733e-53,1.6438916588191028e-31,7.9853306620190233e-27,5.8635352848676966e-32,5.0474913383366193e-36,5.1157501059745777e-56,2.4740400729384553e-71,2.6224999119121424e-80,3.311913171135045e-42,2.9733385896616265e-80,4.8833972090056746e-61
3.60226212240667e-18,0.11640260799999998,0.8585084662769803,0.0,0.0,0.33756756319847742,0.11866996602851261,0.022821567693019365,0.0,1.1177310118964584e-43,1.3426824611905997e-30,1.3179234508487781e-56,2.8096937175733991e-40,3.9858725366175404e-95,3.6629873864161352e-19,2.9130860339993298e-85,3.6629837636713827e-19,2.4294852629581321e-57,3.4954741965467632e-48,7.1401087132475886e-79,4.3143839760677657e-80,5.2786377326016038e-38,4.0470967440403289e-67,1.4526870921487588e-12,6.9846486342919655e-14,2.6922609298552726e-17,1.0706696842044753e-26,2.6922609714002223e-17,1.1151472972332136e-37,1.3398780814053732e-51,6.5755861163022448e-31,3.1941169124862204e-26,4.6904062502850899e-31,8.075158538155587e-35,3.2671754382273691e-54,6.320261215170249e-69,1.6784073834872627e-78,2.6495383983285231e-41,1.902930680268739e-78,1.5626901612268172e-59
