Time (s),Volume (m^3),Ar,Ne,N2,X(1),CH4(2),O2(3),CO2(4),H2O(5),H2(6),CO(7),C2H6(8),CH2O(9),CH3(10),C3H8(11),H(12),C2H5(13),CH3OH(14),HCO(15),CH3CHO(16),OH(17),C2H4(18),CH4X(48),OX(20),HX(19),HOX(22),CH3OO(77),CH3X(21),C2H4(47),H2X(49),H2OX(23),CH2X(27),CHX(28),CX(26),OCX(25),C2H6X(52),COX(50),C2H4X(205),C2H4X(65),CH4OX(60),acetyl(43)
2.416154676721758e-20,0.16628943999999996,0.8585084662769803,0.0,0.0,0.45230727679998789,0.11866996602995347,0.022821567693054115,0.0,5.7523892490333056e-52,2.9079583048923114e-29,1.2402949631274465e-69,5.9252530050909803e-44,1.5614627574730414e-106,2.1324487196403346e-16,4.700731620150125e-86,2.1324487196262958e-16,1.7484059072251337e-58,2.6480882089372675e-56,5.361031170828972e-90,6.2161015518573324e-91,4.298632449251728e-42,1.6236653300456133e-68,1.1645884525117485e-14,3.4481394220295986e-16,1.3804058354102357e-18,8.8205706861439286e-31,3.2661077359363969e-30,1.3804058337129217e-18,5.2476686081399042e-78,4.6010359351288373e-42,7.1137799964965202e-44,1.7459429606876697e-28,4.1301792959039169e-35,6.7203852612942002e-41,6.3630490432916948e-65,2.265643325500944e-57,9.4412775985921818e-84,1.962958869018525e-91,6.1217060464882394e-82,9.4925932363729952e-70,1.0954233909035438e-98
4.8328338063796395e-20,0.16628943999999996,0.8585084662769803,0.0,0.0,0.4523072767999759,0.11866996602994161,0.022821567693053942,0.0,9.2056956185840932e-51,1.163372676830134e-28,1.3184058706367378e-67,4.7414028567123918e-43,6.6339338503631651e-104,4.2653603107458154e-16,3.0096295766147215e-84,4.26536031068965e-16,2.7982085035203071e-57,4.2381727878445685e-55,1.1391281839910848e-87,1.3208161350474867e-88,3.4395589975569118e-41,5.1971858386534383e-67,2.3294296917484853e-14,6.8970273006297787e-16,2.7611113035432516e-18,3.5288025537357835e-30,1.3066557675232612e-29,2.761111296752889e-18,3.3594647565916318e-76,3.6815278063034683e-41,5.6921046599743468e-43,6.9849070737332625e-28,3.3047666428379512e-34,8.9573483435182505e-40,3.3854832583208577e-63,3.6260129262126916e-56,2.0061113309927786e-81,2.5133088757222846e-89,3.9190075792130868e-80,3.0385422809099628e-68,4.6569208771102364e-96
9.666192065695402e-20,0.16628943999999996,0.8585084662769803,0.0,0.0,0.45230727679995192,0.11866996602991788,0.022821567693053598,0.0,1.4730610797371857e-49,4.6538694440382561e-28,1.5151670700988565e-65,3.7936025248360826e-42,3.0479716686968911e-101,8.531183493035114e-16,1.9265346411121977e-82,8.5311834928104346e-16,4.4777409328306775e-56,6.7820617075816637e-54,2.6173363766354133e-85,3.0347946476737139e-86,2.7519083519103542e-40,1.6633325880203683e-65,4.6591121702151252e-14,1.3794803057829248e-15,5.5225222411889229e-18,1.411635836447892e-29,5.227048428591188e-29,5.5225222140252634e-18,2.1503636815753874e-74,2.9455018981646597e-40,4.5541158362876027e-42,2.7941888964434414e-27,2.6440574475414068e-33,1.2895111791224373e-38,1.9467561127045987e-61,5.8024076779239174e-55,4.6093742642861028e-79,3.2174972067635091e-87,2.5085214439625707e-78,9.724795087363737e-67,2.1405082682176693e-93
1.9332908584326928e-19,0.16628943999999996,0.8585084662769803,0.0,0.0,0.45230727679990396,0.11866996602987043,0.022821567693052908,0.0,2.357017356375614e-48,1.8616235276562702e-27,1.8289504819487616e-63,3.0350741270314744e-41,1.4712128354786295e-98,1.7062829857927061e-15,1.2331011311135017e-80,1.7062829857028309e-15,7.1648713860976371e-55,1.0852086235229938e-52,6.3174195698765279e-83,7.3250313770578316e-84,2.2016310057643334e-39,5.3230372943649742e-64,9.3184771271210764e-14,2.7590354572224641e-15,1.1045344121998838e-17,5.6467725912156374e-29,2.0909044316918265e-28,1.104534401333977e-17,1.3763307572046071e-72,2.356513385704355e-39,3.6434651968055743e-41,1.1177199772361734e-26,2.1153353351817024e-32,1.9482629186046852e-37,1.1754540152034987e-59,9.2844819249009417e-54,1.1125566870428527e-76,4.1186920216674798e-85,1.6055672156721894e-76,3.1121677712684669e-65,1.0334385459536375e-90
3.866634162158998e-19,0.16628943999999996,0.8585084662769803,0.0,0.0,0.45230727679980798,0.11866996602977552,0.022821567693051527,0.0,3.7713228257084283e-47,7.4466456134067804e-27,2.2700798061725355e-61,2.4281361462757884e-40,7.3029778148185096e-96,3.4126122588964353e-15,7.8922279292214031e-79,3.4126122585369273e-15,1.1464182937518908e-53,1.7363965575572354e-51,1.568047070632441e-80,1.8181464518139241e-81,1.761346306795345e-38,1.7034316138955997e-62,1.8637207040823654e-13,5.5181457601001198e-15,2.2090987905693001e-17,2.2587545722580262e-28,8.3637877345189324e-28,2.2090987471047806e-17,8.8088304272974218e-71,1.8852554565461667e-38,2.9148406507457426e-40,4.4709623770967791e-26,1.6922907698416835e-31,3.0252279185054483e-36,7.296498196808503e-58,1.4855674805468377e-52,2.7614775283127827e-74,5.2721149568964634e-83,1.0275985337921931e-74,9.9593086763751076e-64,5.1305611326380969e-88
7.733320769611608e-19,0.16628943999999996,0.8585084662769803,0.0,0.0,0.45230727679961602,0.11866996602958571,0.022821567693048769,0.0,6.0341904850777127e-46,2.9786885461909038e-26,2.8595785150238862e-59,1.942539654454506e-39,3.6794427933842632e-93,6.8252708056052532e-15,5.051147691399414e-77,6.8252708041672063e-15,1.83430036527915e-52,2.7782839237482372e-50,3.9502457295379392e-78,4.580299513697732e-79,1.4090932807302183e-37,5.4510766243011579e-61,3.7274666867791507e-13,1.103636636584974e-14,4.4182275561379096e-17,9.0351068483461681e-28,3.345549003030156e-27,4.4182273822779975e-17,5.6377517774433151e-69,1.5082222645389078e-37,2.3318990868368531e-39,1.7883963480346936e-25,1.353820417033022e-30,4.7666967289363792e-35,4.5961813438066586e-56,2.3769482662068075e-51,6.9567518514396541e-72,6.7484281630291443e-81,6.5767339910141631e-73,3.1870372703568798e-62,2.5850902226839249e-85
1.546669398451683e-18,0.16628943999999996,0.8585084662769803,0.0,0.0,0.45230727679923216,0.1186699660292061,0.022821567693043249,0.0,9.6547572864631461e-45,1.1914814786706851e-25,3.6289611514538813e-57,1.5540440171983103e-38,1.8676826780883404e-90,1.3650587901028329e-14,3.2327734947072698e-75,1.3650587895276114e-14,2.9349054517417202e-51,4.4452913363375195e-49,1.0025858477396349e-75,1.1624956413534979e-76,1.1272805334624711e-36,1.7443597746129267e-59,7.4549586519978033e-13,2.2072807577326226e-14,8.8364851225945927e-17,3.6140584408474701e-27,1.3382263089823444e-26,8.8364844271508868e-17,3.6081931788504177e-67,1.2065849711915773e-36,1.8655285657215945e-38,7.1535674144258705e-25,1.0830175366199183e-29,7.5675517983647579e-34,2.9165748013599887e-54,3.8031494594891217e-50,1.7656472160097682e-69,8.6380653667353048e-79,4.2091296787893073e-71,1.0198606477420748e-60,1.3122326663089581e-82
3.093344041432727e-18,0.16628943999999996,0.8585084662769803,0.0,0.0,0.45230727679846439,0.11866996602844686,0.022821567693032212,0.0,1.5447632350714234e-43,4.7659380351120515e-25,4.6204931004764958e-55,1.2432401289390482e-37,9.5117538992671648e-88,2.7301222099896235e-14,2.0689874954172109e-73,2.7301222076887305e-14,4.6958685874401385e-50,7.1124878253221513e-48,2.553006492703358e-73,2.9602042464901999e-74,9.0182585387812837e-36,5.5819755657665004e-58,1.490994258173543e-12,4.4145690000188165e-14,1.767300039678865e-16,1.445624908304375e-26,5.352918058664166e-26,1.7672997615002578e-16,2.3092538156611823e-65,9.6527084045398002e-36,1.4924244425897739e-37,2.8613907532371908e-24,8.6634424907231267e-29,1.2060023956037104e-32,1.8567799403946668e-52,6.0850649074424421e-49,4.496081876573082e-67,1.105677280924689e-76,2.6938325312246508e-69,3.2635639442488285e-59,6.6830437638805893e-80
6.1866933273948154e-18,0.16628943999999996,0.8585084662769803,0.0,0.0,0.45230727679692889,0.11866996602692838,0.02282156769301014,0.0,2.471616010397971e-42,1.9063776381443147e-24,5.8869159670634817e-53,9.9459406555956177e-37,4.8475059693162708e-85,5.4602490529719071e-14,1.3241559680380664e-71,5.4602490437683212e-14,7.5134055379943313e-49,1.1379972399551285e-46,6.5054937134699155e-71,7.5431024957601496e-72,7.2145975563122671e-35,1.7862359896314788e-56,2.9819910438411982e-12,8.8291454845547918e-14,3.5346031510322222e-16,5.7824898304621323e-26,2.1411693137470247e-25,3.5346020383130364e-16,1.4779256077704856e-63,7.7221781723254169e-35,1.1939367844923805e-36,1.1445229664748579e-23,6.9296068997062181e-28,1.9255261573247986e-31,1.1828570782204095e-50,9.7361244227168214e-48,1.1456775679324678e-64,1.4152699764815864e-74,1.724027918329252e-67,1.0443394287673053e-57,3.4059061422800742e-77
1.2373391899318992e-17,0.16628943999999996,0.8585084662769803,0.0,0.0,0.4523072767938579,0.11866996602389143,0.022821567692965995,0.0,3.954559656724673e-41,7.6255154008663692e-24,7.4883663625096237e-51,7.9567603154359092e-36,2.4665034330210083e-82,1.0920502751771278e-13,8.4746106995596648e-70,1.0920502714956917e-13,1.2021461199539571e-47,1.8207867836831648e-45,1.6550543928225361e-68,1.9190310316907316e-69,5.7716503623321919e-34,5.7159607655649771e-55,5.9639846140570274e-12,1.7658298453481095e-13,7.069209599815288e-16,2.3129836783790245e-25,8.5646776414084889e-25,7.069205148908931e-16,9.4587328394154035e-62,6.1777471088159687e-34,9.5514287087923144e-36,4.5778164783878737e-23,5.5418386019068404e-27,3.0768346362691912e-30,7.523085203553924e-49,1.5577815382468895e-46,2.9147018180378994e-62,1.8115473008832054e-72,1.1033423123975138e-65,3.3418677966521336e-56,1.7329723606817711e-74
