Time (s),Volume (m^3),Ar,Ne,N2,X(1),CH4(2),O2(3),CO2(4),H2O(5),H2(6),CO(7),C2H6(8),CH2O(9),CH3(10),C3H8(11),H(12),C2H5(13),CH3OH(14),HCO(15),CH3CHO(16),OH(17),C2H4(18),CH4X(55),OX(20),CH3X(21),HOX(22),HX(19),CH2X(27),CHX(28),CX(26),OCX(25),H2X(56),COX(57),H2OX(23),CHOX(60)
6.6493101652176886e-21,0.11640260799999998,0.8585084662769803,0.0,0.0,0.3375675631999972,0.11866996602996265,0.022821567693054223,1.389284152981212e-116,1.7660651633108591e-54,7.3893319941138134e-38,6.1494660002786496e-62,1.7681282984795219e-48,4.0866486219687425e-41,1.4063218794667746e-23,2.001134357518452e-95,1.4063218777475219e-23,2.3158105547245085e-60,1.7972010151548496e-62,1.730903415111059e-62,6.8128802259594248e-88,4.0866488089073365e-41,1.025548658804864e-74,2.6814725642087833e-15,1.2892758379774985e-16,4.9695656819076401e-20,3.6496226588171637e-32,4.9695656834693785e-20,7.8183231219124266e-30,1.52299189628252e-35,7.8051377530182011e-42,8.2072255028424053e-65,2.6932991048921764e-51,5.788132332246588e-77,7.021157026527361e-46,2.1209201268006711e-57
1.3304397315809154e-20,0.11640260799999998,0.8585084662769803,0.0,0.0,0.33756756319999437,0.11866996602995997,0.022821567693054157,8.907067356740712e-115,2.4546391851516755e-53,2.9577770812518519e-37,4.9233119436628361e-61,1.4159366535173845e-47,1.6357244618699286e-40,2.8138655885091852e-23,6.4132155727074648e-94,2.8138655816276943e-23,1.8545266543022181e-59,2.8788630171178815e-61,1.3857751969784389e-61,2.0798720176930742e-86,1.6357246115342187e-40,1.6426601617930954e-73,5.3652748178722098e-15,2.5796718113485135e-16,9.9434489692754991e-20,1.4607975553879928e-31,9.9434489755265296e-20,3.1293606649122928e-29,1.219316955996197e-34,1.0127002760622294e-40,1.3531574490099004e-63,2.1563576044245664e-50,9.268553113703214e-76,5.6211853391132195e-45,1.698025648493865e-56
2.6614571616992084e-20,0.11640260799999998,0.8585084662769803,0.0,0.0,0.33756756319998876,0.1186699660299546,0.022821567693054028,5.7055359976550445e-113,3.6302229946268114e-52,1.1835909856705848e-36,3.9401458577586461e-60,1.1333232085399433e-46,6.5450284909840588e-40,5.6289530169253997e-23,2.0537640073988274e-92,5.6289529893904719e-23,1.4843729814446753e-58,4.6088436562525699e-60,1.1090413253751485e-60,6.4949927121244632e-85,6.5450296887492193e-40,2.6296829294699897e-72,1.0732879325194077e-14,5.1604637580904414e-16,1.989121553932491e-19,5.8450719737185393e-31,1.9891215564337227e-19,1.2521470043768316e-28,9.7581997006554008e-34,1.4312033642313562e-39,2.3938426223124356e-62,1.7258705799623136e-49,1.4835721094958422e-74,4.4986415447420515e-44,1.3589364823246471e-55
5.3234920219357946e-20,0.11640260799999998,0.8585084662769803,0.0,0.0,0.33756756319997749,0.11866996602994385,0.022821567693053772,3.6531483537750597e-111,5.5704351423954071e-51,4.7358938450498379e-36,3.1527153449649246e-59,9.0688817639327063e-46,2.6184375940368613e-39,1.1259127915083398e-22,6.5745019877811057e-91,1.1259127804925763e-22,1.1877991324000846e-57,7.3762422866871821e-59,8.8740156632594702e-60,2.0526859602616981e-83,2.6184385524245371e-39,4.2086343852536129e-71,2.1468088339817858e-14,1.0322047651573888e-15,3.9786748660678517e-19,2.3383925753364607e-30,3.9786748760744464e-19,5.0093643232137141e-28,7.8079756395498133e-33,2.1385330256480126e-38,5.2214789916481399e-61,1.381165337633067e-48,2.3741983839165418e-73,3.5995725411294221e-43,1.0873554939863836e-54
1.0647561742408968e-19,0.11640260799999998,0.8585084662769803,0.0,0.0,0.33756756319995501,0.11866996602992239,0.022821567693053255,2.3385292818638597e-109,8.7222212983923887e-50,1.8951191068852274e-35,2.5224117831491437e-58,7.2560239487679192e-45,1.0474602898043654e-38,2.2519477876701674e-22,2.1042339147920786e-89,2.2519477436035272e-22,9.5035963647683553e-57,1.1803538600273213e-57,7.0998866731977287e-59,6.5274422312435701e-82,1.0474610565770098e-38,6.7347286213809556e-70,4.2938506368985601e-14,2.0645215438539137e-15,7.9577814828404884e-19,9.3541969792541253e-30,7.9577815228704386e-19,2.0038775728343114e-27,6.2468668344863446e-32,3.30046495549364e-37,1.7036735917877437e-59,1.1053678551827692e-47,3.7991038706945386e-72,2.879892744763661e-42,8.6996673302046743e-54
2.1295701183355312e-19,0.11640260799999998,0.8585084662769803,0.0,0.0,0.33756756319990999,0.11866996602987945,0.022821567693052221,1.4968240146764537e-107,1.3802886005224894e-48,7.5856440099948727e-35,2.0180252917190173e-57,5.8051865760702721e-44,4.1900117223915702e-38,4.5040178461147357e-22,6.7341781505111006e-88,4.5040176698410042e-22,7.6033587149614289e-56,1.8886508120477772e-56,5.680179084362587e-58,2.0821951299328436e-80,4.1900178566991874e-38,1.0776297102680586e-68,8.5879342427001839e-14,4.1291551012463043e-15,1.5915994686393423e-18,3.7417233780982015e-29,1.5915994846522245e-18,8.0155865659435645e-27,4.9975598684827288e-31,5.1836535824624146e-36,8.2122595685840644e-58,8.8486533991397717e-47,6.0788754618190935e-71,2.3039616253371299e-41,6.9600601252577114e-53
4.2591980065248e-19,0.11640260799999998,0.8585084662769803,0.0,0.0,0.33756756319981995,0.11866996602979356,0.022821567693050156,9.5802128398491911e-106,2.196162210823892e-47,3.0382063716879042e-34,1.6144590185421649e-56,4.644296199490775e-43,1.6760388443780509e-37,9.0081582274875227e-22,2.1550379516779301e-86,9.0081575223782502e-22,6.0828800615739009e-55,3.021782782460577e-55,4.5442512876790784e-57,6.6524795360565065e-79,1.6760437516770453e-37,1.7242661623718476e-67,1.7176101454175723e-13,8.2584222160284524e-15,3.1832420973529916e-18,1.4966336714479021e-28,3.1832421614078315e-18,3.2060999584437369e-26,3.9978694529410145e-30,8.215764081116143e-35,4.8026122296585708e-56,7.0875554331191328e-46,9.726450396550057e-70,1.8431139423149765e-40,5.568173635578586e-52
8.518453782903338e-19,0.11640260799999998,0.8585084662769803,0.0,0.0,0.33756756319963993,0.11866996602962179,0.022821567693046028,6.1315390670285314e-104,3.5037468484640243e-46,1.2184040274701783e-33,1.2915878078581338e-55,3.7154956836660257e-42,6.7042240263985584e-37,1.8016440048167666e-21,6.8962842292415443e-85,1.8016437227701913e-21,4.8663819814295978e-54,4.83440177863678e-54,3.6354444291739658e-56,2.1271024638418475e-77,6.7042632810396815e-37,2.758873142769404e-66,3.4352435876615981e-13,1.6516956445582227e-14,6.3665273067925442e-18,5.9859066429859354e-28,6.3665275630305684e-18,1.2822931351168661e-25,3.1978962448632682e-29,1.3081462954193602e-33,2.9936624731088706e-54,5.6836530091354232e-45,1.5562577164822689e-68,1.47435010304373e-39,4.4545811671994689e-51
1.7036965335660413e-18,0.11640260799999998,0.8585084662769803,0.0,0.0,0.33756756319927989,0.11866996602927826,0.02282156769303777,3.9244642151204145e-102,5.5970323369135855e-45,4.8985052730228952e-33,1.0333423947036217e-54,2.9724199530975388e-41,2.6817036103465645e-36,3.6033007921266118e-21,2.2068378118875632e-83,3.6032996639345938e-21,3.8931378704926163e-53,7.7333904286612305e-53,2.9083732076728708e-55,6.8039984119563003e-76,2.681735007501067e-36,4.4142360755834169e-65,6.8705104719453232e-13,3.3034024904647663e-14,1.2733097533720677e-17,2.3938238570348096e-27,1.2733098558806387e-17,5.1279199163455174e-25,2.5576327751208214e-28,2.0875199289295244e-32,1.9004193088975194e-52,4.5686083914413301e-44,2.4901775729489481e-67,1.179233478783541e-38,3.5636691077115947e-50
3.4073988441174565e-18,0.11640260799999998,0.8585084662769803,0.0,0.0,0.33756756319855979,0.1186699660285912,0.022821567693021252,2.5138139919814593e-100,8.945292127427306e-44,1.9792847632824212e-32,8.2751757621252576e-54,2.3779451911492957e-40,1.0726844600614459e-35,7.2066160594414705e-21,7.0619291736719604e-82,7.206611546662073e-21,3.1145249901740367e-52,1.236797179588473e-51,2.3267061192639148e-54,2.1768277922102276e-74,1.0727095670746743e-35,7.0628128641961426e-64,1.3741044239695463e-12,6.6068161822610103e-14,2.546623721977308e-17,9.5709147784667035e-27,2.5466241321153084e-17,2.050150923989909e-24,2.0449940198836377e-27,3.334299062392727e-31,1.2124958174413318e-50,3.6895286643187519e-43,3.9881115918829798e-66,9.4298406944975448e-38,2.8509165886214283e-49
