Time (s),Volume (m^3),Ar,Ne,N2,X(1),CH4(2),O2(3),CO2(4),H2O(5),H2(6),CO(7),C2H6(8),CH2O(9),CH3(10),C3H8(11),H(12),C2H5(13),CH3OH(14),HCO(15),CH3CHO(16),OH(17),C2H4(18),CH4X(48),OX(20),CH3X(21),HOX(22),HX(19),CH2X(27),CHX(28),CX(26),OCX(25),H2X(49),COX(50),CHOX(53),H2OX(23),CO2X(24)
6.746385521509144e-21,0.11640260799999998,0.8585084662769803,0.0,0.0,0.33756756319999714,0.1186699660299626,0.022821567693054223,2.8470509479604066e-103,1.3773479996036132e-54,4.7114391852757363e-36,1.7356633810741719e-75,1.8467050335613921e-48,1.8484460367731651e-119,6.8601061751378203e-22,1.2596445480430854e-101,6.8601061749604429e-22,2.9926945061062082e-68,1.904473345697264e-62,1.7652039577839384e-100,1.0666178865520847e-101,1.9524632943489946e-48,9.3439954659213053e-81,2.7206202198434821e-15,1.3080983786952289e-16,5.0421179237374296e-20,3.75696440309805e-32,5.0421179253451044e-20,8.0482735730662045e-30,1.5906743202713643e-35,8.2258557575696918e-42,1.1801043637867335e-66,1.7423231233261507e-49,1.5625191380338692e-90,9.4910728558564262e-94,7.3331803552808304e-46,6.8224398902714857e-94
1.349863236840622e-20,0.11640260799999998,0.8585084662769803,0.0,0.0,0.33756756319999431,0.11866996602995988,0.022821567693054157,1.1818852411457387e-100,2.2055477138981939e-53,1.8858047489704888e-35,1.7999866461749757e-73,1.4788617700944068e-47,7.6612979480768182e-117,1.3726172477628053e-21,8.0741851831784546e-100,1.3726172476918081e-21,4.7935122178917069e-67,3.0506981113721513e-61,3.6591730427720645e-98,2.2110416089756661e-99,1.5631551545203931e-47,2.9934345667675798e-79,5.4436041410057081e-15,2.6173332459905056e-16,1.0088616486982838e-19,1.5037621104100815e-31,1.0088616493417734e-19,3.221400501208458e-29,1.2735038934919596e-34,1.0695313681329715e-40,6.1261480426479753e-65,1.3949187606567447e-48,3.2390182734087869e-88,1.9705482985223715e-91,5.8709931618305415e-45,1.416483467665446e-91
2.700312606220037e-20,0.11640260799999998,0.8585084662769803,0.0,0.0,0.3375675631999886,0.11866996602995444,0.022821567693054025,5.3433801962926285e-98,3.5303010492199404e-52,7.5456852804746752e-35,2.0336038807729685e-71,1.183688805634504e-46,3.4601922258275245e-114,2.7458305083671068e-21,5.1714693353678605e-98,2.7458305080830242e-21,7.6737827244596682e-66,4.8839384991752298e-60,8.2648875678646257e-96,4.9940273170713581e-97,1.2509949372166169e-46,9.5843635187351664e-78,1.0889571983325026e-14,5.2358029805809519e-16,2.0181613608649526e-19,6.0169852233842655e-31,2.0181613634397549e-19,1.2889747107842172e-28,1.0191857396752146e-33,1.5137362040721767e-39,3.4633907488888789e-63,1.1163603212405047e-47,7.3158938471972028e-86,4.4553681477487213e-89,4.6985628221520941e-44,3.2026394748015013e-89
5.401211344978867e-20,0.11640260799999998,0.8585084662769803,0.0,0.0,0.33756756319997716,0.11866996602994355,0.022821567693053765,2.554350227933535e-95,5.6495937600584187e-51,3.0187733870349176e-34,2.4297931444471573e-69,9.4719085804620824e-46,1.6531251998771442e-111,5.4922570300007301e-21,3.3110180093692338e-96,5.4922570288642147e-21,1.2281383838305426e-64,7.8165181351999298e-59,1.974533479371308e-93,1.1931044272808125e-94,1.000979200556028e-45,3.0678562506874908e-76,2.1781507667943119e-14,1.0472742449761421e-15,4.0367607832686381e-19,2.40716832193199e-30,4.036760793569565e-19,5.1566973945089679e-28,8.15496370103623e-33,2.2638632802429045e-38,2.0700721446941319e-61,8.932600610325148e-47,1.747812886628059e-83,1.0650503282863761e-86,3.7595384938955165e-43,7.6558717283368016e-87
1.0803008822496528e-19,0.11640260799999998,0.8585084662769803,0.0,0.0,0.33756756319995435,0.11866996602992176,0.022821567693053241,1.2613287979140954e-92,9.0401502911904989e-50,1.2076139750118075e-33,2.9991863370692991e-67,7.578486222122337e-45,8.1604336921582135e-109,1.0985110074968056e-20,2.1194604578149955e-94,1.0985110070421625e-20,1.9652879670307442e-63,1.2508069988327303e-57,4.8738261294855768e-91,2.9449909935478725e-92,8.0084848463731202e-45,9.8185160750013514e-75,4.3565379037097146e-14,2.0946621388120666e-15,8.0739596203574014e-19,9.6293163745850086e-30,8.0739596615647902e-19,2.0628142096404267e-27,6.5244772678122707e-32,3.4956110319164333e-37,1.2779297061665004e-59,7.1467940596482993e-46,4.3142017139645879e-81,2.6297649268859923e-84,3.007875347304702e-42,1.890347159119655e-84
2.1606603777531847e-19,0.11640260799999998,0.8585084662769803,0.0,0.0,0.33756756319990866,0.1186699660298782,0.022821567693052193,6.338774381989823e-90,1.4464594330243389e-48,4.8307032113175418e-33,3.7678424639155605e-65,6.0631727225840229e-44,4.1003283542505501e-106,2.1970816171703023e-20,1.3565855615581247e-92,2.197081615351656e-20,3.1446739938844219e-62,2.0013800722224942e-56,1.2244988224200596e-88,7.3989872337707828e-90,6.4069174482667984e-44,3.1421453217571664e-73,8.713312177507653e-14,4.1894379264832384e-15,1.61483572636605e-18,3.8517708295229487e-29,1.6148357428499382e-18,8.251331601161604e-27,5.2196485610122579e-31,5.4915713399499641e-36,8.0283857213309396e-58,5.7177627410602154e-45,1.0838988276915924e-78,6.6081366802108318e-82,2.4063488706314878e-41,4.7501125694831311e-82
4.3213793687602486e-19,0.11640260799999998,0.8585084662769803,0.0,0.0,0.33756756319981734,0.11866996602979106,0.022821567693050097,3.2147662213024175e-87,2.3142717636369545e-47,1.9323611954356701e-32,4.7770831419781206e-63,4.8506916460830256e-43,2.0793615440049884e-103,4.394222839237423e-20,8.6825663410626535e-91,4.3942228319626891e-20,5.0316489588045627e-61,3.2021435024760712e-55,3.1048641448176793e-86,1.8761019837630473e-87,5.1253763027102882e-43,1.0055217259046698e-71,1.742686072497207e-13,8.3789895018228716e-15,3.2297152426768984e-18,1.5406497201292049e-28,3.2297153086158894e-18,3.3003910079358601e-26,4.1755283096242306e-30,8.7049491242526086e-35,5.0897926678552527e-56,4.5744084668206744e-44,2.7483554254100703e-76,1.6757163552575592e-79,1.925019767408228e-40,1.2045529126914322e-79
8.642817350774377e-19,0.11640260799999998,0.8585084662769803,0.0,0.0,0.33756756319963471,0.11866996602961678,0.022821567693045906,1.6379414387941032e-84,3.702490963868346e-46,7.7298481375698632e-32,6.0847783854458612e-61,3.8806146496118966e-42,1.0594252311474613e-100,8.7885052942521749e-20,5.5569763896026522e-89,8.7885052651529395e-20,8.0507746800498683e-60,5.1229437021421063e-54,7.9094578453838784e-84,4.7792574416663358e-85,4.0999028621258767e-42,3.2177258368844705e-70,3.4853957819375061e-13,1.6758092652491302e-14,6.4594742258995098e-18,6.1619420152431523e-28,6.4594744896749281e-18,1.320002833673355e-25,3.3399989189995192e-29,1.3861275128897725e-33,3.2416641558380572e-54,3.6597137000816578e-43,7.001270360694406e-74,4.2689636860828356e-77,1.539866077899633e-39,3.0686602821454102e-77
1.7285693314802633e-18,0.11640260799999998,0.8585084662769803,0.0,0.0,0.33756756319926939,0.11866996602926823,0.022821567693037528,8.364067085812105e-82,5.9227725718374053e-45,3.0922146724212433e-31,7.7678444123513923e-59,3.1045161643385581e-41,5.4100454170580482e-98,1.7577070247803705e-19,3.5565076564269389e-87,1.7577070131406181e-19,1.2881348209537282e-58,8.194932241753236e-53,2.0194303415973949e-81,1.2202317583465971e-82,3.2792270263600296e-41,1.0296812500995293e-68,6.9708152006077669e-13,3.351629895378482e-14,1.2918991994748405e-17,2.4642138837516018e-27,1.2918993049989546e-17,5.2787026648055666e-25,2.6712738502168595e-28,2.2120281040390648e-32,2.0691952508275181e-52,2.9280178483191507e-42,1.7875520136228512e-71,1.0899624876752576e-74,1.2316314349476379e-38,7.8350154906139489e-75
3.4571445242859147e-18,0.11640260799999998,0.8585084662769803,0.0,0.0,0.33756756319853876,0.11866996602857113,0.02282156769302077,4.2750182598953993e-79,9.4724666881679458e-44,1.2370966207064884e-30,9.9256636564035114e-57,2.4836225675494748e-40,2.7654053767152528e-95,3.5154200328994891e-19,2.2761784684972715e-85,3.5154199863403623e-19,2.0610242972704074e-57,1.310602810132873e-51,5.1607977587402324e-79,3.1183852105011049e-80,2.6222465621616085e-40,3.2949941926835175e-67,1.3941654037106937e-12,6.7032711556198476e-14,2.5838026742060913e-17,9.8522799276059683e-27,2.5838030964108628e-17,2.1104187688456921e-24,2.1358404256637685e-27,3.5332034346953327e-31,1.3220068214712389e-50,2.3427882018510869e-41,4.5682094282937225e-69,2.7854726400487263e-72,9.8487836210230933e-38,2.002309083040705e-72
